Distance_Bin,Value,Bin_Center,Density_per_bp
"[-375000.0, -365000.0)",0,-370000.0,0.0
"[-365000.0, -355000.0)",131,-360000.0,0.0131
"[-355000.0, -345000.0)",1394,-350000.0,0.1394
"[-345000.0, -335000.0)",688,-340000.0,0.0688
"[-335000.0, -325000.0)",518,-330000.0,0.0518
"[-325000.0, -315000.0)",636,-320000.0,0.0636
"[-315000.0, -305000.0)",484,-310000.0,0.0484
"[-305000.0, -295000.0)",492,-300000.0,0.0492
"[-295000.0, -285000.0)",362,-290000.0,0.0362
"[-285000.0, -275000.0)",327,-280000.0,0.0327
"[-275000.0, -265000.0)",338,-270000.0,0.0338
"[-265000.0, -255000.0)",471,-260000.0,0.0471
"[-255000.0, -245000.0)",369,-250000.0,0.0369
"[-245000.0, -235000.0)",243,-240000.0,0.0243
"[-235000.0, -225000.0)",587,-230000.0,0.0587
"[-225000.0, -215000.0)",632,-220000.0,0.0632
"[-215000.0, -205000.0)",400,-210000.0,0.04
"[-205000.0, -195000.0)",491,-200000.0,0.0491
"[-195000.0, -185000.0)",531,-190000.0,0.0531
"[-185000.0, -175000.0)",542,-180000.0,0.0542
"[-175000.0, -165000.0)",532,-170000.0,0.0532
"[-165000.0, -155000.0)",692,-160000.0,0.0692
"[-155000.0, -145000.0)",746,-150000.0,0.0746
"[-145000.0, -135000.0)",481,-140000.0,0.0481
"[-135000.0, -125000.0)",524,-130000.0,0.0524
"[-125000.0, -115000.0)",487,-120000.0,0.0487
"[-115000.0, -105000.0)",870,-110000.0,0.087
"[-105000.0, -95000.0)",710,-100000.0,0.071
"[-95000.0, -85000.0)",507,-90000.0,0.0507
"[-85000.0, -75000.0)",664,-80000.0,0.0664
"[-75000.0, -65000.0)",533,-70000.0,0.0533
"[-65000.0, -55000.0)",544,-60000.0,0.0544
"[-55000.0, -45000.0)",563,-50000.0,0.0563
"[-45000.0, -35000.0)",544,-40000.0,0.0544
"[-35000.0, -25000.0)",731,-30000.0,0.0731
"[-25000.0, -15000.0)",862,-20000.0,0.0862
"[-15000.0, -5000.0)",859,-10000.0,0.0859
"[-5000.0, 5000.0)",707,0.0,0.0707
"[5000.0, 15000.0)",726,10000.0,0.0726
"[15000.0, 25000.0)",510,20000.0,0.051
"[25000.0, 35000.0)",1030,30000.0,0.103
"[35000.0, 45000.0)",553,40000.0,0.0553
"[45000.0, 55000.0)",736,50000.0,0.0736
"[55000.0, 65000.0)",615,60000.0,0.0615
"[65000.0, 75000.0)",656,70000.0,0.0656
"[75000.0, 85000.0)",577,80000.0,0.0577
"[85000.0, 95000.0)",0,90000.0,0.0
"[95000.0, 105000.0)",0,100000.0,0.0
"[105000.0, 115000.0)",0,110000.0,0.0
"[115000.0, 125000.0)",0,120000.0,0.0
"[125000.0, 135000.0)",0,130000.0,0.0
"[135000.0, 145000.0)",0,140000.0,0.0
"[145000.0, 155000.0)",0,150000.0,0.0
"[155000.0, 165000.0)",0,160000.0,0.0
"[165000.0, 175000.0)",0,170000.0,0.0
"[175000.0, 185000.0)",0,180000.0,0.0
"[185000.0, 195000.0)",0,190000.0,0.0
"[195000.0, 205000.0)",0,200000.0,0.0
"[205000.0, 215000.0)",0,210000.0,0.0
"[215000.0, 225000.0)",0,220000.0,0.0
"[225000.0, 235000.0)",0,230000.0,0.0
"[235000.0, 245000.0)",0,240000.0,0.0
"[245000.0, 255000.0)",0,250000.0,0.0
"[255000.0, 265000.0)",0,260000.0,0.0
"[265000.0, 275000.0)",0,270000.0,0.0
"[275000.0, 285000.0)",0,280000.0,0.0
"[285000.0, 295000.0)",0,290000.0,0.0
"[295000.0, 305000.0)",0,300000.0,0.0
"[305000.0, 315000.0)",0,310000.0,0.0
"[315000.0, 325000.0)",0,320000.0,0.0
"[325000.0, 335000.0)",0,330000.0,0.0
"[335000.0, 345000.0)",0,340000.0,0.0
"[345000.0, 355000.0)",0,350000.0,0.0
"[355000.0, 365000.0)",0,360000.0,0.0
"[365000.0, 375000.0)",0,370000.0,0.0
