Distance_Bin,Value,Bin_Center,Density_per_bp
"[-152521, -151521)",0,-152021.0,0.0
"[-151521, -150521)",3282,-151021.0,3.282
"[-150521, -149521)",1107,-150021.0,1.107
"[-149521, -148521)",647,-149021.0,0.647
"[-148521, -147521)",617,-148021.0,0.617
"[-147521, -146521)",238,-147021.0,0.238
"[-146521, -145521)",460,-146021.0,0.46
"[-145521, -144521)",2241,-145021.0,2.241
"[-144521, -143521)",981,-144021.0,0.981
"[-143521, -142521)",907,-143021.0,0.907
"[-142521, -141521)",2895,-142021.0,2.895
"[-141521, -140521)",1204,-141021.0,1.204
"[-140521, -139521)",1519,-140021.0,1.519
"[-139521, -138521)",978,-139021.0,0.978
"[-138521, -137521)",740,-138021.0,0.74
"[-137521, -136521)",2033,-137021.0,2.033
"[-136521, -135521)",1685,-136021.0,1.685
"[-135521, -134521)",1364,-135021.0,1.364
"[-134521, -133521)",1652,-134021.0,1.652
"[-133521, -132521)",1073,-133021.0,1.073
"[-132521, -131521)",712,-132021.0,0.712
"[-131521, -130521)",2558,-131021.0,2.558
"[-130521, -129521)",992,-130021.0,0.992
"[-129521, -128521)",1206,-129021.0,1.206
"[-128521, -127521)",2062,-128021.0,2.062
"[-127521, -126521)",3377,-127021.0,3.377
"[-126521, -125521)",2818,-126021.0,2.818
"[-125521, -124521)",423,-125021.0,0.423
"[-124521, -123521)",811,-124021.0,0.811
"[-123521, -122521)",1456,-123021.0,1.456
"[-122521, -121521)",2347,-122021.0,2.347
"[-121521, -120521)",1524,-121021.0,1.524
"[-120521, -119521)",2501,-120021.0,2.501
"[-119521, -118521)",3855,-119021.0,3.855
"[-118521, -117521)",3732,-118021.0,3.732
"[-117521, -116521)",5434,-117021.0,5.434
"[-116521, -115521)",1931,-116021.0,1.931
"[-115521, -114521)",2276,-115021.0,2.276
"[-114521, -113521)",2101,-114021.0,2.101
"[-113521, -112521)",3440,-113021.0,3.44
"[-112521, -111521)",2538,-112021.0,2.538
"[-111521, -110521)",861,-111021.0,0.861
"[-110521, -109521)",452,-110021.0,0.452
"[-109521, -108521)",1712,-109021.0,1.712
"[-108521, -107521)",2507,-108021.0,2.507
"[-107521, -106521)",1449,-107021.0,1.449
"[-106521, -105521)",4842,-106021.0,4.842
"[-105521, -104521)",73,-105021.0,0.073
"[-104521, -103521)",628,-104021.0,0.628
"[-103521, -102521)",2179,-103021.0,2.179
"[-102521, -101521)",676,-102021.0,0.676
"[-101521, -100521)",250,-101021.0,0.25
"[-100521, -99521)",860,-100021.0,0.86
"[-99521, -98521)",2824,-99021.0,2.824
"[-98521, -97521)",1174,-98021.0,1.174
"[-97521, -96521)",1089,-97021.0,1.089
"[-96521, -95521)",97,-96021.0,0.097
"[-95521, -94521)",958,-95021.0,0.958
"[-94521, -93521)",1711,-94021.0,1.711
"[-93521, -92521)",2867,-93021.0,2.867
"[-92521, -91521)",324,-92021.0,0.324
"[-91521, -90521)",38,-91021.0,0.038
"[-90521, -89521)",3128,-90021.0,3.128
"[-89521, -88521)",1934,-89021.0,1.934
"[-88521, -87521)",273,-88021.0,0.273
"[-87521, -86521)",224,-87021.0,0.224
"[-86521, -85521)",352,-86021.0,0.352
"[-85521, -84521)",241,-85021.0,0.241
"[-84521, -83521)",596,-84021.0,0.596
"[-83521, -82521)",6117,-83021.0,6.117
"[-82521, -81521)",4196,-82021.0,4.196
"[-81521, -80521)",3789,-81021.0,3.789
"[-80521, -79521)",6043,-80021.0,6.043
"[-79521, -78521)",185,-79021.0,0.185
"[-78521, -77521)",1618,-78021.0,1.618
"[-77521, -76521)",1014,-77021.0,1.014
"[-76521, -75521)",998,-76021.0,0.998
"[-75521, -74521)",1727,-75021.0,1.727
"[-74521, -73521)",160,-74021.0,0.16
"[-73521, -72521)",18,-73021.0,0.018
"[-72521, -71521)",1478,-72021.0,1.478
"[-71521, -70521)",856,-71021.0,0.856
"[-70521, -69521)",1327,-70021.0,1.327
"[-69521, -68521)",2936,-69021.0,2.936
"[-68521, -67521)",1303,-68021.0,1.303
"[-67521, -66521)",1198,-67021.0,1.198
"[-66521, -65521)",729,-66021.0,0.729
"[-65521, -64521)",779,-65021.0,0.779
"[-64521, -63521)",2402,-64021.0,2.402
"[-63521, -62521)",599,-63021.0,0.599
"[-62521, -61521)",627,-62021.0,0.627
"[-61521, -60521)",688,-61021.0,0.688
"[-60521, -59521)",750,-60021.0,0.75
