Distance_Bin,Value,Bin_Center,Density_per_bp
"[-153041, -152041)",0,-152541.0,0.0
"[-152041, -151041)",188,-151541.0,0.188
"[-151041, -150041)",84,-150541.0,0.084
"[-150041, -149041)",147,-149541.0,0.147
"[-149041, -148041)",238,-148541.0,0.238
"[-148041, -147041)",119,-147541.0,0.119
"[-147041, -146041)",149,-146541.0,0.149
"[-146041, -145041)",136,-145541.0,0.136
"[-145041, -144041)",104,-144541.0,0.104
"[-144041, -143041)",52,-143541.0,0.052
"[-143041, -142041)",81,-142541.0,0.081
"[-142041, -141041)",52,-141541.0,0.052
"[-141041, -140041)",54,-140541.0,0.054
"[-140041, -139041)",65,-139541.0,0.065
"[-139041, -138041)",121,-138541.0,0.121
"[-138041, -137041)",52,-137541.0,0.052
"[-137041, -136041)",72,-136541.0,0.072
"[-136041, -135041)",111,-135541.0,0.111
"[-135041, -134041)",36,-134541.0,0.036
"[-134041, -133041)",70,-133541.0,0.07
"[-133041, -132041)",55,-132541.0,0.055
"[-132041, -131041)",57,-131541.0,0.057
"[-131041, -130041)",75,-130541.0,0.075
"[-130041, -129041)",59,-129541.0,0.059
"[-129041, -128041)",45,-128541.0,0.045
"[-128041, -127041)",40,-127541.0,0.04
"[-127041, -126041)",53,-126541.0,0.053
"[-126041, -125041)",133,-125541.0,0.133
"[-125041, -124041)",74,-124541.0,0.074
"[-124041, -123041)",38,-123541.0,0.038
"[-123041, -122041)",46,-122541.0,0.046
"[-122041, -121041)",49,-121541.0,0.049
"[-121041, -120041)",86,-120541.0,0.086
"[-120041, -119041)",31,-119541.0,0.031
"[-119041, -118041)",68,-118541.0,0.068
"[-118041, -117041)",58,-117541.0,0.058
"[-117041, -116041)",13,-116541.0,0.013
"[-116041, -115041)",30,-115541.0,0.03
"[-115041, -114041)",31,-114541.0,0.031
"[-114041, -113041)",14,-113541.0,0.014
"[-113041, -112041)",46,-112541.0,0.046
"[-112041, -111041)",65,-111541.0,0.065
"[-111041, -110041)",59,-110541.0,0.059
"[-110041, -109041)",170,-109541.0,0.17
"[-109041, -108041)",43,-108541.0,0.043
"[-108041, -107041)",23,-107541.0,0.023
"[-107041, -106041)",71,-106541.0,0.071
"[-106041, -105041)",114,-105541.0,0.114
"[-105041, -104041)",36,-104541.0,0.036
"[-104041, -103041)",32,-103541.0,0.032
"[-103041, -102041)",14,-102541.0,0.014
"[-102041, -101041)",1,-101541.0,0.001
"[-101041, -100041)",64,-100541.0,0.064
"[-100041, -99041)",19,-99541.0,0.019
"[-99041, -98041)",43,-98541.0,0.043
"[-98041, -97041)",13,-97541.0,0.013
"[-97041, -96041)",34,-96541.0,0.034
"[-96041, -95041)",104,-95541.0,0.104
"[-95041, -94041)",20,-94541.0,0.02
"[-94041, -93041)",26,-93541.0,0.026
"[-93041, -92041)",70,-92541.0,0.07
"[-92041, -91041)",64,-91541.0,0.064
"[-91041, -90041)",62,-90541.0,0.062
"[-90041, -89041)",54,-89541.0,0.054
"[-89041, -88041)",93,-88541.0,0.093
"[-88041, -87041)",38,-87541.0,0.038
"[-87041, -86041)",52,-86541.0,0.052
"[-86041, -85041)",74,-85541.0,0.074
"[-85041, -84041)",36,-84541.0,0.036
"[-84041, -83041)",20,-83541.0,0.02
"[-83041, -82041)",122,-82541.0,0.122
"[-82041, -81041)",48,-81541.0,0.048
"[-81041, -80041)",16,-80541.0,0.016
"[-80041, -79041)",50,-79541.0,0.05
"[-79041, -78041)",79,-78541.0,0.079
"[-78041, -77041)",32,-77541.0,0.032
"[-77041, -76041)",70,-76541.0,0.07
"[-76041, -75041)",48,-75541.0,0.048
"[-75041, -74041)",88,-74541.0,0.088
