Distance_Bin,Value,Bin_Center,Density_per_bp
"[-497756, -496756)",0,-497256.0,0.0
"[-496756, -495756)",8,-496256.0,0.008
"[-495756, -494756)",0,-495256.0,0.0
"[-494756, -493756)",0,-494256.0,0.0
"[-493756, -492756)",0,-493256.0,0.0
"[-492756, -491756)",0,-492256.0,0.0
"[-491756, -490756)",0,-491256.0,0.0
"[-490756, -489756)",9,-490256.0,0.009
"[-489756, -488756)",5,-489256.0,0.005
"[-488756, -487756)",5,-488256.0,0.005
"[-487756, -486756)",4,-487256.0,0.004
"[-486756, -485756)",17,-486256.0,0.017
"[-485756, -484756)",8,-485256.0,0.008
"[-484756, -483756)",26,-484256.0,0.026
"[-483756, -482756)",6,-483256.0,0.006
"[-482756, -481756)",14,-482256.0,0.014
"[-481756, -480756)",23,-481256.0,0.023
"[-480756, -479756)",7,-480256.0,0.007
"[-479756, -478756)",11,-479256.0,0.011
"[-478756, -477756)",21,-478256.0,0.021
"[-477756, -476756)",3,-477256.0,0.003
"[-476756, -475756)",24,-476256.0,0.024
"[-475756, -474756)",36,-475256.0,0.036
"[-474756, -473756)",22,-474256.0,0.022
"[-473756, -472756)",15,-473256.0,0.015
"[-472756, -471756)",25,-472256.0,0.025
"[-471756, -470756)",13,-471256.0,0.013
"[-470756, -469756)",14,-470256.0,0.014
"[-469756, -468756)",19,-469256.0,0.019
"[-468756, -467756)",18,-468256.0,0.018
"[-467756, -466756)",3,-467256.0,0.003
"[-466756, -465756)",7,-466256.0,0.007
"[-465756, -464756)",5,-465256.0,0.005
"[-464756, -463756)",6,-464256.0,0.006
"[-463756, -462756)",18,-463256.0,0.018
"[-462756, -461756)",11,-462256.0,0.011
"[-461756, -460756)",19,-461256.0,0.019
"[-460756, -459756)",8,-460256.0,0.008
"[-459756, -458756)",16,-459256.0,0.016
"[-458756, -457756)",18,-458256.0,0.018
"[-457756, -456756)",17,-457256.0,0.017
"[-456756, -455756)",11,-456256.0,0.011
"[-455756, -454756)",17,-455256.0,0.017
"[-454756, -453756)",9,-454256.0,0.009
"[-453756, -452756)",6,-453256.0,0.006
"[-452756, -451756)",13,-452256.0,0.013
"[-451756, -450756)",16,-451256.0,0.016
"[-450756, -449756)",8,-450256.0,0.008
"[-449756, -448756)",11,-449256.0,0.011
"[-448756, -447756)",13,-448256.0,0.013
"[-447756, -446756)",15,-447256.0,0.015
"[-446756, -445756)",19,-446256.0,0.019
"[-445756, -444756)",8,-445256.0,0.008
"[-444756, -443756)",16,-444256.0,0.016
"[-443756, -442756)",18,-443256.0,0.018
"[-442756, -441756)",23,-442256.0,0.023
"[-441756, -440756)",19,-441256.0,0.019
"[-440756, -439756)",18,-440256.0,0.018
"[-439756, -438756)",14,-439256.0,0.014
"[-438756, -437756)",6,-438256.0,0.006
"[-437756, -436756)",3,-437256.0,0.003
"[-436756, -435756)",17,-436256.0,0.017
"[-435756, -434756)",5,-435256.0,0.005
"[-434756, -433756)",11,-434256.0,0.011
"[-433756, -432756)",8,-433256.0,0.008
"[-432756, -431756)",14,-432256.0,0.014
"[-431756, -430756)",28,-431256.0,0.028
"[-430756, -429756)",3,-430256.0,0.003
"[-429756, -428756)",0,-429256.0,0.0
"[-428756, -427756)",17,-428256.0,0.017
"[-427756, -426756)",9,-427256.0,0.009
"[-426756, -425756)",26,-426256.0,0.026
"[-425756, -424756)",14,-425256.0,0.014
"[-424756, -423756)",2,-424256.0,0.002
"[-423756, -422756)",7,-423256.0,0.007
"[-422756, -421756)",20,-422256.0,0.02
"[-421756, -420756)",20,-421256.0,0.02
"[-420756, -419756)",27,-420256.0,0.027
"[-419756, -418756)",8,-419256.0,0.008
"[-418756, -417756)",21,-418256.0,0.021
"[-417756, -416756)",6,-417256.0,0.006
"[-416756, -415756)",9,-416256.0,0.009
"[-415756, -414756)",11,-415256.0,0.011
"[-414756, -413756)",7,-414256.0,0.007
"[-413756, -412756)",24,-413256.0,0.024
"[-412756, -411756)",13,-412256.0,0.013
"[-411756, -410756)",24,-411256.0,0.024
"[-410756, -409756)",11,-410256.0,0.011
"[-409756, -408756)",1,-409256.0,0.001
"[-408756, -407756)",9,-408256.0,0.009
"[-407756, -406756)",1,-407256.0,0.001
"[-406756, -405756)",14,-406256.0,0.014
"[-405756, -404756)",3,-405256.0,0.003
"[-404756, -403756)",4,-404256.0,0.004
"[-403756, -402756)",11,-403256.0,0.011
"[-402756, -401756)",11,-402256.0,0.011
"[-401756, -400756)",6,-401256.0,0.006
"[-400756, -399756)",21,-400256.0,0.021
"[-399756, -398756)",26,-399256.0,0.026
"[-398756, -397756)",12,-398256.0,0.012
"[-397756, -396756)",3,-397256.0,0.003
"[-396756, -395756)",8,-396256.0,0.008
"[-395756, -394756)",20,-395256.0,0.02
"[-394756, -393756)",7,-394256.0,0.007
"[-393756, -392756)",17,-393256.0,0.017
"[-392756, -391756)",14,-392256.0,0.014
"[-391756, -390756)",4,-391256.0,0.004
"[-390756, -389756)",2,-390256.0,0.002
"[-389756, -388756)",7,-389256.0,0.007
"[-388756, -387756)",24,-388256.0,0.024
"[-387756, -386756)",6,-387256.0,0.006
"[-386756, -385756)",14,-386256.0,0.014
"[-385756, -384756)",4,-385256.0,0.004
"[-384756, -383756)",20,-384256.0,0.02
"[-383756, -382756)",9,-383256.0,0.009
"[-382756, -381756)",10,-382256.0,0.01
"[-381756, -380756)",6,-381256.0,0.006
"[-380756, -379756)",21,-380256.0,0.021
"[-379756, -378756)",6,-379256.0,0.006
"[-378756, -377756)",28,-378256.0,0.028
"[-377756, -376756)",27,-377256.0,0.027
"[-376756, -375756)",14,-376256.0,0.014
"[-375756, -374756)",3,-375256.0,0.003
"[-374756, -373756)",13,-374256.0,0.013
"[-373756, -372756)",15,-373256.0,0.015
"[-372756, -371756)",6,-372256.0,0.006
"[-371756, -370756)",7,-371256.0,0.007
"[-370756, -369756)",4,-370256.0,0.004
"[-369756, -368756)",1,-369256.0,0.001
"[-368756, -367756)",24,-368256.0,0.024
"[-367756, -366756)",2,-367256.0,0.002
"[-366756, -365756)",17,-366256.0,0.017
"[-365756, -364756)",4,-365256.0,0.004
"[-364756, -363756)",9,-364256.0,0.009
"[-363756, -362756)",11,-363256.0,0.011
"[-362756, -361756)",12,-362256.0,0.012
"[-361756, -360756)",8,-361256.0,0.008
"[-360756, -359756)",26,-360256.0,0.026
"[-359756, -358756)",3,-359256.0,0.003
"[-358756, -357756)",6,-358256.0,0.006
"[-357756, -356756)",8,-357256.0,0.008
"[-356756, -355756)",14,-356256.0,0.014
"[-355756, -354756)",7,-355256.0,0.007
"[-354756, -353756)",22,-354256.0,0.022
"[-353756, -352756)",18,-353256.0,0.018
"[-352756, -351756)",5,-352256.0,0.005
"[-351756, -350756)",8,-351256.0,0.008
"[-350756, -349756)",15,-350256.0,0.015
"[-349756, -348756)",8,-349256.0,0.008
"[-348756, -347756)",4,-348256.0,0.004
"[-347756, -346756)",8,-347256.0,0.008
"[-346756, -345756)",4,-346256.0,0.004
"[-345756, -344756)",11,-345256.0,0.011
"[-344756, -343756)",21,-344256.0,0.021
"[-343756, -342756)",18,-343256.0,0.018
"[-342756, -341756)",17,-342256.0,0.017
"[-341756, -340756)",11,-341256.0,0.011
"[-340756, -339756)",4,-340256.0,0.004
"[-339756, -338756)",10,-339256.0,0.01
"[-338756, -337756)",17,-338256.0,0.017
"[-337756, -336756)",8,-337256.0,0.008
"[-336756, -335756)",12,-336256.0,0.012
"[-335756, -334756)",9,-335256.0,0.009
"[-334756, -333756)",4,-334256.0,0.004
"[-333756, -332756)",4,-333256.0,0.004
"[-332756, -331756)",8,-332256.0,0.008
"[-331756, -330756)",11,-331256.0,0.011
"[-330756, -329756)",11,-330256.0,0.011
"[-329756, -328756)",24,-329256.0,0.024
"[-328756, -327756)",20,-328256.0,0.02
"[-327756, -326756)",2,-327256.0,0.002
"[-326756, -325756)",1,-326256.0,0.001
"[-325756, -324756)",5,-325256.0,0.005
"[-324756, -323756)",8,-324256.0,0.008
"[-323756, -322756)",10,-323256.0,0.01
"[-322756, -321756)",18,-322256.0,0.018
"[-321756, -320756)",15,-321256.0,0.015
"[-320756, -319756)",17,-320256.0,0.017
"[-319756, -318756)",1,-319256.0,0.001
"[-318756, -317756)",16,-318256.0,0.016
"[-317756, -316756)",16,-317256.0,0.016
"[-316756, -315756)",11,-316256.0,0.011
"[-315756, -314756)",8,-315256.0,0.008
"[-314756, -313756)",5,-314256.0,0.005
"[-313756, -312756)",14,-313256.0,0.014
"[-312756, -311756)",4,-312256.0,0.004
"[-311756, -310756)",20,-311256.0,0.02
"[-310756, -309756)",9,-310256.0,0.009
"[-309756, -308756)",5,-309256.0,0.005
