Distance_Bin,Value,Bin_Center,Density_per_bp
"[-151863, -150863)",0,-151363.0,0.0
"[-150863, -149863)",67,-150363.0,0.067
"[-149863, -148863)",26,-149363.0,0.026
"[-148863, -147863)",81,-148363.0,0.081
"[-147863, -146863)",89,-147363.0,0.089
"[-146863, -145863)",21,-146363.0,0.021
"[-145863, -144863)",76,-145363.0,0.076
"[-144863, -143863)",81,-144363.0,0.081
"[-143863, -142863)",41,-143363.0,0.041
"[-142863, -141863)",54,-142363.0,0.054
"[-141863, -140863)",64,-141363.0,0.064
"[-140863, -139863)",35,-140363.0,0.035
"[-139863, -138863)",46,-139363.0,0.046
"[-138863, -137863)",14,-138363.0,0.014
"[-137863, -136863)",39,-137363.0,0.039
"[-136863, -135863)",20,-136363.0,0.02
"[-135863, -134863)",56,-135363.0,0.056
"[-134863, -133863)",46,-134363.0,0.046
"[-133863, -132863)",80,-133363.0,0.08
"[-132863, -131863)",35,-132363.0,0.035
"[-131863, -130863)",33,-131363.0,0.033
"[-130863, -129863)",31,-130363.0,0.031
"[-129863, -128863)",42,-129363.0,0.042
"[-128863, -127863)",48,-128363.0,0.048
"[-127863, -126863)",18,-127363.0,0.018
"[-126863, -125863)",9,-126363.0,0.009
"[-125863, -124863)",38,-125363.0,0.038
"[-124863, -123863)",5,-124363.0,0.005
"[-123863, -122863)",54,-123363.0,0.054
"[-122863, -121863)",49,-122363.0,0.049
"[-121863, -120863)",71,-121363.0,0.071
"[-120863, -119863)",25,-120363.0,0.025
"[-119863, -118863)",5,-119363.0,0.005
"[-118863, -117863)",9,-118363.0,0.009
"[-117863, -116863)",17,-117363.0,0.017
"[-116863, -115863)",10,-116363.0,0.01
"[-115863, -114863)",51,-115363.0,0.051
"[-114863, -113863)",24,-114363.0,0.024
"[-113863, -112863)",36,-113363.0,0.036
"[-112863, -111863)",41,-112363.0,0.041
"[-111863, -110863)",47,-111363.0,0.047
"[-110863, -109863)",14,-110363.0,0.014
"[-109863, -108863)",46,-109363.0,0.046
"[-108863, -107863)",18,-108363.0,0.018
"[-107863, -106863)",58,-107363.0,0.058
"[-106863, -105863)",29,-106363.0,0.029
"[-105863, -104863)",5,-105363.0,0.005
"[-104863, -103863)",9,-104363.0,0.009
"[-103863, -102863)",1,-103363.0,0.001
"[-102863, -101863)",16,-102363.0,0.016
"[-101863, -100863)",70,-101363.0,0.07
"[-100863, -99863)",0,-100363.0,0.0
"[-99863, -98863)",34,-99363.0,0.034
"[-98863, -97863)",4,-98363.0,0.004
"[-97863, -96863)",28,-97363.0,0.028
"[-96863, -95863)",68,-96363.0,0.068
"[-95863, -94863)",38,-95363.0,0.038
"[-94863, -93863)",28,-94363.0,0.028
"[-93863, -92863)",3,-93363.0,0.003
"[-92863, -91863)",35,-92363.0,0.035
"[-91863, -90863)",18,-91363.0,0.018
"[-90863, -89863)",31,-90363.0,0.031
"[-89863, -88863)",24,-89363.0,0.024
"[-88863, -87863)",22,-88363.0,0.022
"[-87863, -86863)",9,-87363.0,0.009
"[-86863, -85863)",42,-86363.0,0.042
"[-85863, -84863)",30,-85363.0,0.03
"[-84863, -83863)",10,-84363.0,0.01
"[-83863, -82863)",13,-83363.0,0.013
"[-82863, -81863)",16,-82363.0,0.016
"[-81863, -80863)",12,-81363.0,0.012
"[-80863, -79863)",4,-80363.0,0.004
"[-79863, -78863)",22,-79363.0,0.022
"[-78863, -77863)",8,-78363.0,0.008
"[-77863, -76863)",18,-77363.0,0.018
"[-76863, -75863)",4,-76363.0,0.004
"[-75863, -74863)",0,-75363.0,0.0
"[-74863, -73863)",39,-74363.0,0.039
"[-73863, -72863)",9,-73363.0,0.009
"[-72863, -71863)",13,-72363.0,0.013
"[-71863, -70863)",27,-71363.0,0.027
"[-70863, -69863)",94,-70363.0,0.094
"[-69863, -68863)",17,-69363.0,0.017
"[-68863, -67863)",38,-68363.0,0.038
"[-67863, -66863)",106,-67363.0,0.106
"[-66863, -65863)",44,-66363.0,0.044
"[-65863, -64863)",16,-65363.0,0.016
"[-64863, -63863)",16,-64363.0,0.016
"[-63863, -62863)",10,-63363.0,0.01
"[-62863, -61863)",28,-62363.0,0.028
"[-61863, -60863)",12,-61363.0,0.012
"[-60863, -59863)",67,-60363.0,0.067
"[-59863, -58863)",31,-59363.0,0.031
"[-58863, -57863)",45,-58363.0,0.045
"[-57863, -56863)",2,-57363.0,0.002
"[-56863, -55863)",36,-56363.0,0.036
"[-55863, -54863)",11,-55363.0,0.011
"[-54863, -53863)",20,-54363.0,0.02
"[-53863, -52863)",37,-53363.0,0.037
"[-52863, -51863)",111,-52363.0,0.111
"[-51863, -50863)",64,-51363.0,0.064
"[-50863, -49863)",40,-50363.0,0.04
"[-49863, -48863)",24,-49363.0,0.024
"[-48863, -47863)",8,-48363.0,0.008
"[-47863, -46863)",17,-47363.0,0.017
"[-46863, -45863)",22,-46363.0,0.022
"[-45863, -44863)",29,-45363.0,0.029
"[-44863, -43863)",12,-44363.0,0.012
"[-43863, -42863)",1,-43363.0,0.001
"[-42863, -41863)",109,-42363.0,0.109
"[-41863, -40863)",17,-41363.0,0.017
"[-40863, -39863)",32,-40363.0,0.032
"[-39863, -38863)",20,-39363.0,0.02
"[-38863, -37863)",26,-38363.0,0.026
"[-37863, -36863)",98,-37363.0,0.098
"[-36863, -35863)",35,-36363.0,0.035
"[-35863, -34863)",133,-35363.0,0.133
"[-34863, -33863)",30,-34363.0,0.03
"[-33863, -32863)",15,-33363.0,0.015
"[-32863, -31863)",37,-32363.0,0.037
"[-31863, -30863)",25,-31363.0,0.025
"[-30863, -29863)",20,-30363.0,0.02
"[-29863, -28863)",35,-29363.0,0.035
"[-28863, -27863)",60,-28363.0,0.06
"[-27863, -26863)",10,-27363.0,0.01
"[-26863, -25863)",31,-26363.0,0.031
"[-25863, -24863)",50,-25363.0,0.05
"[-24863, -23863)",55,-24363.0,0.055
"[-23863, -22863)",44,-23363.0,0.044
"[-22863, -21863)",18,-22363.0,0.018
"[-21863, -20863)",36,-21363.0,0.036
"[-20863, -19863)",27,-20363.0,0.027
"[-19863, -18863)",29,-19363.0,0.029
"[-18863, -17863)",4,-18363.0,0.004
"[-17863, -16863)",18,-17363.0,0.018
"[-16863, -15863)",11,-16363.0,0.011
"[-15863, -14863)",67,-15363.0,0.067
