Distance_Bin,Value,Bin_Center,Density_per_bp
"[-465000.0, -455000.0)",0,-460000.0,0.0
"[-455000.0, -445000.0)",0,-450000.0,0.0
"[-445000.0, -435000.0)",59,-440000.0,0.0059
"[-435000.0, -425000.0)",122,-430000.0,0.0122
"[-425000.0, -415000.0)",169,-420000.0,0.0169
"[-415000.0, -405000.0)",154,-410000.0,0.0154
"[-405000.0, -395000.0)",108,-400000.0,0.0108
"[-395000.0, -385000.0)",174,-390000.0,0.0174
"[-385000.0, -375000.0)",151,-380000.0,0.0151
"[-375000.0, -365000.0)",142,-370000.0,0.0142
"[-365000.0, -355000.0)",109,-360000.0,0.0109
"[-355000.0, -345000.0)",122,-350000.0,0.0122
"[-345000.0, -335000.0)",144,-340000.0,0.0144
"[-335000.0, -325000.0)",94,-330000.0,0.0094
"[-325000.0, -315000.0)",79,-320000.0,0.0079
"[-315000.0, -305000.0)",101,-310000.0,0.0101
"[-305000.0, -295000.0)",85,-300000.0,0.0085
"[-295000.0, -285000.0)",87,-290000.0,0.0087
"[-285000.0, -275000.0)",103,-280000.0,0.0103
"[-275000.0, -265000.0)",178,-270000.0,0.0178
"[-265000.0, -255000.0)",70,-260000.0,0.007
"[-255000.0, -245000.0)",101,-250000.0,0.0101
"[-245000.0, -235000.0)",107,-240000.0,0.0107
"[-235000.0, -225000.0)",77,-230000.0,0.0077
"[-225000.0, -215000.0)",120,-220000.0,0.012
"[-215000.0, -205000.0)",99,-210000.0,0.0099
"[-205000.0, -195000.0)",104,-200000.0,0.0104
"[-195000.0, -185000.0)",94,-190000.0,0.0094
"[-185000.0, -175000.0)",120,-180000.0,0.012
"[-175000.0, -165000.0)",68,-170000.0,0.0068
"[-165000.0, -155000.0)",120,-160000.0,0.012
"[-155000.0, -145000.0)",112,-150000.0,0.0112
"[-145000.0, -135000.0)",118,-140000.0,0.0118
"[-135000.0, -125000.0)",96,-130000.0,0.0096
"[-125000.0, -115000.0)",103,-120000.0,0.0103
"[-115000.0, -105000.0)",94,-110000.0,0.0094
"[-105000.0, -95000.0)",116,-100000.0,0.0116
"[-95000.0, -85000.0)",118,-90000.0,0.0118
"[-85000.0, -75000.0)",111,-80000.0,0.0111
"[-75000.0, -65000.0)",134,-70000.0,0.0134
"[-65000.0, -55000.0)",185,-60000.0,0.0185
"[-55000.0, -45000.0)",148,-50000.0,0.0148
"[-45000.0, -35000.0)",126,-40000.0,0.0126
"[-35000.0, -25000.0)",92,-30000.0,0.0092
"[-25000.0, -15000.0)",89,-20000.0,0.0089
"[-15000.0, -5000.0)",151,-10000.0,0.0151
"[-5000.0, 5000.0)",116,0.0,0.0116
"[5000.0, 15000.0)",159,10000.0,0.0159
"[15000.0, 25000.0)",142,20000.0,0.0142
"[25000.0, 35000.0)",100,30000.0,0.01
"[35000.0, 45000.0)",112,40000.0,0.0112
"[45000.0, 55000.0)",112,50000.0,0.0112
"[55000.0, 65000.0)",91,60000.0,0.0091
"[65000.0, 75000.0)",146,70000.0,0.0146
"[75000.0, 85000.0)",187,80000.0,0.0187
"[85000.0, 95000.0)",194,90000.0,0.0194
"[95000.0, 105000.0)",99,100000.0,0.0099
"[105000.0, 115000.0)",76,110000.0,0.0076
"[115000.0, 125000.0)",117,120000.0,0.0117
"[125000.0, 135000.0)",159,130000.0,0.0159
"[135000.0, 145000.0)",130,140000.0,0.013
"[145000.0, 155000.0)",126,150000.0,0.0126
"[155000.0, 165000.0)",140,160000.0,0.014
"[165000.0, 175000.0)",88,170000.0,0.0088
"[175000.0, 185000.0)",107,180000.0,0.0107
"[185000.0, 195000.0)",172,190000.0,0.0172
"[195000.0, 205000.0)",100,200000.0,0.01
"[205000.0, 215000.0)",125,210000.0,0.0125
"[215000.0, 225000.0)",127,220000.0,0.0127
"[225000.0, 235000.0)",20,230000.0,0.002
"[235000.0, 245000.0)",0,240000.0,0.0
"[245000.0, 255000.0)",0,250000.0,0.0
"[255000.0, 265000.0)",0,260000.0,0.0
"[265000.0, 275000.0)",0,270000.0,0.0
"[275000.0, 285000.0)",0,280000.0,0.0
"[285000.0, 295000.0)",0,290000.0,0.0
"[295000.0, 305000.0)",0,300000.0,0.0
"[305000.0, 315000.0)",0,310000.0,0.0
"[315000.0, 325000.0)",0,320000.0,0.0
"[325000.0, 335000.0)",0,330000.0,0.0
"[335000.0, 345000.0)",0,340000.0,0.0
"[345000.0, 355000.0)",0,350000.0,0.0
"[355000.0, 365000.0)",0,360000.0,0.0
"[365000.0, 375000.0)",0,370000.0,0.0
"[375000.0, 385000.0)",0,380000.0,0.0
"[385000.0, 395000.0)",0,390000.0,0.0
"[395000.0, 405000.0)",0,400000.0,0.0
"[405000.0, 415000.0)",0,410000.0,0.0
"[415000.0, 425000.0)",0,420000.0,0.0
"[425000.0, 435000.0)",0,430000.0,0.0
"[435000.0, 445000.0)",0,440000.0,0.0
"[445000.0, 455000.0)",0,450000.0,0.0
"[455000.0, 465000.0)",0,460000.0,0.0
