Distance_Bin,Value,Bin_Center,Density_per_bp
"[-327474, -326474)",0,-326974.0,0.0
"[-326474, -325474)",89,-325974.0,0.089
"[-325474, -324474)",132,-324974.0,0.132
"[-324474, -323474)",12,-323974.0,0.012
"[-323474, -322474)",29,-322974.0,0.029
"[-322474, -321474)",9,-321974.0,0.009
"[-321474, -320474)",58,-320974.0,0.058
"[-320474, -319474)",51,-319974.0,0.051
"[-319474, -318474)",25,-318974.0,0.025
"[-318474, -317474)",0,-317974.0,0.0
"[-317474, -316474)",22,-316974.0,0.022
"[-316474, -315474)",13,-315974.0,0.013
"[-315474, -314474)",33,-314974.0,0.033
"[-314474, -313474)",9,-313974.0,0.009
"[-313474, -312474)",55,-312974.0,0.055
"[-312474, -311474)",16,-311974.0,0.016
"[-311474, -310474)",70,-310974.0,0.07
"[-310474, -309474)",0,-309974.0,0.0
"[-309474, -308474)",24,-308974.0,0.024
"[-308474, -307474)",23,-307974.0,0.023
"[-307474, -306474)",16,-306974.0,0.016
"[-306474, -305474)",44,-305974.0,0.044
"[-305474, -304474)",11,-304974.0,0.011
"[-304474, -303474)",18,-303974.0,0.018
"[-303474, -302474)",167,-302974.0,0.167
"[-302474, -301474)",20,-301974.0,0.02
"[-301474, -300474)",33,-300974.0,0.033
"[-300474, -299474)",40,-299974.0,0.04
"[-299474, -298474)",39,-298974.0,0.039
"[-298474, -297474)",1,-297974.0,0.001
"[-297474, -296474)",6,-296974.0,0.006
"[-296474, -295474)",0,-295974.0,0.0
"[-295474, -294474)",1,-294974.0,0.001
"[-294474, -293474)",68,-293974.0,0.068
"[-293474, -292474)",14,-292974.0,0.014
"[-292474, -291474)",35,-291974.0,0.035
"[-291474, -290474)",6,-290974.0,0.006
"[-290474, -289474)",6,-289974.0,0.006
"[-289474, -288474)",36,-288974.0,0.036
"[-288474, -287474)",29,-287974.0,0.029
"[-287474, -286474)",12,-286974.0,0.012
"[-286474, -285474)",48,-285974.0,0.048
"[-285474, -284474)",39,-284974.0,0.039
"[-284474, -283474)",1,-283974.0,0.001
"[-283474, -282474)",35,-282974.0,0.035
"[-282474, -281474)",3,-281974.0,0.003
"[-281474, -280474)",5,-280974.0,0.005
"[-280474, -279474)",18,-279974.0,0.018
"[-279474, -278474)",51,-278974.0,0.051
"[-278474, -277474)",3,-277974.0,0.003
"[-277474, -276474)",8,-276974.0,0.008
"[-276474, -275474)",26,-275974.0,0.026
