Distance_Bin,Value,Bin_Center,Density_per_bp
"[-149567, -148567)",0,-149067.0,0.0
"[-148567, -147567)",63,-148067.0,0.063
"[-147567, -146567)",66,-147067.0,0.066
"[-146567, -145567)",147,-146067.0,0.147
"[-145567, -144567)",71,-145067.0,0.071
"[-144567, -143567)",258,-144067.0,0.258
"[-143567, -142567)",71,-143067.0,0.071
"[-142567, -141567)",66,-142067.0,0.066
"[-141567, -140567)",27,-141067.0,0.027
"[-140567, -139567)",74,-140067.0,0.074
"[-139567, -138567)",73,-139067.0,0.073
"[-138567, -137567)",64,-138067.0,0.064
"[-137567, -136567)",145,-137067.0,0.145
"[-136567, -135567)",84,-136067.0,0.084
"[-135567, -134567)",36,-135067.0,0.036
"[-134567, -133567)",37,-134067.0,0.037
"[-133567, -132567)",16,-133067.0,0.016
"[-132567, -131567)",33,-132067.0,0.033
"[-131567, -130567)",17,-131067.0,0.017
"[-130567, -129567)",13,-130067.0,0.013
"[-129567, -128567)",9,-129067.0,0.009
"[-128567, -127567)",13,-128067.0,0.013
"[-127567, -126567)",77,-127067.0,0.077
"[-126567, -125567)",54,-126067.0,0.054
"[-125567, -124567)",60,-125067.0,0.06
"[-124567, -123567)",16,-124067.0,0.016
"[-123567, -122567)",31,-123067.0,0.031
"[-122567, -121567)",27,-122067.0,0.027
"[-121567, -120567)",68,-121067.0,0.068
"[-120567, -119567)",61,-120067.0,0.061
"[-119567, -118567)",22,-119067.0,0.022
"[-118567, -117567)",54,-118067.0,0.054
"[-117567, -116567)",17,-117067.0,0.017
"[-116567, -115567)",135,-116067.0,0.135
"[-115567, -114567)",65,-115067.0,0.065
"[-114567, -113567)",42,-114067.0,0.042
"[-113567, -112567)",34,-113067.0,0.034
"[-112567, -111567)",48,-112067.0,0.048
"[-111567, -110567)",54,-111067.0,0.054
"[-110567, -109567)",16,-110067.0,0.016
"[-109567, -108567)",24,-109067.0,0.024
"[-108567, -107567)",15,-108067.0,0.015
"[-107567, -106567)",53,-107067.0,0.053
"[-106567, -105567)",38,-106067.0,0.038
"[-105567, -104567)",72,-105067.0,0.072
"[-104567, -103567)",38,-104067.0,0.038
"[-103567, -102567)",31,-103067.0,0.031
"[-102567, -101567)",59,-102067.0,0.059
"[-101567, -100567)",81,-101067.0,0.081
"[-100567, -99567)",63,-100067.0,0.063
"[-99567, -98567)",96,-99067.0,0.096
"[-98567, -97567)",40,-98067.0,0.04
"[-97567, -96567)",16,-97067.0,0.016
"[-96567, -95567)",65,-96067.0,0.065
"[-95567, -94567)",38,-95067.0,0.038
"[-94567, -93567)",44,-94067.0,0.044
"[-93567, -92567)",69,-93067.0,0.069
"[-92567, -91567)",132,-92067.0,0.132
"[-91567, -90567)",38,-91067.0,0.038
"[-90567, -89567)",69,-90067.0,0.069
"[-89567, -88567)",13,-89067.0,0.013
"[-88567, -87567)",8,-88067.0,0.008
"[-87567, -86567)",42,-87067.0,0.042
"[-86567, -85567)",35,-86067.0,0.035
"[-85567, -84567)",23,-85067.0,0.023
"[-84567, -83567)",71,-84067.0,0.071
"[-83567, -82567)",103,-83067.0,0.103
"[-82567, -81567)",53,-82067.0,0.053
"[-81567, -80567)",46,-81067.0,0.046
"[-80567, -79567)",82,-80067.0,0.082
"[-79567, -78567)",20,-79067.0,0.02
"[-78567, -77567)",15,-78067.0,0.015
"[-77567, -76567)",37,-77067.0,0.037
"[-76567, -75567)",9,-76067.0,0.009
"[-75567, -74567)",74,-75067.0,0.074
"[-74567, -73567)",106,-74067.0,0.106
"[-73567, -72567)",61,-73067.0,0.061
"[-72567, -71567)",52,-72067.0,0.052
"[-71567, -70567)",77,-71067.0,0.077
"[-70567, -69567)",28,-70067.0,0.028
"[-69567, -68567)",52,-69067.0,0.052
"[-68567, -67567)",131,-68067.0,0.131
"[-67567, -66567)",46,-67067.0,0.046
"[-66567, -65567)",25,-66067.0,0.025
"[-65567, -64567)",24,-65067.0,0.024
"[-64567, -63567)",39,-64067.0,0.039
"[-63567, -62567)",39,-63067.0,0.039
"[-62567, -61567)",48,-62067.0,0.048
"[-61567, -60567)",44,-61067.0,0.044
"[-60567, -59567)",26,-60067.0,0.026
"[-59567, -58567)",15,-59067.0,0.015
"[-58567, -57567)",119,-58067.0,0.119
"[-57567, -56567)",9,-57067.0,0.009
"[-56567, -55567)",28,-56067.0,0.028
"[-55567, -54567)",86,-55067.0,0.086
"[-54567, -53567)",43,-54067.0,0.043
"[-53567, -52567)",296,-53067.0,0.296
"[-52567, -51567)",46,-52067.0,0.046
"[-51567, -50567)",78,-51067.0,0.078
"[-50567, -49567)",18,-50067.0,0.018
"[-49567, -48567)",14,-49067.0,0.014
"[-48567, -47567)",5,-48067.0,0.005
"[-47567, -46567)",106,-47067.0,0.106
"[-46567, -45567)",3,-46067.0,0.003
"[-45567, -44567)",53,-45067.0,0.053
"[-44567, -43567)",46,-44067.0,0.046
"[-43567, -42567)",49,-43067.0,0.049
"[-42567, -41567)",103,-42067.0,0.103
"[-41567, -40567)",72,-41067.0,0.072
"[-40567, -39567)",136,-40067.0,0.136
"[-39567, -38567)",21,-39067.0,0.021
"[-38567, -37567)",167,-38067.0,0.167
"[-37567, -36567)",26,-37067.0,0.026
"[-36567, -35567)",35,-36067.0,0.035
"[-35567, -34567)",26,-35067.0,0.026
"[-34567, -33567)",61,-34067.0,0.061
"[-33567, -32567)",71,-33067.0,0.071
"[-32567, -31567)",27,-32067.0,0.027
"[-31567, -30567)",26,-31067.0,0.026
"[-30567, -29567)",48,-30067.0,0.048
"[-29567, -28567)",74,-29067.0,0.074
"[-28567, -27567)",9,-28067.0,0.009
"[-27567, -26567)",23,-27067.0,0.023
"[-26567, -25567)",12,-26067.0,0.012
"[-25567, -24567)",132,-25067.0,0.132
"[-24567, -23567)",113,-24067.0,0.113
"[-23567, -22567)",4,-23067.0,0.004
"[-22567, -21567)",51,-22067.0,0.051
"[-21567, -20567)",71,-21067.0,0.071
"[-20567, -19567)",170,-20067.0,0.17
"[-19567, -18567)",139,-19067.0,0.139
"[-18567, -17567)",43,-18067.0,0.043
"[-17567, -16567)",117,-17067.0,0.117
"[-16567, -15567)",23,-16067.0,0.023
"[-15567, -14567)",25,-15067.0,0.025
"[-14567, -13567)",32,-14067.0,0.032
"[-13567, -12567)",73,-13067.0,0.073
"[-12567, -11567)",123,-12067.0,0.123
"[-11567, -10567)",121,-11067.0,0.121
"[-10567, -9567)",129,-10067.0,0.129
"[-9567, -8567)",70,-9067.0,0.07
"[-8567, -7567)",51,-8067.0,0.051
"[-7567, -6567)",45,-7067.0,0.045
"[-6567, -5567)",22,-6067.0,0.022
"[-5567, -4567)",26,-5067.0,0.026
"[-4567, -3567)",91,-4067.0,0.091
"[-3567, -2567)",18,-3067.0,0.018
"[-2567, -1567)",22,-2067.0,0.022
"[-1567, -567)",85,-1067.0,0.085
"[-567, 433)",137,-67.0,0.137
"[433, 1433)",80,933.0,0.08
"[1433, 2433)",13,1933.0,0.013
"[2433, 3433)",60,2933.0,0.06
"[3433, 4433)",64,3933.0,0.064
"[4433, 5433)",80,4933.0,0.08
"[5433, 6433)",21,5933.0,0.021
"[6433, 7433)",42,6933.0,0.042
"[7433, 8433)",116,7933.0,0.116
"[8433, 9433)",185,8933.0,0.185
"[9433, 10433)",61,9933.0,0.061
