Distance_Bin,Value,Bin_Center,Density_per_bp
"[-556948, -555948)",0,-556448.0,0.0
"[-555948, -554948)",294,-555448.0,0.294
"[-554948, -553948)",105,-554448.0,0.105
"[-553948, -552948)",187,-553448.0,0.187
"[-552948, -551948)",1166,-552448.0,1.166
"[-551948, -550948)",158,-551448.0,0.158
"[-550948, -549948)",89,-550448.0,0.089
"[-549948, -548948)",1260,-549448.0,1.26
"[-548948, -547948)",70,-548448.0,0.07
"[-547948, -546948)",155,-547448.0,0.155
"[-546948, -545948)",111,-546448.0,0.111
"[-545948, -544948)",120,-545448.0,0.12
"[-544948, -543948)",217,-544448.0,0.217
"[-543948, -542948)",80,-543448.0,0.08
"[-542948, -541948)",86,-542448.0,0.086
"[-541948, -540948)",269,-541448.0,0.269
"[-540948, -539948)",42,-540448.0,0.042
"[-539948, -538948)",114,-539448.0,0.114
"[-538948, -537948)",236,-538448.0,0.236
"[-537948, -536948)",42,-537448.0,0.042
"[-536948, -535948)",185,-536448.0,0.185
"[-535948, -534948)",37,-535448.0,0.037
"[-534948, -533948)",203,-534448.0,0.203
"[-533948, -532948)",478,-533448.0,0.478
"[-532948, -531948)",83,-532448.0,0.083
"[-531948, -530948)",171,-531448.0,0.171
"[-530948, -529948)",53,-530448.0,0.053
"[-529948, -528948)",102,-529448.0,0.102
"[-528948, -527948)",68,-528448.0,0.068
"[-527948, -526948)",171,-527448.0,0.171
"[-526948, -525948)",266,-526448.0,0.266
"[-525948, -524948)",71,-525448.0,0.071
"[-524948, -523948)",9,-524448.0,0.009
"[-523948, -522948)",163,-523448.0,0.163
"[-522948, -521948)",95,-522448.0,0.095
"[-521948, -520948)",342,-521448.0,0.342
"[-520948, -519948)",146,-520448.0,0.146
"[-519948, -518948)",5,-519448.0,0.005
"[-518948, -517948)",103,-518448.0,0.103
"[-517948, -516948)",146,-517448.0,0.146
"[-516948, -515948)",44,-516448.0,0.044
"[-515948, -514948)",188,-515448.0,0.188
"[-514948, -513948)",87,-514448.0,0.087
"[-513948, -512948)",45,-513448.0,0.045
"[-512948, -511948)",84,-512448.0,0.084
"[-511948, -510948)",16,-511448.0,0.016
"[-510948, -509948)",74,-510448.0,0.074
"[-509948, -508948)",215,-509448.0,0.215
"[-508948, -507948)",84,-508448.0,0.084
"[-507948, -506948)",118,-507448.0,0.118
"[-506948, -505948)",79,-506448.0,0.079
"[-505948, -504948)",11,-505448.0,0.011
"[-504948, -503948)",69,-504448.0,0.069
"[-503948, -502948)",158,-503448.0,0.158
"[-502948, -501948)",144,-502448.0,0.144
"[-501948, -500948)",156,-501448.0,0.156
"[-500948, -499948)",263,-500448.0,0.263
"[-499948, -498948)",149,-499448.0,0.149
"[-498948, -497948)",2396,-498448.0,2.396
"[-497948, -496948)",893,-497448.0,0.893
"[-496948, -495948)",149,-496448.0,0.149
"[-495948, -494948)",70,-495448.0,0.07
"[-494948, -493948)",133,-494448.0,0.133
"[-493948, -492948)",47,-493448.0,0.047
"[-492948, -491948)",109,-492448.0,0.109
"[-491948, -490948)",53,-491448.0,0.053
"[-490948, -489948)",33,-490448.0,0.033
"[-489948, -488948)",22,-489448.0,0.022
"[-488948, -487948)",138,-488448.0,0.138
"[-487948, -486948)",33,-487448.0,0.033
"[-486948, -485948)",75,-486448.0,0.075
"[-485948, -484948)",10,-485448.0,0.01
"[-484948, -483948)",51,-484448.0,0.051
"[-483948, -482948)",65,-483448.0,0.065
"[-482948, -481948)",139,-482448.0,0.139
"[-481948, -480948)",186,-481448.0,0.186
"[-480948, -479948)",1403,-480448.0,1.403
"[-479948, -478948)",253,-479448.0,0.253
"[-478948, -477948)",115,-478448.0,0.115
"[-477948, -476948)",9,-477448.0,0.009
"[-476948, -475948)",100,-476448.0,0.1
"[-475948, -474948)",25,-475448.0,0.025
"[-474948, -473948)",114,-474448.0,0.114
"[-473948, -472948)",294,-473448.0,0.294
"[-472948, -471948)",69,-472448.0,0.069
"[-471948, -470948)",69,-471448.0,0.069
"[-470948, -469948)",178,-470448.0,0.178
"[-469948, -468948)",67893,-469448.0,67.893
"[-468948, -467948)",211,-468448.0,0.211
"[-467948, -466948)",103,-467448.0,0.103
"[-466948, -465948)",8,-466448.0,0.008
"[-465948, -464948)",6,-465448.0,0.006
"[-464948, -463948)",31,-464448.0,0.031
"[-463948, -462948)",30,-463448.0,0.03
"[-462948, -461948)",28,-462448.0,0.028
"[-461948, -460948)",7,-461448.0,0.007
"[-460948, -459948)",84,-460448.0,0.084
"[-459948, -458948)",170,-459448.0,0.17
"[-458948, -457948)",60,-458448.0,0.06
"[-457948, -456948)",185,-457448.0,0.185
"[-456948, -455948)",104,-456448.0,0.104
"[-455948, -454948)",41,-455448.0,0.041
"[-454948, -453948)",27,-454448.0,0.027
"[-453948, -452948)",146,-453448.0,0.146
"[-452948, -451948)",42,-452448.0,0.042
"[-451948, -450948)",30,-451448.0,0.03
"[-450948, -449948)",189,-450448.0,0.189
"[-449948, -448948)",267,-449448.0,0.267
"[-448948, -447948)",70,-448448.0,0.07
"[-447948, -446948)",188,-447448.0,0.188
"[-446948, -445948)",9,-446448.0,0.009
"[-445948, -444948)",19,-445448.0,0.019
"[-444948, -443948)",4,-444448.0,0.004
"[-443948, -442948)",64,-443448.0,0.064
"[-442948, -441948)",22,-442448.0,0.022
"[-441948, -440948)",101,-441448.0,0.101
"[-440948, -439948)",83,-440448.0,0.083
"[-439948, -438948)",286,-439448.0,0.286
