Distance_Bin,Value,Bin_Center,Density_per_bp
"[-497957, -496957)",0,-497457.0,0.0
"[-496957, -495957)",41,-496457.0,0.041
"[-495957, -494957)",0,-495457.0,0.0
"[-494957, -493957)",0,-494457.0,0.0
"[-493957, -492957)",0,-493457.0,0.0
"[-492957, -491957)",0,-492457.0,0.0
"[-491957, -490957)",0,-491457.0,0.0
"[-490957, -489957)",12,-490457.0,0.012
"[-489957, -488957)",26,-489457.0,0.026
"[-488957, -487957)",16,-488457.0,0.016
"[-487957, -486957)",6,-487457.0,0.006
"[-486957, -485957)",35,-486457.0,0.035
"[-485957, -484957)",19,-485457.0,0.019
"[-484957, -483957)",27,-484457.0,0.027
"[-483957, -482957)",13,-483457.0,0.013
"[-482957, -481957)",46,-482457.0,0.046
"[-481957, -480957)",33,-481457.0,0.033
"[-480957, -479957)",29,-480457.0,0.029
"[-479957, -478957)",27,-479457.0,0.027
"[-478957, -477957)",32,-478457.0,0.032
"[-477957, -476957)",27,-477457.0,0.027
"[-476957, -475957)",56,-476457.0,0.056
"[-475957, -474957)",34,-475457.0,0.034
"[-474957, -473957)",57,-474457.0,0.057
"[-473957, -472957)",69,-473457.0,0.069
"[-472957, -471957)",35,-472457.0,0.035
"[-471957, -470957)",39,-471457.0,0.039
"[-470957, -469957)",12,-470457.0,0.012
"[-469957, -468957)",43,-469457.0,0.043
"[-468957, -467957)",29,-468457.0,0.029
"[-467957, -466957)",20,-467457.0,0.02
"[-466957, -465957)",19,-466457.0,0.019
"[-465957, -464957)",17,-465457.0,0.017
"[-464957, -463957)",21,-464457.0,0.021
"[-463957, -462957)",15,-463457.0,0.015
"[-462957, -461957)",34,-462457.0,0.034
"[-461957, -460957)",52,-461457.0,0.052
"[-460957, -459957)",21,-460457.0,0.021
"[-459957, -458957)",13,-459457.0,0.013
"[-458957, -457957)",31,-458457.0,0.031
"[-457957, -456957)",14,-457457.0,0.014
"[-456957, -455957)",10,-456457.0,0.01
"[-455957, -454957)",23,-455457.0,0.023
"[-454957, -453957)",10,-454457.0,0.01
"[-453957, -452957)",14,-453457.0,0.014
"[-452957, -451957)",16,-452457.0,0.016
"[-451957, -450957)",34,-451457.0,0.034
"[-450957, -449957)",8,-450457.0,0.008
"[-449957, -448957)",7,-449457.0,0.007
"[-448957, -447957)",15,-448457.0,0.015
"[-447957, -446957)",18,-447457.0,0.018
"[-446957, -445957)",17,-446457.0,0.017
"[-445957, -444957)",12,-445457.0,0.012
"[-444957, -443957)",31,-444457.0,0.031
"[-443957, -442957)",27,-443457.0,0.027
"[-442957, -441957)",34,-442457.0,0.034
"[-441957, -440957)",26,-441457.0,0.026
"[-440957, -439957)",32,-440457.0,0.032
"[-439957, -438957)",12,-439457.0,0.012
"[-438957, -437957)",14,-438457.0,0.014
"[-437957, -436957)",4,-437457.0,0.004
"[-436957, -435957)",25,-436457.0,0.025
"[-435957, -434957)",11,-435457.0,0.011
"[-434957, -433957)",28,-434457.0,0.028
"[-433957, -432957)",25,-433457.0,0.025
"[-432957, -431957)",21,-432457.0,0.021
"[-431957, -430957)",33,-431457.0,0.033
"[-430957, -429957)",14,-430457.0,0.014
"[-429957, -428957)",19,-429457.0,0.019
"[-428957, -427957)",23,-428457.0,0.023
"[-427957, -426957)",33,-427457.0,0.033
"[-426957, -425957)",27,-426457.0,0.027
"[-425957, -424957)",20,-425457.0,0.02
"[-424957, -423957)",15,-424457.0,0.015
"[-423957, -422957)",40,-423457.0,0.04
"[-422957, -421957)",60,-422457.0,0.06
"[-421957, -420957)",21,-421457.0,0.021
"[-420957, -419957)",48,-420457.0,0.048
"[-419957, -418957)",10,-419457.0,0.01
"[-418957, -417957)",36,-418457.0,0.036
"[-417957, -416957)",19,-417457.0,0.019
"[-416957, -415957)",25,-416457.0,0.025
"[-415957, -414957)",38,-415457.0,0.038
"[-414957, -413957)",27,-414457.0,0.027
"[-413957, -412957)",20,-413457.0,0.02
"[-412957, -411957)",27,-412457.0,0.027
"[-411957, -410957)",27,-411457.0,0.027
"[-410957, -409957)",18,-410457.0,0.018
"[-409957, -408957)",22,-409457.0,0.022
"[-408957, -407957)",12,-408457.0,0.012
"[-407957, -406957)",7,-407457.0,0.007
"[-406957, -405957)",14,-406457.0,0.014
"[-405957, -404957)",13,-405457.0,0.013
"[-404957, -403957)",14,-404457.0,0.014
"[-403957, -402957)",28,-403457.0,0.028
"[-402957, -401957)",32,-402457.0,0.032
"[-401957, -400957)",11,-401457.0,0.011
"[-400957, -399957)",32,-400457.0,0.032
"[-399957, -398957)",42,-399457.0,0.042
"[-398957, -397957)",32,-398457.0,0.032
"[-397957, -396957)",4,-397457.0,0.004
"[-396957, -395957)",18,-396457.0,0.018
"[-395957, -394957)",8,-395457.0,0.008
"[-394957, -393957)",10,-394457.0,0.01
"[-393957, -392957)",25,-393457.0,0.025
"[-392957, -391957)",21,-392457.0,0.021
"[-391957, -390957)",5,-391457.0,0.005
"[-390957, -389957)",7,-390457.0,0.007
"[-389957, -388957)",25,-389457.0,0.025
"[-388957, -387957)",31,-388457.0,0.031
"[-387957, -386957)",17,-387457.0,0.017
"[-386957, -385957)",30,-386457.0,0.03
"[-385957, -384957)",29,-385457.0,0.029
"[-384957, -383957)",25,-384457.0,0.025
"[-383957, -382957)",25,-383457.0,0.025
"[-382957, -381957)",22,-382457.0,0.022
"[-381957, -380957)",50,-381457.0,0.05
"[-380957, -379957)",26,-380457.0,0.026
"[-379957, -378957)",13,-379457.0,0.013
"[-378957, -377957)",34,-378457.0,0.034
"[-377957, -376957)",27,-377457.0,0.027
"[-376957, -375957)",17,-376457.0,0.017
"[-375957, -374957)",18,-375457.0,0.018
"[-374957, -373957)",54,-374457.0,0.054
"[-373957, -372957)",48,-373457.0,0.048
"[-372957, -371957)",48,-372457.0,0.048
"[-371957, -370957)",17,-371457.0,0.017
"[-370957, -369957)",10,-370457.0,0.01
"[-369957, -368957)",6,-369457.0,0.006
"[-368957, -367957)",38,-368457.0,0.038
"[-367957, -366957)",25,-367457.0,0.025
"[-366957, -365957)",25,-366457.0,0.025
"[-365957, -364957)",16,-365457.0,0.016
"[-364957, -363957)",6,-364457.0,0.006
"[-363957, -362957)",23,-363457.0,0.023
"[-362957, -361957)",13,-362457.0,0.013
"[-361957, -360957)",12,-361457.0,0.012
"[-360957, -359957)",22,-360457.0,0.022
"[-359957, -358957)",9,-359457.0,0.009
"[-358957, -357957)",4,-358457.0,0.004
"[-357957, -356957)",11,-357457.0,0.011
"[-356957, -355957)",27,-356457.0,0.027
"[-355957, -354957)",19,-355457.0,0.019
"[-354957, -353957)",26,-354457.0,0.026
"[-353957, -352957)",38,-353457.0,0.038
"[-352957, -351957)",57,-352457.0,0.057
"[-351957, -350957)",13,-351457.0,0.013
"[-350957, -349957)",29,-350457.0,0.029
"[-349957, -348957)",21,-349457.0,0.021
"[-348957, -347957)",12,-348457.0,0.012
"[-347957, -346957)",22,-347457.0,0.022
"[-346957, -345957)",23,-346457.0,0.023
"[-345957, -344957)",10,-345457.0,0.01
"[-344957, -343957)",48,-344457.0,0.048
"[-343957, -342957)",33,-343457.0,0.033
"[-342957, -341957)",52,-342457.0,0.052
"[-341957, -340957)",14,-341457.0,0.014
"[-340957, -339957)",47,-340457.0,0.047
"[-339957, -338957)",42,-339457.0,0.042
"[-338957, -337957)",37,-338457.0,0.037
"[-337957, -336957)",47,-337457.0,0.047
"[-336957, -335957)",22,-336457.0,0.022
"[-335957, -334957)",11,-335457.0,0.011
"[-334957, -333957)",19,-334457.0,0.019
"[-333957, -332957)",12,-333457.0,0.012
"[-332957, -331957)",12,-332457.0,0.012
"[-331957, -330957)",53,-331457.0,0.053
"[-330957, -329957)",104,-330457.0,0.104
"[-329957, -328957)",23,-329457.0,0.023
"[-328957, -327957)",17,-328457.0,0.017
"[-327957, -326957)",7,-327457.0,0.007
"[-326957, -325957)",5,-326457.0,0.005
"[-325957, -324957)",14,-325457.0,0.014
"[-324957, -323957)",21,-324457.0,0.021
"[-323957, -322957)",20,-323457.0,0.02
"[-322957, -321957)",35,-322457.0,0.035
"[-321957, -320957)",37,-321457.0,0.037
"[-320957, -319957)",33,-320457.0,0.033
"[-319957, -318957)",1,-319457.0,0.001
"[-318957, -317957)",11,-318457.0,0.011
"[-317957, -316957)",27,-317457.0,0.027
"[-316957, -315957)",25,-316457.0,0.025
"[-315957, -314957)",18,-315457.0,0.018
"[-314957, -313957)",21,-314457.0,0.021
"[-313957, -312957)",20,-313457.0,0.02
"[-312957, -311957)",6,-312457.0,0.006
"[-311957, -310957)",31,-311457.0,0.031
"[-310957, -309957)",23,-310457.0,0.023
"[-309957, -308957)",7,-309457.0,0.007
"[-308957, -307957)",4,-308457.0,0.004
"[-307957, -306957)",14,-307457.0,0.014
"[-306957, -305957)",31,-306457.0,0.031
"[-305957, -304957)",53,-305457.0,0.053
"[-304957, -303957)",16,-304457.0,0.016
"[-303957, -302957)",26,-303457.0,0.026
"[-302957, -301957)",7,-302457.0,0.007
"[-301957, -300957)",36,-301457.0,0.036
"[-300957, -299957)",31,-300457.0,0.031
"[-299957, -298957)",69,-299457.0,0.069
"[-298957, -297957)",18,-298457.0,0.018
"[-297957, -296957)",33,-297457.0,0.033
"[-296957, -295957)",31,-296457.0,0.031
"[-295957, -294957)",22,-295457.0,0.022
"[-294957, -293957)",36,-294457.0,0.036
"[-293957, -292957)",19,-293457.0,0.019
"[-292957, -291957)",22,-292457.0,0.022
"[-291957, -290957)",36,-291457.0,0.036
"[-290957, -289957)",52,-290457.0,0.052
"[-289957, -288957)",25,-289457.0,0.025
"[-288957, -287957)",29,-288457.0,0.029
"[-287957, -286957)",20,-287457.0,0.02
"[-286957, -285957)",30,-286457.0,0.03
"[-285957, -284957)",26,-285457.0,0.026
"[-284957, -283957)",25,-284457.0,0.025
"[-283957, -282957)",25,-283457.0,0.025
"[-282957, -281957)",20,-282457.0,0.02
"[-281957, -280957)",16,-281457.0,0.016
"[-280957, -279957)",32,-280457.0,0.032
"[-279957, -278957)",74,-279457.0,0.074
"[-278957, -277957)",50,-278457.0,0.05
"[-277957, -276957)",31,-277457.0,0.031
"[-276957, -275957)",69,-276457.0,0.069
"[-275957, -274957)",25,-275457.0,0.025
"[-274957, -273957)",24,-274457.0,0.024
"[-273957, -272957)",18,-273457.0,0.018
"[-272957, -271957)",23,-272457.0,0.023
"[-271957, -270957)",37,-271457.0,0.037
"[-270957, -269957)",38,-270457.0,0.038
"[-269957, -268957)",17,-269457.0,0.017
"[-268957, -267957)",41,-268457.0,0.041
"[-267957, -266957)",42,-267457.0,0.042
"[-266957, -265957)",13,-266457.0,0.013
"[-265957, -264957)",15,-265457.0,0.015
"[-264957, -263957)",22,-264457.0,0.022
"[-263957, -262957)",18,-263457.0,0.018
"[-262957, -261957)",30,-262457.0,0.03
"[-261957, -260957)",15,-261457.0,0.015
"[-260957, -259957)",44,-260457.0,0.044
"[-259957, -258957)",6,-259457.0,0.006
"[-258957, -257957)",26,-258457.0,0.026
"[-257957, -256957)",20,-257457.0,0.02
"[-256957, -255957)",27,-256457.0,0.027
"[-255957, -254957)",17,-255457.0,0.017
"[-254957, -253957)",8,-254457.0,0.008
"[-253957, -252957)",12,-253457.0,0.012
"[-252957, -251957)",34,-252457.0,0.034
"[-251957, -250957)",58,-251457.0,0.058
"[-250957, -249957)",21,-250457.0,0.021
"[-249957, -248957)",19,-249457.0,0.019
"[-248957, -247957)",12,-248457.0,0.012
"[-247957, -246957)",16,-247457.0,0.016
"[-246957, -245957)",17,-246457.0,0.017
"[-245957, -244957)",1,-245457.0,0.001
"[-244957, -243957)",23,-244457.0,0.023
"[-243957, -242957)",34,-243457.0,0.034
"[-242957, -241957)",40,-242457.0,0.04
"[-241957, -240957)",58,-241457.0,0.058
"[-240957, -239957)",25,-240457.0,0.025
"[-239957, -238957)",23,-239457.0,0.023
"[-238957, -237957)",7,-238457.0,0.007
"[-237957, -236957)",16,-237457.0,0.016
"[-236957, -235957)",22,-236457.0,0.022
"[-235957, -234957)",11,-235457.0,0.011
"[-234957, -233957)",12,-234457.0,0.012
"[-233957, -232957)",13,-233457.0,0.013
"[-232957, -231957)",9,-232457.0,0.009
"[-231957, -230957)",25,-231457.0,0.025
"[-230957, -229957)",12,-230457.0,0.012
"[-229957, -228957)",6,-229457.0,0.006
"[-228957, -227957)",1,-228457.0,0.001
"[-227957, -226957)",13,-227457.0,0.013
"[-226957, -225957)",27,-226457.0,0.027
"[-225957, -224957)",138,-225457.0,0.138
"[-224957, -223957)",47,-224457.0,0.047
"[-223957, -222957)",25,-223457.0,0.025
"[-222957, -221957)",15,-222457.0,0.015
"[-221957, -220957)",2,-221457.0,0.002
"[-220957, -219957)",36,-220457.0,0.036
"[-219957, -218957)",23,-219457.0,0.023
"[-218957, -217957)",24,-218457.0,0.024
"[-217957, -216957)",25,-217457.0,0.025
"[-216957, -215957)",22,-216457.0,0.022
"[-215957, -214957)",61,-215457.0,0.061
"[-214957, -213957)",24,-214457.0,0.024
"[-213957, -212957)",20,-213457.0,0.02
"[-212957, -211957)",24,-212457.0,0.024
"[-211957, -210957)",26,-211457.0,0.026
"[-210957, -209957)",27,-210457.0,0.027
"[-209957, -208957)",54,-209457.0,0.054
"[-208957, -207957)",34,-208457.0,0.034
"[-207957, -206957)",32,-207457.0,0.032
"[-206957, -205957)",14,-206457.0,0.014
"[-205957, -204957)",24,-205457.0,0.024
"[-204957, -203957)",14,-204457.0,0.014
"[-203957, -202957)",38,-203457.0,0.038
"[-202957, -201957)",10,-202457.0,0.01
"[-201957, -200957)",34,-201457.0,0.034
"[-200957, -199957)",16,-200457.0,0.016
"[-199957, -198957)",24,-199457.0,0.024
"[-198957, -197957)",2,-198457.0,0.002
"[-197957, -196957)",17,-197457.0,0.017
"[-196957, -195957)",15,-196457.0,0.015
"[-195957, -194957)",24,-195457.0,0.024
"[-194957, -193957)",13,-194457.0,0.013
"[-193957, -192957)",35,-193457.0,0.035
"[-192957, -191957)",20,-192457.0,0.02
"[-191957, -190957)",5,-191457.0,0.005
"[-190957, -189957)",35,-190457.0,0.035
"[-189957, -188957)",27,-189457.0,0.027
"[-188957, -187957)",22,-188457.0,0.022
"[-187957, -186957)",23,-187457.0,0.023
"[-186957, -185957)",36,-186457.0,0.036
"[-185957, -184957)",19,-185457.0,0.019
"[-184957, -183957)",16,-184457.0,0.016
"[-183957, -182957)",33,-183457.0,0.033
"[-182957, -181957)",32,-182457.0,0.032
"[-181957, -180957)",8,-181457.0,0.008
"[-180957, -179957)",18,-180457.0,0.018
"[-179957, -178957)",19,-179457.0,0.019
"[-178957, -177957)",15,-178457.0,0.015
"[-177957, -176957)",61,-177457.0,0.061
"[-176957, -175957)",33,-176457.0,0.033
"[-175957, -174957)",29,-175457.0,0.029
"[-174957, -173957)",25,-174457.0,0.025
"[-173957, -172957)",58,-173457.0,0.058
"[-172957, -171957)",30,-172457.0,0.03
"[-171957, -170957)",37,-171457.0,0.037
"[-170957, -169957)",59,-170457.0,0.059
"[-169957, -168957)",24,-169457.0,0.024
"[-168957, -167957)",42,-168457.0,0.042
"[-167957, -166957)",3,-167457.0,0.003
"[-166957, -165957)",20,-166457.0,0.02
"[-165957, -164957)",15,-165457.0,0.015
"[-164957, -163957)",12,-164457.0,0.012
"[-163957, -162957)",19,-163457.0,0.019
"[-162957, -161957)",32,-162457.0,0.032
"[-161957, -160957)",27,-161457.0,0.027
"[-160957, -159957)",7,-160457.0,0.007
"[-159957, -158957)",16,-159457.0,0.016
"[-158957, -157957)",7,-158457.0,0.007
"[-157957, -156957)",19,-157457.0,0.019
"[-156957, -155957)",7,-156457.0,0.007
"[-155957, -154957)",20,-155457.0,0.02
"[-154957, -153957)",13,-154457.0,0.013
"[-153957, -152957)",20,-153457.0,0.02
"[-152957, -151957)",18,-152457.0,0.018
"[-151957, -150957)",43,-151457.0,0.043
"[-150957, -149957)",35,-150457.0,0.035
"[-149957, -148957)",19,-149457.0,0.019
"[-148957, -147957)",9,-148457.0,0.009
"[-147957, -146957)",28,-147457.0,0.028
"[-146957, -145957)",15,-146457.0,0.015
"[-145957, -144957)",13,-145457.0,0.013
"[-144957, -143957)",56,-144457.0,0.056
"[-143957, -142957)",29,-143457.0,0.029
"[-142957, -141957)",27,-142457.0,0.027
"[-141957, -140957)",35,-141457.0,0.035
"[-140957, -139957)",39,-140457.0,0.039
"[-139957, -138957)",41,-139457.0,0.041
"[-138957, -137957)",37,-138457.0,0.037
"[-137957, -136957)",20,-137457.0,0.02
"[-136957, -135957)",13,-136457.0,0.013
"[-135957, -134957)",14,-135457.0,0.014
"[-134957, -133957)",21,-134457.0,0.021
"[-133957, -132957)",23,-133457.0,0.023
"[-132957, -131957)",23,-132457.0,0.023
"[-131957, -130957)",1,-131457.0,0.001
"[-130957, -129957)",53,-130457.0,0.053
"[-129957, -128957)",12,-129457.0,0.012
"[-128957, -127957)",55,-128457.0,0.055
"[-127957, -126957)",13,-127457.0,0.013
"[-126957, -125957)",23,-126457.0,0.023
"[-125957, -124957)",79,-125457.0,0.079
"[-124957, -123957)",26,-124457.0,0.026
"[-123957, -122957)",23,-123457.0,0.023
"[-122957, -121957)",44,-122457.0,0.044
"[-121957, -120957)",11,-121457.0,0.011
"[-120957, -119957)",20,-120457.0,0.02
"[-119957, -118957)",45,-119457.0,0.045
"[-118957, -117957)",21,-118457.0,0.021
"[-117957, -116957)",19,-117457.0,0.019
"[-116957, -115957)",13,-116457.0,0.013
