Distance_Bin,Value,Bin_Center,Density_per_bp
"[-437303, -436303)",0,-436803.0,0.0
"[-436303, -435303)",569,-435803.0,0.569
"[-435303, -434303)",164,-434803.0,0.164
"[-434303, -433303)",274,-433803.0,0.274
"[-433303, -432303)",2357,-432803.0,2.357
"[-432303, -431303)",282,-431803.0,0.282
"[-431303, -430303)",519,-430803.0,0.519
"[-430303, -429303)",783,-429803.0,0.783
"[-429303, -428303)",302,-428803.0,0.302
"[-428303, -427303)",410,-427803.0,0.41
"[-427303, -426303)",161,-426803.0,0.161
"[-426303, -425303)",239,-425803.0,0.239
"[-425303, -424303)",270,-424803.0,0.27
"[-424303, -423303)",181,-423803.0,0.181
"[-423303, -422303)",96,-422803.0,0.096
"[-422303, -421303)",227,-421803.0,0.227
"[-421303, -420303)",397,-420803.0,0.397
"[-420303, -419303)",358,-419803.0,0.358
"[-419303, -418303)",213,-418803.0,0.213
"[-418303, -417303)",127,-417803.0,0.127
"[-417303, -416303)",238,-416803.0,0.238
"[-416303, -415303)",449,-415803.0,0.449
"[-415303, -414303)",149,-414803.0,0.149
"[-414303, -413303)",601,-413803.0,0.601
"[-413303, -412303)",354,-412803.0,0.354
"[-412303, -411303)",357,-411803.0,0.357
"[-411303, -410303)",73,-410803.0,0.073
"[-410303, -409303)",150,-409803.0,0.15
"[-409303, -408303)",492,-408803.0,0.492
"[-408303, -407303)",230,-407803.0,0.23
"[-407303, -406303)",307,-406803.0,0.307
"[-406303, -405303)",18,-405803.0,0.018
"[-405303, -404303)",480,-404803.0,0.48
"[-404303, -403303)",221,-403803.0,0.221
"[-403303, -402303)",119,-402803.0,0.119
"[-402303, -401303)",105,-401803.0,0.105
"[-401303, -400303)",468,-400803.0,0.468
"[-400303, -399303)",938,-399803.0,0.938
"[-399303, -398303)",449,-398803.0,0.449
"[-398303, -397303)",42,-397803.0,0.042
"[-397303, -396303)",25,-396803.0,0.025
"[-396303, -395303)",62,-395803.0,0.062
"[-395303, -394303)",358,-394803.0,0.358
"[-394303, -393303)",325,-393803.0,0.325
"[-393303, -392303)",118,-392803.0,0.118
"[-392303, -391303)",198,-391803.0,0.198
"[-391303, -390303)",155,-390803.0,0.155
"[-390303, -389303)",11,-389803.0,0.011
"[-389303, -388303)",154,-388803.0,0.154
"[-388303, -387303)",112,-387803.0,0.112
"[-387303, -386303)",200,-386803.0,0.2
"[-386303, -385303)",242,-385803.0,0.242
"[-385303, -384303)",21,-384803.0,0.021
"[-384303, -383303)",0,-383803.0,0.0
"[-383303, -382303)",220,-382803.0,0.22
"[-382303, -381303)",547,-381803.0,0.547
