Distance_Bin,Value,Bin_Center,Density_per_bp
"[-115435, -114435)",0,-114935.0,0.0
"[-114435, -113435)",890,-113935.0,0.89
"[-113435, -112435)",226,-112935.0,0.226
"[-112435, -111435)",325,-111935.0,0.325
"[-111435, -110435)",276,-110935.0,0.276
"[-110435, -109435)",209,-109935.0,0.209
"[-109435, -108435)",80,-108935.0,0.08
"[-108435, -107435)",581,-107935.0,0.581
"[-107435, -106435)",200,-106935.0,0.2
"[-106435, -105435)",171,-105935.0,0.171
"[-105435, -104435)",386,-104935.0,0.386
"[-104435, -103435)",649,-103935.0,0.649
"[-103435, -102435)",221,-102935.0,0.221
"[-102435, -101435)",637,-101935.0,0.637
"[-101435, -100435)",255,-100935.0,0.255
"[-100435, -99435)",317,-99935.0,0.317
"[-99435, -98435)",264,-98935.0,0.264
"[-98435, -97435)",782,-97935.0,0.782
"[-97435, -96435)",1820,-96935.0,1.82
"[-96435, -95435)",698,-95935.0,0.698
"[-95435, -94435)",356,-94935.0,0.356
"[-94435, -93435)",89,-93935.0,0.089
"[-93435, -92435)",95,-92935.0,0.095
"[-92435, -91435)",963,-91935.0,0.963
"[-91435, -90435)",699,-90935.0,0.699
"[-90435, -89435)",2554,-89935.0,2.554
"[-89435, -88435)",434,-88935.0,0.434
"[-88435, -87435)",697,-87935.0,0.697
"[-87435, -86435)",3327,-86935.0,3.327
"[-86435, -85435)",350,-85935.0,0.35
"[-85435, -84435)",474,-84935.0,0.474
"[-84435, -83435)",134,-83935.0,0.134
"[-83435, -82435)",614,-82935.0,0.614
"[-82435, -81435)",220,-81935.0,0.22
"[-81435, -80435)",235,-80935.0,0.235
"[-80435, -79435)",522,-79935.0,0.522
"[-79435, -78435)",273,-78935.0,0.273
"[-78435, -77435)",1156,-77935.0,1.156
"[-77435, -76435)",1106,-76935.0,1.106
"[-76435, -75435)",975,-75935.0,0.975
"[-75435, -74435)",645,-74935.0,0.645
"[-74435, -73435)",611,-73935.0,0.611
"[-73435, -72435)",847,-72935.0,0.847
"[-72435, -71435)",1344,-71935.0,1.344
"[-71435, -70435)",756,-70935.0,0.756
"[-70435, -69435)",702,-69935.0,0.702
"[-69435, -68435)",572,-68935.0,0.572
"[-68435, -67435)",405,-67935.0,0.405
"[-67435, -66435)",1567,-66935.0,1.567
"[-66435, -65435)",801,-65935.0,0.801
"[-65435, -64435)",562,-64935.0,0.562
