Distance_Bin,Value,Bin_Center,Density_per_bp
"[-595000.0, -585000.0)",0,-590000.0,0.0
"[-585000.0, -575000.0)",0,-580000.0,0.0
"[-575000.0, -565000.0)",0,-570000.0,0.0
"[-565000.0, -555000.0)",0,-560000.0,0.0
"[-555000.0, -545000.0)",0,-550000.0,0.0
"[-545000.0, -535000.0)",0,-540000.0,0.0
"[-535000.0, -525000.0)",0,-530000.0,0.0
"[-525000.0, -515000.0)",0,-520000.0,0.0
"[-515000.0, -505000.0)",0,-510000.0,0.0
"[-505000.0, -495000.0)",0,-500000.0,0.0
"[-495000.0, -485000.0)",0,-490000.0,0.0
"[-485000.0, -475000.0)",0,-480000.0,0.0
"[-475000.0, -465000.0)",0,-470000.0,0.0
"[-465000.0, -455000.0)",0,-460000.0,0.0
"[-455000.0, -445000.0)",0,-450000.0,0.0
"[-445000.0, -435000.0)",0,-440000.0,0.0
"[-435000.0, -425000.0)",0,-430000.0,0.0
"[-425000.0, -415000.0)",0,-420000.0,0.0
"[-415000.0, -405000.0)",0,-410000.0,0.0
"[-405000.0, -395000.0)",0,-400000.0,0.0
"[-395000.0, -385000.0)",0,-390000.0,0.0
"[-385000.0, -375000.0)",0,-380000.0,0.0
"[-375000.0, -365000.0)",0,-370000.0,0.0
"[-365000.0, -355000.0)",0,-360000.0,0.0
"[-355000.0, -345000.0)",0,-350000.0,0.0
"[-345000.0, -335000.0)",0,-340000.0,0.0
"[-335000.0, -325000.0)",0,-330000.0,0.0
"[-325000.0, -315000.0)",0,-320000.0,0.0
"[-315000.0, -305000.0)",0,-310000.0,0.0
"[-305000.0, -295000.0)",0,-300000.0,0.0
"[-295000.0, -285000.0)",0,-290000.0,0.0
"[-285000.0, -275000.0)",0,-280000.0,0.0
"[-275000.0, -265000.0)",0,-270000.0,0.0
"[-265000.0, -255000.0)",0,-260000.0,0.0
"[-255000.0, -245000.0)",0,-250000.0,0.0
"[-245000.0, -235000.0)",305,-240000.0,0.0305
"[-235000.0, -225000.0)",920,-230000.0,0.092
"[-225000.0, -215000.0)",425,-220000.0,0.0425
"[-215000.0, -205000.0)",775,-210000.0,0.0775
"[-205000.0, -195000.0)",529,-200000.0,0.0529
"[-195000.0, -185000.0)",462,-190000.0,0.0462
"[-185000.0, -175000.0)",328,-180000.0,0.0328
"[-175000.0, -165000.0)",367,-170000.0,0.0367
"[-165000.0, -155000.0)",334,-160000.0,0.0334
"[-155000.0, -145000.0)",552,-150000.0,0.0552
"[-145000.0, -135000.0)",450,-140000.0,0.045
"[-135000.0, -125000.0)",443,-130000.0,0.0443
"[-125000.0, -115000.0)",498,-120000.0,0.0498
"[-115000.0, -105000.0)",420,-110000.0,0.042
"[-105000.0, -95000.0)",592,-100000.0,0.0592
"[-95000.0, -85000.0)",400,-90000.0,0.04
"[-85000.0, -75000.0)",413,-80000.0,0.0413
"[-75000.0, -65000.0)",655,-70000.0,0.0655
"[-65000.0, -55000.0)",349,-60000.0,0.0349
"[-55000.0, -45000.0)",573,-50000.0,0.0573
"[-45000.0, -35000.0)",856,-40000.0,0.0856
"[-35000.0, -25000.0)",565,-30000.0,0.0565
"[-25000.0, -15000.0)",745,-20000.0,0.0745
"[-15000.0, -5000.0)",547,-10000.0,0.0547
"[-5000.0, 5000.0)",856,0.0,0.0856
"[5000.0, 15000.0)",947,10000.0,0.0947
