Distance_Bin,Value,Bin_Center,Density_per_bp
"[-165000.0, -155000.0)",0,-160000.0,0.0
"[-155000.0, -145000.0)",512,-150000.0,0.0512
"[-145000.0, -135000.0)",962,-140000.0,0.0962
"[-135000.0, -125000.0)",471,-130000.0,0.0471
"[-125000.0, -115000.0)",517,-120000.0,0.0517
"[-115000.0, -105000.0)",407,-110000.0,0.0407
"[-105000.0, -95000.0)",517,-100000.0,0.0517
"[-95000.0, -85000.0)",373,-90000.0,0.0373
"[-85000.0, -75000.0)",506,-80000.0,0.0506
"[-75000.0, -65000.0)",556,-70000.0,0.0556
"[-65000.0, -55000.0)",431,-60000.0,0.0431
"[-55000.0, -45000.0)",635,-50000.0,0.0635
"[-45000.0, -35000.0)",704,-40000.0,0.0704
"[-35000.0, -25000.0)",559,-30000.0,0.0559
"[-25000.0, -15000.0)",525,-20000.0,0.0525
"[-15000.0, -5000.0)",1062,-10000.0,0.1062
"[-5000.0, 5000.0)",625,0.0,0.0625
"[5000.0, 15000.0)",666,10000.0,0.0666
"[15000.0, 25000.0)",696,20000.0,0.0696
"[25000.0, 35000.0)",798,30000.0,0.0798
"[35000.0, 45000.0)",528,40000.0,0.0528
"[45000.0, 55000.0)",599,50000.0,0.0599
"[55000.0, 65000.0)",634,60000.0,0.0634
"[65000.0, 75000.0)",438,70000.0,0.0438
"[75000.0, 85000.0)",733,80000.0,0.0733
"[85000.0, 95000.0)",461,90000.0,0.0461
"[95000.0, 105000.0)",596,100000.0,0.0596
"[105000.0, 115000.0)",588,110000.0,0.0588
"[115000.0, 125000.0)",317,120000.0,0.0317
"[125000.0, 135000.0)",0,130000.0,0.0
"[135000.0, 145000.0)",0,140000.0,0.0
"[145000.0, 155000.0)",0,150000.0,0.0
"[155000.0, 165000.0)",0,160000.0,0.0
