Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",5902,500.0,5.902
"[1000, 2000)",2789,1500.0,2.789
"[2000, 3000)",7470,2500.0,7.47
"[3000, 4000)",14472,3500.0,14.472
"[4000, 5000)",19919,4500.0,19.919
"[5000, 6000)",12661,5500.0,12.661
"[6000, 7000)",3499,6500.0,3.499
"[7000, 8000)",3118,7500.0,3.118
"[8000, 9000)",3158,8500.0,3.158
"[9000, 10000)",736,9500.0,0.736
"[10000, 11000)",1019,10500.0,1.019
"[11000, 12000)",5469,11500.0,5.469
"[12000, 13000)",1746,12500.0,1.746
"[13000, 14000)",5217,13500.0,5.217
"[14000, 15000)",5116,14500.0,5.116
"[15000, 16000)",1698,15500.0,1.698
"[16000, 17000)",42,16500.0,0.042
"[17000, 18000)",1552,17500.0,1.552
"[18000, 19000)",4962,18500.0,4.962
"[19000, 20000)",1210,19500.0,1.21
"[20000, 21000)",1754,20500.0,1.754
"[21000, 22000)",1354,21500.0,1.354
"[22000, 23000)",3157,22500.0,3.157
"[23000, 24000)",11971,23500.0,11.971
"[24000, 25000)",8073,24500.0,8.073
"[25000, 26000)",6788,25500.0,6.788
"[26000, 27000)",32,26500.0,0.032
"[27000, 28000)",18,27500.0,0.018
"[28000, 29000)",14,28500.0,0.014
"[29000, 30000)",9,29500.0,0.009
"[30000, 31000)",36,30500.0,0.036
"[31000, 32000)",48,31500.0,0.048
"[32000, 33000)",694,32500.0,0.694
"[33000, 34000)",13295,33500.0,13.295
"[34000, 35000)",4206,34500.0,4.206
"[35000, 36000)",6682,35500.0,6.682
"[36000, 37000)",5203,36500.0,5.203
"[37000, 38000)",916,37500.0,0.916
"[38000, 39000)",1003,38500.0,1.003
"[39000, 40000)",3062,39500.0,3.062
"[40000, 41000)",1532,40500.0,1.532
"[41000, 42000)",4135,41500.0,4.135
"[42000, 43000)",2,42500.0,0.002
"[43000, 44000)",1533,43500.0,1.533
"[44000, 45000)",953,44500.0,0.953
"[45000, 46000)",865,45500.0,0.865
"[46000, 47000)",2356,46500.0,2.356
"[47000, 48000)",2155,47500.0,2.155
"[48000, 49000)",636,48500.0,0.636
"[49000, 50000)",1829,49500.0,1.829
"[50000, 51000)",328,50500.0,0.328
"[51000, 52000)",1258,51500.0,1.258
"[52000, 53000)",9307,52500.0,9.307
"[53000, 54000)",1913,53500.0,1.913
"[54000, 55000)",2289,54500.0,2.289
"[55000, 56000)",2619,55500.0,2.619
"[56000, 57000)",775,56500.0,0.775
"[57000, 58000)",1489,57500.0,1.489
"[58000, 59000)",5334,58500.0,5.334
"[59000, 60000)",1121,59500.0,1.121
"[60000, 61000)",1078,60500.0,1.078
"[61000, 62000)",3336,61500.0,3.336
"[62000, 63000)",4801,62500.0,4.801
"[63000, 64000)",8595,63500.0,8.595
"[64000, 65000)",679,64500.0,0.679
"[65000, 66000)",1709,65500.0,1.709
"[66000, 67000)",4838,66500.0,4.838
"[67000, 68000)",33,67500.0,0.033
"[68000, 69000)",302,68500.0,0.302
"[69000, 70000)",120,69500.0,0.12
"[70000, 71000)",3202,70500.0,3.202
"[71000, 72000)",2362,71500.0,2.362
"[72000, 73000)",1411,72500.0,1.411
"[73000, 74000)",248,73500.0,0.248
"[74000, 75000)",1666,74500.0,1.666
"[75000, 76000)",1113,75500.0,1.113
"[76000, 77000)",971,76500.0,0.971
"[77000, 78000)",848,77500.0,0.848
"[78000, 79000)",2923,78500.0,2.923
"[79000, 80000)",5889,79500.0,5.889
"[80000, 81000)",574,80500.0,0.574
"[81000, 82000)",91,81500.0,0.091
"[82000, 83000)",1393,82500.0,1.393
"[83000, 84000)",419,83500.0,0.419
"[84000, 85000)",1833,84500.0,1.833
"[85000, 86000)",1599,85500.0,1.599
"[86000, 87000)",3645,86500.0,3.645
"[87000, 88000)",1635,87500.0,1.635
"[88000, 89000)",357,88500.0,0.357
"[89000, 90000)",673,89500.0,0.673
"[90000, 91000)",1968,90500.0,1.968
"[91000, 92000)",768,91500.0,0.768
"[92000, 93000)",633,92500.0,0.633
"[93000, 94000)",25,93500.0,0.025
"[94000, 95000)",806,94500.0,0.806
"[95000, 96000)",2379,95500.0,2.379
"[96000, 97000)",690,96500.0,0.69
"[97000, 98000)",3326,97500.0,3.326
"[98000, 99000)",1327,98500.0,1.327
"[99000, 100000)",2237,99500.0,2.237
"[100000, 101000)",1263,100500.0,1.263
"[101000, 102000)",1394,101500.0,1.394
"[102000, 103000)",1797,102500.0,1.797
"[103000, 104000)",1321,103500.0,1.321
"[104000, 105000)",6067,104500.0,6.067
"[105000, 106000)",5988,105500.0,5.988
"[106000, 107000)",1435,106500.0,1.435
"[107000, 108000)",5495,107500.0,5.495
"[108000, 109000)",1243,108500.0,1.243
"[109000, 110000)",1785,109500.0,1.785
"[110000, 111000)",3200,110500.0,3.2
"[111000, 112000)",1682,111500.0,1.682
"[112000, 113000)",1768,112500.0,1.768
"[113000, 114000)",2666,113500.0,2.666
"[114000, 115000)",1262,114500.0,1.262
"[115000, 116000)",233,115500.0,0.233
"[116000, 117000)",710,116500.0,0.71
"[117000, 118000)",2413,117500.0,2.413
"[118000, 119000)",1047,118500.0,1.047
"[119000, 120000)",1280,119500.0,1.28
"[120000, 121000)",1368,120500.0,1.368
"[121000, 122000)",2876,121500.0,2.876
"[122000, 123000)",728,122500.0,0.728
"[123000, 124000)",690,123500.0,0.69
"[124000, 125000)",740,124500.0,0.74
"[125000, 126000)",817,125500.0,0.817
"[126000, 127000)",2122,126500.0,2.122
"[127000, 128000)",246,127500.0,0.246
"[128000, 129000)",658,128500.0,0.658
"[129000, 130000)",421,129500.0,0.421
"[130000, 131000)",1227,130500.0,1.227
"[131000, 132000)",1250,131500.0,1.25
"[132000, 133000)",332,132500.0,0.332
"[133000, 134000)",1089,133500.0,1.089
"[134000, 135000)",4603,134500.0,4.603
"[135000, 136000)",3329,135500.0,3.329
"[136000, 137000)",887,136500.0,0.887
"[137000, 138000)",0,137500.0,0.0
"[138000, 139000)",0,138500.0,0.0
"[139000, 140000)",0,139500.0,0.0
"[140000, 141000)",0,140500.0,0.0
"[141000, 142000)",0,141500.0,0.0
"[142000, 143000)",0,142500.0,0.0
"[143000, 144000)",5,143500.0,0.005
"[144000, 145000)",62,144500.0,0.062
"[145000, 146000)",164,145500.0,0.164
"[146000, 147000)",529,146500.0,0.529
"[147000, 148000)",59,147500.0,0.059
"[148000, 149000)",0,148500.0,0.0
"[149000, 150000)",0,149500.0,0.0
"[150000, 151000)",1209,150500.0,1.209
"[151000, 152000)",1870,151500.0,1.87
"[152000, 153000)",1123,152500.0,1.123
"[153000, 154000)",991,153500.0,0.991
"[154000, 155000)",787,154500.0,0.787
"[155000, 156000)",2201,155500.0,2.201
