Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",4977,500.0,4.977
"[1000, 2000)",1854,1500.0,1.854
"[2000, 3000)",1243,2500.0,1.243
"[3000, 4000)",2540,3500.0,2.54
"[4000, 5000)",2591,4500.0,2.591
"[5000, 6000)",409,5500.0,0.409
"[6000, 7000)",131,6500.0,0.131
"[7000, 8000)",2762,7500.0,2.762
"[8000, 9000)",5719,8500.0,5.719
"[9000, 10000)",3341,9500.0,3.341
"[10000, 11000)",3795,10500.0,3.795
"[11000, 12000)",2854,11500.0,2.854
"[12000, 13000)",2006,12500.0,2.006
"[13000, 14000)",5033,13500.0,5.033
"[14000, 15000)",3536,14500.0,3.536
"[15000, 16000)",1254,15500.0,1.254
"[16000, 17000)",31141,16500.0,31.141
"[17000, 18000)",2183,17500.0,2.183
"[18000, 19000)",1480,18500.0,1.48
"[19000, 20000)",2963,19500.0,2.963
"[20000, 21000)",1278,20500.0,1.278
"[21000, 22000)",1606,21500.0,1.606
"[22000, 23000)",4581,22500.0,4.581
"[23000, 24000)",687,23500.0,0.687
"[24000, 25000)",981,24500.0,0.981
"[25000, 26000)",516,25500.0,0.516
"[26000, 27000)",528,26500.0,0.528
"[27000, 28000)",2412,27500.0,2.412
"[28000, 29000)",1890,28500.0,1.89
"[29000, 30000)",1363,29500.0,1.363
"[30000, 31000)",312,30500.0,0.312
"[31000, 32000)",5799,31500.0,5.799
"[32000, 33000)",2531,32500.0,2.531
"[33000, 34000)",9,33500.0,0.009
"[34000, 35000)",14,34500.0,0.014
"[35000, 36000)",1570,35500.0,1.57
"[36000, 37000)",1075,36500.0,1.075
"[37000, 38000)",4264,37500.0,4.264
"[38000, 39000)",3437,38500.0,3.437
"[39000, 40000)",543,39500.0,0.543
"[40000, 41000)",132311,40500.0,132.311
"[41000, 42000)",1278,41500.0,1.278
"[42000, 43000)",2234,42500.0,2.234
"[43000, 44000)",477,43500.0,0.477
"[44000, 45000)",894,44500.0,0.894
"[45000, 46000)",2236,45500.0,2.236
"[46000, 47000)",356,46500.0,0.356
"[47000, 48000)",50,47500.0,0.05
"[48000, 49000)",98,48500.0,0.098
"[49000, 50000)",811,49500.0,0.811
"[50000, 51000)",1947,50500.0,1.947
"[51000, 52000)",988,51500.0,0.988
"[52000, 53000)",1204,52500.0,1.204
"[53000, 54000)",1596,53500.0,1.596
"[54000, 55000)",883,54500.0,0.883
"[55000, 56000)",1296,55500.0,1.296
"[56000, 57000)",588,56500.0,0.588
"[57000, 58000)",912,57500.0,0.912
"[58000, 59000)",97,58500.0,0.097
"[59000, 60000)",1744,59500.0,1.744
"[60000, 61000)",566,60500.0,0.566
"[61000, 62000)",1194,61500.0,1.194
"[62000, 63000)",289,62500.0,0.289
"[63000, 64000)",2012,63500.0,2.012
"[64000, 65000)",1159,64500.0,1.159
"[65000, 66000)",590,65500.0,0.59
"[66000, 67000)",1526,66500.0,1.526
"[67000, 68000)",1613,67500.0,1.613
"[68000, 69000)",3115,68500.0,3.115
"[69000, 70000)",3522,69500.0,3.522
"[70000, 71000)",955,70500.0,0.955
"[71000, 72000)",431,71500.0,0.431
"[72000, 73000)",2091,72500.0,2.091
"[73000, 74000)",531,73500.0,0.531
"[74000, 75000)",12,74500.0,0.012
"[75000, 76000)",37,75500.0,0.037
"[76000, 77000)",239,76500.0,0.239
"[77000, 78000)",508,77500.0,0.508
"[78000, 79000)",733,78500.0,0.733
"[79000, 80000)",343,79500.0,0.343
"[80000, 81000)",300,80500.0,0.3
"[81000, 82000)",191,81500.0,0.191
"[82000, 83000)",293,82500.0,0.293
"[83000, 84000)",1230,83500.0,1.23
"[84000, 85000)",253,84500.0,0.253
"[85000, 86000)",1903,85500.0,1.903
"[86000, 87000)",891,86500.0,0.891
"[87000, 88000)",822,87500.0,0.822
"[88000, 89000)",1687,88500.0,1.687
"[89000, 90000)",164,89500.0,0.164
"[90000, 91000)",317,90500.0,0.317
"[91000, 92000)",904,91500.0,0.904
"[92000, 93000)",699,92500.0,0.699
"[93000, 94000)",2245,93500.0,2.245
"[94000, 95000)",1873,94500.0,1.873
"[95000, 96000)",301,95500.0,0.301
"[96000, 97000)",247,96500.0,0.247
"[97000, 98000)",28,97500.0,0.028
"[98000, 99000)",4274,98500.0,4.274
"[99000, 100000)",739,99500.0,0.739
"[100000, 101000)",1439,100500.0,1.439
"[101000, 102000)",1781,101500.0,1.781
"[102000, 103000)",1074,102500.0,1.074
"[103000, 104000)",6848,103500.0,6.848
"[104000, 105000)",2294,104500.0,2.294
"[105000, 106000)",1118,105500.0,1.118
"[106000, 107000)",1248,106500.0,1.248
"[107000, 108000)",23,107500.0,0.023
"[108000, 109000)",11,108500.0,0.011
