Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",1082,500.0,1.082
"[1000, 2000)",3447,1500.0,3.447
"[2000, 3000)",1510,2500.0,1.51
"[3000, 4000)",3295,3500.0,3.295
"[4000, 5000)",248,4500.0,0.248
"[5000, 6000)",1347,5500.0,1.347
"[6000, 7000)",320,6500.0,0.32
"[7000, 8000)",745,7500.0,0.745
"[8000, 9000)",2064,8500.0,2.064
"[9000, 10000)",5416,9500.0,5.416
"[10000, 11000)",2309,10500.0,2.309
"[11000, 12000)",6369,11500.0,6.369
"[12000, 13000)",41,12500.0,0.041
"[13000, 14000)",92,13500.0,0.092
"[14000, 15000)",5031,14500.0,5.031
"[15000, 16000)",907,15500.0,0.907
"[16000, 17000)",1782,16500.0,1.782
"[17000, 18000)",3230,17500.0,3.23
"[18000, 19000)",229,18500.0,0.229
"[19000, 20000)",1741,19500.0,1.741
"[20000, 21000)",342,20500.0,0.342
"[21000, 22000)",415,21500.0,0.415
"[22000, 23000)",594,22500.0,0.594
"[23000, 24000)",465,23500.0,0.465
"[24000, 25000)",9808,24500.0,9.808
"[25000, 26000)",3195,25500.0,3.195
"[26000, 27000)",2653,26500.0,2.653
"[27000, 28000)",2322,27500.0,2.322
"[28000, 29000)",1853,28500.0,1.853
"[29000, 30000)",2328,29500.0,2.328
"[30000, 31000)",3171,30500.0,3.171
"[31000, 32000)",6387,31500.0,6.387
"[32000, 33000)",2259,32500.0,2.259
"[33000, 34000)",589,33500.0,0.589
"[34000, 35000)",2247,34500.0,2.247
"[35000, 36000)",2047,35500.0,2.047
"[36000, 37000)",947,36500.0,0.947
"[37000, 38000)",1147,37500.0,1.147
"[38000, 39000)",598,38500.0,0.598
"[39000, 40000)",4711,39500.0,4.711
"[40000, 41000)",921,40500.0,0.921
"[41000, 42000)",737,41500.0,0.737
"[42000, 43000)",740,42500.0,0.74
"[43000, 44000)",562,43500.0,0.562
"[44000, 45000)",958,44500.0,0.958
"[45000, 46000)",1339,45500.0,1.339
"[46000, 47000)",681,46500.0,0.681
"[47000, 48000)",2971,47500.0,2.971
"[48000, 49000)",1209,48500.0,1.209
"[49000, 50000)",3211,49500.0,3.211
"[50000, 51000)",10277,50500.0,10.277
"[51000, 52000)",788,51500.0,0.788
"[52000, 53000)",401,52500.0,0.401
"[53000, 54000)",731,53500.0,0.731
"[54000, 55000)",719,54500.0,0.719
"[55000, 56000)",670,55500.0,0.67
"[56000, 57000)",1768,56500.0,1.768
