Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",3532,500.0,3.532
"[1000, 2000)",5084,1500.0,5.084
"[2000, 3000)",1578,2500.0,1.578
"[3000, 4000)",199,3500.0,0.199
"[4000, 5000)",4104,4500.0,4.104
"[5000, 6000)",1151,5500.0,1.151
"[6000, 7000)",2267,6500.0,2.267
"[7000, 8000)",2534,7500.0,2.534
"[8000, 9000)",19364,8500.0,19.364
"[9000, 10000)",20826,9500.0,20.826
"[10000, 11000)",9282,10500.0,9.282
"[11000, 12000)",5937,11500.0,5.937
"[12000, 13000)",2994,12500.0,2.994
"[13000, 14000)",9957,13500.0,9.957
"[14000, 15000)",573,14500.0,0.573
"[15000, 16000)",529,15500.0,0.529
"[16000, 17000)",354,16500.0,0.354
"[17000, 18000)",6901,17500.0,6.901
"[18000, 19000)",2428,18500.0,2.428
"[19000, 20000)",3111,19500.0,3.111
"[20000, 21000)",1502,20500.0,1.502
"[21000, 22000)",1512,21500.0,1.512
"[22000, 23000)",6515,22500.0,6.515
"[23000, 24000)",3968,23500.0,3.968
"[24000, 25000)",956,24500.0,0.956
"[25000, 26000)",879,25500.0,0.879
"[26000, 27000)",2710,26500.0,2.71
"[27000, 28000)",959,27500.0,0.959
"[28000, 29000)",1574,28500.0,1.574
"[29000, 30000)",2357,29500.0,2.357
"[30000, 31000)",626,30500.0,0.626
"[31000, 32000)",151,31500.0,0.151
"[32000, 33000)",282,32500.0,0.282
"[33000, 34000)",2873,33500.0,2.873
"[34000, 35000)",323,34500.0,0.323
"[35000, 36000)",7,35500.0,0.007
"[36000, 37000)",0,36500.0,0.0
"[37000, 38000)",2859,37500.0,2.859
"[38000, 39000)",2153,38500.0,2.153
"[39000, 40000)",2083,39500.0,2.083
"[40000, 41000)",2236,40500.0,2.236
"[41000, 42000)",1599,41500.0,1.599
"[42000, 43000)",2824,42500.0,2.824
"[43000, 44000)",6021,43500.0,6.021
"[44000, 45000)",1685,44500.0,1.685
"[45000, 46000)",1220,45500.0,1.22
"[46000, 47000)",1167,46500.0,1.167
"[47000, 48000)",604,47500.0,0.604
"[48000, 49000)",1378,48500.0,1.378
"[49000, 50000)",3670,49500.0,3.67
"[50000, 51000)",1041,50500.0,1.041
"[51000, 52000)",1319,51500.0,1.319
"[52000, 53000)",2037,52500.0,2.037
"[53000, 54000)",2327,53500.0,2.327
