Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",3762,500.0,3.762
"[1000, 2000)",3003,1500.0,3.003
"[2000, 3000)",6981,2500.0,6.981
"[3000, 4000)",3002,3500.0,3.002
"[4000, 5000)",3857,4500.0,3.857
"[5000, 6000)",3966,5500.0,3.966
"[6000, 7000)",585,6500.0,0.585
"[7000, 8000)",4934,7500.0,4.934
"[8000, 9000)",100,8500.0,0.1
"[9000, 10000)",11955,9500.0,11.955
"[10000, 11000)",5334,10500.0,5.334
"[11000, 12000)",5367,11500.0,5.367
"[12000, 13000)",4742,12500.0,4.742
"[13000, 14000)",1328,13500.0,1.328
"[14000, 15000)",1191,14500.0,1.191
"[15000, 16000)",18,15500.0,0.018
"[16000, 17000)",17322,16500.0,17.322
"[17000, 18000)",4945,17500.0,4.945
"[18000, 19000)",6122,18500.0,6.122
"[19000, 20000)",1373,19500.0,1.373
"[20000, 21000)",5970,20500.0,5.97
"[21000, 22000)",178,21500.0,0.178
"[22000, 23000)",358,22500.0,0.358
"[23000, 24000)",1196,23500.0,1.196
"[24000, 25000)",9,24500.0,0.009
"[25000, 26000)",4156,25500.0,4.156
"[26000, 27000)",1337,26500.0,1.337
"[27000, 28000)",1233,27500.0,1.233
"[28000, 29000)",5017,28500.0,5.017
"[29000, 30000)",1355,29500.0,1.355
"[30000, 31000)",1558,30500.0,1.558
"[31000, 32000)",1427,31500.0,1.427
"[32000, 33000)",3382,32500.0,3.382
"[33000, 34000)",2529,33500.0,2.529
"[34000, 35000)",1038,34500.0,1.038
"[35000, 36000)",2253,35500.0,2.253
"[36000, 37000)",848,36500.0,0.848
"[37000, 38000)",125,37500.0,0.125
"[38000, 39000)",5079,38500.0,5.079
"[39000, 40000)",18,39500.0,0.018
"[40000, 41000)",4201,40500.0,4.201
"[41000, 42000)",1311,41500.0,1.311
"[42000, 43000)",177,42500.0,0.177
"[43000, 44000)",3219,43500.0,3.219
"[44000, 45000)",1629,44500.0,1.629
"[45000, 46000)",5787,45500.0,5.787
"[46000, 47000)",289,46500.0,0.289
"[47000, 48000)",28,47500.0,0.028
"[48000, 49000)",59,48500.0,0.059
"[49000, 50000)",26,49500.0,0.026
"[50000, 51000)",41,50500.0,0.041
"[51000, 52000)",295,51500.0,0.295
"[52000, 53000)",354,52500.0,0.354
"[53000, 54000)",1779,53500.0,1.779
"[54000, 55000)",2155,54500.0,2.155
"[55000, 56000)",982,55500.0,0.982
"[56000, 57000)",130,56500.0,0.13
"[57000, 58000)",47,57500.0,0.047
"[58000, 59000)",34,58500.0,0.034
"[59000, 60000)",1581,59500.0,1.581
"[60000, 61000)",386,60500.0,0.386
"[61000, 62000)",2034,61500.0,2.034
"[62000, 63000)",1686,62500.0,1.686
"[63000, 64000)",1999,63500.0,1.999
"[64000, 65000)",1272,64500.0,1.272
"[65000, 66000)",2104,65500.0,2.104
"[66000, 67000)",1095,66500.0,1.095
"[67000, 68000)",3846,67500.0,3.846
"[68000, 69000)",2859,68500.0,2.859
"[69000, 70000)",8765,69500.0,8.765
"[70000, 71000)",6712,70500.0,6.712
"[71000, 72000)",3625,71500.0,3.625
"[72000, 73000)",2494,72500.0,2.494
"[73000, 74000)",655,73500.0,0.655
"[74000, 75000)",1952,74500.0,1.952
"[75000, 76000)",114,75500.0,0.114
"[76000, 77000)",3391,76500.0,3.391
"[77000, 78000)",1028,77500.0,1.028
"[78000, 79000)",2615,78500.0,2.615
"[79000, 80000)",940,79500.0,0.94
"[80000, 81000)",623,80500.0,0.623
"[81000, 82000)",383,81500.0,0.383
"[82000, 83000)",3419,82500.0,3.419
"[83000, 84000)",1406,83500.0,1.406
"[84000, 85000)",5744,84500.0,5.744
"[85000, 86000)",143,85500.0,0.143
"[86000, 87000)",280,86500.0,0.28
"[87000, 88000)",1971,87500.0,1.971
"[88000, 89000)",1370,88500.0,1.37
"[89000, 90000)",1095,89500.0,1.095
"[90000, 91000)",573,90500.0,0.573
"[91000, 92000)",835,91500.0,0.835
"[92000, 93000)",3755,92500.0,3.755
"[93000, 94000)",1392,93500.0,1.392
"[94000, 95000)",898,94500.0,0.898
"[95000, 96000)",2760,95500.0,2.76
"[96000, 97000)",571,96500.0,0.571
"[97000, 98000)",1050,97500.0,1.05
"[98000, 99000)",4490,98500.0,4.49
"[99000, 100000)",1806,99500.0,1.806
"[100000, 101000)",2022,100500.0,2.022
"[101000, 102000)",2097,101500.0,2.097
"[102000, 103000)",1148,102500.0,1.148
"[103000, 104000)",2850,103500.0,2.85
"[104000, 105000)",424,104500.0,0.424
"[105000, 106000)",259,105500.0,0.259
"[106000, 107000)",2961,106500.0,2.961
"[107000, 108000)",11361,107500.0,11.361
"[108000, 109000)",14812,108500.0,14.812
"[109000, 110000)",11455,109500.0,11.455
"[110000, 111000)",7870,110500.0,7.87
"[111000, 112000)",784,111500.0,0.784
"[112000, 113000)",3540,112500.0,3.54
"[113000, 114000)",2329,113500.0,2.329
"[114000, 115000)",700,114500.0,0.7
"[115000, 116000)",1097,115500.0,1.097
"[116000, 117000)",1258,116500.0,1.258
"[117000, 118000)",708,117500.0,0.708
"[118000, 119000)",1197,118500.0,1.197
"[119000, 120000)",1502,119500.0,1.502
"[120000, 121000)",126,120500.0,0.126
"[121000, 122000)",1563,121500.0,1.563
"[122000, 123000)",49,122500.0,0.049
"[123000, 124000)",1595,123500.0,1.595
"[124000, 125000)",612,124500.0,0.612
"[125000, 126000)",1854,125500.0,1.854
"[126000, 127000)",2212,126500.0,2.212
"[127000, 128000)",467,127500.0,0.467
"[128000, 129000)",114,128500.0,0.114
"[129000, 130000)",1450,129500.0,1.45
"[130000, 131000)",1434,130500.0,1.434
"[131000, 132000)",1569,131500.0,1.569
"[132000, 133000)",1348,132500.0,1.348
"[133000, 134000)",588,133500.0,0.588
"[134000, 135000)",31,134500.0,0.031
"[135000, 136000)",1305,135500.0,1.305
"[136000, 137000)",1556,136500.0,1.556
"[137000, 138000)",1110,137500.0,1.11
"[138000, 139000)",433,138500.0,0.433
"[139000, 140000)",1065,139500.0,1.065
"[140000, 141000)",4912,140500.0,4.912
"[141000, 142000)",28,141500.0,0.028
"[142000, 143000)",30,142500.0,0.03
"[143000, 144000)",318,143500.0,0.318
"[144000, 145000)",1271,144500.0,1.271
"[145000, 146000)",1434,145500.0,1.434
"[146000, 147000)",675,146500.0,0.675
"[147000, 148000)",97,147500.0,0.097
"[148000, 149000)",36,148500.0,0.036
"[149000, 150000)",26,149500.0,0.026
"[150000, 151000)",3037,150500.0,3.037
"[151000, 152000)",422,151500.0,0.422
"[152000, 153000)",517,152500.0,0.517
"[153000, 154000)",9,153500.0,0.009
"[154000, 155000)",84,154500.0,0.084
"[155000, 156000)",174,155500.0,0.174
"[156000, 157000)",750,156500.0,0.75
"[157000, 158000)",688,157500.0,0.688
"[158000, 159000)",740,158500.0,0.74
"[159000, 160000)",849,159500.0,0.849
"[160000, 161000)",1205,160500.0,1.205
"[161000, 162000)",6319,161500.0,6.319
"[162000, 163000)",1011,162500.0,1.011
"[163000, 164000)",645,163500.0,0.645
"[164000, 165000)",272,164500.0,0.272
"[165000, 166000)",162,165500.0,0.162
"[166000, 167000)",3604,166500.0,3.604
"[167000, 168000)",46,167500.0,0.046
"[168000, 169000)",461,168500.0,0.461
"[169000, 170000)",738,169500.0,0.738
"[170000, 171000)",1557,170500.0,1.557
"[171000, 172000)",1536,171500.0,1.536
"[172000, 173000)",1186,172500.0,1.186
"[173000, 174000)",1811,173500.0,1.811
"[174000, 175000)",3937,174500.0,3.937
"[175000, 176000)",3249,175500.0,3.249
"[176000, 177000)",209,176500.0,0.209
"[177000, 178000)",809,177500.0,0.809
"[178000, 179000)",998,178500.0,0.998
"[179000, 180000)",1378,179500.0,1.378
"[180000, 181000)",266,180500.0,0.266
"[181000, 182000)",2618,181500.0,2.618
"[182000, 183000)",872,182500.0,0.872
"[183000, 184000)",917,183500.0,0.917
"[184000, 185000)",4536,184500.0,4.536
"[185000, 186000)",2105,185500.0,2.105
"[186000, 187000)",584,186500.0,0.584
"[187000, 188000)",1690,187500.0,1.69
"[188000, 189000)",1129,188500.0,1.129
"[189000, 190000)",1094,189500.0,1.094
"[190000, 191000)",1155,190500.0,1.155
"[191000, 192000)",6976,191500.0,6.976
"[192000, 193000)",1660,192500.0,1.66
"[193000, 194000)",4408,193500.0,4.408
"[194000, 195000)",713,194500.0,0.713
"[195000, 196000)",435,195500.0,0.435
"[196000, 197000)",4658,196500.0,4.658
"[197000, 198000)",719,197500.0,0.719
"[198000, 199000)",601,198500.0,0.601
"[199000, 200000)",23,199500.0,0.023
"[200000, 201000)",27,200500.0,0.027
"[201000, 202000)",10,201500.0,0.01
"[202000, 203000)",74,202500.0,0.074
"[203000, 204000)",101,203500.0,0.101
"[204000, 205000)",411,204500.0,0.411
"[205000, 206000)",31,205500.0,0.031
"[206000, 207000)",12,206500.0,0.012
"[207000, 208000)",24,207500.0,0.024
"[208000, 209000)",238,208500.0,0.238
"[209000, 210000)",1155,209500.0,1.155
"[210000, 211000)",2355,210500.0,2.355
"[211000, 212000)",170,211500.0,0.17
"[212000, 213000)",206,212500.0,0.206
"[213000, 214000)",366,213500.0,0.366
"[214000, 215000)",2055,214500.0,2.055
"[215000, 216000)",592,215500.0,0.592
"[216000, 217000)",403,216500.0,0.403
"[217000, 218000)",1366,217500.0,1.366
"[218000, 219000)",2114,218500.0,2.114
"[219000, 220000)",1751,219500.0,1.751
"[220000, 221000)",105,220500.0,0.105
"[221000, 222000)",62,221500.0,0.062
"[222000, 223000)",2368,222500.0,2.368
"[223000, 224000)",703,223500.0,0.703
"[224000, 225000)",975,224500.0,0.975
"[225000, 226000)",698,225500.0,0.698
"[226000, 227000)",1437,226500.0,1.437
"[227000, 228000)",877,227500.0,0.877
"[228000, 229000)",348,228500.0,0.348
"[229000, 230000)",1082,229500.0,1.082
"[230000, 231000)",3179,230500.0,3.179
"[231000, 232000)",608,231500.0,0.608
"[232000, 233000)",1871,232500.0,1.871
"[233000, 234000)",943,233500.0,0.943
"[234000, 235000)",1206,234500.0,1.206
"[235000, 236000)",1939,235500.0,1.939
"[236000, 237000)",3288,236500.0,3.288
"[237000, 238000)",385,237500.0,0.385
"[238000, 239000)",468,238500.0,0.468
"[239000, 240000)",17,239500.0,0.017
"[240000, 241000)",706,240500.0,0.706
"[241000, 242000)",90,241500.0,0.09
"[242000, 243000)",131,242500.0,0.131
"[243000, 244000)",364,243500.0,0.364
"[244000, 245000)",315,244500.0,0.315
"[245000, 246000)",245,245500.0,0.245
"[246000, 247000)",2366,246500.0,2.366
"[247000, 248000)",2668,247500.0,2.668
"[248000, 249000)",910,248500.0,0.91
"[249000, 250000)",1957,249500.0,1.957
"[250000, 251000)",680,250500.0,0.68
"[251000, 252000)",400,251500.0,0.4
"[252000, 253000)",1410,252500.0,1.41
"[253000, 254000)",494,253500.0,0.494
"[254000, 255000)",1647,254500.0,1.647
"[255000, 256000)",1856,255500.0,1.856
"[256000, 257000)",1906,256500.0,1.906
"[257000, 258000)",1836,257500.0,1.836
"[258000, 259000)",1844,258500.0,1.844
"[259000, 260000)",542,259500.0,0.542
"[260000, 261000)",813,260500.0,0.813
"[261000, 262000)",268,261500.0,0.268
"[262000, 263000)",2168,262500.0,2.168
"[263000, 264000)",976,263500.0,0.976
"[264000, 265000)",2439,264500.0,2.439
"[265000, 266000)",1070,265500.0,1.07
"[266000, 267000)",1860,266500.0,1.86
"[267000, 268000)",352,267500.0,0.352
"[268000, 269000)",2875,268500.0,2.875
"[269000, 270000)",3221,269500.0,3.221
"[270000, 271000)",154,270500.0,0.154
"[271000, 272000)",871,271500.0,0.871
"[272000, 273000)",1564,272500.0,1.564
"[273000, 274000)",3056,273500.0,3.056
"[274000, 275000)",5330,274500.0,5.33
"[275000, 276000)",2383,275500.0,2.383
"[276000, 277000)",292,276500.0,0.292
"[277000, 278000)",1992,277500.0,1.992
"[278000, 279000)",311,278500.0,0.311
"[279000, 280000)",1304,279500.0,1.304
"[280000, 281000)",594,280500.0,0.594
"[281000, 282000)",1078,281500.0,1.078
"[282000, 283000)",1095,282500.0,1.095
"[283000, 284000)",3925,283500.0,3.925
"[284000, 285000)",1812,284500.0,1.812
"[285000, 286000)",166,285500.0,0.166
"[286000, 287000)",460,286500.0,0.46
"[287000, 288000)",2569,287500.0,2.569
"[288000, 289000)",594,288500.0,0.594
"[289000, 290000)",481,289500.0,0.481
"[290000, 291000)",883,290500.0,0.883
"[291000, 292000)",1823,291500.0,1.823
"[292000, 293000)",1069,292500.0,1.069
"[293000, 294000)",604,293500.0,0.604
