Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",1849,500.0,1.849
"[1000, 2000)",5319,1500.0,5.319
"[2000, 3000)",2428,2500.0,2.428
"[3000, 4000)",5164,3500.0,5.164
"[4000, 5000)",397,4500.0,0.397
"[5000, 6000)",2065,5500.0,2.065
"[6000, 7000)",382,6500.0,0.382
"[7000, 8000)",1110,7500.0,1.11
"[8000, 9000)",3120,8500.0,3.12
"[9000, 10000)",8459,9500.0,8.459
"[10000, 11000)",3465,10500.0,3.465
"[11000, 12000)",9702,11500.0,9.702
"[12000, 13000)",56,12500.0,0.056
"[13000, 14000)",114,13500.0,0.114
"[14000, 15000)",7179,14500.0,7.179
"[15000, 16000)",1435,15500.0,1.435
"[16000, 17000)",2661,16500.0,2.661
"[17000, 18000)",4907,17500.0,4.907
"[18000, 19000)",362,18500.0,0.362
"[19000, 20000)",2420,19500.0,2.42
"[20000, 21000)",560,20500.0,0.56
"[21000, 22000)",695,21500.0,0.695
"[22000, 23000)",885,22500.0,0.885
"[23000, 24000)",666,23500.0,0.666
"[24000, 25000)",15907,24500.0,15.907
"[25000, 26000)",4916,25500.0,4.916
"[26000, 27000)",4025,26500.0,4.025
"[27000, 28000)",3368,27500.0,3.368
"[28000, 29000)",2783,28500.0,2.783
"[29000, 30000)",3490,29500.0,3.49
"[30000, 31000)",4729,30500.0,4.729
"[31000, 32000)",9520,31500.0,9.52
"[32000, 33000)",3546,32500.0,3.546
"[33000, 34000)",912,33500.0,0.912
"[34000, 35000)",3254,34500.0,3.254
"[35000, 36000)",3380,35500.0,3.38
"[36000, 37000)",1538,36500.0,1.538
"[37000, 38000)",1948,37500.0,1.948
"[38000, 39000)",837,38500.0,0.837
"[39000, 40000)",7324,39500.0,7.324
"[40000, 41000)",1403,40500.0,1.403
"[41000, 42000)",1119,41500.0,1.119
"[42000, 43000)",1096,42500.0,1.096
"[43000, 44000)",914,43500.0,0.914
"[44000, 45000)",1489,44500.0,1.489
"[45000, 46000)",1857,45500.0,1.857
"[46000, 47000)",1062,46500.0,1.062
"[47000, 48000)",4810,47500.0,4.81
"[48000, 49000)",1827,48500.0,1.827
"[49000, 50000)",4590,49500.0,4.59
"[50000, 51000)",15912,50500.0,15.912
"[51000, 52000)",1228,51500.0,1.228
"[52000, 53000)",574,52500.0,0.574
"[53000, 54000)",1060,53500.0,1.06
"[54000, 55000)",1271,54500.0,1.271
"[55000, 56000)",979,55500.0,0.979
"[56000, 57000)",2714,56500.0,2.714
"[57000, 58000)",2192,57500.0,2.192
"[58000, 59000)",4534,58500.0,4.534
"[59000, 60000)",958,59500.0,0.958
"[60000, 61000)",2654,60500.0,2.654
"[61000, 62000)",699,61500.0,0.699
"[62000, 63000)",3744,62500.0,3.744
"[63000, 64000)",4989,63500.0,4.989
"[64000, 65000)",1463,64500.0,1.463
"[65000, 66000)",900,65500.0,0.9
"[66000, 67000)",781,66500.0,0.781
"[67000, 68000)",1334,67500.0,1.334
"[68000, 69000)",1086,68500.0,1.086
"[69000, 70000)",5206,69500.0,5.206
"[70000, 71000)",2301,70500.0,2.301
"[71000, 72000)",1002,71500.0,1.002
"[72000, 73000)",1149,72500.0,1.149
"[73000, 74000)",712,73500.0,0.712
"[74000, 75000)",777,74500.0,0.777
"[75000, 76000)",1306,75500.0,1.306
"[76000, 77000)",1666,76500.0,1.666
"[77000, 78000)",3534,77500.0,3.534
"[78000, 79000)",1443,78500.0,1.443
"[79000, 80000)",5492,79500.0,5.492
"[80000, 81000)",464,80500.0,0.464
"[81000, 82000)",2051,81500.0,2.051
"[82000, 83000)",3698,82500.0,3.698
"[83000, 84000)",1116,83500.0,1.116
"[84000, 85000)",5087,84500.0,5.087
"[85000, 86000)",491,85500.0,0.491
"[86000, 87000)",678,86500.0,0.678
"[87000, 88000)",13610,87500.0,13.61
"[88000, 89000)",159,88500.0,0.159
"[89000, 90000)",147,89500.0,0.147
"[90000, 91000)",12,90500.0,0.012
"[91000, 92000)",66,91500.0,0.066
"[92000, 93000)",2069,92500.0,2.069
"[93000, 94000)",96,93500.0,0.096
"[94000, 95000)",3208,94500.0,3.208
"[95000, 96000)",4927,95500.0,4.927
"[96000, 97000)",2295,96500.0,2.295
"[97000, 98000)",6806,97500.0,6.806
"[98000, 99000)",1870,98500.0,1.87
"[99000, 100000)",2356,99500.0,2.356
"[100000, 101000)",283,100500.0,0.283
"[101000, 102000)",2055,101500.0,2.055
"[102000, 103000)",2541,102500.0,2.541
"[103000, 104000)",535,103500.0,0.535
"[104000, 105000)",3138,104500.0,3.138
"[105000, 106000)",578,105500.0,0.578
"[106000, 107000)",265,106500.0,0.265
"[107000, 108000)",324,107500.0,0.324
"[108000, 109000)",2280,108500.0,2.28
"[109000, 110000)",1720,109500.0,1.72
"[110000, 111000)",758,110500.0,0.758
