Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",11806,500.0,11.806
"[1000, 2000)",11506,1500.0,11.506
"[2000, 3000)",1395,2500.0,1.395
"[3000, 4000)",2972,3500.0,2.972
"[4000, 5000)",1187,4500.0,1.187
"[5000, 6000)",352,5500.0,0.352
"[6000, 7000)",16,6500.0,0.016
"[7000, 8000)",11712,7500.0,11.712
"[8000, 9000)",7658,8500.0,7.658
"[9000, 10000)",2874,9500.0,2.874
"[10000, 11000)",4168,10500.0,4.168
"[11000, 12000)",36,11500.0,0.036
"[12000, 13000)",2767,12500.0,2.767
"[13000, 14000)",1028,13500.0,1.028
"[14000, 15000)",4043,14500.0,4.043
"[15000, 16000)",2646,15500.0,2.646
"[16000, 17000)",1067,16500.0,1.067
"[17000, 18000)",363,17500.0,0.363
"[18000, 19000)",28,18500.0,0.028
"[19000, 20000)",1236,19500.0,1.236
"[20000, 21000)",608,20500.0,0.608
"[21000, 22000)",3382,21500.0,3.382
"[22000, 23000)",3462,22500.0,3.462
"[23000, 24000)",934,23500.0,0.934
"[24000, 25000)",1571,24500.0,1.571
"[25000, 26000)",4936,25500.0,4.936
"[26000, 27000)",7133,26500.0,7.133
"[27000, 28000)",184,27500.0,0.184
"[28000, 29000)",23,28500.0,0.023
"[29000, 30000)",21,29500.0,0.021
"[30000, 31000)",2957,30500.0,2.957
"[31000, 32000)",203,31500.0,0.203
"[32000, 33000)",4372,32500.0,4.372
"[33000, 34000)",542,33500.0,0.542
"[34000, 35000)",1426,34500.0,1.426
"[35000, 36000)",11076,35500.0,11.076
"[36000, 37000)",4830,36500.0,4.83
"[37000, 38000)",1517,37500.0,1.517
"[38000, 39000)",235,38500.0,0.235
"[39000, 40000)",3752,39500.0,3.752
"[40000, 41000)",2773,40500.0,2.773
"[41000, 42000)",8998,41500.0,8.998
"[42000, 43000)",6969,42500.0,6.969
"[43000, 44000)",3208,43500.0,3.208
"[44000, 45000)",3179,44500.0,3.179
"[45000, 46000)",31,45500.0,0.031
"[46000, 47000)",1613,46500.0,1.613
"[47000, 48000)",63,47500.0,0.063
"[48000, 49000)",1463,48500.0,1.463
"[49000, 50000)",863,49500.0,0.863
"[50000, 51000)",2727,50500.0,2.727
"[51000, 52000)",1099,51500.0,1.099
"[52000, 53000)",3081,52500.0,3.081
"[53000, 54000)",4163,53500.0,4.163
"[54000, 55000)",98,54500.0,0.098
"[55000, 56000)",2954,55500.0,2.954
"[56000, 57000)",2505,56500.0,2.505
"[57000, 58000)",1396,57500.0,1.396
"[58000, 59000)",3203,58500.0,3.203
"[59000, 60000)",3011,59500.0,3.011
"[60000, 61000)",1469,60500.0,1.469
"[61000, 62000)",1651,61500.0,1.651
"[62000, 63000)",2047,62500.0,2.047
"[63000, 64000)",730,63500.0,0.73
"[64000, 65000)",535,64500.0,0.535
"[65000, 66000)",752,65500.0,0.752
"[66000, 67000)",786,66500.0,0.786
"[67000, 68000)",551,67500.0,0.551
"[68000, 69000)",787,68500.0,0.787
"[69000, 70000)",7294,69500.0,7.294
"[70000, 71000)",13231,70500.0,13.231
"[71000, 72000)",3028,71500.0,3.028
"[72000, 73000)",89,72500.0,0.089
"[73000, 74000)",2387,73500.0,2.387
"[74000, 75000)",1562,74500.0,1.562
"[75000, 76000)",24,75500.0,0.024
"[76000, 77000)",1181,76500.0,1.181
"[77000, 78000)",4508,77500.0,4.508
"[78000, 79000)",188,78500.0,0.188
"[79000, 80000)",366,79500.0,0.366
"[80000, 81000)",709,80500.0,0.709
"[81000, 82000)",502,81500.0,0.502
"[82000, 83000)",1992,82500.0,1.992
"[83000, 84000)",820,83500.0,0.82
"[84000, 85000)",46,84500.0,0.046
"[85000, 86000)",3936,85500.0,3.936
"[86000, 87000)",5283,86500.0,5.283
"[87000, 88000)",1289,87500.0,1.289
"[88000, 89000)",866,88500.0,0.866
"[89000, 90000)",1568,89500.0,1.568
"[90000, 91000)",7993,90500.0,7.993
"[91000, 92000)",1822,91500.0,1.822
"[92000, 93000)",559,92500.0,0.559
"[93000, 94000)",1162,93500.0,1.162
"[94000, 95000)",1043,94500.0,1.043
"[95000, 96000)",657,95500.0,0.657
"[96000, 97000)",1448,96500.0,1.448
"[97000, 98000)",777,97500.0,0.777
"[98000, 99000)",2603,98500.0,2.603
"[99000, 100000)",2494,99500.0,2.494
"[100000, 101000)",559,100500.0,0.559
"[101000, 102000)",895,101500.0,0.895
"[102000, 103000)",1565,102500.0,1.565
"[103000, 104000)",1656,103500.0,1.656
"[104000, 105000)",2483,104500.0,2.483
"[105000, 106000)",751,105500.0,0.751
"[106000, 107000)",7458,106500.0,7.458
"[107000, 108000)",2521,107500.0,2.521
"[108000, 109000)",3164,108500.0,3.164
"[109000, 110000)",6875,109500.0,6.875
"[110000, 111000)",2235,110500.0,2.235
"[111000, 112000)",523,111500.0,0.523
"[112000, 113000)",6525,112500.0,6.525
"[113000, 114000)",2421,113500.0,2.421
"[114000, 115000)",3548,114500.0,3.548
"[115000, 116000)",959,115500.0,0.959
"[116000, 117000)",6480,116500.0,6.48
"[117000, 118000)",1589,117500.0,1.589
"[118000, 119000)",797,118500.0,0.797
"[119000, 120000)",2657,119500.0,2.657
"[120000, 121000)",1492,120500.0,1.492
"[121000, 122000)",775,121500.0,0.775
"[122000, 123000)",1481,122500.0,1.481
"[123000, 124000)",1169,123500.0,1.169
"[124000, 125000)",1188,124500.0,1.188
"[125000, 126000)",789,125500.0,0.789
"[126000, 127000)",770,126500.0,0.77
"[127000, 128000)",1370,127500.0,1.37
"[128000, 129000)",1116,128500.0,1.116
"[129000, 130000)",847,129500.0,0.847
"[130000, 131000)",2139,130500.0,2.139
"[131000, 132000)",745,131500.0,0.745
"[132000, 133000)",6921,132500.0,6.921
"[133000, 134000)",4358,133500.0,4.358
"[134000, 135000)",1457,134500.0,1.457
"[135000, 136000)",2188,135500.0,2.188
"[136000, 137000)",2504,136500.0,2.504
"[137000, 138000)",2019,137500.0,2.019
