Distance_Bin,Value,Bin_Center,Density_per_bp
"[-595000.0, -585000.0)",0,-590000.0,0.0
"[-585000.0, -575000.0)",0,-580000.0,0.0
"[-575000.0, -565000.0)",0,-570000.0,0.0
"[-565000.0, -555000.0)",0,-560000.0,0.0
"[-555000.0, -545000.0)",0,-550000.0,0.0
"[-545000.0, -535000.0)",0,-540000.0,0.0
"[-535000.0, -525000.0)",0,-530000.0,0.0
"[-525000.0, -515000.0)",0,-520000.0,0.0
"[-515000.0, -505000.0)",0,-510000.0,0.0
"[-505000.0, -495000.0)",0,-500000.0,0.0
"[-495000.0, -485000.0)",0,-490000.0,0.0
"[-485000.0, -475000.0)",0,-480000.0,0.0
"[-475000.0, -465000.0)",0,-470000.0,0.0
"[-465000.0, -455000.0)",0,-460000.0,0.0
"[-455000.0, -445000.0)",0,-450000.0,0.0
"[-445000.0, -435000.0)",0,-440000.0,0.0
"[-435000.0, -425000.0)",0,-430000.0,0.0
"[-425000.0, -415000.0)",0,-420000.0,0.0
"[-415000.0, -405000.0)",0,-410000.0,0.0
"[-405000.0, -395000.0)",0,-400000.0,0.0
"[-395000.0, -385000.0)",0,-390000.0,0.0
"[-385000.0, -375000.0)",0,-380000.0,0.0
"[-375000.0, -365000.0)",0,-370000.0,0.0
"[-365000.0, -355000.0)",0,-360000.0,0.0
"[-355000.0, -345000.0)",0,-350000.0,0.0
"[-345000.0, -335000.0)",0,-340000.0,0.0
"[-335000.0, -325000.0)",0,-330000.0,0.0
"[-325000.0, -315000.0)",0,-320000.0,0.0
"[-315000.0, -305000.0)",0,-310000.0,0.0
"[-305000.0, -295000.0)",0,-300000.0,0.0
"[-295000.0, -285000.0)",0,-290000.0,0.0
"[-285000.0, -275000.0)",0,-280000.0,0.0
"[-275000.0, -265000.0)",0,-270000.0,0.0
"[-265000.0, -255000.0)",0,-260000.0,0.0
"[-255000.0, -245000.0)",0,-250000.0,0.0
"[-245000.0, -235000.0)",1928,-240000.0,0.1928
"[-235000.0, -225000.0)",4787,-230000.0,0.4787
"[-225000.0, -215000.0)",2712,-220000.0,0.2712
"[-215000.0, -205000.0)",4936,-210000.0,0.4936
"[-205000.0, -195000.0)",3380,-200000.0,0.338
"[-195000.0, -185000.0)",3447,-190000.0,0.3447
"[-185000.0, -175000.0)",2571,-180000.0,0.2571
"[-175000.0, -165000.0)",2598,-170000.0,0.2598
"[-165000.0, -155000.0)",2114,-160000.0,0.2114
"[-155000.0, -145000.0)",3770,-150000.0,0.377
"[-145000.0, -135000.0)",3043,-140000.0,0.3043
"[-135000.0, -125000.0)",3186,-130000.0,0.3186
"[-125000.0, -115000.0)",3481,-120000.0,0.3481
"[-115000.0, -105000.0)",2735,-110000.0,0.2735
"[-105000.0, -95000.0)",4133,-100000.0,0.4133
"[-95000.0, -85000.0)",2813,-90000.0,0.2813
"[-85000.0, -75000.0)",2538,-80000.0,0.2538
"[-75000.0, -65000.0)",4352,-70000.0,0.4352
"[-65000.0, -55000.0)",2319,-60000.0,0.2319
"[-55000.0, -45000.0)",3717,-50000.0,0.3717
"[-45000.0, -35000.0)",4838,-40000.0,0.4838
"[-35000.0, -25000.0)",4027,-30000.0,0.4027
"[-25000.0, -15000.0)",4345,-20000.0,0.4345
"[-15000.0, -5000.0)",3114,-10000.0,0.3114
"[-5000.0, 5000.0)",4782,0.0,0.4782
