Distance_Bin,Value,Bin_Center,Density_per_bp
"[-455000.0, -445000.0)",0,-450000.0,0.0
"[-445000.0, -435000.0)",842,-440000.0,0.0842
"[-435000.0, -425000.0)",5597,-430000.0,0.5597
"[-425000.0, -415000.0)",4057,-420000.0,0.4057
"[-415000.0, -405000.0)",3223,-410000.0,0.3223
"[-405000.0, -395000.0)",3916,-400000.0,0.3916
"[-395000.0, -385000.0)",2537,-390000.0,0.2537
"[-385000.0, -375000.0)",2851,-380000.0,0.2851
"[-375000.0, -365000.0)",2699,-370000.0,0.2699
"[-365000.0, -355000.0)",3148,-360000.0,0.3148
"[-355000.0, -345000.0)",3175,-350000.0,0.3175
"[-345000.0, -335000.0)",2743,-340000.0,0.2743
"[-335000.0, -325000.0)",2956,-330000.0,0.2956
"[-325000.0, -315000.0)",4221,-320000.0,0.4221
"[-315000.0, -305000.0)",3460,-310000.0,0.346
"[-305000.0, -295000.0)",3040,-300000.0,0.304
"[-295000.0, -285000.0)",3195,-290000.0,0.3195
"[-285000.0, -275000.0)",3385,-280000.0,0.3385
"[-275000.0, -265000.0)",3170,-270000.0,0.317
"[-265000.0, -255000.0)",2895,-260000.0,0.2895
"[-255000.0, -245000.0)",3204,-250000.0,0.3204
"[-245000.0, -235000.0)",4076,-240000.0,0.4076
"[-235000.0, -225000.0)",3309,-230000.0,0.3309
"[-225000.0, -215000.0)",2165,-220000.0,0.2165
"[-215000.0, -205000.0)",3299,-210000.0,0.3299
"[-205000.0, -195000.0)",3106,-200000.0,0.3106
"[-195000.0, -185000.0)",2055,-190000.0,0.2055
"[-185000.0, -175000.0)",2478,-180000.0,0.2478
"[-175000.0, -165000.0)",2175,-170000.0,0.2175
"[-165000.0, -155000.0)",2621,-160000.0,0.2621
"[-155000.0, -145000.0)",2713,-150000.0,0.2713
"[-145000.0, -135000.0)",2859,-140000.0,0.2859
"[-135000.0, -125000.0)",2126,-130000.0,0.2126
"[-125000.0, -115000.0)",2962,-120000.0,0.2962
"[-115000.0, -105000.0)",2735,-110000.0,0.2735
"[-105000.0, -95000.0)",3294,-100000.0,0.3294
"[-95000.0, -85000.0)",2814,-90000.0,0.2814
"[-85000.0, -75000.0)",4142,-80000.0,0.4142
"[-75000.0, -65000.0)",1705,-70000.0,0.1705
"[-65000.0, -55000.0)",2793,-60000.0,0.2793
"[-55000.0, -45000.0)",2084,-50000.0,0.2084
"[-45000.0, -35000.0)",3607,-40000.0,0.3607
"[-35000.0, -25000.0)",3388,-30000.0,0.3388
"[-25000.0, -15000.0)",3740,-20000.0,0.374
"[-15000.0, -5000.0)",2522,-10000.0,0.2522
"[-5000.0, 5000.0)",4112,0.0,0.4112
"[5000.0, 15000.0)",4365,10000.0,0.4365
"[15000.0, 25000.0)",4931,20000.0,0.4931
"[25000.0, 35000.0)",4663,30000.0,0.4663
"[35000.0, 45000.0)",7209,40000.0,0.7209
"[45000.0, 55000.0)",3986,50000.0,0.3986
"[55000.0, 65000.0)",2533,60000.0,0.2533
"[65000.0, 75000.0)",2805,70000.0,0.2805
"[75000.0, 85000.0)",2065,80000.0,0.2065
"[85000.0, 95000.0)",3803,90000.0,0.3803
"[95000.0, 105000.0)",3505,100000.0,0.3505
"[105000.0, 115000.0)",3906,110000.0,0.3906
"[115000.0, 125000.0)",2595,120000.0,0.2595
"[125000.0, 135000.0)",2629,130000.0,0.2629
"[135000.0, 145000.0)",3964,140000.0,0.3964
"[145000.0, 155000.0)",3402,150000.0,0.3402
"[155000.0, 165000.0)",2522,160000.0,0.2522
"[165000.0, 175000.0)",3996,170000.0,0.3996
"[175000.0, 185000.0)",3426,180000.0,0.3426
"[185000.0, 195000.0)",3519,190000.0,0.3519
"[195000.0, 205000.0)",3681,200000.0,0.3681
"[205000.0, 215000.0)",3248,210000.0,0.3248
"[215000.0, 225000.0)",3050,220000.0,0.305
"[225000.0, 235000.0)",3651,230000.0,0.3651
"[235000.0, 245000.0)",2562,240000.0,0.2562
"[245000.0, 255000.0)",2307,250000.0,0.2307
"[255000.0, 265000.0)",1910,260000.0,0.191
"[265000.0, 275000.0)",4127,270000.0,0.4127
"[275000.0, 285000.0)",3143,280000.0,0.3143
"[285000.0, 295000.0)",4165,290000.0,0.4165
"[295000.0, 305000.0)",4114,300000.0,0.4114
"[305000.0, 315000.0)",2069,310000.0,0.2069
"[315000.0, 325000.0)",0,320000.0,0.0
"[325000.0, 335000.0)",0,330000.0,0.0
"[335000.0, 345000.0)",0,340000.0,0.0
"[345000.0, 355000.0)",0,350000.0,0.0
"[355000.0, 365000.0)",0,360000.0,0.0
"[365000.0, 375000.0)",0,370000.0,0.0
"[375000.0, 385000.0)",0,380000.0,0.0
"[385000.0, 395000.0)",0,390000.0,0.0
"[395000.0, 405000.0)",0,400000.0,0.0
"[405000.0, 415000.0)",0,410000.0,0.0
"[415000.0, 425000.0)",0,420000.0,0.0
"[425000.0, 435000.0)",0,430000.0,0.0
"[435000.0, 445000.0)",0,440000.0,0.0
"[445000.0, 455000.0)",0,450000.0,0.0
