Distance_Bin,Value,Bin_Center,Density_per_bp
"[-225000.0, -215000.0)",0,-220000.0,0.0
"[-215000.0, -205000.0)",0,-210000.0,0.0
"[-205000.0, -195000.0)",0,-200000.0,0.0
"[-195000.0, -185000.0)",0,-190000.0,0.0
"[-185000.0, -175000.0)",0,-180000.0,0.0
"[-175000.0, -165000.0)",0,-170000.0,0.0
"[-165000.0, -155000.0)",0,-160000.0,0.0
"[-155000.0, -145000.0)",0,-150000.0,0.0
"[-145000.0, -135000.0)",0,-140000.0,0.0
"[-135000.0, -125000.0)",0,-130000.0,0.0
"[-125000.0, -115000.0)",0,-120000.0,0.0
"[-115000.0, -105000.0)",248,-110000.0,0.0248
"[-105000.0, -95000.0)",233,-100000.0,0.0233
"[-95000.0, -85000.0)",224,-90000.0,0.0224
"[-85000.0, -75000.0)",251,-80000.0,0.0251
"[-75000.0, -65000.0)",308,-70000.0,0.0308
"[-65000.0, -55000.0)",424,-60000.0,0.0424
"[-55000.0, -45000.0)",367,-50000.0,0.0367
"[-45000.0, -35000.0)",392,-40000.0,0.0392
"[-35000.0, -25000.0)",419,-30000.0,0.0419
"[-25000.0, -15000.0)",382,-20000.0,0.0382
"[-15000.0, -5000.0)",405,-10000.0,0.0405
"[-5000.0, 5000.0)",234,0.0,0.0234
"[5000.0, 15000.0)",552,10000.0,0.0552
"[15000.0, 25000.0)",358,20000.0,0.0358
"[25000.0, 35000.0)",236,30000.0,0.0236
"[35000.0, 45000.0)",311,40000.0,0.0311
"[45000.0, 55000.0)",212,50000.0,0.0212
"[55000.0, 65000.0)",245,60000.0,0.0245
"[65000.0, 75000.0)",221,70000.0,0.0221
"[75000.0, 85000.0)",206,80000.0,0.0206
"[85000.0, 95000.0)",239,90000.0,0.0239
"[95000.0, 105000.0)",317,100000.0,0.0317
"[105000.0, 115000.0)",357,110000.0,0.0357
"[115000.0, 125000.0)",286,120000.0,0.0286
"[125000.0, 135000.0)",300,130000.0,0.03
"[135000.0, 145000.0)",391,140000.0,0.0391
"[145000.0, 155000.0)",239,150000.0,0.0239
"[155000.0, 165000.0)",283,160000.0,0.0283
"[165000.0, 175000.0)",224,170000.0,0.0224
"[175000.0, 185000.0)",184,180000.0,0.0184
"[185000.0, 195000.0)",422,190000.0,0.0422
"[195000.0, 205000.0)",240,200000.0,0.024
"[205000.0, 215000.0)",0,210000.0,0.0
"[215000.0, 225000.0)",0,220000.0,0.0
