Distance_Bin,Value,Bin_Center,Density_per_bp
"[-615000.0, -605000.0)",0,-610000.0,0.0
"[-605000.0, -595000.0)",0,-600000.0,0.0
"[-595000.0, -585000.0)",0,-590000.0,0.0
"[-585000.0, -575000.0)",0,-580000.0,0.0
"[-575000.0, -565000.0)",0,-570000.0,0.0
"[-565000.0, -555000.0)",0,-560000.0,0.0
"[-555000.0, -545000.0)",0,-550000.0,0.0
"[-545000.0, -535000.0)",0,-540000.0,0.0
"[-535000.0, -525000.0)",0,-530000.0,0.0
"[-525000.0, -515000.0)",0,-520000.0,0.0
"[-515000.0, -505000.0)",0,-510000.0,0.0
"[-505000.0, -495000.0)",27,-500000.0,0.0027
"[-495000.0, -485000.0)",90,-490000.0,0.009
"[-485000.0, -475000.0)",321,-480000.0,0.0321
"[-475000.0, -465000.0)",296,-470000.0,0.0296
"[-465000.0, -455000.0)",287,-460000.0,0.0287
"[-455000.0, -445000.0)",242,-450000.0,0.0242
"[-445000.0, -435000.0)",290,-440000.0,0.029
"[-435000.0, -425000.0)",256,-430000.0,0.0256
"[-425000.0, -415000.0)",273,-420000.0,0.0273
"[-415000.0, -405000.0)",235,-410000.0,0.0235
"[-405000.0, -395000.0)",234,-400000.0,0.0234
"[-395000.0, -385000.0)",238,-390000.0,0.0238
"[-385000.0, -375000.0)",324,-380000.0,0.0324
"[-375000.0, -365000.0)",207,-370000.0,0.0207
"[-365000.0, -355000.0)",212,-360000.0,0.0212
"[-355000.0, -345000.0)",236,-350000.0,0.0236
"[-345000.0, -335000.0)",291,-340000.0,0.0291
"[-335000.0, -325000.0)",206,-330000.0,0.0206
"[-325000.0, -315000.0)",274,-320000.0,0.0274
"[-315000.0, -305000.0)",235,-310000.0,0.0235
"[-305000.0, -295000.0)",327,-300000.0,0.0327
"[-295000.0, -285000.0)",323,-290000.0,0.0323
"[-285000.0, -275000.0)",319,-280000.0,0.0319
"[-275000.0, -265000.0)",330,-270000.0,0.033
"[-265000.0, -255000.0)",255,-260000.0,0.0255
"[-255000.0, -245000.0)",216,-250000.0,0.0216
"[-245000.0, -235000.0)",289,-240000.0,0.0289
"[-235000.0, -225000.0)",240,-230000.0,0.024
"[-225000.0, -215000.0)",252,-220000.0,0.0252
"[-215000.0, -205000.0)",291,-210000.0,0.0291
"[-205000.0, -195000.0)",197,-200000.0,0.0197
"[-195000.0, -185000.0)",221,-190000.0,0.0221
"[-185000.0, -175000.0)",192,-180000.0,0.0192
"[-175000.0, -165000.0)",191,-170000.0,0.0191
"[-165000.0, -155000.0)",188,-160000.0,0.0188
"[-155000.0, -145000.0)",236,-150000.0,0.0236
"[-145000.0, -135000.0)",280,-140000.0,0.028
"[-135000.0, -125000.0)",256,-130000.0,0.0256
"[-125000.0, -115000.0)",284,-120000.0,0.0284
"[-115000.0, -105000.0)",342,-110000.0,0.0342
"[-105000.0, -95000.0)",299,-100000.0,0.0299
"[-95000.0, -85000.0)",216,-90000.0,0.0216
"[-85000.0, -75000.0)",305,-80000.0,0.0305
"[-75000.0, -65000.0)",208,-70000.0,0.0208
"[-65000.0, -55000.0)",191,-60000.0,0.0191
"[-55000.0, -45000.0)",272,-50000.0,0.0272
"[-45000.0, -35000.0)",335,-40000.0,0.0335
"[-35000.0, -25000.0)",277,-30000.0,0.0277
"[-25000.0, -15000.0)",404,-20000.0,0.0404
"[-15000.0, -5000.0)",369,-10000.0,0.0369
"[-5000.0, 5000.0)",307,0.0,0.0307
"[5000.0, 15000.0)",338,10000.0,0.0338
"[15000.0, 25000.0)",210,20000.0,0.021
"[25000.0, 35000.0)",409,30000.0,0.0409
"[35000.0, 45000.0)",409,40000.0,0.0409
"[45000.0, 55000.0)",372,50000.0,0.0372
"[55000.0, 65000.0)",334,60000.0,0.0334
"[65000.0, 75000.0)",494,70000.0,0.0494
"[75000.0, 85000.0)",474,80000.0,0.0474
"[85000.0, 95000.0)",202,90000.0,0.0202
"[95000.0, 105000.0)",251,100000.0,0.0251
"[105000.0, 115000.0)",248,110000.0,0.0248
"[115000.0, 125000.0)",193,120000.0,0.0193
"[125000.0, 135000.0)",319,130000.0,0.0319
"[135000.0, 145000.0)",193,140000.0,0.0193
"[145000.0, 155000.0)",225,150000.0,0.0225
"[155000.0, 165000.0)",261,160000.0,0.0261
"[165000.0, 175000.0)",193,170000.0,0.0193
"[175000.0, 185000.0)",308,180000.0,0.0308
"[185000.0, 195000.0)",145,190000.0,0.0145
"[195000.0, 205000.0)",238,200000.0,0.0238
"[205000.0, 215000.0)",273,210000.0,0.0273
"[215000.0, 225000.0)",224,220000.0,0.0224
"[225000.0, 235000.0)",217,230000.0,0.0217
"[235000.0, 245000.0)",339,240000.0,0.0339
"[245000.0, 255000.0)",191,250000.0,0.0191
"[255000.0, 265000.0)",265,260000.0,0.0265
"[265000.0, 275000.0)",234,270000.0,0.0234
"[275000.0, 285000.0)",247,280000.0,0.0247
"[285000.0, 295000.0)",230,290000.0,0.023
"[295000.0, 305000.0)",156,300000.0,0.0156
"[305000.0, 315000.0)",285,310000.0,0.0285
"[315000.0, 325000.0)",475,320000.0,0.0475
"[325000.0, 335000.0)",358,330000.0,0.0358
"[335000.0, 345000.0)",266,340000.0,0.0266
"[345000.0, 355000.0)",291,350000.0,0.0291
"[355000.0, 365000.0)",231,360000.0,0.0231
"[365000.0, 375000.0)",207,370000.0,0.0207
"[375000.0, 385000.0)",198,380000.0,0.0198
"[385000.0, 395000.0)",196,390000.0,0.0196
"[395000.0, 405000.0)",230,400000.0,0.023
"[405000.0, 415000.0)",267,410000.0,0.0267
"[415000.0, 425000.0)",315,420000.0,0.0315
"[425000.0, 435000.0)",200,430000.0,0.02
"[435000.0, 445000.0)",206,440000.0,0.0206
"[445000.0, 455000.0)",245,450000.0,0.0245
"[455000.0, 465000.0)",245,460000.0,0.0245
