distance,density
47,0.012371931181132808
128,0.02531645569620253
121,0.03439153439153439
54,0.012761020881670535
8,0.011596443757247776
15,0.011596443757247776
35,0.012949362195593351
44,0.011982991882489368
27,0.0156551990722845
12,0.012756088132972554
48,0.014307811291569994
68,0.012531328320802004
42,0.012176265945110166
20,0.011982991882489368
17,0.010630073444143797
13,0.015268650947042906
18,0.012756088132972554
40,0.01256281407035176
49,0.018561484918793503
32,0.014882102821801314
39,0.01604174719752609
25,0.016428295322767683
50,0.01082753286929621
1,0.012369540007730962
80,0.011915269196822594
79,0.014044943820224719
59,0.015661252900232018
66,0.014492753623188408
46,0.012178619756427606
16,0.011209895632006184
5,0.010823347506764591
33,0.01507537688442211
51,0.012180974477958238
62,0.011214230471771076
61,0.013921113689095129
57,0.01334106728538283
43,0.014495554696559722
10,0.011016621569385389
19,0.01507537688442211
69,0.018036529680365294
71,0.014462809917355372
64,0.014366021236727046
36,0.013142636258214147
34,0.014109006571318129
6,0.014302280633938924
73,0.01621958827199002
74,0.01364646144081244
75,0.019379844961240313
31,0.012756088132972554
78,0.014060356652949245
70,0.015796703296703296
65,0.015561569688768605
11,0.013142636258214147
23,0.017781213761113256
76,0.012499999999999999
63,0.01585460170146945
60,0.012761020881670535
41,0.015848473134905294
45,0.011985308331722407
72,0.012695054218460724
4,0.014495554696559722
3,0.014302280633938924
2,0.015268650947042906
77,0.0160857908847185
67,0.016598453842655753
9,0.017394665635871664
7,0.015461925009663702
37,0.014302280633938924
14,0.013142636258214147
21,0.012369540007730962
29,0.013529184383455739
58,0.013727764887857695
55,0.016821345707656615
28,0.011596443757247776
52,0.01411446249033256
56,0.01585460170146945
30,0.014109006571318129
105,0.019305019305019305
159,0.03125
162,0.01639344262295082
209,0.016129032258064516
278,0.07142857142857142
350,0.19999999999999998
89,0.013513513513513514
26,0.013722458446076537
92,0.01798561151079137
111,0.024444444444444446
118,0.019753086419753086
123,0.02459016393442623
119,0.0375
90,0.012435233160621761
87,0.006734006734006735
103,0.012773722627737228
93,0.014211886304909561
24,0.009663703131039814
81,0.014251781472684086
116,0.01682692307692308
120,0.007712082262210798
86,0.014062499999999999
38,0.01256281407035176
53,0.01237432327919567
0,0.011209895632006184
22,0.013915732508697331
83,0.016129032258064516
97,0.014106583072100312
134,0.01818181818181818
337,0.09999999999999999
452,0.16666666666666669
441,0.125
414,0.125
406,0.125
247,0.02777777777777778
195,0.01351351351351351
157,0.022727272727272724
126,0.014970059880239521
183,0.036585365853658534
106,0.009940357852882702
82,0.014223871366728511
91,0.008948545861297539
130,0.013333333333333334
109,0.010869565217391304
158,0.015384615384615384
108,0.014767932489451475
96,0.01928783382789318
85,0.016034985422740525
94,0.006738544474393531
115,0.011848341232227489
84,0.014373716632443531
98,0.020967741935483872
125,0.01744186046511628
101,0.015789473684210523
146,0.021052631578947368
95,0.015492957746478873
150,0.024844720496894408
197,0.01388888888888889
168,0.05555555555555556
100,0.008532423208191127
129,0.022727272727272728
132,0.017361111111111112
136,0.011320754716981131
267,0.03333333333333333
268,0.03333333333333333
104,0.028142589118198873
189,0.024999999999999998
193,0.013157894736842105
137,0.007575757575757575
124,0.0028169014084507044
99,0.016611295681063124
144,0.019230769230769232
221,0.01851851851851852
192,0.025974025974025972
164,0.008620689655172414
114,0.02097902097902098
235,0.05263157894736842
251,0.03125
308,0.05555555555555556
311,0.05555555555555556
387,0.125
428,0.125
438,0.125
500,0.25
488,0.25
467,0.16666666666666669
429,0.125
419,0.25
283,0.03571428571428571
274,0.07142857142857142
228,0.02127659574468085
258,0.0625
240,0.02777777777777778
238,0.05405405405405404
180,0.01098901098901099
117,0.014634146341463415
179,0.010869565217391304
171,0.02830188679245283
161,0.007936507936507936
138,0.011673151750972763
131,0.013698630136986299
167,0.027272727272727275
151,0.02564102564102564
107,0.018442622950819675
155,0.014705882352941176
227,0.020833333333333336
181,0.04444444444444444
177,0.021739130434782608
122,0.013440860215053762
133,0.01408450704225352
102,0.01073345259391771
166,0.008928571428571428
149,0.018072289156626505
88,0.012589928057553957
153,0.006944444444444445
112,0.004514672686230248
139,0.02
152,0.006666666666666667
147,0.02197802197802198
154,0.007142857142857143
203,0.014705882352941176
231,0.023809523809523808
288,0.03703703703703704
292,0.07692307692307693
145,0.010101010101010102
127,0.009259259259259259
143,0.009174311926605505
211,0.016666666666666666
224,0.019230769230769232
250,0.029411764705882353
254,0.0625
259,0.03125
313,0.05555555555555556
400,0.125
439,0.125
404,0.125
397,0.125
388,0.125
357,0.09999999999999999
339,0.09999999999999999
325,0.07142857142857142
319,0.05555555555555556
317,0.05555555555555556
285,0.03571428571428571
277,0.07142857142857142
234,0.07692307692307693
173,0.009615384615384616
184,0.012345679012345678
320,0.058823529411764705
287,0.03571428571428571
163,0.00847457627118644
201,0.01388888888888889
206,0.01492537313432836
219,0.01851851851851852
272,0.034482758620689655
273,0.03571428571428571
275,0.03571428571428571
282,0.03571428571428571
148,0.011494252873563218
196,0.027397260273972598
141,0.008547008547008546
199,0.01388888888888889
185,0.012499999999999999
113,0.013761467889908256
200,0.01388888888888889
165,0.008771929824561403
215,0.017857142857142856
208,0.015625
140,0.01652892561983471
156,0.00746268656716418
110,0.004395604395604396
175,0.01020408163265306
213,0.017241379310344827
249,0.02777777777777778
260,0.03125
212,0.01694915254237288
207,0.01515151515151515
174,0.009900990099009901
217,0.01851851851851852
265,0.03125
279,0.03571428571428571
289,0.038461538461538464
305,0.049999999999999996
142,0.004424778761061947
