distance,mean_nonzero,std_nonzero,count_nonzero
0,6.281380292284547,9.139784774747369,517.0
1,6.397589123705838,9.106621136037019,1041.0
2,6.592990627822945,9.661069936592517,984.0
3,5.638386038507045,8.460661542801251,1033.0
4,6.8514833990795525,10.103447493174567,1014.0
5,6.390114850427351,9.193477564413643,1040.0
6,6.35950078484135,9.622891456357848,991.0
7,6.711764940875679,9.522430398939825,1043.0
8,6.5261804227745905,9.857832795270346,1046.0
9,6.257454254850088,9.332466624383137,1008.0
10,7.108185924483393,10.229300551018012,1027.0
11,6.450531126482214,9.202973961395637,1012.0
12,6.850013432194284,9.86753239832142,1034.0
13,6.915166454622561,9.862447709569295,1048.0
14,6.6048953539338155,9.664556836840317,1014.0
15,6.261819941410337,9.176778425243834,1062.0
16,6.727941650548034,9.751704163291974,1034.0
17,5.909685290703809,8.465387910921812,1053.0
18,6.900675260896255,9.9143814448693,1086.0
19,6.828192214877768,9.84587378771967,1059.0
20,6.693149739997878,9.768201812908746,1047.0
21,6.187574685534591,9.362046692726468,1060.0
22,6.95553044719315,9.922828242735715,1051.0
23,6.640634206649832,9.822540297737358,1056.0
24,6.492541298400673,9.426866378275413,1056.0
25,6.957955932955933,10.101529101155952,1001.0
26,6.726504410838059,9.714608339473925,1058.0
27,6.314537461773701,9.510720662038967,1090.0
28,6.840345275181724,9.659437540771615,1070.0
29,6.478139534883721,9.347487888162863,1075.0
30,6.50702826782214,9.527878574225582,1077.0
31,7.1360930903099575,10.101545133753895,1079.0
32,7.30587971504715,10.50584045422952,1084.0
33,7.31181952061751,10.315733482724362,1094.0
34,6.948537597143457,9.533762275924067,1058.0
35,7.108366831581117,10.06240998960082,1078.0
36,6.855363149847095,9.586839914891746,1090.0
37,7.508263824528885,10.644306207403178,1079.0
38,7.6447811447811445,10.391483962555506,1188.0
39,7.819558033870302,10.515551725831,1076.0
40,8.23005845323741,11.07090896670082,1112.0
41,8.432847222222222,11.133338086281698,1080.0
42,7.990863515449152,10.541329091417605,1086.0
43,7.911552540913006,10.827271171993898,1161.0
44,8.334069357561315,10.911357156883428,1119.0
45,7.958602507374631,10.630499690603992,1130.0
46,8.007183866971603,10.416194377176788,1166.0
47,7.858157399147586,10.412558246681831,1121.0
48,7.770858850976961,10.217811209764845,1143.0
49,8.649850569919378,11.423739182052719,1199.0
50,7.994297878280291,10.284328433810407,1194.0
51,8.905486867840178,11.311011619106734,1193.0
52,8.650618444258795,11.218194798510314,1197.0
53,8.569959756576365,10.9406828353104,1132.0
54,8.895930521652653,11.6186327980995,1229.0
55,9.072399652190262,11.426780636584194,1182.0
56,8.658454935622318,11.343437491062012,1165.0
57,9.146604795645924,11.715182502660113,1082.0
58,8.80066759421988,11.128664413437818,1138.0
59,9.224499269005848,11.467133800762188,1140.0
60,8.910773239577098,11.221212572514888,1114.0
61,8.46351799979251,10.776795490361012,1071.0
62,9.012117117117118,11.506036960659246,1110.0
63,9.269790708371666,11.341743030324704,1087.0
64,9.431640081494733,11.757362251422258,1118.0
65,9.25689858490566,11.422580167401097,1060.0
66,9.665167135270229,12.237888334838155,1067.0
67,9.89071975658378,11.669656197798224,1059.0
68,9.4709278243761,11.681393783193313,1073.0
69,9.078687327384745,11.21829695713192,1046.0
70,9.511021289146289,11.346812402193551,1036.0
71,9.259150326797386,11.36538600522225,1003.0
72,9.627716742621528,11.960642255782206,1024.0
73,9.611877011877011,11.564374114349494,1001.0
74,9.629693100358422,11.63860521193513,992.0
75,9.507175456389453,11.693174477915306,986.0
76,8.993946024799417,11.184127371711893,914.0
77,10.032524317246539,11.919089481897103,891.0
78,9.622827282728272,11.354392326403916,909.0
79,9.82059917885553,11.734191638568051,866.0
80,10.130798915310805,12.220459684005778,799.0
81,9.85529980585424,11.668796225865215,744.0
82,10.235565268065269,11.734768520748501,715.0
83,10.023742603550296,11.786098200216781,676.0
84,10.199427854347457,11.976057383271877,653.0
85,10.873692442442442,12.835009656851724,666.0
86,10.981484741784039,12.604845118314564,568.0
87,10.622409488139825,12.107655520687924,534.0
88,10.83768092805449,12.742290695734987,522.0
89,10.572656933508313,12.666903561590662,508.0
90,10.79724887467425,12.736848138011778,469.0
91,10.365463592844545,12.275270956117314,441.0
92,11.211805555555555,13.55647623993314,388.0
93,10.424445796161125,12.046954367511109,411.0
94,11.385887445887446,12.21241632567989,385.0
95,11.155079250720462,12.509495133303421,347.0
96,10.622094874243873,12.017924392977505,349.0
97,12.173967339097022,13.136190460635765,347.0
98,11.52748447204969,12.615932734138452,322.0
99,10.967536344755972,12.178213643942602,321.0
100,10.589632178049609,12.613778415383576,327.0
101,11.34247723132969,13.140734172812786,305.0
102,11.296204410517387,12.671539332838785,262.0
103,10.979525420254202,12.898780835363596,271.0
104,11.101238738738738,12.091661944684487,259.0
105,12.692924096936443,13.702026352500042,243.0
106,9.853263052208836,11.041667959540122,249.0
107,11.444971870604782,13.042404699619274,237.0
108,10.614387926887927,12.50400231657782,231.0
109,11.01588785046729,12.581251615830201,214.0
110,10.750159489633173,12.108941233172478,209.0
111,11.725096899224807,13.536763582350638,215.0
112,11.375451887293993,13.097179426169221,209.0
113,11.460906862745098,12.034709650559462,204.0
114,12.03048469387755,13.153166671255093,196.0
115,12.23391598915989,14.130221403874922,205.0
116,11.570727040816328,12.418962652632555,196.0
117,11.387196601941747,12.587082446975852,206.0
118,13.302812674483528,13.96393374789458,199.0
119,11.437426513815403,13.119659041054195,189.0
120,11.517670682730923,12.833421910565749,166.0
121,12.009970566593083,13.019814755306713,151.0
122,13.288559027777776,13.231571284041848,160.0
123,10.922587719298246,11.82394795774394,152.0
124,10.264357429718876,11.793799809983383,166.0
125,11.96537508846426,14.404072795098108,157.0
126,10.752418414918415,11.41919018049896,143.0
127,11.403168724279835,12.6166738693993,135.0
128,10.567392205638475,12.060736178825977,134.0
129,12.488262910798122,13.73163611357891,142.0
130,12.97257226738934,14.1740381601425,123.0
131,12.2730930335097,14.995482058016274,126.0
132,10.891765169424744,13.196587897790396,141.0
133,11.421533333333333,12.42441771763418,125.0
134,11.899645969498911,12.744951764606604,102.0
135,13.05882658359294,14.122372386352657,107.0
136,14.105154914529916,13.972749552106311,104.0
137,11.953253968253968,13.553993997082987,105.0
138,10.944117647058823,12.123065275709608,85.0
139,14.011782661782663,14.386899025504835,91.0
140,12.160026041666667,14.797722881215975,96.0
141,9.533536585365853,9.94248792721618,82.0
142,13.242998477929985,14.408462127780544,73.0
143,11.439572310405644,13.05587223857371,63.0
144,12.513028169014083,13.019897594664945,71.0
145,12.072777777777777,13.012475699239651,65.0
146,11.014215686274511,11.432105283146678,68.0
147,11.315740740740742,13.199422020059847,69.0
148,11.782703993055556,13.941433972960727,64.0
149,13.887893518518519,15.329847087513373,60.0
150,11.05270947176685,12.932127307371877,61.0
151,12.514520202020202,13.413887176034956,55.0
152,10.67719017094017,11.576458678139435,52.0
153,13.283253205128204,14.510277663170713,52.0
154,12.293567251461988,13.052678456600209,57.0
155,6.65578231292517,8.033713520598614,49.0
156,11.92925,13.081000943971246,50.0
157,10.387971698113208,12.29069949760818,53.0
158,11.568815513626834,14.982642434624468,53.0
159,12.689146090534978,13.205555525442094,54.0
160,12.424814814814814,14.23098577853819,45.0
161,11.536517615176152,12.853700132012952,41.0
162,13.586896135265702,13.901145192966686,46.0
163,11.130493827160494,12.879975672322365,45.0
164,11.869142512077296,16.030654642942583,46.0
165,10.452834467120182,11.09263690569866,49.0
166,6.677027027027027,8.445871606390662,37.0
167,9.069308943089432,11.721442179668161,41.0
168,11.936553030303031,12.552576550607082,44.0
169,7.787741545893721,9.890464512013798,46.0
170,9.843240740740741,12.471645596443045,45.0
171,13.449643874643876,17.11018244066419,39.0
172,12.185416666666667,13.721584047325088,40.0
173,9.234081196581197,11.145828741715155,39.0
174,8.842708333333333,11.382264432376324,40.0
175,7.600225225225225,9.279626635715257,37.0
176,9.734375,12.582115573959266,36.0
177,10.28667328042328,13.782372034368294,42.0
178,11.098478835978836,13.647537124819046,42.0
179,10.16047619047619,14.30779922575484,35.0
180,12.040104166666666,13.080544736595767,32.0
181,10.37388888888889,11.61115853626495,30.0
182,9.517025089605735,11.603563441375783,31.0
183,7.822777777777778,9.772734926745871,35.0
184,11.936200716845878,13.370471493741508,31.0
185,9.40298353909465,11.411795468318505,27.0
186,12.773130341880343,11.989864346980662,26.0
187,9.309420289855073,8.425520135140049,23.0
188,13.813518518518519,14.18960495012304,30.0
189,9.631336805555556,10.386280800660014,32.0
190,10.2675,11.933050458584614,30.0
191,11.195352564102564,11.872109452892827,26.0
192,8.812666666666667,9.678693763259739,25.0
193,9.346777777777778,13.415377825143727,25.0
194,10.969341563786008,13.140969244996175,27.0
195,12.17105734767025,12.675478127811122,31.0
196,14.227281746031746,16.510637861150595,28.0
197,9.882799145299145,10.20525618079108,26.0
198,7.735666666666666,8.933467595902334,25.0
199,10.407608695652174,12.343080432049454,23.0
200,8.837860082304527,9.676245136207813,27.0
201,8.99638888888889,11.929407039531126,25.0
202,11.30163043478261,13.590470013377544,23.0
203,8.85,11.951197057663768,17.0
204,8.234722222222222,8.096353093525053,18.0
205,11.419590643274853,10.07058909942214,19.0
206,8.740079365079364,12.410179717719734,21.0
207,13.865,13.067873106962836,15.0
208,12.781084656084655,14.806797102911757,21.0
209,12.961988304093566,12.717781216247097,19.0
210,16.079431216931216,18.041687235998065,21.0
211,16.810416666666665,16.326893543781104,20.0
212,12.2593567251462,11.88552076044722,19.0
213,14.189743589743589,18.716828111579282,13.0
214,12.816239316239317,12.96644896147227,13.0
215,8.825520833333334,11.422831048172455,16.0
216,13.889880952380953,17.449955972617122,14.0
217,7.076923076923077,7.976172671421456,13.0
218,11.960813492063494,16.568096517938734,14.0
219,5.965811965811966,8.822131800005947,13.0
220,7.999131944444445,11.441235243983884,16.0
221,10.927083333333334,15.709746188772641,12.0
222,9.686342592592593,14.046777385146923,12.0
223,8.660648148148148,8.129389070361553,12.0
224,16.357142857142858,18.981881851500887,7.0
225,12.7575,14.247935983290724,10.0
226,13.485243055555555,12.2016818955861,8.0
227,8.808080808080808,12.592383638591189,11.0
228,17.585833333333333,14.69915304440729,10.0
229,12.807142857142859,14.722551911898114,14.0
230,10.15625,14.780700999066639,8.0
231,8.125,9.079346001200959,8.0
232,16.708333333333332,12.559540735714164,8.0
233,5.992063492063492,5.8684506065950535,7.0
234,11.432222222222222,16.33297341503168,10.0
235,11.596590909090908,15.41952189980892,11.0
236,8.32638888888889,11.742150738098578,12.0
237,12.023333333333333,12.40775394762047,10.0
238,9.609126984126984,10.945282107546783,14.0
239,18.76121794871795,15.714062411694579,13.0
240,19.492424242424242,21.215288792174228,11.0
241,4.076923076923077,4.5854113393453755,13.0
242,7.970238095238096,11.131767467365503,14.0
243,11.639957264957266,13.067083244929396,13.0
244,12.11489898989899,11.997553266041068,11.0
245,13.562820512820512,9.524355120208426,13.0
246,15.628205128205128,15.183136104670027,13.0
247,15.336538461538462,14.333741732901673,13.0
248,8.924206349206349,12.097548982828771,14.0
249,6.183760683760683,8.372790756931302,13.0
250,10.894017094017093,13.629467301306345,13.0
251,9.099358974358974,10.691425509068209,13.0
252,10.06439393939394,11.027480881686424,11.0
253,13.259027777777778,13.409634132700035,10.0
254,12.020833333333334,13.791657675151722,8.0
255,10.725,12.400844380848618,10.0
256,14.189814814814815,17.36472462394472,9.0
257,11.20959595959596,11.288838060610937,11.0
258,12.252777777777776,16.950213802261807,10.0
259,11.837121212121211,16.20442813435933,11.0
260,10.331196581196581,14.618592567502438,13.0
261,9.491975308641976,11.846706095019968,9.0
262,16.788580246913583,12.73474368980362,9.0
263,13.51666666666667,18.973153547988684,5.0
264,10.296031746031746,9.483327754064252,7.0
265,15.71626984126984,12.857940616784708,7.0
266,11.0,15.853495934125485,7.0
267,18.655555555555555,18.51618577900074,8.0
268,16.396913580246913,17.638229452045852,9.0
269,18.243055555555557,17.105966206593276,9.0
270,9.75,13.250786140200638,4.0
271,18.837500000000002,16.481895581044203,6.0
272,8.71031746031746,9.49810270667016,7.0
273,9.61111111111111,17.164131420127482,6.0
274,9.192857142857145,9.766305724951865,7.0
275,11.934920634920635,17.943417214688733,7.0
276,8.222222222222223,11.839070075259864,7.0
277,19.565476190476193,19.221658085354253,7.0
278,7.560185185185184,12.388935600310544,9.0
279,10.964285714285714,16.50293584591516,7.0
280,1.2333333333333334,0.32489314482696546,5.0
281,9.055555555555555,10.9320290549952,3.0
282,2.0,1.6733200530681511,6.0
283,14.0,8.48528137423857,2.0
284,12.55,18.775316242343298,5.0
285,9.20952380952381,9.246214726713132,7.0
286,18.88888888888889,8.499618727832354,6.0
287,16.366666666666667,21.567851590323553,5.0
288,7.7,5.707451270050407,5.0
289,9.458333333333332,14.374214954409007,4.0
290,5.666666666666667,8.082903768654761,3.0
291,19.333333333333332,24.90649179096352,3.0
292,4.333333333333333,2.753785273643051,3.0
293,10.844444444444443,19.224686739890288,5.0
294,1.9166666666666665,1.2583057392117916,4.0
295,1.0,0.0,2.0
296,17.166666666666668,17.915852694688517,6.0
297,20.488194444444442,21.914003389617907,6.0
298,15.566666666666666,8.424567249024328,4.0
299,9.75,11.463710859345095,4.0
300,11.0,9.246621004453464,5.0
301,7.083333333333333,9.683534134464201,3.0
302,6.725,7.756878667780401,4.0
303,5.0,4.405383911466447,4.0
304,2.7333333333333334,1.8431555067932335,5.0
305,14.199999999999998,20.078803085177494,5.0
306,19.75462962962963,25.82042812861274,3.0
307,11.333333333333334,17.03917055884274,3.0
308,7.866666666666667,9.269424050188999,5.0
309,7.438888888888888,10.03563096615698,5.0
310,3.111111111111111,1.1706281947614157,3.0
311,7.911111111111111,6.345213029919621,5.0
312,14.916666666666668,10.275375094532235,4.0
313,2.8333333333333335,2.619372274250285,3.0
314,13.986111111111112,23.76922548689615,4.0
315,8.729166666666666,12.084841859858066,4.0
316,9.0,0,1.0
317,22.333333333333332,21.031722072463143,3.0
318,4.145833333333333,3.4118360159890444,4.0
319,18.314814814814817,29.990138982905563,3.0
320,3.7222222222222228,2.1751968833835438,3.0
321,2.138888888888889,1.6786605477486807,4.0
322,3.166666666666667,3.0641293851417064,2.0
323,1.5,0.7071067811865476,2.0
324,3.0,2.8284271247461903,2.0
325,13.888888888888893,0,1.0
326,17.75,23.68807716974934,2.0
327,6.340277777777777,7.773026822779805,4.0
328,21.703703703703706,26.8301317007239,3.0
329,1.0,0.0,2.0
330,1.5277777777777777,0.6472877887628358,3.0
331,8.291666666666668,14.583333333333334,4.0
332,12.447916666666666,17.977525031271686,4.0
333,1.6666666666666667,0.5773502691896258,3.0
334,2.611111111111111,2.790526301083191,3.0
335,25.5,31.81980515339464,2.0
336,3.861111111111111,1.7956995954326653,3.0
337,6.125,5.833630944789017,2.0
338,19.555555555555554,25.849099131805847,3.0
339,2.0,0,1.0
340,4.708333333333333,3.7123106012293743,2.0
341,18.490740740740744,28.56717680371968,3.0
342,17.016666666666666,19.49390218048255,4.0
343,19.5,22.863119258365035,2.0
344,9.075,9.353564382986129,4.0
345,20.666666666666668,28.00595174839329,3.0
346,38.55555555555556,0,1.0
347,1.7916666666666665,0.7120003121097942,4.0
348,9.875,15.504703587406416,4.0
349,2.5,0.7071067811865476,2.0
350,2.5,0,1.0
351,9.5,12.774486291041217,3.0
352,40.55555555555557,0,1.0
353,13.888888888888888,10.329748482112413,3.0
354,21.166666666666664,3.535533905932739,2.0
355,6.777777777777779,3.17250923005983,3.0
356,2.0,1.0,3.0
357,5.166666666666667,2.5927248643506737,2.0
358,3.444444444444444,4.233901974057255,3.0
359,1.25,0.3535533905932738,2.0
360,2.9629629629629632,3.3055633364365318,6.0
361,10.816666666666666,10.534651816215327,4.0
362,7.833333333333333,10.152996273678689,3.0
363,9.61111111111111,13.776321607636671,3.0
364,7.527777777777779,5.381868279030946,2.0
365,8.5,9.192388155425117,2.0
366,6.416666666666667,7.660323462854265,2.0
367,2.666666666666667,2.357022603955159,2.0
368,11.791666666666666,12.843340254345398,4.0
369,13.166666666666666,4.4783429475147996,2.0
370,16.75,0,1.0
371,17.666666666666668,25.482019804821856,3.0
372,14.625,21.025722782309256,4.0
373,13.083333333333334,11.615363389350618,4.0
375,9.847222222222223,4.86428467835701,4.0
376,5.548611111111111,4.345091774734361,4.0
377,5.666666666666667,8.082903768654761,3.0
378,21.916666666666668,29.58063367963724,2.0
379,28.833333333333332,19.211541669874737,3.0
380,1.1666666666666667,0.28867513459481287,3.0
381,4.194444444444445,0.9941961204540711,3.0
382,1.3333333333333333,0.6666666666666665,4.0
383,23.416666666666668,28.87352689845069,2.0
384,16.166666666666668,18.05777764104247,3.0
385,12.65,20.35589595178753,5.0
386,1.5,0.8660254037844386,3.0
387,12.125,16.147110164567117,4.0
388,13.075,13.064806415200596,4.0
389,3.111111111111111,1.8358568490953675,3.0
390,3.0,1.620185174601965,5.0
391,3.0,2.7436796055257213,3.0
392,17.083333333333332,21.331054565794183,2.0
393,4.972222222222222,2.5770532985764385,3.0
394,26.5,34.64823227814083,2.0
395,10.770833333333332,13.263947062117921,4.0
396,1.9583333333333333,0.7500000000000001,4.0
397,14.027777777777777,9.362883116162113,4.0
398,6.166666666666667,6.674994798166928,4.0
399,3.777777777777778,4.811252243246882,3.0
400,23.375,19.407126888699267,4.0
401,7.0,0,1.0
402,3.041666666666667,3.3176715395657306,4.0
403,16.65277777777778,13.25069879359268,4.0
404,22.416666666666668,15.62916611125921,3.0
405,9.208333333333332,9.192765875646156,4.0
406,15.02888888888889,10.333356033427874,5.0
407,10.341666666666667,12.245415808919406,3.0
408,2.0,0,1.0
409,9.458333333333334,8.283601605313692,4.0
410,9.111111111111112,11.47084333924844,2.0
411,18.802083333333332,22.173959091816588,4.0
412,32.11111111111111,0,1.0
413,12.75,13.788582233137676,2.0
414,17.64814814814815,20.958979139842718,3.0
415,17.185185185185187,14.938695025118424,3.0
416,4.138888888888889,5.033529552221426,4.0
417,15.308333333333334,17.110823410279757,4.0
418,9.0,11.313708498984761,2.0
419,8.77,14.548264501307363,5.0
420,1.8333333333333333,0.5773502691896257,3.0
421,17.47222222222222,27.95536289900052,3.0
422,17.666666666666668,0,1.0
423,7.376666666666667,8.340726720269776,5.0
424,9.472222222222221,14.674319341902986,3.0
425,2.0925925925925926,0.5161985135098649,3.0
426,7.25,6.639528095680697,4.0
427,11.316666666666668,8.896160220379727,6.0
428,26.0,25.45584412271571,2.0
429,2.375,2.75,4.0
430,1.875,1.4361406616345072,4.0
431,33.31666666666666,7.401050976419195,2.0
432,16.15625,24.490086217011704,4.0
433,12.555555555555557,17.86549540107763,3.0
434,9.805555555555555,11.759826466343732,6.0
435,13.708333333333334,20.434346086919447,4.0
436,16.583333333333332,22.89771944005681,4.0
437,9.791666666666666,12.532273152559767,4.0
438,6.708333333333333,7.7751607700419925,5.0
439,9.922222222222222,18.839297646209353,5.0
440,4.666666666666666,6.683312551921139,4.0
441,10.0,14.730919862656235,3.0
442,18.020833333333332,14.250791888328326,4.0
443,8.4375,8.835265773947963,4.0
444,2.0,1.0,3.0
445,17.479166666666668,16.19961919419827,4.0
446,2.5,2.1213203435596424,2.0
447,7.479166666666667,10.195399970357002,4.0
448,7.7,5.3003144560802555,4.0
449,9.888888888888888,7.705217087815915,3.0
450,9.916666666666666,8.179836320014125,5.0
451,11.833333333333332,19.627078800020705,5.0
452,1.25,0.3535533905932738,2.0
453,13.354166666666666,14.11267284118151,2.0
454,10.592592592592592,11.592533427845707,3.0
455,12.5,19.059118552545918,3.0
456,6.6759259259259265,5.643357105825247,3.0
457,9.13888888888889,13.240387848185202,3.0
458,13.52222222222222,10.362128338507668,3.0
459,5.666666666666667,4.041451884327381,3.0
460,9.666666666666666,15.01110699893027,3.0
461,4.933333333333333,5.599603160542322,5.0
462,4.416666666666667,5.076498136839344,3.0
463,6.055555555555556,7.227135081170235,3.0
464,6.125,6.196437148340435,4.0
465,9.166666666666666,13.007476482563574,3.0
466,8.388888888888888,4.928188007476687,3.0
467,14.708333333333332,14.97984757376834,4.0
468,13.604166666666666,16.41076988003779,2.0
469,19.0,25.45584412271571,2.0
470,20.972222222222225,16.65840072800552,3.0
471,15.166666666666666,0,1.0
472,26.3,0,1.0
473,17.833333333333332,17.913371790059205,2.0
474,7.861111111111111,10.5877068828447,3.0
475,14.833333333333334,23.96003617136947,3.0
476,24.0,0,1.0
477,9.125,13.64219098972009,3.0
478,17.86111111111111,14.941572163052442,3.0
479,10.083333333333334,14.036410984768626,3.0
