distance,median_nonzero,std_nonzero,count_nonzero
0,3.0,11.002899748425968,244.0
1,3.0,11.020755390589105,467.0
2,4.0,12.788440484812352,494.0
3,3.0,11.892752773462577,513.0
4,4.0,11.978689701621393,518.0
5,3.0,11.045439532790812,492.0
6,3.0,12.454374863415524,520.0
7,3.0,11.785846809764616,512.0
8,3.0,10.80435160119847,496.0
9,3.0,12.434545826187412,537.0
10,3.0,12.404961558797687,514.0
11,3.0,10.902432278309337,498.0
12,3.0,11.733768591133748,496.0
13,3.0,11.494793753396959,501.0
14,4.0,11.618911231109086,500.0
15,4.0,12.316325349806332,490.0
16,3.0,11.648423528611175,492.0
17,3.0,12.374888435641763,469.0
18,3.0,10.784246065196216,495.0
19,3.0,11.445071474247595,512.0
20,4.0,11.137063459448678,485.0
21,4.0,12.256349128754833,493.0
22,4.0,13.03961503109734,518.0
23,3.0,11.309650884311147,512.0
24,4.0,11.869708939512204,466.0
25,4.0,13.331533790547756,518.0
26,3.0,12.358934195365794,518.0
27,3.0,11.73923810541666,524.0
28,4.0,12.966682575443699,538.0
29,4.0,12.431315208571185,521.0
30,4.0,12.46769357926996,508.0
31,4.0,11.06603683435395,541.0
32,3.0,13.245862299147708,525.0
33,3.5,11.685925968080698,500.0
34,4.0,12.215679703053212,566.0
35,4.0,11.945566647666963,544.0
36,4.0,12.095948661203433,521.0
37,4.0,12.382170411225205,536.0
38,4.0,12.094573127439855,513.0
39,4.0,11.994085233908214,581.0
40,4.0,11.43081185951744,542.0
41,5.0,12.655563249468237,579.0
42,4.0,11.824946463024025,599.0
43,4.0,11.233081966116528,571.0
44,4.0,12.607934258807203,598.0
45,3.0,12.119888954703233,568.0
46,4.0,12.010032734173596,633.0
47,4.0,11.655844321036335,624.0
48,5.0,12.455427490010269,614.0
49,4.0,12.094790805771972,623.0
50,4.0,11.45639235449837,613.0
51,4.0,12.838303470451418,603.0
52,4.0,10.88872334107907,633.0
53,4.0,13.324417131846745,599.0
54,4.0,12.90840344413758,596.0
55,5.0,12.682910361117665,614.0
56,5.0,13.219514468809978,587.0
57,4.0,12.33810147745618,648.0
58,4.0,11.751884088463239,648.0
59,5.0,12.484718303112938,637.0
60,5.0,13.13052735005079,574.0
61,5.0,12.846178196164281,606.0
62,5.0,13.100470544045423,667.0
63,6.0,12.397528245808319,574.0
64,5.0,13.775469902140982,610.0
65,4.0,13.50848537443573,593.0
66,5.0,11.644226765289797,614.0
67,5.0,13.087443895944217,614.0
68,5.0,13.496787186826838,590.0
69,5.0,13.516942094089403,599.0
70,6.0,13.357745897756235,537.0
71,5.0,12.84203470751598,567.0
72,6.0,13.51506781844893,556.0
73,5.0,12.39170952481472,520.0
74,5.0,13.545994055554019,541.0
75,5.0,13.49163028758737,540.0
76,5.5,13.136901065910259,482.0
77,6.0,13.396510166875379,535.0
78,6.0,14.64799146300565,492.0
79,5.0,12.395233694985192,461.0
80,5.0,13.79502127676493,466.0
81,6.0,13.582395167543618,451.0
82,7.0,13.145305717002316,420.0
83,7.0,13.762150805544659,387.0
84,6.0,12.245490212013983,410.0
85,6.0,14.096832191657247,374.0
86,6.0,13.67212686172575,366.0
87,6.0,12.982408779038499,340.0
88,7.0,14.649386210571347,345.0
89,6.0,14.719281747205109,274.0
90,8.0,13.989246582534811,295.0
91,6.0,15.349359648241675,285.0
92,6.0,15.018452095529852,270.0
93,8.0,13.259155940065893,234.0
94,8.0,14.351036961061414,214.0
95,6.0,12.18749238598952,215.0
96,7.0,15.226396793939326,207.0
97,6.0,13.626644031975413,192.0
98,8.0,13.931470850568353,213.0
99,6.0,14.476087235525792,194.0
100,9.0,13.670525920160074,172.0
101,7.0,13.847640157907646,171.0
102,8.0,15.338634674320412,162.0
103,8.0,15.444376609386604,174.0
104,6.5,15.223246427163094,164.0
105,5.0,13.1867612252481,158.0
106,9.0,14.880335308116804,161.0
107,8.0,14.810697578083406,165.0
108,6.0,14.234562338145338,142.0
109,6.0,15.415683988312791,133.0
110,7.0,12.70692147627556,139.0
111,6.0,14.209357502654193,143.0
112,6.0,14.164460332393059,126.0
113,7.0,13.91081894852045,124.0
114,7.0,13.9283583341571,139.0
115,8.0,14.724595408137857,138.0
116,8.0,13.39994010279131,111.0
117,7.0,13.800839812112716,113.0
