distance,median_nonzero,std_nonzero,count_nonzero
0,3.0,12.737102222175704,248.0
1,3.0,11.510818918975387,433.0
2,4.0,11.94093559720819,480.0
3,4.0,12.517657606117291,488.0
4,4.0,11.661088718152998,499.0
5,3.0,12.20158644832093,504.0
6,3.0,13.243909916301693,498.0
7,3.0,12.929988940237708,471.0
8,4.0,11.922494048916828,484.0
9,4.0,12.822714111211006,507.0
10,4.0,12.358542749560364,497.0
11,4.0,12.156881878194065,487.0
12,3.0,12.144674132328094,501.0
13,4.0,13.14915665470602,471.0
14,4.0,11.721319601515342,492.0
15,4.0,12.738343595786741,491.0
16,3.0,11.526681453467543,489.0
17,4.0,12.425561091040022,455.0
18,4.0,10.991923744703353,489.0
19,4.0,12.477139697385146,526.0
20,4.0,11.863177822505483,499.0
21,4.0,13.791425746874197,471.0
22,4.0,13.538088298794507,535.0
23,3.0,13.535890079929759,493.0
24,4.0,13.501228585684347,447.0
25,4.0,12.952672349902123,537.0
26,4.0,12.189619993782284,527.0
27,4.0,12.415155907974933,522.0
28,5.0,13.576557535454612,521.0
29,4.0,12.357830407222872,525.0
30,4.0,13.758772869261376,493.0
31,4.0,11.942346361998322,536.0
32,4.0,13.732049008085946,507.0
33,4.0,12.760502901015185,478.0
34,5.0,13.794115502452524,524.0
35,5.0,12.88654611390631,531.0
36,4.0,12.364830269551467,539.0
37,4.0,12.693600238840203,542.0
38,4.0,12.325400889558583,525.0
39,4.0,11.640620928985635,553.0
40,4.0,12.271793990466726,536.0
41,4.0,13.087108691074425,591.0
42,4.0,11.512358807977307,594.0
43,4.0,12.361581273201251,539.0
44,5.0,13.97515893992215,596.0
45,4.0,13.038160350727692,536.0
46,4.0,12.84318975476587,625.0
47,5.0,13.225418649047432,606.0
48,5.0,12.423010477574241,593.0
49,5.0,14.106574117227936,595.0
50,4.5,13.885536749189109,606.0
51,5.0,13.304861544497266,580.0
52,5.0,11.147311924999052,603.0
53,5.0,12.517524321316852,607.0
54,5.0,13.264525629784034,583.0
55,5.0,13.00550136189156,616.0
56,5.0,13.39853701302675,596.0
57,5.0,13.083613900088338,612.0
58,5.0,12.648458985068368,608.0
59,5.0,13.220073217728437,630.0
60,4.0,13.304015508995233,577.0
61,5.0,12.76945454926712,616.0
62,5.0,13.269658126057884,644.0
63,5.0,12.085716531301761,587.0
64,5.0,13.558966185094574,605.0
65,5.0,12.968568777581956,557.0
66,6.0,12.790433608630819,589.0
67,5.0,13.821679138039114,592.0
68,5.0,13.559775090042269,588.0
69,6.0,13.836041940727085,569.0
70,6.0,14.349395139284486,563.0
71,5.0,12.527159185844114,557.0
72,7.0,14.105774086438146,564.0
73,7.0,13.464360360647825,479.0
74,5.0,13.337420910235847,540.0
75,4.0,14.002819226973255,545.0
76,5.0,13.433878172136321,499.0
77,6.0,14.111810878996026,491.0
78,7.0,14.948340060477431,480.0
79,5.0,12.871380718546858,465.0
80,5.0,14.463023031435629,467.0
81,6.0,14.42472390414127,437.0
82,6.0,14.152976650080136,425.0
83,6.5,13.670378476666617,386.0
84,6.0,13.395221049498485,403.0
85,6.0,14.023370854700946,358.0
86,6.0,14.046633623556664,359.0
87,5.0,14.117234705883321,330.0
88,7.0,15.637212416812936,323.0
89,6.0,14.877230294118057,272.0
90,8.0,13.993489084188397,311.0
91,8.0,15.398113777993418,289.0
92,7.0,15.60276306105563,251.0
93,7.0,15.188776073511297,252.0
94,7.0,15.077372134271512,228.0
95,7.0,15.797907011515228,211.0
96,7.0,15.652117760688062,207.0
97,7.0,15.20236404293036,199.0
98,8.0,13.350772185039709,204.0
99,5.0,13.62590130450209,195.0
100,7.0,15.704560828239,179.0
101,8.0,15.428617437244494,161.0
102,9.0,16.49104903310051,173.0
103,8.0,14.916072971333202,171.0
104,6.5,14.429067135115934,152.0
105,7.0,15.662025480300878,145.0
106,12.0,15.082062912641618,155.0
107,6.5,15.644662147091262,154.0
108,9.0,14.171650411341076,136.0
109,7.0,16.274056139322077,125.0
110,8.5,15.49475178274283,124.0
111,6.0,13.396261326310771,127.0
112,7.0,15.321533595808676,138.0
113,11.0,15.388599992508793,123.0
114,9.0,14.740062356501882,138.0
115,8.0,13.931959884590826,137.0
116,9.0,14.432008707380888,114.0
117,6.0,14.754632274432291,121.0
118,11.0,15.510354763556402,123.0
119,8.0,15.499135705503873,104.0
120,8.0,17.384071356279655,99.0
121,8.0,15.172869204505552,122.0
122,5.0,14.062221700839268,104.0
123,8.0,14.510510707674117,103.0
124,9.5,16.0939608649949,108.0
125,6.0,13.810183366402555,95.0
126,11.0,15.9434008174042,107.0
127,10.0,14.74626712021887,86.0
128,9.0,13.38724567902303,92.0
129,8.0,15.798585276932856,95.0
130,9.0,13.711338443952839,87.0
131,6.5,14.167667735964246,72.0
132,7.5,15.76985669819768,72.0
133,7.0,13.810025053559817,57.0
134,6.0,15.388108196717157,75.0
135,10.0,14.215856794987221,56.0
136,8.5,13.4453336651089,68.0
137,6.0,14.437339226910648,63.0
138,6.0,13.975331451277304,69.0
139,14.5,16.745224088136432,64.0
140,7.0,14.989940510166026,55.0
141,7.5,15.176035606758065,48.0
142,5.0,15.634019313870873,59.0
143,6.5,12.58628024297131,48.0
144,10.5,13.445895366495172,42.0
145,9.0,15.896367347851339,58.0
146,10.5,13.078881559871352,36.0
147,7.5,13.847444678998759,30.0
148,9.0,17.18984456888779,35.0
149,7.0,14.419980196831247,34.0
150,7.5,18.060212190553468,30.0
151,7.5,11.625845442722198,32.0
152,6.0,10.77780012849357,41.0
153,5.0,17.8175620453916,29.0
154,7.0,15.00344787959961,30.0
155,5.5,10.15757900733844,32.0
156,11.0,16.638244163107142,22.0
157,8.5,16.117746307463275,28.0
158,13.0,16.062260492259863,33.0
159,17.0,16.113141634496152,30.0
160,8.0,14.0540373696157,35.0
161,6.0,15.26461278124488,35.0
162,8.0,14.076134630557002,28.0
163,14.0,17.237586471190756,23.0
164,13.0,15.70978511899028,33.0
165,6.0,17.132797889800823,27.0
166,5.5,19.54135653900761,26.0
167,9.0,12.141947973237052,19.0
168,13.0,16.446941780750425,33.0
169,16.0,13.38226652967517,30.0
170,10.5,18.50711100887269,20.0
171,10.0,16.2934687584629,18.0
172,15.0,15.98302671139427,21.0
173,5.0,15.044597733027514,23.0
174,2.0,9.342911751697113,25.0
175,6.5,12.358694058863167,24.0
176,6.0,15.028415115026773,24.0
177,12.0,15.817957902579971,22.0
178,11.0,14.77780089219929,23.0
179,11.0,16.14193001973137,21.0
180,4.0,17.507988013154872,23.0
181,9.0,16.605650214538993,21.0
182,6.0,18.31324657181244,17.0
183,9.0,7.7892563585931,19.0
184,16.0,18.687051194689364,18.0
185,10.0,21.984748501328518,16.0
186,9.0,20.82948984154013,17.0
187,5.0,15.770060405553469,22.0
188,8.0,15.190941573265068,17.0
189,13.0,14.003967691733337,9.0
190,10.0,10.873296254060746,21.0
191,7.0,13.651384329717153,17.0
192,5.0,9.974729976056398,15.0
193,7.5,16.304907236779975,16.0
194,11.0,7.2905085660408595,12.0
195,3.0,19.976176286957898,21.0
196,6.5,14.701951177345565,20.0
197,17.5,16.948451256678293,20.0
198,8.0,15.462704747075723,15.0
199,7.0,14.311999627352334,13.0
200,14.0,14.114856239674092,16.0
201,12.0,18.91269569573656,19.0
202,12.5,21.51424266300437,14.0
203,15.0,15.103064725497408,13.0
204,16.0,18.757601633674255,21.0
205,6.0,17.669314597985206,19.0
206,13.5,21.97726097583591,16.0
207,9.5,12.217303303102529,16.0
208,10.0,18.102372950327492,19.0
209,14.0,17.032182423143492,15.0
210,5.0,17.74516579496819,11.0
211,9.0,17.052858997833766,16.0
212,4.5,9.905043670266684,14.0
213,18.0,20.34754843396932,12.0
214,4.0,16.49915822768611,18.0
215,12.0,17.118077328618757,15.0
216,6.0,4.060651288757616,10.0
217,14.0,12.951091430098439,13.0
218,7.0,16.404606399152378,9.0
219,19.0,18.031718086273898,14.0
220,10.0,20.52315765178448,16.0
221,15.0,16.352661062026687,15.0
222,3.0,20.731082407288284,9.0
223,6.0,15.824798337553702,12.0
224,10.0,12.496285162284947,21.0
225,10.5,15.972893705691945,16.0
226,7.5,15.089593544338205,16.0
227,10.5,9.035947744888285,14.0
228,19.0,12.380860805522138,7.0
229,17.0,13.14932553041265,7.0
230,9.0,18.73670468796748,13.0
231,22.0,22.232108911811913,6.0
232,12.0,12.794530081249565,5.0
233,14.0,21.545632636668753,8.0
234,23.0,20.796061898258294,7.0
235,7.5,10.883334493479914,12.0
236,6.0,14.651093660698011,11.0
237,11.0,17.942810383115695,9.0
238,22.0,19.842234897165334,8.0
239,4.0,9.41629792788369,4.0
240,7.0,17.54789364649135,8.0
241,9.0,13.849187701811251,5.0
242,27.0,25.341665296503308,5.0
243,1.0,1.1547005383792517,3.0
244,27.0,24.691429012243635,4.0
245,13.0,17.524585904126553,9.0
246,29.0,18.51125783588643,7.0
247,9.5,18.01537042163084,8.0
248,8.0,17.642784846584085,8.0
249,29.0,17.31184565550421,5.0
250,14.0,14.773850773128402,6.0
251,15.0,15.033296378372908,10.0
252,9.0,10.962055768270233,6.0
253,21.0,11.610340218959994,5.0
254,23.5,16.724127139298737,8.0
255,5.0,7.314369419163897,9.0
256,9.0,11.937336386313323,9.0
257,24.0,18.66113863723474,7.0
258,6.0,13.987239082208367,8.0
259,6.0,19.651971911235776,5.0
260,3.0,9.367496997597597,9.0
261,6.5,10.480423928176078,8.0
262,19.5,20.00416623272929,6.0
263,13.0,24.69781656052095,8.0
264,7.0,13.910427743243556,5.0
265,14.0,15.867156855173098,6.0
266,1.5,11.343133018115703,4.0
267,1.0,14.14802695313614,6.0
268,5.0,9.1104335791443,4.0
269,4.5,8.47938677028003,6.0
270,29.0,22.108821768696767,5.0
271,3.0,14.184498581197715,5.0
272,29.0,25.45584412271571,2.0
273,6.0,9.255628917943215,4.0
274,24.5,24.8327740429189,4.0
275,19.5,16.314615124687023,6.0
276,20.0,13.575713609236164,5.0
277,9.0,6.97614984548545,4.0
278,23.5,22.86737122335374,4.0
279,1.0,14.737706741552431,5.0
280,18.0,26.8824602048746,4.0
281,3.0,7.874007874011811,5.0
282,14.0,13.69827934971605,8.0
283,18.0,14.761597539045763,7.0
284,1.5,0.7071067811865476,2.0
285,28.0,16.19670748434179,3.0
286,9.5,21.55380863482523,6.0
287,3.0,12.096831541082702,7.0
288,10.0,21.57931107951935,7.0
289,19.0,10.691117808723277,5.0
290,7.0,23.878860944358294,5.0
291,10.0,5.560275772537426,4.0
292,15.0,6.027713773341707,3.0
293,10.0,6.403124237432849,5.0
294,7.5,25.290314351545735,6.0
295,19.0,14.349216006458333,6.0
296,19.5,17.12794986758972,6.0
297,7.0,6.506407098647712,3.0
298,42.0,24.035390573069535,5.0
299,2.0,25.933982119439904,7.0
300,6.0,21.26734586167254,5.0
301,6.0,12.23967008581211,7.0
302,8.0,9.495613022162743,6.0
303,23.5,15.344923156101716,6.0
304,18.5,17.435595774162696,6.0
305,11.5,19.397164741270824,4.0
306,3.0,3.8297084310253524,4.0
307,11.5,16.82012683265696,4.0
308,15.0,13.077758897371437,9.0
309,15.0,25.25866188063018,4.0
310,4.0,20.41941186597648,7.0
311,1.5,27.337398071750236,4.0
312,7.5,13.140268896284683,6.0
313,10.5,5.446711546122731,4.0
314,3.5,1.4719601443879746,6.0
315,43.0,25.552234083669997,4.0
316,41.0,5.656854249492381,2.0
317,19.5,2.1213203435596424,2.0
318,8.0,9.899494936611665,2.0
319,3.0,14.730919862656235,3.0
320,10.0,11.129540272026814,6.0
321,9.0,3.696845502136472,4.0
322,9.0,17.91089054179049,5.0
323,8.5,14.210157332998515,8.0
324,16.0,11.372481406154654,7.0
325,5.0,5.656854249492381,2.0
326,8.5,11.84271928232701,4.0
327,12.5,12.020815280171307,2.0
328,25.0,11.930353445448855,3.0
329,28.0,10.222524150130436,5.0
330,22.0,22.80350850198276,5.0
331,32.0,18.193405398660254,3.0
332,13.5,20.758532382292028,4.0
333,8.0,14.27235089254745,5.0
334,7.0,10.954451150103322,4.0
335,19.5,18.699376103674332,4.0
336,6.0,16.236349578000826,7.0
337,14.0,20.06655592438988,4.0
338,42.0,24.43358344574123,3.0
339,12.0,13.103434664239755,5.0
340,16.0,11.313708498984761,2.0
341,2.0,24.54248017893329,3.0
342,1.0,4.0,4.0
343,1.5,3.125166662222459,6.0
344,3.0,4.919349550499537,5.0
345,33.0,20.847518979942137,7.0
346,2.0,1.4142135623730951,2.0
