distance,median_nonzero,std_nonzero,count_nonzero
0,3.0,17.690041307957486,212.0
1,4.0,16.468265540245543,436.0
2,4.0,18.605433022513648,407.0
3,5.0,19.28869507721702,472.0
4,4.0,16.411190063425167,394.0
5,4.0,17.32612038060549,472.0
6,4.0,16.9916007307808,445.0
7,4.0,17.012883287758765,434.0
8,4.0,17.05924889717167,426.0
9,5.0,16.92617440140472,453.0
10,4.0,16.45852081596747,413.0
11,4.0,17.766890571074523,433.0
12,4.0,17.6490045632435,433.0
13,4.0,16.990394004498114,447.0
14,5.0,16.258627019011673,460.0
15,4.0,15.146071184389365,408.0
16,4.0,17.888355298555904,408.0
17,4.0,17.918918036354494,420.0
18,4.0,15.035361671666394,441.0
19,4.0,17.31223823614128,436.0
20,4.0,16.991298986432913,438.0
21,4.0,16.857273961455718,409.0
22,4.0,18.00874863261788,414.0
23,5.0,16.96821220751929,447.0
24,4.0,17.29802772275735,482.0
25,4.0,15.424422350220047,462.0
26,4.0,16.187286546124795,458.0
27,4.0,16.65542632714456,441.0
28,4.0,14.94743233703336,433.0
29,4.0,15.28860104788638,499.0
30,5.0,18.7088515417316,455.0
31,4.0,16.720494303194325,429.0
32,5.0,16.23626003116867,463.0
33,5.0,17.54082382096597,449.0
34,4.0,14.599078943413577,460.0
35,4.0,19.594135162822237,484.0
36,5.0,16.459519657740575,469.0
37,4.0,17.662070892148936,492.0
38,6.0,17.51149209509405,430.0
39,5.0,16.444163614419995,503.0
40,5.0,18.17934302049812,495.0
41,5.0,16.978182274516126,500.0
42,5.0,16.084955533731858,510.0
43,6.0,17.373796034208024,532.0
44,4.0,17.139404534684452,545.0
45,5.0,16.99273949135864,484.0
46,5.0,17.49406758624973,524.0
47,4.0,16.92163008200056,513.0
48,6.0,18.091810482874955,537.0
49,5.0,16.945528119470985,573.0
50,5.0,18.431498917426744,550.0
51,5.0,18.15278185118907,545.0
52,5.0,19.553971375331905,574.0
53,6.0,17.9667543422687,565.0
54,6.0,18.29415264653548,583.0
55,6.0,18.531894224721427,533.0
56,5.0,18.910403195145797,571.0
57,6.0,18.323212603759334,587.0
58,6.0,17.79216356274825,537.0
59,7.5,18.66895321581066,530.0
60,6.0,19.210758396301507,533.0
61,7.0,18.22450935980625,555.0
62,7.0,17.192872455686082,577.0
63,7.0,17.768250342961508,531.0
64,7.0,19.10616835401297,563.0
65,5.0,18.749757167211566,551.0
