distance,median_nonzero,std_nonzero,count_nonzero
0,4.0,16.868788873469292,358.0
1,3.0,15.005784842298544,627.0
2,3.0,15.584537597385893,648.0
3,4.0,14.541567018631763,612.0
4,4.0,15.1113518714209,644.0
5,3.0,15.8421674339671,685.0
6,3.0,15.693075419202271,712.0
7,4.0,15.780740192535035,648.0
8,3.0,15.404935283898476,680.0
9,4.0,16.0229546879263,669.0
10,3.0,16.335892696050763,648.0
11,4.0,16.031741139749712,661.0
12,3.5,15.640280204080849,664.0
13,3.0,15.168888752148781,653.0
14,3.0,15.792942703780948,672.0
15,4.0,15.437125888397349,641.0
16,3.0,15.612664995106572,630.0
17,3.0,16.829625776552863,647.0
18,3.0,16.45419883028467,630.0
19,3.0,15.469842781226177,667.0
20,4.0,16.538601958012904,658.0
21,3.0,15.485850087027934,675.0
22,3.0,14.534257678282824,659.0
23,4.0,16.1286948088878,639.0
24,4.0,16.68947087546443,688.0
25,3.0,16.098897018200063,658.0
26,3.0,13.906638312664244,632.0
27,3.0,13.981417346137235,649.0
28,3.0,13.818350571934443,706.0
29,3.0,13.949590276536622,722.0
30,4.0,15.42743846961397,699.0
31,4.0,14.465785508578705,702.0
32,3.0,15.884680270266365,681.0
33,4.0,14.912271041519157,719.0
34,4.0,15.300705812449774,657.0
35,4.0,16.141953006423083,635.0
36,4.0,16.621228831079836,702.0
37,4.0,16.439542900888444,686.0
38,4.0,16.089348787263344,721.0
39,5.0,16.813923686832243,692.0
40,4.0,15.829877754996307,751.0
41,4.0,16.511220396005967,742.0
42,5.0,15.570106895125836,749.0
43,5.0,16.237376156767393,756.0
44,5.0,15.852909178708318,790.0
45,4.0,16.990812354683843,748.0
46,5.0,15.116507605858887,766.0
47,5.0,16.154973900914968,744.0
48,5.0,16.39568263802224,763.0
49,5.0,15.378256362509951,777.0
50,5.0,16.321559585596916,815.0
51,5.0,16.9478156747534,790.0
52,5.0,15.980097631984783,836.0
53,5.0,17.358323266497493,822.0
54,5.0,16.801750461340703,842.0
55,5.0,18.6102027947276,792.0
56,5.0,16.875393703347292,754.0
57,4.0,15.501141889345401,806.0
58,5.0,17.8514047253942,780.0
59,5.0,16.31451466520082,744.0
60,6.0,15.97826236911212,845.0
61,5.0,17.13360763473964,788.0
62,5.0,16.431696238660944,826.0
63,5.0,17.98754160639508,781.0
64,5.0,16.73274353745457,815.0
65,5.0,16.274978983987246,722.0
66,5.0,17.20241996539115,804.0
67,5.5,18.434147903775315,764.0
68,7.0,17.248553867645924,692.0
69,5.0,17.675035246060318,691.0
70,6.0,16.34412761585789,758.0
71,6.0,16.502597877324607,730.0
72,6.0,16.634530484563854,710.0
73,5.0,16.659610339682704,701.0
74,5.0,17.394489759565662,737.0
75,6.0,17.091845793447764,740.0
76,6.0,17.3219908550886,648.0
77,7.0,17.36698622096576,631.0
78,5.0,17.974254394036038,634.0
79,6.0,17.1998694516312,595.0
80,5.0,18.358979243635368,574.0
81,6.0,18.506714172079917,557.0
82,6.5,19.05011706736206,568.0
83,6.0,17.80510565711683,520.0
84,6.0,17.48508729033966,542.0
85,7.0,18.833138255326443,503.0
86,6.0,18.968799546593342,452.0
87,7.0,18.957193697886346,434.0
88,7.0,18.5193547940578,387.0
89,8.0,19.97808142912258,376.0
90,8.0,16.662378724038817,395.0
91,6.0,17.524263384390384,362.0
92,8.0,21.598394095290562,309.0
93,8.0,20.629159284031843,376.0
94,8.0,18.50385428586709,320.0
95,8.0,18.859461475810328,348.0
96,8.0,18.77289984811838,295.0
97,9.0,17.09825624721501,305.0
98,8.0,19.612130517791105,281.0
99,9.0,19.45022531604509,295.0
100,9.0,18.5105970484125,271.0
101,8.0,19.85232785342305,281.0
102,8.0,19.232222329064502,267.0
103,8.0,20.719337519033434,257.0
104,6.0,19.84662777423851,233.0
105,9.0,21.446177388760074,244.0
106,9.0,19.636994642190185,240.0
107,6.0,18.937757777388182,244.0
108,7.0,18.586755612710217,208.0
109,8.0,19.94563192324159,227.0
110,7.0,17.939130552355785,227.0
111,8.0,18.243096241372424,226.0
112,7.0,19.10244119887597,188.0
113,8.0,18.413578665755146,194.0
114,8.0,16.784297710156697,202.0
115,6.0,21.963770743035347,212.0
116,7.0,19.468188337461118,176.0
117,6.0,16.874383965949203,174.0
118,7.0,19.62127762198796,184.0
119,7.0,16.19709871494329,167.0
120,8.0,18.145247311624058,153.0
121,9.0,20.921507403858104,161.0
122,8.0,18.458095631155835,164.0
123,7.0,20.65044938016238,151.0
124,7.0,18.22295575015482,142.0
125,6.0,18.787344185704008,165.0
126,8.0,17.17314102806222,154.0
127,10.0,21.033476286195153,132.0
128,7.0,15.706303973122512,129.0
129,7.0,15.758765757226701,119.0
130,7.0,15.089261869117031,145.0
131,7.0,20.234835907481006,122.0
132,8.0,18.38445858491126,126.0
133,9.0,20.928594422849542,125.0
134,6.0,15.960711481595542,113.0
135,6.0,21.871702033958375,121.0
136,7.5,18.158591502953705,110.0
137,5.0,15.863427020403982,101.0
138,8.0,16.60218254810874,92.0
139,8.0,19.311633703471994,98.0
140,6.0,17.334067641211597,101.0
141,6.0,21.263220861466607,96.0
142,8.0,17.004904603902755,77.0
143,9.0,13.09001407441827,75.0
144,5.0,19.59625657121631,81.0
145,4.0,21.453290595506704,77.0
146,7.0,15.784731261354569,79.0
147,4.0,20.128343876533297,87.0
148,6.0,17.05948876554189,71.0
149,5.0,14.451899334212,72.0
150,5.0,18.98172944849665,69.0
151,4.0,18.176071226131118,70.0
152,8.0,14.971519640677267,68.0
153,6.0,17.914496866922818,57.0
154,7.0,19.515553556102194,61.0
155,8.0,18.597978186532213,63.0
156,7.0,15.172730957407843,51.0
157,7.0,17.70440568171535,63.0
158,7.0,16.95900897696984,58.0
159,3.0,15.132642047769181,54.0
160,7.0,18.805281350629738,53.0
161,6.0,8.951826857219293,49.0
162,4.5,19.232067039125116,56.0
163,8.5,15.269764709572776,50.0
164,7.0,18.262022105418936,53.0
165,7.0,19.9945757671747,61.0
166,7.5,19.55715392135436,48.0
167,6.0,18.817717789790034,63.0
168,8.0,17.21119555769594,45.0
169,7.5,13.931994278497042,42.0
170,11.0,21.24794908070081,49.0
171,5.0,12.163816480552024,51.0
172,5.0,13.660534253038252,51.0
173,8.0,15.186581079952106,50.0
174,5.0,16.731597809182087,48.0
175,8.0,22.302887156379644,50.0
176,8.0,20.884223288437344,38.0
177,8.0,16.46517661054161,50.0
178,6.0,16.53801325289532,51.0
179,5.0,22.365356664805535,46.0
180,11.0,18.524671698533865,40.0
181,5.0,18.223176865853414,55.0
182,9.0,23.327610665364737,32.0
183,9.0,19.697777514846447,41.0
184,6.5,17.083130080091685,40.0
185,5.0,17.990519045047147,50.0
186,5.0,21.361465191366232,41.0
187,8.0,24.01408156395584,39.0
188,6.5,19.045226040155967,36.0
189,4.0,17.470872930857908,46.0
190,6.0,20.74994927438771,42.0
191,4.0,12.069278672925284,29.0
192,12.5,23.607071952147013,26.0
193,11.0,15.746881777491241,36.0
194,14.0,16.688617597804402,38.0
195,15.0,17.12934366560536,37.0
