distance,median_nonzero,std_nonzero,count_nonzero
0,4.0,14.167851462920435,200.0
1,3.0,15.122712013761324,403.0
2,4.0,15.415048046301383,433.0
3,5.0,15.150529194718754,435.0
4,4.0,15.144333243975275,415.0
5,4.0,15.743591375897772,362.0
6,4.0,12.88035462840738,441.0
7,4.0,13.766219072124088,435.0
8,4.0,14.414649765741345,383.0
9,4.0,15.32015693049515,403.0
10,4.0,15.417328410175582,412.0
11,3.0,14.310296602622545,412.0
12,4.0,13.73744500678774,417.0
13,4.0,13.550980041583873,399.0
14,4.0,14.104177157254082,400.0
15,4.0,14.355841042542865,390.0
16,4.0,14.527680107973104,415.0
17,4.0,14.85594086074816,409.0
18,4.0,15.575473051937175,395.0
19,4.0,14.732405839393058,427.0
20,4.0,14.928837948443677,407.0
21,4.0,15.202543177806925,375.0
22,4.0,15.798663714872976,428.0
23,5.0,14.794722523206993,398.0
24,4.0,15.415757881054773,438.0
25,5.0,15.409398637927154,402.0
26,5.0,14.768124904283642,414.0
27,6.0,14.658338730769053,430.0
28,4.0,14.14957609988182,433.0
29,5.0,13.522090308273707,417.0
30,5.0,14.40528460342609,412.0
31,4.0,15.414235781171248,452.0
32,4.0,15.186545167259096,430.0
33,4.0,15.423511206571446,446.0
34,5.0,15.450878271652742,417.0
35,4.0,14.779926823249278,470.0
36,5.0,15.381213200316186,420.0
37,4.0,13.382160148592883,477.0
38,4.0,12.890208386914962,428.0
39,5.0,16.37907686685323,498.0
40,4.0,14.497981312657863,470.0
41,4.0,15.062600510854686,468.0
42,5.0,16.22905574948064,481.0
43,6.0,14.088884198651272,487.0
44,4.5,14.694415118382308,500.0
45,5.0,16.278500780618202,481.0
46,6.0,15.294329639638928,508.0
47,4.5,14.991054042601322,494.0
48,5.0,16.10963934047604,475.0
49,6.0,15.250196387408382,504.0
50,6.0,15.941854754264199,473.0
51,5.0,15.98826330791953,551.0
52,5.0,16.50313057721025,526.0
53,6.0,17.003335700242538,479.0
54,5.0,14.212441859768644,521.0
55,6.0,16.61814259320268,517.0
56,6.0,15.539645698129958,531.0
57,6.0,13.823461467408581,507.0
58,6.0,16.69576472125696,535.0
59,6.0,14.826144990522922,532.0
60,5.0,16.227356276124276,523.0
