distance,median_nonzero,std_nonzero,count_nonzero
0,4.0,15.425612156537476,172.0
1,3.0,16.27868709914445,389.0
2,3.0,15.257861527374839,407.0
3,4.0,14.466675689797722,400.0
4,3.0,15.016903239194448,395.0
5,3.0,14.293304335703189,378.0
6,3.5,16.8231419731744,360.0
7,4.0,16.169615899593385,379.0
8,3.0,15.750443708546742,371.0
9,3.0,13.279707293366059,374.0
10,3.0,15.980069268522112,371.0
11,3.0,14.410638612211612,394.0
12,4.0,14.973512993635069,395.0
13,3.0,14.76827596939552,385.0
14,4.0,16.847592764328617,347.0
15,4.0,15.15962732776971,363.0
16,3.0,14.148003983357226,360.0
17,3.0,15.456953038287223,368.0
18,3.0,17.08823952824173,401.0
19,3.0,16.305254046589084,385.0
20,3.0,14.867620269619476,380.0
21,3.0,16.80673899102651,390.0
22,3.0,15.090259757751763,374.0
23,3.0,13.98432550979913,347.0
24,3.0,16.20800878154974,354.0
25,4.0,14.93668334541216,371.0
26,3.0,14.985433990336865,405.0
27,4.0,14.265124745118216,352.0
28,4.0,16.36075995120017,396.0
29,3.0,13.875368116207992,438.0
30,4.0,15.696472031786984,416.0
31,3.0,15.280523174075993,383.0
32,4.0,15.241422529459689,429.0
33,3.0,15.285481084747278,411.0
34,4.0,15.041539538951463,404.0
35,6.0,17.146378733402976,392.0
36,4.0,15.7298493578491,418.0
37,4.0,14.914775580701253,396.0
38,4.0,15.746595512754064,440.0
39,6.0,17.727934954558258,438.0
40,4.0,16.17524323249378,434.0
41,5.0,14.67137852047425,440.0
42,4.0,16.13328533027778,477.0
43,4.0,15.317648677251062,463.0
44,3.5,16.139018596712454,468.0
45,6.0,18.00780684618436,427.0
46,4.0,15.993056083899127,503.0
47,6.0,17.835166561796285,440.0
48,5.0,15.828784827769718,461.0
49,5.0,17.52763798262122,480.0
50,6.0,16.49348344578883,517.0
51,5.0,16.980499567398436,495.0
52,5.0,15.660261454390714,484.0
53,6.0,16.509730788271543,485.0
54,6.0,17.888420792360208,502.0
55,7.0,16.0761685628998,513.0
56,5.0,16.657285892551087,486.0
57,5.0,17.63302197959777,542.0
58,5.0,18.155459598474884,472.0
59,5.5,16.83440496041196,498.0
60,5.0,16.29435819146482,506.0
61,7.0,17.78293612813872,476.0
62,6.0,16.60350993294302,454.0
63,6.0,17.56986481733462,503.0
64,7.0,17.625099553048415,471.0
65,5.0,17.2428133951135,480.0
66,6.0,17.10769144137287,457.0
67,6.0,16.19273060156204,498.0
68,6.0,18.04671926370542,463.0
69,7.0,18.050048495271632,488.0
70,6.0,17.029469387399796,488.0
71,6.0,16.821707374134593,438.0
72,7.0,17.247694203064725,453.0
73,6.0,17.08279634979667,463.0
74,7.0,18.327192431115975,437.0
75,6.0,16.75149922106267,460.0
76,6.0,17.762961724824574,436.0
77,7.0,17.143611012073166,427.0
78,7.0,18.732219241452956,362.0
79,7.0,18.610530832175684,401.0
80,7.0,18.970719333223762,401.0
81,6.0,18.07361227641249,339.0
82,8.5,18.52369150440783,350.0
83,8.0,16.429709285803444,335.0
84,8.0,19.164559006164147,307.0
85,7.0,16.215609419976772,291.0
86,8.5,17.46887535644251,282.0
87,9.0,19.445903211385925,262.0
88,9.0,19.033624728172164,240.0
89,10.0,17.364031160609315,241.0
90,7.0,18.857283122186992,235.0
91,9.0,20.803842489795397,226.0
92,8.0,18.02275121047891,195.0
93,8.0,17.119416123757073,194.0
94,10.0,18.654491383927223,177.0
95,9.0,18.954011126398917,207.0
96,8.0,19.736078332732188,149.0
97,9.0,20.803067232117048,150.0
98,7.0,18.380460157323977,165.0
99,11.5,22.181958183801637,160.0
100,10.0,19.39020051884433,153.0
101,11.0,21.783014314912396,145.0
102,10.0,19.3107949623627,146.0
103,10.0,19.91623352260111,143.0
104,14.5,21.583280779392865,134.0
105,10.0,20.491038959206435,131.0
106,8.0,18.687812794661134,130.0
107,13.0,21.28285861463129,124.0
108,7.0,17.195036822832993,128.0
109,12.0,21.03804708312694,127.0
110,9.0,21.274152736255747,110.0
111,9.0,19.911701960342974,109.0
112,10.0,21.51637830291976,95.0
113,10.0,19.467887426289415,109.0
114,9.0,19.753221886037316,98.0
115,10.0,18.799453071590435,108.0
116,9.0,18.643290150078673,89.0
117,10.0,20.81895800336028,81.0
118,9.0,19.18444384987562,84.0
119,13.0,21.03787503299665,89.0
120,10.5,18.78829001724617,80.0
121,11.0,21.136690200195666,64.0
122,7.0,19.97250980029965,74.0
123,8.5,21.588949638156862,72.0
124,4.0,16.40944366119221,64.0
125,11.0,22.46215455152898,63.0
126,15.0,20.640516854301197,62.0
127,10.0,22.540350205517825,75.0
128,7.0,18.707776482011454,75.0
129,7.5,15.615917995470834,64.0
130,6.0,17.902624619143648,64.0
131,9.5,18.56741419951893,60.0
132,5.0,17.5627302817499,45.0
133,9.0,16.71379825320165,43.0
134,12.0,20.862252977345957,48.0
135,12.0,18.966368583756406,51.0
136,11.0,24.949873990086846,33.0
137,5.0,20.285515367193906,38.0
138,6.0,14.74188377565438,51.0
139,11.0,19.216480382202406,31.0
140,4.0,14.01427843308388,35.0
141,10.0,20.32202865082245,33.0
142,8.5,22.676077420477448,40.0
143,7.0,15.328993730199246,41.0
144,10.0,24.42315992538109,28.0
145,12.0,19.780445137868277,29.0
146,3.5,15.137320157097212,26.0
147,6.0,18.632156559682407,32.0
148,3.0,12.577360613419652,25.0
149,6.0,14.8955801121778,28.0
150,9.5,22.045778277694826,18.0
151,8.5,11.210310104166565,20.0
152,6.0,19.909353403392497,18.0
153,5.5,10.405032718946776,18.0
154,18.0,20.330178958154505,17.0
155,8.0,21.96718331641867,21.0
156,9.0,19.338269337473324,27.0
157,10.0,31.434285194899623,15.0
158,6.0,18.267987507903896,23.0
159,7.5,16.475861828399317,30.0
160,6.0,14.177075639362672,20.0
161,6.0,13.803762517847183,19.0
162,8.0,21.418283244528663,15.0
163,13.0,16.6925440134518,13.0
164,3.0,13.538914203221683,14.0
165,11.0,22.754156411234586,18.0
166,6.0,14.512221579186237,18.0
167,6.5,16.994808896006,18.0
168,8.0,16.379738500151134,16.0
169,5.0,17.295196140079174,15.0
170,8.5,21.843937573057936,24.0
171,10.0,16.51661894271044,22.0
172,3.0,19.24047383338917,16.0
173,4.0,27.12506646571084,13.0
174,17.0,16.681019460944533,13.0
175,4.0,13.921483121696923,13.0
176,3.5,19.6724816926516,18.0
177,6.0,11.58746006548591,13.0
178,5.0,17.288496327418354,20.0
179,14.0,19.797660680521137,20.0
180,7.5,20.07049265276454,22.0
181,14.5,21.9680639413976,16.0
182,6.0,11.987261757567675,9.0
183,6.0,20.138622161511016,13.0
184,4.0,18.752719860449634,22.0
185,15.0,14.971105067031777,18.0
186,11.0,21.821879947530746,9.0
187,15.0,17.097008285302206,13.0
188,11.0,8.761658899242008,10.0
189,8.0,18.885620632287058,16.0
190,9.0,15.466091943344964,11.0
191,12.5,16.49701534070679,12.0
192,2.5,21.75639352789564,14.0
193,9.0,20.043907846481478,14.0
194,2.0,1.9023794624226837,7.0
195,8.0,9.315000309674218,13.0
196,7.5,9.17582875457761,16.0
197,13.5,28.518838963467214,14.0
198,6.0,8.670860599122312,17.0
199,12.0,15.822883313847587,12.0
200,4.0,15.061355996205801,10.0
201,5.0,20.684938159604602,16.0
202,6.0,15.534906930308056,12.0
203,19.0,29.303204223732557,10.0
204,11.0,28.16955465611428,15.0
205,10.0,15.153911232451694,13.0
206,19.0,30.377922605375467,11.0
207,11.0,29.004310024546353,9.0
208,3.5,11.247962778506457,16.0
209,6.0,21.6389099596635,12.0
210,7.0,10.893701265994366,11.0
211,6.0,18.01057890188298,15.0
212,3.5,19.25385964192923,10.0
213,13.0,25.941325736214424,7.0
214,11.0,11.840373492607588,9.0
215,6.0,9.598176910226233,8.0
216,9.0,11.141941354308823,15.0
217,9.0,26.612966764342527,9.0
218,9.5,15.387843068010353,8.0
219,3.5,13.456278407175908,8.0
220,8.0,6.572670690061993,5.0
221,5.5,13.142498800657153,14.0
222,11.0,18.824548769190628,11.0
223,4.0,17.12048805119501,9.0
224,10.0,25.526829956323358,7.0
225,6.5,22.121418192718632,8.0
226,5.0,27.234531333762604,12.0
227,7.0,26.14914487660692,9.0
228,4.0,14.672009308300522,8.0
229,5.5,17.63175509921766,12.0
230,8.0,19.78429128925729,11.0
231,4.0,5.576737397439475,6.0
232,6.5,4.622409184253019,6.0
233,20.0,19.183994397039452,13.0
234,6.0,6.121002096606949,6.0
235,19.5,19.231206038995207,8.0
236,2.0,13.405222862750175,5.0
237,11.5,17.499206331208917,10.0
238,2.0,32.046840717924134,3.0
239,11.0,24.247794859647662,10.0
240,9.0,24.539763650043575,5.0
241,6.0,26.5329983228432,8.0
242,16.0,20.041623354076552,4.0
243,4.0,29.31381926668717,5.0
244,2.5,9.347013783378447,6.0
245,15.5,19.75516810018752,6.0
246,4.0,33.79792893063124,5.0
247,4.0,15.620499351813308,3.0
248,3.0,9.37067360489756,7.0
249,1.5,6.3508529610858835,4.0
250,19.0,15.444344524057268,9.0
251,15.0,10.232301793829187,6.0
252,7.5,22.544796675571444,8.0
253,15.0,21.42984123221857,7.0
254,10.0,7.0494286608522,9.0
255,6.5,23.2930604830423,6.0
256,30.0,26.057628441590765,3.0
257,6.0,26.38233836826785,9.0
258,6.0,12.662279942148386,3.0
259,6.0,21.384573879317774,5.0
260,9.0,36.665151483845435,3.0
261,14.5,2.1213203435596424,2.0
262,20.0,17.67201177002777,5.0
263,17.0,26.93510720231126,5.0
264,1.0,1.1547005383792517,3.0
265,4.0,12.759310326189265,5.0
266,6.0,23.009659807229756,9.0
267,5.0,7.563068160475615,5.0
268,9.0,6.340346993658943,5.0
269,6.0,11.054410884348384,5.0
270,6.0,4.041451884327381,3.0
271,3.0,25.6820300339881,10.0
272,26.0,24.143667216615345,4.0
273,4.5,8.504900548115382,4.0
274,7.0,13.647954669717608,6.0
275,8.0,1.5275252316519465,3.0
276,1.0,7.505553499465135,3.0
277,2.0,3.271085446759225,5.0
278,15.0,13.720422734012244,4.0
279,21.0,18.665763158406204,8.0
280,20.5,23.790988023012225,10.0
281,24.0,26.406438608793877,5.0
282,7.0,0.5773502691896258,3.0
283,7.0,16.97056274847714,5.0
284,1.0,6.984677106761219,8.0
285,7.0,15.75595125658873,4.0
286,6.5,7.7781745930520225,2.0
287,15.5,11.923366415013282,6.0
288,7.0,15.183990629230887,8.0
289,1.0,23.671361036774655,3.0
290,9.5,23.591665194866316,6.0
291,25.5,34.64823227814083,2.0
292,2.5,7.6321687612368745,4.0
293,26.0,8.717797887081348,3.0
294,46.0,33.862959114643246,5.0
295,2.0,3.214550253664318,3.0
296,4.5,6.396613687465163,4.0
297,5.0,17.131841699011815,5.0
298,36.0,34.18576701884378,4.0
299,2.0,21.062265965917526,7.0
300,5.0,1.7320508075688772,3.0
301,28.0,14.652644812456213,5.0
302,20.5,30.137186331839274,4.0
303,5.0,11.354147553500733,4.0
304,24.0,23.544284515213736,3.0
305,2.0,8.763560920082659,5.0
306,4.0,1.1547005383792515,3.0
307,4.0,0,1.0
308,31.0,16.318263212907013,7.0
309,13.0,0,1.0
310,18.0,5.656854249492381,2.0
311,27.0,14.282856857085699,6.0
312,6.0,14.39791651594077,5.0
313,20.5,16.263455967290593,2.0
314,18.0,11.853269591129697,5.0
315,5.5,13.32916601542147,4.0
316,12.0,16.5,4.0
317,20.5,24.748737341529164,2.0
318,21.0,25.638512697372548,4.0
319,12.0,22.338307903688676,3.0
320,4.0,26.02711498198973,8.0
321,3.0,24.161263763856944,6.0
322,3.0,36.38681079732051,3.0
323,12.0,14.142135623730951,2.0
324,14.5,13.99523728511477,6.0
325,2.5,2.1213203435596424,2.0
326,1.0,0,1.0
327,27.0,37.5410886008029,3.0
328,26.0,0,1.0
329,1.0,0,1.0
330,31.5,22.06807649071391,4.0
331,19.0,18.902380802428038,5.0
332,46.0,29.670411748631555,3.0
333,26.0,36.013886210738214,3.0
334,3.0,24.269322199023193,3.0
335,8.0,18.673510650116114,6.0
336,4.0,17.70929269109999,7.0
337,6.0,7.0710678118654755,2.0
338,33.0,15.556349186104045,2.0
339,2.0,7.496665925596525,5.0
340,21.0,14.771594362153328,5.0
341,12.5,14.977761292440647,4.0
342,16.0,35.42480298698451,4.0
343,28.0,27.79088579612628,3.0
344,12.5,32.30067078766838,4.0
345,12.0,29.866369046136157,3.0
346,8.0,34.35597958628648,3.0
347,46.0,0,1.0
348,27.0,9.29157324317757,3.0
349,15.0,29.14904229415894,4.0
350,13.5,24.82438317461282,4.0
351,7.0,22.715633383201094,3.0
352,20.0,23.643180835073778,3.0
353,1.0,28.290163190291665,3.0
354,23.0,11.269427669584644,3.0
355,3.0,34.35597958628648,3.0
356,49.0,0,1.0
357,6.0,27.62607463973121,5.0
358,18.0,12.239281024635392,5.0
359,11.0,20.35313243704762,4.0
360,1.0,0,1.0
361,27.0,12.727922061357855,2.0
362,22.0,24.172987679087857,3.0
363,3.0,26.519534578979968,7.0
364,14.5,28.5073090043004,4.0
365,2.0,3.96232255123179,5.0
366,14.0,19.577684088924162,7.0
367,32.5,34.64823227814083,2.0
368,52.0,22.627416997969522,2.0
369,21.0,14.822280526288793,5.0
370,14.5,10.606601717798213,2.0
371,4.0,0,1.0
372,24.0,19.604421270043485,3.0
373,14.0,9.071934744033381,5.0
374,11.5,13.435028842544403,2.0
375,17.5,15.75595125658873,4.0
376,15.0,28.960317677815624,5.0
377,13.0,26.884940022250372,5.0
378,10.0,31.65833223655346,4.0
379,19.0,36.826620806150544,5.0
380,14.0,28.130055101261355,5.0
381,14.5,19.091883092036785,2.0
382,24.0,0,1.0
383,5.0,3.4641016151377544,4.0
384,12.0,10.904891868637058,4.0
385,6.5,13.75015151431673,6.0
386,11.0,14.057026712644461,6.0
387,10.0,13.366625103842281,4.0
388,10.0,36.08785575970583,3.0
389,14.0,18.384776310850235,2.0
390,20.0,10.066445913694333,3.0
391,41.5,54.44722215136416,2.0
