distance,median_nonzero,std_nonzero,count_nonzero
0,12.0,41.396125699656004,47.0
1,8.5,28.6860882312865,108.0
2,6.0,35.47991818278586,90.0
3,13.0,33.58425491532931,101.0
4,12.0,43.04317370538073,96.0
5,11.0,42.67087218857066,76.0
6,7.5,45.7331266417672,92.0
7,13.0,41.81873971392399,90.0
8,14.0,45.77317635329002,99.0
9,10.5,42.82859628558722,98.0
10,13.5,35.78242616804944,90.0
11,14.0,34.478840992563484,85.0
12,14.0,48.412170136632156,91.0
13,11.5,45.3315061241729,102.0
14,8.0,40.31204267106451,85.0
15,14.0,38.50058429067749,99.0
16,12.0,39.83235413132853,101.0
17,15.0,40.07529096810402,67.0
18,11.5,38.052800528126596,102.0
19,17.0,37.87121880113111,90.0
20,10.0,39.417642125388866,89.0
21,8.0,43.94341591782757,83.0
22,14.5,36.37359209986265,90.0
23,17.5,40.66503334203553,80.0
24,7.0,29.550737172120265,90.0
25,9.0,33.49203676414208,85.0
26,8.5,37.10111867576242,78.0
27,8.5,37.38479845707345,82.0
28,10.5,33.83040653184075,106.0
29,7.5,41.57899415335696,102.0
30,9.0,31.7277456982812,109.0
31,15.0,35.490392030175805,89.0
32,8.0,25.17401361122968,90.0
33,8.0,46.04233288448233,108.0
34,17.0,38.765996228728895,95.0
35,14.0,35.045126962891636,90.0
36,11.0,45.93060721362548,81.0
37,9.0,42.2065657092919,94.0
38,12.0,39.857556187294854,97.0
39,11.5,43.12881340188419,100.0
40,10.0,39.92980854436457,99.0
41,14.0,38.71630639604432,112.0
42,11.0,36.92532275105886,116.0
43,11.5,48.67733000217197,114.0
44,11.5,40.539012817176754,118.0
45,16.5,44.55451449521992,120.0
46,13.5,33.85325936503589,118.0
47,8.0,38.47824835952094,117.0
48,14.0,45.283263749785036,117.0
49,10.0,38.34744734082378,132.0
50,13.0,47.345549731364194,126.0
51,14.5,40.21332914860354,122.0
52,13.0,41.03240629607184,151.0
53,10.0,33.18407080534072,147.0
54,8.0,37.34912154047215,129.0
55,11.5,39.521535205938385,134.0
56,11.0,45.071263610185184,118.0
57,10.0,42.85268884418423,102.0
58,15.5,40.19757378709241,124.0
59,14.0,47.4813192284679,111.0
60,18.0,42.819799879354754,121.0
61,18.0,43.57230008360102,114.0
62,13.5,44.692820921951224,132.0
63,16.0,44.76363689407392,129.0
64,13.0,39.509969389502444,115.0
65,13.0,39.4473697160057,116.0
66,12.5,46.97191948890784,128.0
67,9.0,38.74481416674749,117.0
68,16.0,39.966297674536015,108.0
69,14.0,34.233066074996394,113.0
70,12.0,40.37983274418696,115.0
71,13.0,39.050736619314364,115.0
72,11.0,36.56814625579554,118.0
73,9.0,34.18662143638536,124.0
74,15.0,38.10912785396878,113.0
75,13.5,42.662029963419464,116.0
76,18.0,43.34005061554235,113.0
77,17.5,37.11148162195385,94.0
78,16.5,41.27945345218278,120.0
79,14.0,44.82253383593663,96.0
80,12.0,45.56963704451556,87.0
81,14.0,39.44644828682357,82.0
82,11.0,47.17476291439826,99.0
83,17.0,43.18141621828455,90.0
84,9.5,43.29931856880393,74.0
85,18.0,37.665919093886636,73.0
86,17.0,36.57017606982195,91.0
87,15.5,39.38250649948297,66.0
88,11.0,42.987798497621746,61.0
89,14.5,47.31938662587831,56.0
90,13.0,36.067400475348656,61.0
91,18.0,46.93720135273604,53.0
92,12.0,42.73229568016466,59.0
93,19.0,39.4915250594852,53.0
94,15.5,48.92856553064762,52.0
95,21.5,41.53586649063921,40.0
96,18.0,43.913846134823366,51.0
97,13.0,44.90399114836711,39.0
98,9.0,30.524912289313306,37.0
99,12.0,38.36524477704686,49.0
100,32.5,36.90272417713094,34.0
101,13.5,41.514074080655995,32.0
102,11.0,45.28996185868664,31.0
103,17.0,50.576867434821615,37.0
104,20.0,51.81002610615933,38.0
105,16.5,52.94885843146576,30.0
106,10.0,52.516889244451434,31.0
107,29.0,51.584786942493416,41.0
108,16.0,44.46879055397542,25.0
109,32.0,51.902941964934755,26.0
110,17.0,45.577502258474105,33.0
111,6.0,28.73135005861152,21.0
112,22.5,35.09495468234493,22.0
113,10.0,42.63130975502126,22.0
114,23.0,44.216604438922126,37.0
115,41.0,46.015835783533724,15.0
116,21.0,52.90894694346757,25.0
117,27.0,40.38906617720527,25.0
118,25.5,55.35966772351074,18.0
119,28.0,54.10498750764678,18.0
120,15.0,33.490865847841185,15.0
121,5.5,27.13419808806505,18.0
122,14.0,36.787679096857055,22.0
123,21.0,46.85943893757009,19.0
124,8.0,44.916507511813776,17.0
125,21.0,43.37473512378864,17.0
126,7.5,20.87750296060642,22.0
127,14.0,38.66565616969363,14.0
128,2.0,46.41736128402205,7.0
129,6.5,54.77471342480242,14.0
130,10.0,32.497337169019296,13.0
131,17.5,67.16849008728765,12.0
132,41.0,59.24927164511131,7.0
133,14.0,26.049038004355957,15.0
134,3.0,66.93337674939852,13.0
135,7.0,62.00615805195188,11.0
136,12.0,43.12560935010868,11.0
137,32.0,42.033150182751164,8.0
138,11.0,33.395646883527064,13.0
139,30.0,65.24774216126454,8.0
140,19.0,42.474894545680364,16.0
141,23.0,33.3712165681459,15.0
142,42.0,42.015870017569945,7.0
143,2.0,39.8659116174572,11.0
144,2.5,24.285569560726568,10.0
145,14.0,28.407745422683583,9.0
146,26.5,32.53657615482594,12.0
147,8.0,17.6501495114851,9.0
148,5.0,4.242640687119285,2.0
149,13.5,16.2931478440069,6.0
150,8.0,39.0060810512202,13.0
151,11.0,54.039278212644454,13.0
152,24.0,39.401212615293396,10.0
153,5.0,10.740887610745522,6.0
154,21.0,19.23909709791125,7.0
155,4.5,41.88376773882693,4.0
156,2.5,16.005554591384133,10.0
157,19.0,23.199137915017445,5.0
158,6.0,34.238658184656046,8.0
159,20.0,41.71170898760523,6.0
160,7.0,14.147185484853768,7.0
161,6.0,26.338559128579853,12.0
162,12.0,38.904645334091256,7.0
163,31.0,63.15298884455113,5.0
164,4.5,9.97914491994847,4.0
165,11.0,13.540943204117756,8.0
166,6.0,44.161230572916395,8.0
167,3.5,3.8815804341359033,6.0
168,36.0,47.8415041967696,7.0
169,2.0,8.854982455415385,8.0
170,2.0,63.94640613156346,7.0
171,5.0,42.50490167812021,7.0
172,19.0,49.480154752038864,7.0
173,18.0,19.305439647933426,5.0
174,8.0,34.91187886256318,8.0
175,6.5,12.812754062521714,6.0
176,3.0,7.386925386564202,6.0
177,14.5,10.782702196883054,6.0
178,1.0,70.61302995906634,5.0
179,17.5,10.847426730181986,4.0
180,11.0,13.352902306240395,5.0
181,13.5,35.996759113379454,6.0
182,5.0,2.738612787525831,5.0
183,6.0,28.687976575562104,3.0
184,14.0,25.347583711273153,9.0
185,37.0,31.041446947129067,7.0
186,4.0,5.8594652770823155,3.0
187,13.0,74.00450436741446,6.0
188,4.0,30.03252205447256,7.0
189,15.0,14.618481453283717,5.0
190,108.0,56.31163290120435,3.0
191,18.5,20.56493779875511,4.0
192,24.5,42.5440947723653,4.0
193,7.0,27.160019636713567,4.0
194,6.0,6.946221994724902,4.0
195,5.5,6.363961030678928,2.0
196,5.0,54.28013755816517,3.0
197,7.0,4.242640687119285,2.0
198,21.0,23.16195567037012,7.0
199,21.0,59.459790334869716,6.0
200,3.0,51.09794516416487,3.0
201,22.0,67.46332336907217,5.0
202,15.5,17.339742404853272,4.0
203,3.0,26.170912606683526,4.0
204,73.5,91.21677477306463,2.0
205,15.0,40.38811706430494,5.0
206,9.5,28.855964143772194,4.0
207,38.0,15.50268793897798,3.0
208,68.5,78.868561543875,4.0
209,4.0,16.498484778912275,5.0
210,41.0,53.74011537017761,2.0
211,1.0,0.0,3.0
212,5.5,3.5355339059327378,2.0
213,2.0,1.5275252316519468,3.0
214,5.0,2.8284271247461903,2.0
215,43.5,10.606601717798213,2.0
216,44.0,36.93507817779732,5.0
217,8.0,16.231656313102082,6.0
218,1.0,0.0,3.0
219,9.0,7.365459931328117,4.0
220,12.0,47.99801583200626,7.0
221,2.0,1.1547005383792515,3.0
222,8.0,21.221058723196006,3.0
223,15.0,40.0915618719617,4.0
224,1.0,33.48631561299829,3.0
225,26.0,35.35533905932738,2.0
226,2.0,23.61708421178759,6.0
227,25.0,21.213203435596427,2.0
228,11.5,32.433448343162205,8.0
229,30.5,24.748737341529164,2.0
230,3.0,3.0550504633038935,3.0
231,13.0,5.196152422706632,3.0
232,47.0,39.8208488106419,5.0
233,6.0,7.0710678118654755,2.0
234,3.5,42.87384595142669,6.0
235,6.0,88.04733575374858,3.0
236,7.0,56.659803505954144,3.0
237,17.0,66.21681558838863,4.0
238,12.0,67.03481682429413,4.0
239,2.0,93.82075108062892,3.0
240,4.5,4.358898943540674,4.0
241,5.0,15.97811002590732,5.0
242,4.0,2.8284271247461903,2.0
243,8.5,7.274384280931732,4.0
244,49.0,66.12803238163575,4.0
245,46.0,0,1.0
246,4.0,0.0,2.0
247,21.0,13.274034804836093,5.0
248,12.0,0,1.0
249,10.0,27.60434748368452,5.0
250,6.0,2.8284271247461903,2.0
251,3.5,46.18351076592886,4.0
252,12.0,11.313708498984761,2.0
253,16.0,15.524174696260024,3.0
254,1.0,27.712812921102035,3.0
255,6.5,8.334666560017064,6.0
256,6.5,3.5355339059327378,2.0
258,156.0,0,1.0
259,34.0,0,1.0
260,32.0,0,1.0
261,3.5,2.1213203435596424,2.0
263,3.0,0,1.0
264,15.0,4.242640687119285,2.0
267,3.5,7.365459931328117,4.0
268,9.0,0,1.0
270,7.0,0,1.0
271,6.0,5.656854249492381,2.0
274,23.0,0,1.0
279,25.0,0,1.0
281,96.0,0,1.0
285,93.0,0,1.0
286,192.0,0,1.0
287,74.0,0,1.0
289,33.0,0,1.0
291,1.0,0,1.0
293,23.0,0,1.0
294,1.0,0,1.0
298,4.0,2.8284271247461903,2.0
300,25.0,9.539392014169456,3.0
301,33.5,2.1213203435596424,2.0
303,52.0,0,1.0
304,37.0,48.08326112068523,2.0
306,33.0,0,1.0
307,2.0,0,1.0
309,16.5,21.920310216782973,2.0
310,47.0,0,1.0
312,16.5,21.920310216782973,2.0
313,1.0,0,1.0
314,1.0,0,1.0
317,63.0,0,1.0
318,15.0,0,1.0
320,1.0,0,1.0
324,11.0,12.727922061357855,2.0
330,1.0,0,1.0
333,22.0,0,1.0
336,12.0,0,1.0
338,71.0,0,1.0
346,78.0,0,1.0
351,1.0,0,1.0
352,13.0,0,1.0
353,18.0,0,1.0
355,33.5,45.96194077712559,2.0
360,11.0,0,1.0
361,2.0,0,1.0
369,11.0,0,1.0
375,21.0,0,1.0
381,63.0,0,1.0
383,1.0,0,1.0
393,105.0,0,1.0
395,14.5,2.1213203435596424,2.0
398,2.0,0,1.0
401,25.0,0,1.0
406,21.0,0,1.0
409,1.5,0.7071067811865476,2.0
411,1.0,0,1.0
435,1.0,0,1.0
442,1.0,0,1.0
450,4.0,0,1.0
451,56.0,0,1.0
453,3.0,0,1.0
457,11.0,0,1.0
257,0,0,0
262,0,0,0
265,0,0,0
266,0,0,0
269,0,0,0
272,0,0,0
273,0,0,0
275,0,0,0
276,0,0,0
277,0,0,0
278,0,0,0
280,0,0,0
282,0,0,0
283,0,0,0
284,0,0,0
288,0,0,0
290,0,0,0
292,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
299,0,0,0
302,0,0,0
305,0,0,0
308,0,0,0
311,0,0,0
315,0,0,0
316,0,0,0
319,0,0,0
321,0,0,0
322,0,0,0
323,0,0,0
325,0,0,0
326,0,0,0
327,0,0,0
328,0,0,0
329,0,0,0
331,0,0,0
332,0,0,0
334,0,0,0
335,0,0,0
337,0,0,0
339,0,0,0
340,0,0,0
341,0,0,0
342,0,0,0
343,0,0,0
