distance,median_nonzero,std_nonzero,count_nonzero
0,11.0,36.89388803526913,105.0
1,12.0,40.85710245286736,216.0
2,9.0,35.47655610773092,210.0
3,11.0,37.642998779890775,225.0
4,10.5,32.83017136036652,206.0
5,7.5,34.60341705240367,206.0
6,11.5,35.38376044927328,210.0
7,8.0,32.12858969682198,193.0
8,10.0,40.0980727987876,196.0
9,10.0,33.08045812267696,209.0
10,13.5,38.2233609808887,176.0
11,10.0,34.22215730806958,216.0
12,11.0,37.05671922459577,218.0
13,9.0,40.654300875565724,203.0
14,11.0,33.44737133588231,204.0
15,8.0,37.75719238271273,194.0
16,10.0,41.63223492769307,201.0
17,9.5,38.143302428046304,222.0
18,8.0,32.41376158822834,201.0
19,15.0,34.677213302995135,207.0
20,11.0,34.96855263821669,212.0
21,11.0,31.246811431531402,208.0
22,8.0,32.739197946037386,190.0
23,9.0,36.80302045596216,205.0
24,14.0,36.03958707057856,207.0
25,8.0,37.2223317721167,195.0
26,15.0,40.440582318143136,205.0
27,12.0,33.67821433366877,199.0
28,16.0,37.312274985912204,238.0
29,9.5,32.064148317891,190.0
30,11.0,29.325669886110155,186.0
31,11.0,33.443275925841974,236.0
32,10.0,35.76510532009143,209.0
33,9.5,37.643424416261155,234.0
34,11.0,36.01964631438165,242.0
35,12.0,37.43435294503474,238.0
36,9.5,35.15450932590167,224.0
37,12.0,40.1874268433132,213.0
38,14.0,33.31644140281592,239.0
39,11.0,36.39401830113421,235.0
40,10.0,33.67385460373432,229.0
41,11.5,37.54616852353862,248.0
42,10.0,37.470654723688156,241.0
43,12.0,38.77061221594525,275.0
44,13.0,39.7385804055639,254.0
45,15.0,41.540838408960504,281.0
46,10.0,39.712292462294066,255.0
47,10.0,34.262921080319096,251.0
48,11.0,35.41175897751088,257.0
49,12.0,39.42655067101267,281.0
50,13.0,37.558869841179735,279.0
51,15.0,37.19627922466371,279.0
52,13.0,42.192839792716875,267.0
53,14.0,34.08057792762727,265.0
54,13.0,36.361836383959016,272.0
55,16.0,37.971111272266846,279.0
56,11.0,33.45059068975124,289.0
57,9.5,34.90242513846187,242.0
58,8.0,37.7511314567826,280.0
59,11.0,36.10351356653932,289.0
60,11.0,36.92629470818744,275.0
61,12.0,37.2648644675815,245.0
62,11.0,36.326543244188414,278.0
63,12.0,32.30414052568374,264.0
64,16.0,38.24261860783182,261.0
65,13.0,38.75240218405651,240.0
66,14.0,38.30196430781695,277.0
67,11.5,34.985248992379965,256.0
68,11.0,31.090499417595346,249.0
69,15.0,36.45705160533563,267.0
70,13.0,34.53685497355594,240.0
71,19.0,39.126035287708476,259.0
72,13.0,33.160936933790765,257.0
73,14.0,35.868477141986375,270.0
74,11.0,35.35346275400906,266.0
75,14.5,35.51468479183285,266.0
76,13.0,35.27275473567508,261.0
77,14.0,34.58873355024875,234.0
78,13.0,34.8342798731393,237.0
79,16.5,37.00244770545218,208.0
80,18.0,43.97361942645209,180.0
81,14.0,37.3431784817134,195.0
82,10.0,35.5305389204822,200.0
83,13.0,37.04678511831266,195.0
84,16.0,38.51854605430715,197.0
85,13.0,36.67785037626753,159.0
86,12.0,37.26144992670425,162.0
87,15.0,42.02753243073768,156.0
88,12.0,37.65491102681874,158.0
89,12.0,39.15845100487126,137.0
90,14.0,39.77989219944616,151.0
91,13.0,38.10640995187593,159.0
92,20.0,36.77864002927651,129.0
93,19.5,36.03650714892542,136.0
94,13.0,36.77892027205193,128.0
95,19.0,42.7088816123763,119.0
96,16.0,41.82063265930023,124.0
97,14.0,38.652531376588804,111.0
98,13.0,42.229615153818344,101.0
99,13.0,35.07099145420266,97.0
100,11.0,43.536096734931014,88.0
101,21.5,40.3092519091298,76.0
102,19.0,47.349493400842796,80.0
103,17.5,44.472047943012626,96.0
104,14.0,47.60464522702602,90.0
105,17.0,37.25086791598052,81.0
106,11.5,35.82066116983031,94.0
107,21.5,33.425049524914286,84.0
108,16.0,38.167569853348326,79.0
109,17.0,40.300630349435714,77.0
110,15.0,37.77937850104469,93.0
111,17.5,38.43148152533005,84.0
112,16.0,41.35635932707475,81.0
113,24.0,40.99164632572289,73.0
114,12.0,34.66961048740076,71.0
115,15.5,43.968948557199276,68.0
116,14.0,38.4395067043748,75.0
117,18.0,36.4499827467178,70.0
118,18.5,40.393794505321644,84.0
119,18.0,40.386164134776735,71.0
120,20.0,43.85745558888255,47.0
121,19.5,40.62985456022556,66.0
122,19.0,44.408134129880374,74.0
123,25.0,37.989309148562285,59.0
124,19.0,35.56587287177573,45.0
125,13.0,36.8745526621359,66.0
126,17.0,34.318344174321226,57.0
127,11.0,34.54663820346906,52.0
128,27.0,39.413592999513675,45.0
129,13.0,32.99746954893658,55.0
130,9.0,39.19649732316881,47.0
131,13.5,40.521221449446735,50.0
132,10.0,29.353367013662332,43.0
133,5.5,30.898137027899782,40.0
134,15.0,34.25795430578407,42.0
135,6.0,37.91149232093087,32.0
136,7.0,29.462011150125193,45.0
137,25.0,39.86428791443049,38.0
138,15.0,33.25121703552269,45.0
139,9.0,32.983267008394805,43.0
140,17.0,31.851942333882363,38.0
141,7.0,38.75038828957192,27.0
142,13.5,40.827242964911825,46.0
143,10.0,36.19321840750342,43.0
144,14.0,39.64461117472582,37.0
145,17.0,24.640337590202368,31.0
146,14.5,41.73540077872644,30.0
147,12.0,44.39696471821554,21.0
148,20.0,35.212750746370986,35.0
149,15.0,38.97228533702179,41.0
150,23.0,39.78147296666941,31.0
151,19.0,38.106669056754164,29.0
152,25.0,51.889349729830066,26.0
153,9.0,49.277924531719535,26.0
154,4.0,34.23828266721332,25.0
155,16.0,17.832425090698816,26.0
156,10.0,37.51035130502586,28.0
157,10.0,33.27836327654339,31.0
158,12.0,43.85076966257263,25.0
159,10.0,43.48381429064334,20.0
