distance,median_nonzero,std_nonzero,count_nonzero
0,9.0,30.542214218943183,117.0
1,8.0,32.65922179323418,235.0
2,8.0,31.062251339422826,248.0
3,11.0,34.801316659875305,233.0
4,8.0,31.107292417400693,230.0
5,10.0,34.430376251905884,234.0
6,11.0,34.906154872531815,255.0
7,8.0,37.74452328640162,237.0
8,10.0,34.58055072838498,233.0
9,10.0,34.46054326404364,248.0
10,11.0,35.72464038509242,269.0
11,9.0,30.579934065421046,243.0
12,11.0,36.73234730985024,255.0
13,9.0,33.18976529439931,265.0
14,10.5,34.52839774802801,240.0
15,12.0,32.01054528608558,218.0
16,13.0,36.749533570611845,258.0
17,9.0,29.86502084337947,256.0
18,10.0,32.421671802669216,219.0
19,12.0,34.18290493295886,255.0
20,11.0,36.23733115661705,252.0
21,12.0,37.305512397367295,240.0
22,12.0,35.32316186572402,230.0
23,10.0,38.200634115185046,261.0
24,10.0,34.84457372533849,237.0
25,10.0,36.4469526162255,217.0
26,12.0,33.16162036666377,224.0
27,9.0,26.71817587349121,233.0
28,10.0,34.65254536045641,220.0
29,8.0,32.41150705717743,255.0
30,10.0,34.00013988566054,244.0
31,12.0,35.29687381631437,250.0
32,13.0,31.507774951488337,295.0
33,9.0,30.524291310802006,263.0
34,10.5,32.0602439652335,268.0
35,15.0,34.28404930863339,247.0
36,11.0,34.26772976846401,252.0
37,10.0,32.56354486571854,259.0
38,11.0,29.71275212510007,260.0
39,11.0,33.960547100467,269.0
40,10.0,31.79873693433806,276.0
41,9.0,33.31244650369135,264.0
42,13.0,37.04533117042523,321.0
43,12.0,34.03347954175916,289.0
44,14.0,34.44048003387131,307.0
45,12.0,32.78904057842337,305.0
46,13.0,36.24758109868855,265.0
47,14.0,37.18071532087662,278.0
48,12.0,36.80015143671468,318.0
49,12.0,36.8009483854864,288.0
50,10.5,32.032184857182926,288.0
51,13.0,32.97817954963075,314.0
52,12.0,34.63526696952759,332.0
53,13.0,37.386034848575655,326.0
54,11.0,31.898708750622326,355.0
55,10.0,36.2481709045406,306.0
56,8.0,30.664030254828926,264.0
57,9.0,33.16144799836455,307.0
58,12.0,35.35665466248606,287.0
59,12.0,31.905293552744492,305.0
60,11.0,35.12509219821369,322.0
61,10.0,32.68915480842185,322.0
62,12.0,32.693380623396955,338.0
63,11.0,35.934653390024835,306.0
64,12.5,37.569152201340074,338.0
65,10.5,33.03910925339546,284.0
66,14.5,36.095776083575885,292.0
67,11.0,33.756942612134054,275.0
68,15.0,34.8982668353865,264.0
69,14.0,34.418803070056676,272.0
70,12.0,34.23898091798572,289.0
71,14.5,33.34344920179178,296.0
72,15.0,37.63102102121342,286.0
73,13.0,34.31047229588042,295.0
74,12.0,28.589467481985363,289.0
75,12.0,35.83508520784823,269.0
76,12.0,35.863827452210295,251.0
77,12.0,31.746299889855187,247.0
78,11.0,38.11962461853225,271.0
79,10.0,35.37400648029509,233.0
