distance,median_nonzero,std_nonzero,count_nonzero
0,13.0,38.48459808662361,59.0
1,10.0,45.60295496912134,145.0
2,16.5,34.64890313304965,152.0
3,18.0,42.41210041236313,158.0
4,13.0,42.86113649414793,143.0
5,16.5,46.13157374953111,140.0
6,14.0,42.83616026062707,144.0
7,19.0,37.47645578649413,163.0
8,12.0,39.617152382865854,143.0
9,15.0,39.64801601756831,135.0
10,12.0,37.94457313380483,142.0
11,12.0,46.027496438407034,148.0
12,12.0,36.60583987307686,147.0
13,14.0,33.84687840043782,159.0
14,11.5,36.11034970859129,134.0
15,12.0,42.03152408961157,160.0
16,15.0,34.003738276183626,147.0
17,10.0,33.27784935687857,169.0
18,10.0,31.400894415675577,154.0
19,13.0,39.44535590515659,161.0
20,16.0,42.59085767780636,144.0
21,13.0,35.36075140379237,155.0
22,14.0,38.66630297391042,149.0
23,17.0,39.17744820525366,167.0
24,11.0,43.081851878325075,146.0
25,15.5,38.105991814942115,136.0
26,14.0,42.48497247152268,150.0
27,9.5,33.98203768485532,146.0
28,11.0,37.586917152064615,145.0
29,11.0,31.11165037910088,140.0
30,11.0,39.0122382852464,161.0
31,16.0,44.31611655869183,135.0
32,16.0,42.73004449260409,149.0
33,11.0,39.689876806547275,170.0
34,10.5,40.76988404680784,150.0
35,13.0,36.684074386972064,175.0
36,13.0,39.75987229567712,160.0
37,16.0,36.41890131688672,170.0
38,14.0,34.491578886512386,142.0
39,12.5,37.29222565064226,170.0
40,16.0,41.353707457409705,165.0
41,16.5,37.99312309612626,176.0
42,13.0,39.589382575268246,185.0
43,11.0,40.41564433020432,177.0
44,13.5,36.104135777844235,202.0
45,14.0,41.48493303996518,191.0
46,15.0,34.62157326558543,198.0
47,15.5,43.08038885360275,184.0
48,11.0,42.33909734134407,217.0
49,12.0,44.21861902333803,223.0
50,16.0,34.13461209287361,209.0
51,16.0,40.270871393918796,211.0
52,14.0,42.82191913174596,207.0
53,13.0,37.43970880424983,203.0
54,13.5,40.07827194209262,198.0
55,12.0,41.148013848289715,222.0
56,16.0,35.08564904921601,218.0
57,21.0,42.49732716329192,214.0
58,19.0,49.362329609321066,183.0
59,12.0,42.11687226810939,200.0
60,14.0,37.37431698545824,191.0
61,11.0,32.63153223956343,197.0
62,19.5,42.49771585686762,220.0
63,17.0,40.449798888977554,225.0
64,13.5,40.530488899452045,206.0
65,16.0,41.81664557428011,229.0
66,18.0,41.373833271791355,201.0
67,17.0,39.62463151983379,202.0
68,13.0,43.63400187134264,218.0
69,15.0,41.32099588334473,227.0
70,17.5,39.43899276912189,188.0
71,18.0,42.75670727008111,192.0
72,16.0,41.4976319860422,218.0
73,15.0,36.062985060205385,198.0
74,15.0,43.24836367561586,209.0
75,19.0,44.87243333753857,201.0
76,16.0,38.382808402596034,205.0
77,20.0,43.6265705161782,181.0
78,18.5,43.810086864730955,184.0
79,16.0,40.35268603567314,193.0
80,21.0,40.33292730053872,175.0
81,20.0,38.78344179083205,161.0
82,21.0,48.50810355269203,142.0
83,18.0,40.78759028056985,162.0
84,19.0,46.146969984059375,125.0
85,24.0,38.71965026376979,124.0
86,14.0,37.26558687504616,136.0
87,16.5,43.59217787663253,144.0
