distance,median_nonzero,std_nonzero,count_nonzero
0,3.0,14.09648635118774,227.0
1,3.0,13.502253411532157,421.0
2,3.0,15.354892097459519,472.0
3,3.0,14.160636676530414,470.0
4,4.0,15.828998747647795,411.0
5,2.0,14.018626396458108,455.0
6,3.0,14.322441523972513,445.0
7,3.0,12.444023372519444,402.0
8,3.0,13.9003619510451,481.0
9,3.5,14.074834933581183,456.0
10,3.0,15.08526828419407,457.0
11,3.0,13.911217648120964,419.0
12,3.0,14.85154822707336,398.0
13,3.0,13.451228197990568,445.0
14,3.0,15.040387888856477,417.0
15,4.0,14.65533034094454,472.0
16,3.0,14.471971655353794,473.0
17,4.0,15.222648783674021,454.0
18,3.0,15.42125099979979,479.0
19,3.0,14.658161226456413,454.0
20,4.0,15.040919541425286,456.0
21,4.0,14.234509078405097,461.0
22,3.0,14.135740979474656,429.0
23,3.0,15.202527258471386,468.0
24,3.0,14.552599276258665,454.0
25,3.0,14.639538550717605,422.0
26,3.0,15.001060292059499,458.0
27,3.0,14.261401526572321,453.0
28,3.0,14.349383280411466,461.0
29,3.5,13.356702699702003,434.0
30,4.0,13.915280965241887,456.0
31,4.5,15.035376056895826,468.0
32,4.0,15.69414468828852,461.0
33,3.0,14.164467644287233,504.0
34,3.0,13.053045985035942,530.0
35,3.0,14.665500875036361,464.0
36,3.0,15.766064041251536,489.0
37,4.0,14.62435790178937,448.0
38,3.5,13.536679937125344,520.0
39,3.0,14.004610305304134,490.0
40,3.0,14.921287304727057,491.0
41,4.0,15.826093805461506,493.0
42,5.0,16.25863126688558,498.0
43,5.0,14.182837134282783,515.0
44,4.0,14.140686286787844,507.0
45,5.0,15.269212512173832,491.0
46,5.0,15.731663250190465,549.0
47,4.0,14.309035947993065,482.0
48,4.0,14.961228595191256,528.0
49,5.0,14.500265687762688,544.0
50,4.0,16.425965045309276,568.0
51,5.0,16.717754522697984,518.0
52,5.0,15.334470448250284,568.0
53,5.0,15.551871013474276,547.0
54,5.0,14.19949670397845,561.0
55,4.0,16.546127699652565,605.0
56,5.0,14.941296272513009,553.0
57,5.0,15.868041574982502,566.0
58,5.0,14.979663783536772,530.0
59,4.0,15.21670372802539,573.0
60,5.0,16.451462040383174,544.0
61,5.0,15.972106396800948,552.0
62,6.0,17.39851849923494,523.0
63,5.0,14.55088407231801,579.0
64,5.0,16.038484508578176,555.0
65,6.0,16.515426431843224,549.0
66,6.0,15.75307258311745,513.0
67,5.0,16.273443728860816,540.0
68,6.0,15.826879521458311,502.0
69,4.0,14.84308365740963,512.0
70,5.0,15.732022775145088,504.0
71,5.0,16.8558455010804,478.0
72,6.0,17.520683454060652,500.0
73,5.0,16.27559103458998,459.0
74,6.0,14.799023821054744,474.0
75,6.0,16.46694131532849,491.0
76,7.0,15.657273712745422,443.0
77,7.0,16.969941577451046,399.0
78,6.0,16.131036472137197,411.0
79,7.0,15.212336831498368,406.0
80,5.0,15.45381850025615,375.0
81,6.0,17.73895007907511,363.0
82,6.0,15.837794072627046,370.0
83,8.0,16.531228501060465,373.0
84,6.0,16.921454541706655,340.0
85,9.0,16.50352003324293,290.0
86,7.0,16.500997309548936,287.0
87,6.0,17.523677370746707,285.0
88,9.0,16.549336100255278,242.0
89,6.0,17.350419326501942,270.0
90,7.0,18.19567414282787,244.0
91,10.5,18.70832501074894,204.0
92,8.0,17.18310022766188,219.0
93,7.0,17.680057616936836,199.0
94,6.0,18.828962422524985,217.0
95,10.0,16.452374417503616,232.0
96,10.0,18.153843117442413,178.0
97,7.0,18.39371935103463,196.0
98,9.0,18.323664085177924,170.0
99,7.0,19.04366392163558,167.0
100,9.0,18.496072819603707,166.0
101,8.0,19.615248937180983,147.0
102,7.0,17.83276427450071,164.0
103,8.0,16.783441928161665,160.0
104,10.5,16.787230256706295,140.0
105,10.0,18.906350122710588,116.0
106,10.0,18.18820375103427,137.0
107,7.0,18.27989868169659,132.0
108,8.0,16.70827045930296,139.0
109,8.0,19.219532865188558,103.0
110,7.0,17.053931742344904,140.0
111,8.0,18.142771321456134,112.0
112,8.0,21.297051920046947,106.0
113,12.0,15.579765358926332,90.0
114,6.0,16.03892285586225,107.0
115,7.0,18.659561687072713,114.0
116,12.0,18.543992300390816,90.0
117,10.0,20.189448685939126,93.0
118,11.0,15.688827009349454,100.0
119,11.0,20.262337623342624,111.0
120,7.5,15.791464494377744,76.0
121,8.0,15.670240698739876,78.0
122,7.0,16.274206426171496,86.0
123,8.0,16.297556606959144,98.0
124,10.0,16.30776082308859,75.0
125,6.5,16.727799529777784,84.0
126,12.0,16.257588664657167,75.0
127,8.0,14.917305660954643,59.0
128,5.0,16.446473375361858,74.0
129,9.0,19.829089083787334,66.0
130,10.0,17.113087664812532,57.0
131,13.0,20.06884633796519,62.0
132,6.0,18.548598465935505,55.0
133,10.5,19.058933282141144,60.0
