distance,median_nonzero,std_nonzero,count_nonzero
0,4.0,15.64030262886632,134.0
1,4.0,16.830409277672985,231.0
2,3.5,18.857346855740317,268.0
3,3.0,16.377849439246962,261.0
4,3.0,18.742245908793087,247.0
5,3.5,17.376126312750557,232.0
6,3.0,19.556871178215587,244.0
7,3.0,15.891345262308063,264.0
8,3.0,18.528001587755483,282.0
9,4.0,16.98036375617293,278.0
10,3.0,18.45144779459854,253.0
11,3.0,18.945800234050928,253.0
12,4.0,17.495405018070155,281.0
13,3.0,17.020524945484564,226.0
14,3.0,16.827840898512754,285.0
15,4.0,19.677612092697704,250.0
16,3.0,16.204676424468545,265.0
17,3.0,17.25731037443777,284.0
18,4.0,18.178536835361793,247.0
19,3.0,15.838758648802605,257.0
20,3.5,15.391471170975622,220.0
21,3.0,16.96716871421737,239.0
22,4.0,15.757351008898537,263.0
23,3.0,14.809030302016932,251.0
24,4.0,17.896666768544883,268.0
25,3.0,18.6925035904584,248.0
26,3.0,16.959859814317213,267.0
27,6.0,19.565829200614193,269.0
28,2.0,15.553600523353776,259.0
29,3.0,16.685405411573253,289.0
30,3.0,17.425245068931925,287.0
31,3.0,19.004873695497228,262.0
32,3.0,16.29543500821305,274.0
33,4.0,20.407990518080826,297.0
34,5.0,19.938929089033675,262.0
35,4.0,18.448006121299684,280.0
36,4.0,17.39170978887471,280.0
37,3.0,17.973585266464447,290.0
38,4.0,17.41379498023374,292.0
39,5.0,17.16662194574163,295.0
40,3.0,16.053852510533975,316.0
41,4.0,19.376348185462593,307.0
42,4.0,17.836450050618232,304.0
43,5.5,20.042867195681588,296.0
44,4.0,16.46405051713621,287.0
45,4.0,17.9221813415875,342.0
46,5.0,18.176475113142203,316.0
47,6.0,17.603804324068488,328.0
48,5.0,21.11590254416887,326.0
49,5.0,19.097470837570892,304.0
50,5.0,19.973299751401342,356.0
51,5.0,18.773268202078757,356.0
52,7.0,20.46613062381135,319.0
53,5.0,16.785318648446506,361.0
54,5.0,17.97477948370737,334.0
55,4.0,18.544342632294786,312.0
56,5.0,17.715062042007933,365.0
57,5.0,17.91415908009925,328.0
58,4.0,19.190505943979637,328.0
59,7.0,21.315053154476473,325.0
60,4.0,17.691412775569383,316.0
61,6.0,18.951316513398115,338.0
62,7.0,18.74938921417994,344.0
63,6.0,19.43827889314065,313.0
64,5.5,18.801183133216675,338.0
65,6.0,19.31715294477846,276.0
66,8.5,20.154588082743793,324.0
67,7.0,18.663668135735204,332.0
68,6.0,18.830829049309894,286.0
69,5.5,19.547388707151917,330.0
70,5.0,19.401337069486768,323.0
71,6.0,19.926798468479696,304.0
72,7.0,19.609731561302777,300.0
73,6.5,21.3330395568536,278.0
74,6.0,20.461224642818085,316.0
75,7.0,18.25104901849178,258.0
76,6.0,20.769642680868078,282.0
77,8.0,21.294418103877494,254.0
78,7.5,18.800634533183,252.0
79,7.0,19.546146679289393,246.0
80,7.0,20.24138522183402,266.0
81,8.0,19.589014219376246,235.0
82,8.0,18.217888961856236,247.0
83,8.5,19.615723899696164,198.0
84,8.0,17.332429767399063,223.0
85,8.0,22.27745686441784,198.0
86,8.0,21.12717593087326,200.0
87,12.0,21.480783594712005,181.0
88,10.0,20.880490114172158,168.0
89,9.5,20.186169921491558,158.0
90,7.0,20.1836499053641,155.0
91,8.0,21.472989406829,147.0
92,9.0,24.71880718342672,126.0
93,8.0,21.244150803341604,136.0
94,7.0,17.580271601086764,107.0
95,12.5,22.612786539829923,110.0
96,10.0,21.651995317588987,122.0
97,10.0,20.79646890541269,118.0
98,10.0,26.13997409359916,96.0
99,9.5,23.814409928423263,104.0
100,8.0,21.39797897637775,91.0
101,8.0,20.083595581609462,90.0
102,8.5,22.448356601483457,90.0
103,6.0,20.812863036358177,79.0
104,8.5,20.92262526830791,82.0
105,13.0,23.499417072338755,73.0
106,10.0,22.476931887523772,68.0
107,10.0,18.681164725277643,72.0
108,7.0,19.03792613650309,76.0
109,9.5,20.01784298315912,64.0
110,14.0,24.68004513299357,71.0
111,8.0,22.010536167012074,58.0
112,11.0,23.68609790571203,63.0
113,11.0,21.640786452590415,62.0
114,13.0,16.360063235991216,53.0
115,10.5,25.687663278779745,54.0
116,8.5,20.865570296771754,64.0
117,6.0,22.318868282861192,58.0
118,9.0,17.354149719546523,47.0
119,9.0,24.51873986670528,44.0
120,10.0,22.706878301653347,53.0
121,7.0,24.682368680325187,46.0
122,10.0,21.038350579880333,41.0
123,12.5,21.32052761915576,50.0
124,9.0,22.094520860670162,38.0
125,14.0,20.994344074795578,39.0
126,11.5,21.30400425834413,38.0
127,10.5,25.628340549545285,44.0
128,11.0,16.61059384721056,31.0
129,6.0,17.463585745615763,34.0
130,5.0,25.158097802844136,30.0
131,8.0,21.33419150736037,33.0
132,7.0,19.379630433978242,33.0
133,8.5,22.830262798988965,28.0
134,7.0,9.566801148269274,20.0
135,12.0,16.602870325046297,33.0
136,6.0,17.49305737861775,32.0
137,9.0,21.886805570126405,32.0
138,11.0,21.359853307860835,25.0
139,6.5,16.422716818651768,22.0
140,14.0,22.414425078794753,31.0
141,5.0,17.846069971809904,23.0
142,11.0,18.356847391473465,26.0
143,10.0,23.19197376375766,17.0
144,15.0,19.93426697924958,24.0
145,17.0,22.82177322938192,21.0
146,14.0,18.24224250920664,17.0
147,7.0,20.25620529156073,22.0
148,6.0,25.039968051097826,25.0
149,2.0,22.200487834258315,23.0
150,8.0,25.021650703991718,23.0
151,6.0,27.413634435097737,17.0
152,8.5,19.055321124502065,20.0
153,5.0,20.91021650175334,23.0
154,4.0,22.896926229719803,14.0
155,6.0,25.747399313883555,22.0
156,6.0,23.89605919438695,22.0
157,12.0,26.125191693567363,13.0
158,8.0,28.372070050920836,13.0
159,2.0,9.270464954242385,19.0
160,10.0,20.89474757422248,21.0
161,2.0,19.636765622234332,13.0
162,4.0,27.047824225279886,19.0
163,8.0,14.032471500425588,13.0
164,10.5,22.07713749560844,16.0
165,8.0,22.22255847698815,19.0
166,11.0,18.40573937200202,18.0
167,6.0,14.190225509131277,16.0
168,9.0,11.851863425920275,16.0
169,5.5,19.04972717030766,20.0
170,13.0,23.89499086074933,17.0
171,3.0,21.900186798705207,11.0
172,7.0,16.64903829626433,21.0
173,21.0,23.228519164253726,13.0
174,4.0,17.213102831590508,11.0
175,8.5,17.21235461856255,12.0
176,12.0,18.45785219607925,13.0
177,4.0,21.85073329329122,12.0
178,5.0,14.77776549215667,18.0
179,6.0,13.888752136078889,13.0
180,6.0,13.517478397327745,18.0
181,6.0,22.316567089645904,16.0
182,11.0,17.11432148815722,10.0
183,6.0,23.304562462722775,20.0
184,5.0,22.36328836881255,16.0
185,2.0,13.64617828617895,11.0
186,3.0,7.537087786916928,13.0
187,13.0,26.32887243710835,15.0
188,7.0,18.079241531628874,13.0
189,7.0,25.46062822759073,13.0
190,24.0,24.806297203580808,15.0
191,20.0,14.690433061329804,17.0
192,8.0,12.975067666581973,15.0
193,8.0,15.876607530157903,15.0
194,5.0,13.666666666666666,9.0
195,7.0,24.36922186609524,13.0
196,20.0,19.11618611095245,15.0
197,15.0,39.329378332234036,5.0
198,15.0,27.586557991496182,11.0
199,11.0,22.533735393166193,13.0
200,15.0,21.892413703787387,9.0
201,4.0,20.631246972695365,14.0
202,13.5,20.525999772646074,16.0
203,33.5,32.08641268181719,12.0
204,16.5,24.33649834128056,12.0
205,7.0,10.280818940883945,15.0
206,10.0,27.231674619165503,13.0
207,34.0,37.37913856685304,5.0
208,25.0,39.09347771687753,5.0
209,10.0,17.147724176824298,10.0
210,3.0,23.17522187792188,11.0
211,8.0,24.13645419386683,20.0
212,7.5,19.846379717187414,12.0
213,9.5,17.699968612652647,10.0
214,12.0,21.022931202942097,11.0
215,16.0,25.85053190942113,9.0
216,10.0,17.45552170790773,15.0
217,7.0,25.526507087781596,13.0
218,7.0,14.551632210855248,9.0
219,2.5,17.53943750899293,14.0
220,34.5,33.99803915914367,6.0
221,5.5,26.484185619197127,14.0
222,6.5,18.74733314367673,16.0
223,6.0,24.782903536355615,13.0
224,32.0,28.98850346832919,7.0
225,18.0,18.004208262278997,12.0
226,3.5,21.18372016431486,12.0
227,32.5,21.138573407736995,8.0
228,14.0,22.728328646799415,13.0
229,6.0,21.644230808063554,11.0
230,15.0,10.710219008441948,14.0
231,12.0,17.76155193874475,11.0
232,19.0,26.105767774787076,10.0
233,9.0,27.46303300471712,11.0
234,13.0,24.333421144906538,14.0
235,6.0,24.977808332415982,11.0
236,17.5,30.042826574266083,8.0
237,15.0,19.8292712927127,5.0
238,22.0,19.691368667515214,9.0
239,5.0,20.907917773920616,13.0
240,15.0,19.24231448310381,10.0
241,16.5,22.721746802959007,10.0
242,3.0,17.35799527595281,5.0
243,15.0,32.395566475564635,11.0
244,2.5,25.15888902494895,12.0
245,4.0,23.922328017519067,9.0
246,21.0,26.748661818694952,11.0
247,18.0,17.12945363454952,11.0
248,29.0,25.763346055976502,9.0
249,36.5,26.40391385129611,10.0
250,16.5,19.379972480200617,4.0
251,6.5,28.205281044298758,12.0
252,4.5,26.960052752998173,10.0
253,16.0,14.729788412148583,6.0
254,28.0,24.591665254715874,9.0
255,7.0,15.782171050806761,14.0
256,18.0,10.409664313084795,9.0
257,2.5,5.527528509973641,8.0
258,5.0,12.717442090818945,10.0
259,38.0,28.552583070538468,9.0
260,16.0,28.252335203385304,9.0
261,19.0,22.30911088706649,8.0
262,5.5,21.97888597202844,8.0
263,11.5,24.382142828079918,10.0
264,16.0,14.060583202698243,5.0
265,7.0,8.48528137423857,2.0
266,8.0,12.706079035030612,9.0
267,29.5,19.403607911932255,8.0
268,10.0,29.75825215681478,8.0
269,18.0,19.3778223750761,6.0
270,4.0,26.439639661964865,11.0
271,20.0,16.13570919145208,9.0
272,14.0,10.61602562167217,5.0
273,8.0,10.812801055539063,4.0
274,6.5,9.988326519826366,6.0
275,15.0,19.621416870348583,9.0
276,12.0,17.084105673598096,6.0
277,2.0,11.081516141756056,6.0
278,9.0,11.0,4.0
279,21.5,23.140872930812268,6.0
280,32.5,21.046773307722653,6.0
281,6.0,12.092071030976529,11.0
282,27.0,26.239283526803852,5.0
283,37.0,23.790754506740637,5.0
284,3.0,14.761597539045763,7.0
285,19.5,11.661903789690601,6.0
286,17.0,16.18229485167869,6.0
287,21.0,20.212708166610714,8.0
288,6.0,11.090536506409416,4.0
289,19.0,22.18858565419016,3.0
290,7.0,1.4142135623730951,2.0
291,39.0,35.23208764748407,5.0
292,6.0,34.649950182057225,7.0
293,2.0,16.0312195418814,9.0
294,33.0,20.554804791094465,5.0
295,22.5,11.343133018115703,4.0
296,16.5,13.553465555769439,8.0
297,5.0,1.5275252316519468,3.0
298,5.0,4.618802153517006,4.0
299,5.0,21.349473061413015,5.0
300,33.5,41.85988533190219,4.0
301,1.5,23.338094752285727,4.0
302,3.0,3.4641016151377544,5.0
303,10.0,7.455423082115014,4.0
