distance,median_nonzero,std_nonzero,count_nonzero
0,2.5,15.301685950259008,226.0
1,3.0,15.58620151925531,429.0
2,3.0,13.863103876924828,477.0
3,3.0,12.80688628246036,470.0
4,3.0,15.715098698478185,418.0
5,3.0,11.970208410155806,428.0
6,3.0,13.81935871161008,409.0
7,3.0,14.495856908892387,424.0
8,3.0,13.886178161086997,445.0
9,3.0,13.71204825912012,428.0
10,2.0,14.239182537009983,431.0
11,3.0,13.675242902398319,420.0
12,3.0,12.908265262076116,445.0
13,3.0,12.765342684429063,439.0
14,3.0,13.741057566670522,419.0
15,3.0,13.347058703519588,439.0
16,2.0,12.776141854878658,436.0
17,3.0,14.030837000295477,456.0
18,3.0,13.863787567952881,445.0
19,2.0,14.218414478941781,471.0
20,2.0,13.786141282242108,425.0
21,3.0,13.99008861294153,426.0
22,3.0,13.096506930272419,445.0
23,2.0,13.653821436756811,385.0
24,2.0,14.48561978606201,451.0
25,2.0,15.148893808221397,460.0
26,3.0,13.76613047010953,443.0
27,2.0,13.153974298429455,462.0
28,2.0,13.19268177342561,374.0
29,2.5,12.527291397622108,430.0
30,3.0,14.356227220973375,413.0
31,3.0,13.329462954431971,442.0
32,2.0,15.23443335861823,466.0
33,3.0,13.813054730795235,461.0
34,2.0,12.135538685272572,469.0
35,3.0,14.072198066037364,436.0
36,3.0,15.307021086410558,493.0
37,3.0,15.037224484776303,464.0
38,3.5,14.294500511633553,490.0
39,3.0,13.547347068435785,485.0
40,3.0,14.722742623995714,494.0
41,3.0,12.559811220280425,479.0
42,3.0,14.885640020074623,483.0
43,3.0,12.28663668428461,507.0
44,3.0,14.668947825356469,529.0
45,3.0,14.329218923935102,501.0
46,3.0,13.588309899371957,533.0
47,4.0,13.360753678020874,489.0
48,4.0,15.022800426662535,532.0
49,3.0,14.117626748388231,519.0
50,3.0,14.371713614188248,582.0
51,3.0,14.574592264999458,488.0
52,3.0,14.197153185866222,531.0
53,3.0,15.733438864058781,519.0
54,4.0,15.38472370374411,513.0
55,4.0,16.20699314596149,526.0
56,4.0,15.547689407810255,505.0
57,3.0,14.77438384520757,535.0
58,4.0,16.00564059062002,525.0
59,4.0,14.492080400394038,541.0
60,3.0,13.547741349266577,539.0
61,4.0,14.975485905197106,495.0
