distance,median_nonzero,std_nonzero,count_nonzero
0,3.0,15.132732268870853,231.0
1,3.0,16.107747996406886,503.0
2,2.0,17.115072667190997,468.0
3,3.0,15.372246157453862,469.0
4,2.0,15.680635365150003,470.0
5,3.0,18.361228392226447,444.0
6,3.0,16.896589440493987,446.0
7,3.0,17.0554686943773,470.0
8,3.0,16.34602091246716,455.0
9,3.0,15.82030239571692,482.0
10,3.0,17.417209641949515,459.0
11,2.0,15.31540260866591,457.0
12,2.0,17.66261920888959,473.0
13,2.5,16.88106076265017,482.0
14,3.0,16.07282309916761,482.0
15,3.0,16.61705867841557,490.0
16,3.0,17.35399573387569,434.0
17,3.0,17.16465890274014,453.0
18,2.0,17.21120436470149,457.0
19,2.0,16.394467222822577,449.0
20,3.0,15.540077285303616,455.0
21,2.0,16.175334527484445,498.0
22,3.0,15.762480706377307,464.0
23,3.0,16.758654737957148,498.0
24,3.0,16.59484197335069,416.0
25,2.0,15.170638085671797,461.0
26,3.0,17.165868926102615,465.0
27,3.0,15.599669716779506,468.0
28,2.0,15.895876354282503,486.0
29,3.0,14.033873218714934,483.0
30,2.0,16.9443988261896,515.0
31,3.0,17.011548993394484,483.0
32,3.0,16.304134495981703,486.0
33,3.0,18.440343120224156,515.0
34,3.0,15.448070187513325,492.0
35,3.0,17.05173853220012,478.0
36,3.0,14.70059911438608,464.0
37,4.0,18.436619237179553,503.0
38,3.0,18.175609875880202,524.0
39,3.0,16.97663269903993,558.0
40,3.0,15.83459483769912,537.0
41,3.0,15.43581138074446,561.0
42,3.0,16.251133785444676,534.0
43,4.0,17.730047942718926,560.0
44,3.0,17.592433511942964,580.0
45,3.0,16.07169895152283,520.0
46,3.0,17.60290533118873,552.0
47,4.0,16.341271747935732,552.0
48,4.0,16.60324980705663,559.0
49,4.0,18.2232832946258,613.0
50,3.0,15.884618986773457,601.0
51,4.0,18.462292588131525,588.0
52,5.0,18.01001217055829,580.0
53,4.0,17.61326403786181,584.0
54,4.0,17.040763388871042,637.0
55,4.0,18.378215728680168,579.0
56,4.0,19.9124368541594,558.0
57,4.0,17.21858976756599,510.0
58,3.0,18.489317192445192,545.0
59,4.0,18.1442591245212,544.0
60,4.0,17.633720369926927,554.0
61,4.0,19.045578172926824,590.0
62,4.0,18.485774758591358,605.0
63,5.0,18.157542116613868,544.0
64,5.0,16.960553778254226,531.0
65,4.0,19.75442928765017,516.0
66,4.0,19.26116362638624,529.0
67,4.0,18.703524491935973,548.0
68,4.0,16.637793663045368,495.0
69,5.0,19.025998929059426,474.0
70,4.0,19.565213111888717,528.0
71,5.0,19.832465741676938,500.0
72,4.0,17.979328039533762,529.0
73,4.0,17.580750987737392,508.0
74,4.5,20.023165396384815,518.0
75,6.5,18.467429198627837,466.0
76,5.0,17.535171197670607,435.0
77,4.0,18.87586137440843,485.0
78,5.0,19.000028502756976,445.0
79,5.0,19.56140182595585,401.0
80,4.0,19.61229987408387,394.0
81,5.0,19.26024627220964,400.0
82,6.0,20.031353391712717,419.0
83,5.0,17.817190999226785,396.0
84,5.0,19.364705850803187,357.0
85,6.0,19.290374940865043,349.0
86,5.0,19.820852854575715,335.0
87,7.0,20.674953315581106,313.0
88,5.0,17.24695357262822,294.0
89,5.0,18.67763017875484,277.0
90,6.5,18.72044647020368,252.0
91,6.5,21.978618926640507,216.0
92,8.0,20.486419254497704,212.0
93,7.0,18.926540822104933,218.0
94,6.0,19.33440152177844,234.0
95,6.0,19.190724827517602,229.0
96,5.5,19.058397625259573,204.0
97,5.0,18.589055616361303,197.0
98,4.0,20.23998669042326,202.0
99,10.0,18.83700381347462,166.0
100,8.0,19.59562471474093,177.0
101,5.0,18.706245356057565,191.0
102,5.0,18.578626023067013,164.0
103,6.0,23.86097586465953,142.0
104,6.0,20.594703097292626,171.0
105,6.0,20.107399427501534,142.0
106,4.0,20.47458341232161,137.0
107,9.0,23.416691552799332,144.0
108,6.0,20.965245228999724,154.0
109,5.5,21.3916902393897,138.0
110,6.0,20.212838086953834,137.0
111,4.0,22.863993779899346,142.0
112,7.0,22.495843384691117,130.0
113,6.0,16.958008180732698,122.0
114,6.0,20.1415200206879,124.0
115,5.0,18.078948727643827,125.0
116,6.0,20.824485840623193,96.0
117,9.0,22.35192910248383,95.0
118,8.0,20.07250224896372,101.0
119,7.0,20.031027145843527,106.0
120,9.0,24.166081615028528,90.0
121,7.0,22.50863465532485,109.0
122,5.5,21.896832290717672,88.0
123,7.0,23.606477025929927,100.0
124,10.0,22.642585778921017,82.0
125,7.5,20.25270286512905,74.0
126,5.0,20.62904302840882,77.0
127,8.0,17.426427624353636,80.0
128,4.0,23.230170179356396,77.0
129,4.0,19.78666053706047,69.0
130,5.5,22.400554763231117,84.0
131,8.0,21.921892664421808,77.0
132,4.0,24.241740776991207,77.0
133,10.0,21.53740819140376,58.0
134,8.0,23.11052811562695,62.0
135,6.0,21.103011461206897,57.0
136,9.0,20.38228166156879,52.0
137,3.5,23.59806322664323,62.0
138,7.5,24.03021907040026,50.0
139,6.5,19.841515136904484,58.0
140,4.0,17.156042950667807,44.0
141,6.0,19.658762391755747,50.0
142,11.0,25.33117057628757,63.0
143,9.0,16.127023107720156,61.0
144,5.0,21.01580280672942,39.0
145,3.0,15.886868558422474,55.0
146,6.0,25.102889723371856,46.0
147,10.0,15.076806724572052,45.0
148,10.0,27.999512982777524,45.0
149,6.0,24.754884312569256,42.0
150,8.0,22.37383857281243,48.0
151,4.0,14.755519642201914,43.0
152,8.0,22.901213658767833,39.0
153,4.0,16.527391041984053,37.0
154,7.0,19.525604965000426,37.0
155,7.0,23.105142145913923,34.0
156,2.5,16.441894581704915,40.0
157,4.0,21.332559107572585,37.0
158,4.0,22.86981035790309,32.0
159,7.0,20.713118985253082,44.0
160,13.0,24.977839640735137,31.0
161,3.0,14.852948664612473,35.0
162,4.0,20.031699017238683,30.0
163,10.0,22.68463340220848,28.0
164,7.0,13.825331277992458,31.0
165,9.0,22.96565222818655,29.0
166,2.0,20.243772988936282,29.0
167,6.0,11.748833462063297,19.0
168,3.0,15.560495887280213,32.0
169,11.0,19.474722645891195,23.0
170,5.0,17.16871035880725,26.0
171,5.0,25.79112902108661,27.0
172,19.5,20.360830184378568,24.0
173,5.0,21.686773135537198,31.0
174,5.5,19.695297964355905,28.0
175,3.0,14.886235252742717,16.0
176,3.0,11.499212323371154,24.0
177,4.0,17.03545322750958,25.0
178,3.5,11.471972535102838,26.0
179,11.5,14.52186680095281,14.0
180,3.5,13.838185741468592,26.0
181,8.5,24.50723515950746,18.0
182,5.0,26.670986829540794,26.0
183,13.0,27.2699307444485,19.0
184,2.0,17.61388690373898,23.0
185,4.0,14.060229673783148,19.0
186,2.5,14.371017493234419,18.0
187,2.0,10.875047892614848,15.0
188,4.0,16.763926740656018,19.0
189,4.0,17.41552167627823,23.0
190,4.0,8.647350268531204,25.0
191,5.0,20.24504642528401,21.0
192,3.0,12.00378728114211,11.0
193,8.0,29.237658239685672,14.0
194,5.5,22.556128820531704,20.0
195,5.0,17.06937715218796,11.0
196,4.0,26.249761903682096,16.0
197,9.0,20.99278375292257,12.0
198,4.0,29.522703128270624,25.0
199,7.0,18.435758541010895,19.0
200,6.0,16.26779104983297,13.0
201,3.5,22.549002557538312,18.0
202,8.0,28.350191063436124,16.0
203,6.0,27.928021035769053,13.0
204,5.5,14.035668847618199,12.0
205,16.0,26.6951150337785,16.0
206,6.0,17.68357405076223,14.0
207,5.5,32.30479840519052,10.0
208,14.5,28.273466163328628,18.0
209,26.0,18.68995146366854,15.0
210,30.0,23.642411813595423,11.0
211,8.5,15.361576155395706,14.0
212,5.5,11.12789581904311,18.0
213,10.0,15.591994552258123,17.0
214,10.0,25.25149689103787,15.0
215,6.0,28.798478795804144,15.0
216,16.0,20.94493915461385,21.0
217,5.5,15.47363348839998,10.0
218,11.5,20.8242251151958,14.0
219,6.0,19.630680995921573,11.0
220,3.0,11.659155090995977,13.0
221,2.0,13.048627003124377,10.0
222,3.0,25.997287826982536,13.0
223,3.5,10.295630140986999,10.0
224,6.5,24.59937329825024,16.0
225,12.0,14.59638809618823,11.0
226,2.0,23.96073176400643,16.0
227,2.0,26.41483654584275,13.0
228,6.0,23.055673977659005,13.0
229,18.0,26.499236287288056,15.0
230,4.0,16.286131991301534,7.0
231,7.5,26.333122362024092,10.0
232,10.5,29.174890615463195,12.0
233,8.5,19.20922969550069,14.0
234,3.0,4.429339411136565,7.0
235,1.0,9.738616911074146,14.0
236,6.0,19.89556064385554,10.0
237,15.5,14.427456988378623,12.0
238,5.5,14.319937362314334,12.0
239,14.0,18.536941004874073,11.0
240,6.5,14.715059192302524,14.0
241,14.0,26.540618149634454,17.0
242,10.0,24.510930506321344,8.0
243,4.5,21.74224631277262,14.0
244,5.0,22.54144979952105,19.0
245,13.0,25.02165728590601,12.0
246,22.0,30.76140010246179,14.0
247,7.0,22.4669454168482,11.0
248,4.5,16.676627060346767,14.0
249,32.0,23.765721613481965,7.0
250,3.0,24.535300128202067,15.0
251,2.0,7.5666733413400005,11.0
252,20.0,30.21288105788956,11.0
253,3.0,16.525462447112005,11.0
254,16.5,32.25252354041889,14.0
255,3.0,9.220530452104251,11.0
256,7.0,20.11839953873071,9.0
257,2.0,21.001298661143448,11.0
258,3.0,32.73530204534548,11.0
259,6.0,9.81835016690686,11.0
260,8.0,29.3644807083784,11.0
261,2.0,1.6431676725154984,6.0
262,50.0,29.717185450696892,9.0
263,4.5,24.190132285706913,16.0
264,5.0,32.65403059785598,7.0
265,13.0,25.792979234236938,9.0
266,5.0,28.390459344966256,11.0
267,3.0,9.827076298239907,8.0
268,20.0,19.953517412798604,7.0
269,12.0,19.101642004621677,11.0
270,7.0,11.596237634367762,11.0
271,8.0,10.894535744624877,11.0
272,22.0,38.552993831002716,3.0
273,25.0,21.42937660824929,11.0
274,31.0,33.38113239541163,6.0
275,4.5,13.729125568982493,10.0
276,14.0,17.69797112152073,11.0
277,7.0,28.80972058177587,9.0
278,3.0,12.983322635853531,6.0
279,4.0,31.557267167977503,9.0
280,5.0,18.329815679846398,8.0
281,8.5,5.802298395176404,4.0
282,12.0,34.307698579446885,11.0
283,10.0,16.126770515906998,11.0
284,25.5,21.019567603122148,10.0
285,8.0,17.493375369498644,11.0
286,3.0,21.593649860218495,7.0
287,2.0,9.064583093924764,6.0
288,16.0,31.61599956622325,7.0
289,1.0,17.224190177559212,11.0
290,4.5,25.795902221643104,8.0
291,15.0,24.157223113831368,7.0
292,4.0,21.038513436529865,7.0
293,18.5,18.825514601200148,6.0
294,3.0,19.868316486305527,9.0
295,19.0,32.118271020298295,4.0
296,6.0,20.647840887931437,3.0
297,2.0,21.592822881689184,9.0
298,5.0,16.403251710153896,6.0
299,31.0,17.21336689901194,5.0
300,39.0,35.414686219137955,5.0
301,6.5,6.363961030678928,2.0
302,4.0,11.323174718880113,8.0
303,2.5,8.461678320522472,6.0
304,15.0,27.604024033773463,8.0
305,7.5,16.97056274847714,8.0
306,3.0,2.6299556396765835,4.0
307,21.0,23.38344958054124,8.0
308,2.0,15.578831791889916,6.0
309,3.0,6.723094525588644,5.0
310,6.5,16.80082906117603,8.0
311,4.5,35.94115561117459,6.0
312,13.0,10.801234497346433,6.0
313,1.0,0,1.0
314,13.0,7.0710678118654755,2.0
315,20.5,22.009089031579656,6.0
316,4.5,36.33745607889625,8.0
317,4.0,29.02240513809977,5.0
318,4.0,19.070046320517072,4.0
319,2.5,3.082207001484488,6.0
320,11.5,37.11693234450642,4.0
321,24.5,17.67766952966369,2.0
322,2.0,20.370379990377717,7.0
323,13.5,13.141401316885068,8.0
324,8.5,15.042796092672209,8.0
325,5.0,19.83179265724609,5.0
326,19.0,31.500566888323046,7.0
327,1.0,25.51750099721478,8.0
328,8.5,25.157835094989128,4.0
329,54.5,33.704599092705436,6.0
330,24.0,13.0,3.0
331,6.0,21.004761364985796,5.0
332,9.5,12.86791876463841,4.0
333,18.0,21.307927580545645,9.0
334,17.5,23.338094752285727,4.0
335,21.0,10.583005244258363,5.0
336,27.0,26.369805965662064,6.0
337,5.0,7.814516406449388,6.0
338,6.0,13.780420893427022,6.0
339,34.0,22.735801430050067,4.0
340,6.5,8.54295867115971,8.0
341,2.0,12.338480264525904,7.0
342,15.0,22.470085934521077,7.0
343,11.5,21.387579840378656,8.0
344,1.0,0.0,2.0
345,21.5,19.445436482630058,8.0
346,32.0,18.641351882307248,5.0
347,3.5,23.95494282427503,8.0
348,40.0,16.97056274847714,2.0
349,91.0,0,1.0
350,11.0,5.773502691896258,3.0
351,15.0,39.4394049988925,6.0
352,25.0,42.146569650842686,3.0
353,27.0,22.10903715247509,7.0
354,18.5,20.758532382292028,4.0
355,4.5,23.783747952470964,4.0
356,9.0,11.704699910719626,4.0
357,9.0,40.0374824383352,3.0
358,21.5,35.27841644216286,6.0
359,6.0,25.803285135996227,7.0
360,1.0,21.17073451725282,5.0
361,14.0,8.502940667792526,5.0
362,3.0,10.825894882179487,5.0
363,4.0,10.848963084092414,5.0
364,30.0,1.4142135623730951,2.0
365,2.0,22.810816147900834,3.0
366,19.0,17.656915547928143,6.0
367,6.0,2.516611478423583,3.0
368,31.0,19.155068954891984,4.0
370,2.0,15.076471735787521,5.0
371,5.5,28.95283520946898,6.0
372,10.0,15.186146569128313,7.0
373,23.0,24.014578905323326,5.0
374,28.0,0,1.0
375,1.0,0.5773502691896257,3.0
376,5.0,0,1.0
377,25.0,13.796134724383252,3.0
378,6.5,17.86057109949175,4.0
379,2.0,6.4265076052238514,5.0
380,21.5,2.1213203435596424,2.0
381,2.5,18.35318189618045,8.0
382,12.5,6.849574196011507,4.0
383,7.0,6.0,3.0
384,14.0,27.622454633866266,4.0
386,1.0,0,1.0
387,17.0,24.37895267096873,3.0
388,2.0,0.0,3.0
389,40.5,55.86143571373726,2.0
390,9.0,8.18535277187245,3.0
391,10.5,13.435028842544403,2.0
392,8.0,16.56200470957547,5.0
394,33.0,28.74601421646718,3.0
395,67.0,40.0374824383352,3.0
396,34.5,33.23401871576773,2.0
397,10.0,12.727922061357855,2.0
398,20.0,21.213203435596427,2.0
399,53.5,4.949747468305833,2.0
400,2.0,0,1.0
401,2.0,0,1.0
402,4.0,25.1535285795055,5.0
403,61.0,42.2965719651132,3.0
404,5.5,6.363961030678928,2.0
405,1.0,0,1.0
406,1.0,0,1.0
407,37.0,24.583192089989726,3.0
408,1.0,0.0,2.0
409,11.5,13.435028842544403,2.0
410,29.0,0,1.0
411,29.5,11.236102527122116,4.0
412,1.0,0.0,2.0
413,41.0,22.052966542697455,3.0
415,5.0,16.77299416721217,3.0
416,46.0,32.449961479175904,3.0
417,18.0,12.767145334803704,3.0
418,29.0,21.93171219946131,3.0
419,1.0,0.0,2.0
420,10.0,5.656854249492381,2.0
421,40.0,0,1.0
422,1.0,0,1.0
423,23.0,31.11269837220809,2.0
424,48.5,67.17514421272202,2.0
425,29.0,24.390913608691797,4.0
426,30.0,0.0,2.0
427,11.0,9.865765724632494,3.0
428,1.0,0,1.0
429,36.5,50.204581464244875,2.0
430,8.0,0,1.0
431,7.0,4.112987559751022,4.0
432,15.0,16.09347693943108,3.0
433,19.0,24.041630560342615,2.0
434,9.0,0,1.0
435,3.5,11.236102527122116,4.0
436,1.0,0.0,2.0
437,14.0,11.176612486199325,4.0
438,15.0,9.451631252505218,3.0
439,4.0,2.8284271247461903,2.0
440,9.0,26.13426869074396,5.0
441,53.0,0,1.0
442,2.0,0,1.0
443,31.0,11.503622617824933,3.0
444,2.0,34.06366588218792,3.0
445,14.0,18.384776310850235,2.0
446,6.0,2.0,3.0
447,21.0,0,1.0
448,53.0,44.24176006143215,3.0
449,9.0,16.39207125411551,5.0
450,6.0,30.924639582917266,3.0
451,5.0,37.58102358017053,3.0
452,17.0,9.899494936611665,2.0
453,5.0,0,1.0
454,1.0,0,1.0
455,1.0,23.09401076758503,3.0
456,13.5,12.355835328567093,4.0
457,40.0,0,1.0
458,11.0,10.90489186863706,4.0
459,5.0,0,1.0
460,74.5,24.748737341529164,2.0
461,18.0,15.556349186104045,2.0
463,1.0,20.207259421636902,3.0
464,33.0,0,1.0
465,73.0,23.00724523564986,3.0
466,20.0,12.096831541082704,3.0
467,5.0,0,1.0
468,45.0,57.982756057296896,2.0
469,8.0,0,1.0
470,43.0,52.32590180780452,2.0
471,1.0,0,1.0
472,5.0,0,1.0
473,59.5,36.062445840513924,2.0
474,5.0,0,1.0
475,27.0,8.48528137423857,2.0
476,7.0,0,1.0
477,46.0,0,1.0
478,42.0,0,1.0
479,1.0,0,1.0
481,3.5,3.5355339059327378,2.0
482,24.0,0,1.0
483,2.0,0,1.0
484,1.0,0.0,2.0
485,6.5,7.7781745930520225,2.0
486,3.0,1.4142135623730951,2.0
487,5.0,4.0,3.0
488,3.5,3.5355339059327378,2.0
489,15.5,16.263455967290593,2.0
490,82.0,0,1.0
491,17.0,18.384776310850235,2.0
494,4.0,0,1.0
495,25.5,34.64823227814083,2.0
496,64.0,20.223748416156685,3.0
497,4.0,9.643650760992955,3.0
