distance,median_nonzero,std_nonzero,count_nonzero
0,3.0,10.867664060138901,159.0
1,3.0,9.764403312280082,305.0
2,3.0,12.607170482489284,318.0
3,3.0,9.77254702490522,332.0
4,4.0,9.771254816362688,327.0
5,3.0,10.891681466085394,347.0
6,3.0,10.852849303520044,327.0
7,3.0,10.844368756803796,314.0
8,3.0,10.905247530166072,299.0
9,3.0,10.436291795082678,315.0
10,3.0,10.670669068564406,303.0
11,3.0,11.321411131438742,337.0
12,2.0,9.462781186317942,337.0
13,3.0,10.61369555199369,326.0
14,3.0,9.993170510330652,332.0
15,3.0,10.593065792037354,318.0
16,4.0,10.13168807143128,331.0
17,3.0,10.028644178456286,327.0
18,3.0,9.898285841775499,343.0
19,3.0,11.87134432991382,321.0
20,3.0,8.981399913006925,322.0
21,3.0,10.528653383922293,340.0
22,3.0,9.644612822981706,325.0
23,3.0,10.895431727963208,313.0
24,3.0,10.826318861279217,342.0
25,3.0,10.899979132499592,335.0
26,3.0,10.517553221527507,348.0
27,3.0,9.209914737360695,323.0
28,4.0,10.337989479572455,321.0
29,3.0,11.27122402655355,358.0
30,3.0,10.505251283647526,353.0
31,4.0,10.430670328868354,349.0
32,3.0,9.54802375537779,341.0
33,3.0,11.178011131421494,352.0
34,3.0,11.499547116247417,339.0
35,3.0,9.09058049566075,371.0
36,3.0,10.971963558496439,369.0
37,3.0,12.770966557404838,330.0
38,4.0,11.411208926488246,378.0
39,4.0,9.892574476056762,403.0
40,4.0,12.316269017143592,369.0
41,4.0,11.140285439774267,426.0
42,4.0,12.136219418223856,365.0
43,4.0,12.048339331880703,360.0
44,4.0,11.65358341856729,385.0
45,4.0,10.615737164016164,403.0
46,4.0,11.712095931829554,403.0
47,4.5,11.72673404406768,384.0
48,4.0,12.038344105734485,431.0
49,3.0,11.31180778472344,460.0
50,4.0,12.332379827082656,428.0
51,4.0,11.700120242113224,439.0
52,4.0,11.537921800903662,413.0
53,4.0,11.930697119747403,421.0
54,4.0,10.902377625596452,451.0
55,5.0,11.873202917862036,466.0
56,3.0,11.899574003461854,427.0
57,5.0,11.998711660602929,436.0
58,5.0,11.672345115121363,441.0
59,5.0,12.811351678961618,426.0
60,4.0,10.821458330374867,405.0
61,5.0,12.271349755747545,430.0
62,5.0,11.18030969318713,415.0
63,4.0,12.42174758859419,437.0
64,4.0,11.343263197505584,462.0
65,4.0,10.830944060743054,460.0
66,5.0,12.129416755322787,386.0
67,4.0,12.461785472737603,452.0
68,6.0,13.675517557749826,428.0
69,5.0,11.963973799813578,440.0
70,5.0,11.238445620140963,429.0
71,6.0,12.20787797577039,434.0
72,5.0,12.435360918602637,435.0
73,5.0,12.651826395881038,404.0
74,5.0,12.419334754293484,366.0
75,5.0,12.143053421588641,394.0
76,5.0,13.24891166800853,382.0
77,6.0,13.3557504915727,370.0
78,6.0,12.38903784882029,359.0
79,6.5,13.064086744711531,336.0
80,6.0,13.26141673802846,361.0
81,5.0,12.24093037814945,301.0
82,5.0,11.35955161008881,293.0
83,5.0,11.378083253702442,303.0
84,6.0,13.373150270844333,246.0
85,7.0,12.430536342016506,255.0
86,6.0,14.78627659937045,271.0
87,5.0,14.720893844835729,261.0
88,8.0,12.198569681538036,229.0
89,7.0,12.586397429241304,221.0
90,6.0,13.696861799217821,191.0
91,5.0,14.431713861467845,183.0
92,5.0,11.72529863751772,171.0
93,5.0,13.466322780357743,179.0
94,7.0,14.788441513362196,164.0
95,8.0,13.085013249665796,151.0
96,7.0,12.930751941488912,146.0
97,5.5,12.40071145503152,142.0
98,9.0,13.751286878647342,156.0
99,7.5,14.31727059957252,160.0
100,8.5,13.231069072874982,144.0
101,8.0,14.977544838718224,117.0
102,4.0,12.792461015126424,119.0
103,7.0,12.527054927352703,155.0
104,8.0,14.210894053644955,120.0
105,7.0,14.158591788540578,110.0
106,6.0,13.651082131811917,110.0
107,6.0,12.486125744738754,110.0
108,8.0,12.63876480367746,98.0
109,6.5,15.03873449973552,100.0
110,6.0,15.018692400414366,99.0
111,6.0,16.695887549466356,85.0
112,8.0,15.264337522473744,99.0
113,7.5,14.614620118638774,88.0
114,5.0,14.538067394147395,86.0
115,6.0,13.204943049003717,82.0
116,5.0,14.045987401948512,87.0
117,7.5,13.48092615704259,84.0
118,7.0,13.373992695645315,79.0
119,7.5,12.318386961881712,66.0
120,7.0,12.295465708800878,62.0
121,7.0,12.622170828687569,64.0
122,6.0,10.6664872183785,85.0
123,8.0,13.314029742273451,61.0
124,7.0,14.079048541827577,51.0
125,10.0,15.175002528974613,57.0
126,9.0,12.137645737173965,58.0
127,6.0,12.240434908664264,56.0
128,4.0,11.443920293689208,56.0
129,5.5,14.067693485429658,56.0
130,4.0,8.01816120384899,45.0
131,5.0,14.215571848968906,49.0
132,5.5,12.218968511677312,48.0
133,8.5,14.459528318160084,50.0
