distance,median_nonzero,std_nonzero,count_nonzero
0,3.0,23.473863411267324,99.0
1,4.0,19.6112424357948,241.0
2,3.0,17.723974676319678,229.0
3,3.0,20.85824653332997,235.0
4,4.0,18.405657245083155,209.0
5,4.0,20.973744475077698,209.0
6,3.0,21.484212943163527,210.0
7,5.0,18.610816305014517,203.0
8,3.0,20.77526519876415,199.0
9,5.0,21.574853201010303,199.0
10,3.0,19.059946365938814,194.0
11,4.0,20.781681432257248,224.0
12,5.0,20.240224898098372,212.0
13,4.0,24.34443446692557,198.0
14,3.0,18.21543444269193,228.0
15,3.0,19.606228986808304,210.0
16,5.0,22.802076384168924,211.0
17,3.0,19.575672757694456,229.0
18,4.0,17.87249142995022,193.0
19,4.0,20.782772364010697,198.0
20,3.0,18.57967075176821,203.0
21,4.0,20.10805345776344,239.0
22,2.0,17.663612686058055,218.0
23,5.0,20.38614553398235,191.0
24,4.0,19.067544577045613,214.0
25,3.0,20.305687328569896,221.0
26,4.0,19.870403581676424,208.0
27,3.0,20.316169631421143,216.0
28,4.0,17.77671502766344,210.0
29,4.0,20.03963901529299,233.0
30,4.0,22.304484990448007,219.0
31,4.0,22.933727525314126,204.0
32,3.0,19.89939620296186,230.0
33,4.0,19.891089646976507,242.0
34,3.0,19.037867773887697,234.0
35,3.0,18.410025691833162,213.0
36,3.0,19.140667232473177,231.0
37,4.0,19.292917230801308,210.0
38,4.0,18.275236608382656,250.0
39,3.0,19.07679827486627,234.0
40,4.0,18.659615714256724,226.0
41,5.0,21.095264454239764,228.0
42,4.0,21.74564406557148,259.0
43,3.0,18.42668781107586,245.0
44,4.0,20.77456188495525,237.0
45,7.0,21.885855067880478,247.0
46,6.0,20.766787700078673,247.0
47,5.0,19.17272092575758,272.0
48,4.0,21.76015804371948,251.0
49,5.0,22.424719920317916,284.0
50,5.0,22.862250013950952,265.0
51,5.0,20.54164547819623,274.0
52,4.0,21.533298391852227,255.0
53,4.0,18.72606550147492,297.0
54,5.0,20.63568686704431,268.0
55,4.0,19.33343897875125,273.0
56,6.0,21.531705090789796,280.0
57,6.0,21.198540972570814,278.0
58,8.0,20.125663053115662,272.0
59,5.0,20.42266848377796,266.0
60,4.0,22.972513017227282,280.0
61,5.0,20.679738101442453,288.0
62,6.0,20.530852956009618,287.0
63,6.0,22.21670815743138,255.0
64,5.0,20.250870833540183,270.0
65,5.0,22.525735202443055,292.0
66,7.0,19.96073144814404,270.0
67,6.0,21.92438537794859,277.0
68,4.0,20.10075768819834,266.0
69,9.0,23.538344763218177,252.0
70,4.0,19.572463449747044,252.0
71,6.0,20.05459566585158,281.0
72,8.0,21.84612369830313,240.0
73,5.0,19.39199886940307,282.0
74,5.0,22.18754220928273,240.0
75,6.0,22.72508123789828,250.0
76,5.0,21.956092318118515,252.0
77,5.0,21.40366421418761,233.0
78,7.0,21.74604233286731,225.0
79,5.0,20.97845751545986,228.0
80,9.0,21.916458371301317,245.0
81,8.0,19.594676746094066,200.0
82,7.0,24.95666135143488,195.0
83,7.0,20.65079778113631,186.0
84,8.0,20.702089882917313,168.0
85,7.0,19.040163094125205,170.0
86,9.0,21.604135950890278,157.0
87,6.0,22.573195623824788,139.0
88,8.0,21.96453312355216,157.0
89,11.0,21.96748473710477,121.0
90,10.0,23.822231795853412,132.0
91,11.0,25.207960445884346,126.0
92,10.0,23.157786803012893,127.0
93,8.0,23.002085267304153,107.0
94,10.0,19.804579928355306,101.0
95,7.5,23.158030243717644,118.0
96,8.0,21.92416679739045,113.0
97,5.0,20.015744083051427,95.0
98,8.0,28.390930661396517,90.0
99,10.0,23.149283669318283,87.0
100,10.0,21.9891781371612,109.0
101,6.5,24.067521975373527,76.0
102,10.0,21.088247853505138,81.0
103,9.0,23.237342881351264,82.0
104,9.0,24.071358088941917,77.0
105,8.5,25.471850178484317,66.0
106,11.0,26.118146123640127,70.0
107,7.0,25.70431309550426,75.0
108,15.0,26.77072189298508,91.0
109,9.0,25.48248616423566,59.0
110,8.5,20.1522300107228,62.0
111,10.0,24.35309664669023,69.0
112,8.0,21.25513759816529,61.0
113,7.0,26.362549854539704,53.0
114,9.0,18.317503106600853,52.0
115,4.0,21.0041331911391,64.0
116,6.5,23.786227821972737,58.0
117,10.0,29.019087842443618,66.0
118,5.0,21.842762932307963,49.0
119,5.0,20.66872311702444,57.0
120,6.0,21.68388909073487,48.0
121,7.0,23.603455745359053,37.0
122,6.0,19.786245480234033,50.0
123,7.0,27.298346654961854,39.0
124,9.0,18.890339324270922,34.0
125,8.0,23.591108935772617,43.0
126,5.0,20.254787341673335,39.0
127,6.5,24.403161387703147,36.0
128,16.0,20.663324344668574,37.0
129,7.0,14.494574558161526,34.0
130,9.5,15.626204053429916,34.0
131,6.0,25.42833065696606,41.0
132,25.0,32.80079988534242,31.0
133,11.0,24.096257585559414,28.0
134,6.0,13.841466934416731,30.0
135,3.5,24.267664498873497,30.0
136,6.0,24.216389027618174,29.0
137,11.0,21.55621097802337,34.0
138,6.0,18.059572202800048,27.0
139,3.5,16.717609324854482,26.0
140,10.0,20.96232268456947,23.0
141,10.0,14.744838297189167,13.0
142,11.0,28.223343934713743,21.0
143,3.0,17.63005143073305,19.0
144,15.0,24.588711700351528,23.0
145,4.5,11.837730700259577,14.0
146,5.0,27.367804662159948,18.0
147,13.5,30.206737157411915,12.0
148,5.5,17.01272967558389,24.0
149,11.0,22.31727147436725,12.0
150,7.5,23.32559395456702,12.0
151,2.0,22.436520137878688,13.0
152,7.5,17.469825562804147,22.0
153,11.0,18.825446499284844,13.0
154,17.0,33.11344137959689,8.0
155,3.5,17.454583925147,16.0
156,5.0,15.03031125460336,13.0
157,5.5,35.349025042122044,8.0
158,16.0,20.682117879946436,9.0
159,10.0,10.960490542908035,17.0
160,8.5,20.992061991778385,6.0
161,4.0,9.267734841422099,11.0
162,2.5,14.246743381197577,12.0
163,8.0,24.538017151234648,15.0
164,3.5,8.167006795638166,6.0
165,6.0,16.058416088541463,11.0
166,11.0,16.355427233796124,9.0
167,8.0,11.227908712931987,14.0
168,3.5,5.240865068542279,6.0
169,5.0,23.207141757903507,14.0
170,8.5,19.52973922728397,8.0
171,5.0,26.384519270641587,7.0
172,1.0,17.24805026938518,15.0
173,7.5,27.5537857854617,10.0
174,4.0,6.253887679764573,9.0
175,13.0,20.901935534560167,11.0
176,1.5,9.563820714895625,6.0
177,8.0,15.923681620895223,11.0
178,5.0,11.074130378335068,12.0
179,8.0,26.20008481750478,9.0
180,11.0,18.38268415991193,13.0
181,10.0,8.46280376819926,7.0
182,3.0,6.0553007081949835,6.0
183,3.0,29.18935048640483,11.0
184,14.0,26.017393449474564,7.0
185,12.0,14.575474072716965,9.0
186,6.0,21.409369703732782,9.0
187,10.0,6.260990336999411,6.0
188,4.0,36.23007289280801,11.0
189,4.0,31.18566104070033,12.0
190,36.0,38.43782858938141,6.0
191,9.0,20.320058117652174,7.0
192,11.0,10.124228365658293,5.0
193,10.5,6.29285308902091,6.0
194,3.0,3.9749213828703582,5.0
195,11.5,32.7577689803721,8.0
196,2.0,16.116244392951273,10.0
197,10.5,17.72004514666935,8.0
198,3.0,45.526549030940906,6.0
199,2.0,11.131251587524284,7.0
200,8.5,36.72283576559232,6.0
201,2.0,18.51485889765299,5.0
202,4.0,1.4142135623730951,5.0
203,22.0,27.873723189492367,9.0
204,19.0,18.828908034662494,9.0
205,31.5,32.35274331490299,6.0
206,5.5,15.67014905572284,8.0
207,8.0,31.303430513360063,7.0
208,3.5,3.5355339059327378,2.0
209,4.5,7.286974680894672,6.0
