distance,median_nonzero,std_nonzero,count_nonzero
0,2.0,9.099427286561292,62.0
1,2.0,11.365924674107205,120.0
2,2.0,6.926363733093057,104.0
3,2.0,11.658592536098855,112.0
4,2.0,8.565846220844165,124.0
5,2.0,14.118292799951327,114.0
6,2.0,9.635766632153043,107.0
7,2.0,4.682165327858581,94.0
8,2.0,8.070795869984279,130.0
9,2.0,12.7148207485071,121.0
10,2.0,8.84029410682109,124.0
11,2.0,10.71151565540115,113.0
12,2.0,8.081539277152272,98.0
13,2.0,10.122367439519529,125.0
14,2.0,10.35325291579296,120.0
15,2.0,11.782356794119401,91.0
16,2.0,10.063247978111235,111.0
17,2.0,10.566482114267055,134.0
18,2.0,10.261125000432937,120.0
19,2.0,11.7782597786853,106.0
20,2.0,8.448924526560294,118.0
21,3.0,14.046355214670022,113.0
22,2.0,9.56810273117288,109.0
23,2.0,9.930020973242977,118.0
24,2.0,12.918125290439407,116.0
25,2.0,8.349480228027781,118.0
26,2.0,12.716786805898202,121.0
27,2.0,8.67469865502095,107.0
28,2.0,6.633249580710799,119.0
29,2.0,10.739387961216067,120.0
30,2.0,7.764733898832918,128.0
31,3.0,11.012364083504238,114.0
32,2.0,10.660941326328532,122.0
33,2.0,11.304894372354186,122.0
34,2.0,9.400524047618427,144.0
35,2.0,11.281871305552052,130.0
36,2.0,8.023578446955744,116.0
37,2.0,11.920593565934011,121.0
38,2.0,10.64873090848108,129.0
39,2.0,11.96435668957587,134.0
40,2.0,10.494631348472446,131.0
41,2.0,11.133097513568433,131.0
42,2.0,12.00643213858358,126.0
43,2.0,8.472638931591284,129.0
44,3.0,9.722352281283877,131.0
45,2.0,9.255647804561804,142.0
46,3.0,9.009018334286912,141.0
47,2.0,8.894177595506683,119.0
48,3.0,12.36534281276809,131.0
49,3.0,11.715564931635388,155.0
50,3.0,12.173220119362563,167.0
51,2.0,8.820539950894691,141.0
52,3.0,12.055119050295783,121.0
53,2.0,8.680447270659467,142.0
54,3.0,13.203317306838178,143.0
55,2.5,12.2090680349435,150.0
56,2.0,9.79341070547883,136.0
57,2.0,12.496919451632502,159.0
58,2.0,10.347733120973988,134.0
59,3.0,11.164615764158224,125.0
60,3.0,10.641887458489588,132.0
61,3.0,11.796143814223825,133.0
62,3.0,11.475232494448663,117.0
63,3.0,14.309643303481336,130.0
64,2.0,10.424199561977721,126.0
65,3.5,13.121681826761346,124.0
66,3.0,14.337406283462078,149.0
67,2.0,10.923695229295374,152.0
68,3.0,10.38755606008078,144.0
69,3.0,12.64277287157975,120.0
70,3.5,12.326577040753198,140.0
71,3.0,13.216560858106412,132.0
72,3.0,12.952108881236684,148.0
73,4.0,14.675579899024273,111.0
74,3.0,14.017075842764246,118.0
75,2.0,11.102174478258547,152.0
76,3.0,11.411960401142935,123.0
77,2.0,10.107561559905792,97.0
78,3.0,11.970565221889176,115.0
79,3.0,9.506097867540308,107.0
80,3.0,13.234475512472498,103.0
81,3.0,10.683159591721905,113.0
82,5.5,14.744209379668884,104.0
83,3.0,11.878888685651935,106.0
84,3.0,12.06155356830431,91.0
85,3.0,10.355222384412158,111.0
86,5.0,15.366026562080165,74.0
87,3.0,11.751786323479383,85.0
88,4.0,13.596670344038074,81.0
89,3.5,12.960046774834646,82.0
90,4.0,11.448585375848047,79.0
91,2.0,15.68082520763094,68.0
92,4.0,14.472426466199401,57.0
93,3.0,12.793937958457063,55.0
94,3.5,13.237145484154167,58.0
95,3.0,16.67002130741321,56.0
96,4.0,11.760850737208305,54.0
97,7.0,14.283477122724461,43.0
98,6.0,14.233647505522798,61.0
99,4.5,8.591675221799479,56.0
100,3.5,10.672074482445542,48.0
101,5.0,9.285155768594235,51.0
102,3.5,12.92593554545119,44.0
103,5.0,15.82168757978555,48.0
104,3.0,12.389628872587933,42.0
105,7.5,15.970707312561085,36.0
106,7.5,15.47766038568145,46.0
107,4.0,11.294507137226852,43.0
108,5.0,13.428795168686568,36.0
109,2.0,9.906453206170735,35.0
110,4.0,13.739751845676864,37.0
111,3.0,13.742293844689758,38.0
112,3.0,16.405021523387152,31.0
113,7.0,13.563979447844147,26.0
114,3.0,11.060568807081411,27.0
115,7.5,12.47960903679398,34.0
116,3.0,15.25173382325382,27.0
117,6.0,13.850352272217343,31.0
118,7.0,10.549184105194357,37.0
119,4.0,15.101259816586433,37.0
120,3.0,9.042670649377774,31.0
121,3.5,16.1393513770969,38.0
122,4.5,16.74786336878095,32.0
123,5.0,13.284953895290718,25.0
124,7.0,16.746795884998214,30.0
125,4.0,16.91039001095423,31.0
126,8.0,11.134548078819375,30.0
127,3.0,11.613005845254053,21.0
128,3.0,14.530078747405229,24.0
129,5.0,14.984770046061213,25.0
130,5.0,14.541912765890059,35.0
131,4.0,11.470687279612616,25.0
132,4.5,15.404038156742912,28.0
133,2.0,18.335087635364363,19.0
134,7.0,12.874918747841974,27.0
135,5.0,14.949916387726054,21.0
136,5.0,15.907470542094964,21.0
137,5.0,9.965463236415047,18.0
138,12.0,10.436885140144613,21.0
139,4.0,17.13138087038858,20.0
140,1.0,10.011061076305436,23.0
141,8.0,9.813648266964346,14.0
142,8.0,17.027504145819417,13.0
143,4.5,11.647126493498538,10.0
144,8.0,10.343543343017851,10.0
145,6.5,14.63329536821195,16.0
146,8.0,15.837568355924194,15.0
147,2.0,9.862693712811286,12.0
148,5.5,15.01208304542169,14.0
149,4.0,17.270574028466086,11.0
150,2.0,12.975067666581973,15.0
151,2.5,7.509085406117288,12.0
152,12.0,18.193405398660254,9.0
153,7.5,16.386431933619704,12.0
154,8.5,9.9498743710662,4.0
155,3.0,8.934102183106136,11.0
156,4.5,13.113721705515067,12.0
157,2.5,11.313708498984761,6.0
158,6.0,19.95828983989694,7.0
159,2.0,8.962886439832502,7.0
160,19.0,13.642763649642253,8.0
161,3.0,9.260129588726068,9.0
162,10.0,14.565124686828366,7.0
163,2.0,24.114311103574988,5.0
164,5.0,7.68232919225555,11.0
165,11.0,16.412732185037864,10.0
166,5.0,16.767315144138525,7.0
167,2.5,4.505552130427524,6.0
168,6.0,17.985443849852317,7.0
169,2.0,4.618802153517007,3.0
170,8.0,12.488089563755576,7.0
171,1.5,5.7115866641610396,10.0
172,9.0,9.40744386111339,5.0
173,12.0,9.782353727219459,9.0
174,11.5,14.849242404917497,2.0
175,2.0,2.9268868558020253,6.0
176,6.0,9.789754119194502,8.0
177,1.0,0,1.0
178,2.0,10.042856882330563,13.0
179,10.0,21.62637278879655,5.0
180,6.0,26.888659319497503,3.0
181,6.0,20.656718035544756,5.0
182,2.0,8.105553651663778,5.0
183,1.0,5.656854249492381,5.0
184,5.0,4.549114687985393,9.0
185,3.0,3.3862466931200785,6.0
186,2.0,3.785938897200183,3.0
187,10.5,18.009256878986797,4.0
188,1.5,5.52871293039046,6.0
189,1.0,0.0,4.0
190,13.0,11.313708498984761,2.0
191,5.0,8.972179222463181,5.0
192,3.0,13.892443989449804,3.0
193,3.5,5.852349955359813,4.0
194,3.0,10.012492197250394,4.0
195,12.5,16.263455967290593,2.0
