distance,median_nonzero,std_nonzero,count_nonzero
0,1.5,20.776381830290905,66.0
1,2.0,21.51364174830197,144.0
2,3.0,27.221906944666785,139.0
3,1.0,18.532130926315315,140.0
4,2.0,19.66325454797208,150.0
5,2.0,22.268289954036703,124.0
6,2.0,26.22310579917077,155.0
7,2.0,23.13220180212305,169.0
8,2.0,23.90981604832079,149.0
9,3.0,26.771682586377484,145.0
10,2.0,19.654469626316384,141.0
11,2.0,24.77579903548359,155.0
12,2.0,21.403745281847705,124.0
13,2.0,19.015721953381888,137.0
14,2.0,22.511165549516367,146.0
15,2.0,22.983107339044846,151.0
16,2.0,24.62430398770547,155.0
17,2.0,21.8702641078699,147.0
18,2.0,21.512657945999283,150.0
19,2.5,24.068335769940383,142.0
20,2.0,21.29905030917924,141.0
21,2.0,24.843019602293836,159.0
22,2.0,22.497680997069637,158.0
23,2.0,23.536586952156927,147.0
24,3.0,29.197904840224812,136.0
25,2.0,19.912155928178073,146.0
26,2.0,19.066979723509476,147.0
27,2.0,17.676654769082237,135.0
28,3.0,27.858267842368747,163.0
29,3.0,20.14588392567789,153.0
30,3.0,21.71043256144089,170.0
31,2.0,20.260269513755492,141.0
32,2.0,22.84032489401502,130.0
33,3.0,18.622042787699986,155.0
34,2.0,22.133489460363382,146.0
35,2.0,20.609752661347116,148.0
36,3.0,26.374001466933453,162.0
37,3.0,22.56553697213082,158.0
38,3.0,23.872347434187414,164.0
39,3.0,25.630365298836363,189.0
40,3.0,24.652255533368205,165.0
41,3.0,22.543657514973916,173.0
42,2.0,22.214044252328463,155.0
43,2.0,24.470101931673312,177.0
44,3.0,21.3015559569467,156.0
45,3.0,23.453746817811137,163.0
46,3.0,24.060943634195475,172.0
47,3.0,24.52659155606752,180.0
48,2.0,23.768205000005906,190.0
49,3.0,21.818408996715224,181.0
50,2.0,24.09060919387755,174.0
51,3.0,26.956107891942207,178.0
52,3.0,21.677578337937174,176.0
53,2.5,23.220483321507203,186.0
54,2.0,26.241320000786377,181.0
55,3.0,27.51947786414096,184.0
56,3.0,20.272250873712963,171.0
57,4.0,22.22514470205941,143.0
58,4.0,29.63261574793343,171.0
59,4.0,23.429051606261112,186.0
60,3.0,28.98145233442596,168.0
61,3.0,23.54189360941428,160.0
62,3.0,25.135197775516147,166.0
63,3.0,25.18261317989347,175.0
64,3.5,23.389056396505136,178.0
65,3.0,22.8011617238864,179.0
66,4.0,25.00014175326929,154.0
67,4.0,22.514496233850487,173.0
68,4.0,25.56191504069375,166.0
69,3.0,20.055202913897975,147.0
70,3.0,26.268796878444842,162.0
71,5.0,25.548678657572186,155.0
72,3.0,25.966706818803555,146.0
73,3.0,24.518964034302844,150.0
74,4.0,26.74505586543115,151.0
75,5.0,27.41628969804687,179.0
76,2.0,22.214457378236922,157.0
77,3.0,27.15974278877638,145.0
78,3.5,23.698998174496165,156.0
79,5.0,21.11557187633538,139.0
80,4.0,23.71021634178732,130.0
81,3.0,27.96509681755508,103.0
82,7.0,28.97695499308448,115.0
83,5.5,26.54819385008421,116.0
84,6.0,25.180251091779155,112.0
85,5.5,28.363129125119467,102.0
86,4.0,26.09782844384828,97.0
87,2.0,27.484855786634835,102.0
88,7.0,26.335242802698605,106.0
89,7.0,26.243899634795834,98.0
90,3.0,24.64956826237068,93.0
91,5.0,30.249812746051358,75.0
92,4.0,29.409451725862738,66.0
93,2.0,23.216775085219883,73.0
94,10.0,27.87692047818043,68.0
95,6.0,26.49740969628391,78.0
96,5.0,29.068344839003096,57.0
97,5.0,28.223101075952552,55.0
98,6.0,25.686702016793383,47.0
99,4.0,27.915811810148163,51.0
100,3.0,24.075934296406817,50.0
101,5.0,22.748433530029608,57.0
102,3.0,34.04642675876077,62.0
103,3.0,26.54897440732231,59.0
104,15.0,32.35491901262814,51.0
105,4.0,24.258893773738034,39.0
106,4.0,34.2202898189673,51.0
107,10.0,26.372752366098062,42.0
108,6.0,28.384501829256024,54.0
109,4.5,29.51834501302016,40.0
110,8.0,32.23857623829472,48.0
111,8.0,25.99699795051391,41.0
112,5.0,36.9483627865301,35.0
113,11.5,19.5017050718966,38.0
114,4.0,23.4706518355273,46.0
115,6.5,27.801955533758004,44.0
116,6.0,18.90736946799175,38.0
117,4.0,19.446700855779476,37.0
118,11.0,16.8116176439056,41.0
119,9.0,23.907294496841963,36.0
120,6.5,21.76372152156163,48.0
121,11.0,31.164425689741638,36.0
122,16.0,29.847807718754883,29.0
123,5.0,33.18087684548578,34.0
124,4.5,19.924356953236913,26.0
125,6.0,32.08881904483722,39.0
126,5.0,26.973486343393606,30.0
127,8.0,37.027420718401,30.0
128,4.0,25.527260441360045,27.0
129,11.0,34.963915464595566,26.0
130,11.0,29.961587018993114,37.0
131,5.0,27.67528106932267,29.0
132,3.0,22.3958787417548,26.0
133,6.0,22.28601953392904,28.0
