window_size,tolerance_type,auc_mean,auc_std,auc_count,tolerance_value_first
10,full_window,0.0687500440789821,0.005557044542905676,10,10
10,half_window,0.03695044728318904,0.003452681174453915,10,5
10,quarter_window,0.009961475001743682,0.0013022870408734247,10,2
20,full_window,0.23891840481537768,0.01074549910472328,10,20
20,half_window,0.15078964950425944,0.009629383279584144,10,10
20,quarter_window,0.06419678846730088,0.004163066053044931,10,5
30,full_window,0.41877692298757346,0.017823704066239756,10,30
30,half_window,0.28373661082331375,0.01594522523878022,10,15
30,quarter_window,0.10414822790271969,0.01695695793174229,10,7
50,full_window,0.6012764877122806,0.019153566623824954,10,50
50,half_window,0.42470361718887534,0.02923238496021549,10,25
50,quarter_window,0.15585795829433563,0.012761775508266755,10,12
80,full_window,0.7021258546349324,0.012479680503114076,10,80
80,half_window,0.535725775541532,0.01819454185502985,10,40
80,quarter_window,0.20228844785928138,0.012715520494908995,10,20
100,full_window,0.731673241455413,0.015498058474285419,10,100
100,half_window,0.558499063162097,0.022673193070061257,10,50
100,quarter_window,0.21172224164864867,0.018125623411316613,10,25
150,full_window,0.7383249440278,0.009930932399527524,10,150
150,half_window,0.5777195555943646,0.010794750490180286,10,75
150,quarter_window,0.20537031835236874,0.013079623172178645,10,37
200,full_window,0.6868178724070528,0.0191945625163281,10,200
200,half_window,0.5408764461144199,0.01792653932918561,10,100
200,quarter_window,0.20486671189651542,0.013288641891736976,10,50
