Distance_Bin,Value,Bin_Center,Density_per_bp
"[-1084500.0, -1083500.0)",0,-1084000.0,0.0
"[-1083500.0, -1082500.0)",0,-1083000.0,0.0
"[-1082500.0, -1081500.0)",0,-1082000.0,0.0
"[-1081500.0, -1080500.0)",0,-1081000.0,0.0
"[-1080500.0, -1079500.0)",0,-1080000.0,0.0
"[-1079500.0, -1078500.0)",0,-1079000.0,0.0
"[-1078500.0, -1077500.0)",0,-1078000.0,0.0
"[-1077500.0, -1076500.0)",0,-1077000.0,0.0
"[-1076500.0, -1075500.0)",0,-1076000.0,0.0
"[-1075500.0, -1074500.0)",0,-1075000.0,0.0
"[-1074500.0, -1073500.0)",0,-1074000.0,0.0
"[-1073500.0, -1072500.0)",0,-1073000.0,0.0
"[-1072500.0, -1071500.0)",0,-1072000.0,0.0
"[-1071500.0, -1070500.0)",0,-1071000.0,0.0
"[-1070500.0, -1069500.0)",0,-1070000.0,0.0
"[-1069500.0, -1068500.0)",0,-1069000.0,0.0
"[-1068500.0, -1067500.0)",0,-1068000.0,0.0
"[-1067500.0, -1066500.0)",0,-1067000.0,0.0
"[-1066500.0, -1065500.0)",0,-1066000.0,0.0
"[-1065500.0, -1064500.0)",0,-1065000.0,0.0
"[-1064500.0, -1063500.0)",0,-1064000.0,0.0
"[-1063500.0, -1062500.0)",0,-1063000.0,0.0
"[-1062500.0, -1061500.0)",0,-1062000.0,0.0
"[-1061500.0, -1060500.0)",0,-1061000.0,0.0
"[-1060500.0, -1059500.0)",0,-1060000.0,0.0
"[-1059500.0, -1058500.0)",0,-1059000.0,0.0
"[-1058500.0, -1057500.0)",0,-1058000.0,0.0
"[-1057500.0, -1056500.0)",0,-1057000.0,0.0
"[-1056500.0, -1055500.0)",0,-1056000.0,0.0
"[-1055500.0, -1054500.0)",0,-1055000.0,0.0
"[-1054500.0, -1053500.0)",0,-1054000.0,0.0
"[-1053500.0, -1052500.0)",0,-1053000.0,0.0
"[-1052500.0, -1051500.0)",0,-1052000.0,0.0
"[-1051500.0, -1050500.0)",0,-1051000.0,0.0
"[-1050500.0, -1049500.0)",0,-1050000.0,0.0
"[-1049500.0, -1048500.0)",0,-1049000.0,0.0
"[-1048500.0, -1047500.0)",0,-1048000.0,0.0
"[-1047500.0, -1046500.0)",0,-1047000.0,0.0
"[-1046500.0, -1045500.0)",0,-1046000.0,0.0
"[-1045500.0, -1044500.0)",0,-1045000.0,0.0
"[-1044500.0, -1043500.0)",0,-1044000.0,0.0
"[-1043500.0, -1042500.0)",0,-1043000.0,0.0
"[-1042500.0, -1041500.0)",0,-1042000.0,0.0
"[-1041500.0, -1040500.0)",0,-1041000.0,0.0
"[-1040500.0, -1039500.0)",0,-1040000.0,0.0
"[-1039500.0, -1038500.0)",0,-1039000.0,0.0
"[-1038500.0, -1037500.0)",0,-1038000.0,0.0
"[-1037500.0, -1036500.0)",0,-1037000.0,0.0
"[-1036500.0, -1035500.0)",0,-1036000.0,0.0
"[-1035500.0, -1034500.0)",0,-1035000.0,0.0
"[-1034500.0, -1033500.0)",0,-1034000.0,0.0
"[-1033500.0, -1032500.0)",0,-1033000.0,0.0
"[-1032500.0, -1031500.0)",0,-1032000.0,0.0
"[-1031500.0, -1030500.0)",0,-1031000.0,0.0
"[-1030500.0, -1029500.0)",0,-1030000.0,0.0
"[-1029500.0, -1028500.0)",0,-1029000.0,0.0
"[-1028500.0, -1027500.0)",0,-1028000.0,0.0
"[-1027500.0, -1026500.0)",0,-1027000.0,0.0
"[-1026500.0, -1025500.0)",0,-1026000.0,0.0
"[-1025500.0, -1024500.0)",0,-1025000.0,0.0
"[-1024500.0, -1023500.0)",0,-1024000.0,0.0
"[-1023500.0, -1022500.0)",0,-1023000.0,0.0
"[-1022500.0, -1021500.0)",0,-1022000.0,0.0
"[-1021500.0, -1020500.0)",0,-1021000.0,0.0
"[-1020500.0, -1019500.0)",0,-1020000.0,0.0
"[-1019500.0, -1018500.0)",0,-1019000.0,0.0
"[-1018500.0, -1017500.0)",0,-1018000.0,0.0
"[-1017500.0, -1016500.0)",0,-1017000.0,0.0
"[-1016500.0, -1015500.0)",0,-1016000.0,0.0
"[-1015500.0, -1014500.0)",0,-1015000.0,0.0
"[-1014500.0, -1013500.0)",0,-1014000.0,0.0
"[-1013500.0, -1012500.0)",0,-1013000.0,0.0
"[-1012500.0, -1011500.0)",0,-1012000.0,0.0
"[-1011500.0, -1010500.0)",0,-1011000.0,0.0
"[-1010500.0, -1009500.0)",0,-1010000.0,0.0
"[-1009500.0, -1008500.0)",0,-1009000.0,0.0
"[-1008500.0, -1007500.0)",0,-1008000.0,0.0
"[-1007500.0, -1006500.0)",0,-1007000.0,0.0
"[-1006500.0, -1005500.0)",0,-1006000.0,0.0
"[-1005500.0, -1004500.0)",0,-1005000.0,0.0
"[-1004500.0, -1003500.0)",0,-1004000.0,0.0
"[-1003500.0, -1002500.0)",0,-1003000.0,0.0
"[-1002500.0, -1001500.0)",0,-1002000.0,0.0
"[-1001500.0, -1000500.0)",0,-1001000.0,0.0
"[-1000500.0, -999500.0)",0,-1000000.0,0.0
"[-999500.0, -998500.0)",0,-999000.0,0.0
"[-998500.0, -997500.0)",0,-998000.0,0.0
"[-997500.0, -996500.0)",0,-997000.0,0.0
"[-996500.0, -995500.0)",0,-996000.0,0.0
"[-995500.0, -994500.0)",0,-995000.0,0.0
"[-994500.0, -993500.0)",0,-994000.0,0.0
"[-993500.0, -992500.0)",0,-993000.0,0.0
"[-992500.0, -991500.0)",0,-992000.0,0.0
"[-991500.0, -990500.0)",0,-991000.0,0.0
"[-990500.0, -989500.0)",0,-990000.0,0.0
"[-989500.0, -988500.0)",0,-989000.0,0.0
"[-988500.0, -987500.0)",0,-988000.0,0.0
"[-987500.0, -986500.0)",0,-987000.0,0.0
"[-986500.0, -985500.0)",0,-986000.0,0.0
"[-985500.0, -984500.0)",0,-985000.0,0.0
"[-984500.0, -983500.0)",0,-984000.0,0.0
"[-983500.0, -982500.0)",0,-983000.0,0.0
"[-982500.0, -981500.0)",0,-982000.0,0.0
"[-981500.0, -980500.0)",0,-981000.0,0.0
"[-980500.0, -979500.0)",0,-980000.0,0.0
"[-979500.0, -978500.0)",0,-979000.0,0.0
"[-978500.0, -977500.0)",0,-978000.0,0.0
"[-977500.0, -976500.0)",0,-977000.0,0.0
"[-976500.0, -975500.0)",0,-976000.0,0.0
"[-975500.0, -974500.0)",0,-975000.0,0.0
"[-974500.0, -973500.0)",0,-974000.0,0.0
"[-973500.0, -972500.0)",0,-973000.0,0.0
"[-972500.0, -971500.0)",0,-972000.0,0.0
"[-971500.0, -970500.0)",0,-971000.0,0.0
"[-970500.0, -969500.0)",0,-970000.0,0.0
"[-969500.0, -968500.0)",0,-969000.0,0.0
"[-968500.0, -967500.0)",0,-968000.0,0.0
"[-967500.0, -966500.0)",0,-967000.0,0.0
"[-966500.0, -965500.0)",0,-966000.0,0.0
"[-965500.0, -964500.0)",0,-965000.0,0.0
"[-964500.0, -963500.0)",0,-964000.0,0.0
"[-963500.0, -962500.0)",0,-963000.0,0.0
"[-962500.0, -961500.0)",0,-962000.0,0.0
"[-961500.0, -960500.0)",0,-961000.0,0.0
"[-960500.0, -959500.0)",0,-960000.0,0.0
"[-959500.0, -958500.0)",0,-959000.0,0.0
"[-958500.0, -957500.0)",0,-958000.0,0.0
"[-957500.0, -956500.0)",0,-957000.0,0.0
"[-956500.0, -955500.0)",0,-956000.0,0.0
"[-955500.0, -954500.0)",0,-955000.0,0.0
"[-954500.0, -953500.0)",0,-954000.0,0.0
"[-953500.0, -952500.0)",0,-953000.0,0.0
"[-952500.0, -951500.0)",0,-952000.0,0.0
"[-951500.0, -950500.0)",0,-951000.0,0.0
"[-950500.0, -949500.0)",0,-950000.0,0.0
"[-949500.0, -948500.0)",0,-949000.0,0.0
"[-948500.0, -947500.0)",0,-948000.0,0.0
"[-947500.0, -946500.0)",0,-947000.0,0.0
"[-946500.0, -945500.0)",0,-946000.0,0.0
"[-945500.0, -944500.0)",0,-945000.0,0.0
"[-944500.0, -943500.0)",0,-944000.0,0.0
"[-943500.0, -942500.0)",0,-943000.0,0.0
"[-942500.0, -941500.0)",0,-942000.0,0.0
"[-941500.0, -940500.0)",0,-941000.0,0.0
"[-940500.0, -939500.0)",0,-940000.0,0.0
"[-939500.0, -938500.0)",0,-939000.0,0.0
"[-938500.0, -937500.0)",0,-938000.0,0.0
"[-937500.0, -936500.0)",0,-937000.0,0.0
"[-936500.0, -935500.0)",0,-936000.0,0.0
"[-935500.0, -934500.0)",0,-935000.0,0.0
"[-934500.0, -933500.0)",0,-934000.0,0.0
"[-933500.0, -932500.0)",0,-933000.0,0.0
"[-932500.0, -931500.0)",0,-932000.0,0.0
"[-931500.0, -930500.0)",0,-931000.0,0.0
"[-930500.0, -929500.0)",0,-930000.0,0.0
"[-929500.0, -928500.0)",0,-929000.0,0.0
"[-928500.0, -927500.0)",0,-928000.0,0.0
"[-927500.0, -926500.0)",0,-927000.0,0.0
"[-926500.0, -925500.0)",0,-926000.0,0.0
"[-925500.0, -924500.0)",0,-925000.0,0.0
"[-924500.0, -923500.0)",0,-924000.0,0.0
"[-923500.0, -922500.0)",0,-923000.0,0.0
"[-922500.0, -921500.0)",0,-922000.0,0.0
"[-921500.0, -920500.0)",0,-921000.0,0.0
"[-920500.0, -919500.0)",0,-920000.0,0.0
"[-919500.0, -918500.0)",0,-919000.0,0.0
"[-918500.0, -917500.0)",0,-918000.0,0.0
"[-917500.0, -916500.0)",0,-917000.0,0.0
"[-916500.0, -915500.0)",0,-916000.0,0.0
"[-915500.0, -914500.0)",0,-915000.0,0.0
"[-914500.0, -913500.0)",0,-914000.0,0.0
"[-913500.0, -912500.0)",0,-913000.0,0.0
"[-912500.0, -911500.0)",0,-912000.0,0.0
"[-911500.0, -910500.0)",0,-911000.0,0.0
"[-910500.0, -909500.0)",0,-910000.0,0.0
"[-909500.0, -908500.0)",0,-909000.0,0.0
"[-908500.0, -907500.0)",0,-908000.0,0.0
"[-907500.0, -906500.0)",0,-907000.0,0.0
"[-906500.0, -905500.0)",0,-906000.0,0.0
"[-905500.0, -904500.0)",0,-905000.0,0.0
"[-904500.0, -903500.0)",0,-904000.0,0.0
"[-903500.0, -902500.0)",0,-903000.0,0.0
"[-902500.0, -901500.0)",0,-902000.0,0.0
"[-901500.0, -900500.0)",0,-901000.0,0.0
"[-900500.0, -899500.0)",0,-900000.0,0.0
"[-899500.0, -898500.0)",0,-899000.0,0.0
"[-898500.0, -897500.0)",0,-898000.0,0.0
"[-897500.0, -896500.0)",0,-897000.0,0.0
"[-896500.0, -895500.0)",0,-896000.0,0.0
"[-895500.0, -894500.0)",0,-895000.0,0.0
"[-894500.0, -893500.0)",0,-894000.0,0.0
"[-893500.0, -892500.0)",0,-893000.0,0.0
"[-892500.0, -891500.0)",0,-892000.0,0.0
"[-891500.0, -890500.0)",0,-891000.0,0.0
"[-890500.0, -889500.0)",0,-890000.0,0.0
"[-889500.0, -888500.0)",0,-889000.0,0.0
"[-888500.0, -887500.0)",0,-888000.0,0.0
"[-887500.0, -886500.0)",0,-887000.0,0.0
"[-886500.0, -885500.0)",0,-886000.0,0.0
"[-885500.0, -884500.0)",0,-885000.0,0.0
"[-884500.0, -883500.0)",0,-884000.0,0.0
"[-883500.0, -882500.0)",0,-883000.0,0.0
"[-882500.0, -881500.0)",0,-882000.0,0.0
"[-881500.0, -880500.0)",0,-881000.0,0.0
"[-880500.0, -879500.0)",0,-880000.0,0.0
"[-879500.0, -878500.0)",0,-879000.0,0.0
"[-878500.0, -877500.0)",0,-878000.0,0.0
"[-877500.0, -876500.0)",0,-877000.0,0.0
"[-876500.0, -875500.0)",0,-876000.0,0.0
"[-875500.0, -874500.0)",0,-875000.0,0.0
"[-874500.0, -873500.0)",0,-874000.0,0.0
"[-873500.0, -872500.0)",0,-873000.0,0.0
"[-872500.0, -871500.0)",0,-872000.0,0.0
"[-871500.0, -870500.0)",0,-871000.0,0.0
"[-870500.0, -869500.0)",0,-870000.0,0.0
"[-869500.0, -868500.0)",0,-869000.0,0.0
"[-868500.0, -867500.0)",0,-868000.0,0.0
"[-867500.0, -866500.0)",0,-867000.0,0.0
"[-866500.0, -865500.0)",0,-866000.0,0.0
"[-865500.0, -864500.0)",0,-865000.0,0.0
"[-864500.0, -863500.0)",0,-864000.0,0.0
"[-863500.0, -862500.0)",0,-863000.0,0.0
"[-862500.0, -861500.0)",0,-862000.0,0.0
"[-861500.0, -860500.0)",0,-861000.0,0.0
"[-860500.0, -859500.0)",0,-860000.0,0.0
"[-859500.0, -858500.0)",0,-859000.0,0.0
"[-858500.0, -857500.0)",0,-858000.0,0.0
"[-857500.0, -856500.0)",0,-857000.0,0.0
"[-856500.0, -855500.0)",0,-856000.0,0.0
"[-855500.0, -854500.0)",0,-855000.0,0.0
"[-854500.0, -853500.0)",0,-854000.0,0.0
"[-853500.0, -852500.0)",0,-853000.0,0.0
"[-852500.0, -851500.0)",0,-852000.0,0.0
"[-851500.0, -850500.0)",0,-851000.0,0.0
"[-850500.0, -849500.0)",0,-850000.0,0.0
"[-849500.0, -848500.0)",0,-849000.0,0.0
"[-848500.0, -847500.0)",0,-848000.0,0.0
"[-847500.0, -846500.0)",0,-847000.0,0.0
"[-846500.0, -845500.0)",0,-846000.0,0.0
"[-845500.0, -844500.0)",0,-845000.0,0.0
"[-844500.0, -843500.0)",0,-844000.0,0.0
"[-843500.0, -842500.0)",0,-843000.0,0.0
"[-842500.0, -841500.0)",0,-842000.0,0.0
"[-841500.0, -840500.0)",0,-841000.0,0.0
"[-840500.0, -839500.0)",0,-840000.0,0.0
"[-839500.0, -838500.0)",0,-839000.0,0.0
"[-838500.0, -837500.0)",0,-838000.0,0.0
"[-837500.0, -836500.0)",0,-837000.0,0.0
"[-836500.0, -835500.0)",0,-836000.0,0.0
"[-835500.0, -834500.0)",0,-835000.0,0.0
"[-834500.0, -833500.0)",0,-834000.0,0.0
"[-833500.0, -832500.0)",0,-833000.0,0.0
"[-832500.0, -831500.0)",0,-832000.0,0.0
"[-831500.0, -830500.0)",0,-831000.0,0.0
"[-830500.0, -829500.0)",0,-830000.0,0.0
"[-829500.0, -828500.0)",0,-829000.0,0.0
"[-828500.0, -827500.0)",0,-828000.0,0.0
"[-827500.0, -826500.0)",0,-827000.0,0.0
"[-826500.0, -825500.0)",0,-826000.0,0.0
"[-825500.0, -824500.0)",0,-825000.0,0.0
"[-824500.0, -823500.0)",0,-824000.0,0.0
"[-823500.0, -822500.0)",0,-823000.0,0.0
"[-822500.0, -821500.0)",0,-822000.0,0.0
"[-821500.0, -820500.0)",0,-821000.0,0.0
"[-820500.0, -819500.0)",0,-820000.0,0.0
"[-819500.0, -818500.0)",0,-819000.0,0.0
"[-818500.0, -817500.0)",0,-818000.0,0.0
"[-817500.0, -816500.0)",0,-817000.0,0.0
"[-816500.0, -815500.0)",0,-816000.0,0.0
"[-815500.0, -814500.0)",0,-815000.0,0.0
"[-814500.0, -813500.0)",0,-814000.0,0.0
"[-813500.0, -812500.0)",0,-813000.0,0.0
"[-812500.0, -811500.0)",0,-812000.0,0.0
"[-811500.0, -810500.0)",0,-811000.0,0.0
"[-810500.0, -809500.0)",0,-810000.0,0.0
"[-809500.0, -808500.0)",0,-809000.0,0.0
"[-808500.0, -807500.0)",0,-808000.0,0.0
"[-807500.0, -806500.0)",0,-807000.0,0.0
"[-806500.0, -805500.0)",0,-806000.0,0.0
"[-805500.0, -804500.0)",0,-805000.0,0.0
"[-804500.0, -803500.0)",0,-804000.0,0.0
"[-803500.0, -802500.0)",0,-803000.0,0.0
"[-802500.0, -801500.0)",0,-802000.0,0.0
"[-801500.0, -800500.0)",0,-801000.0,0.0
"[-800500.0, -799500.0)",0,-800000.0,0.0
"[-799500.0, -798500.0)",0,-799000.0,0.0
"[-798500.0, -797500.0)",0,-798000.0,0.0
"[-797500.0, -796500.0)",0,-797000.0,0.0
"[-796500.0, -795500.0)",0,-796000.0,0.0
"[-795500.0, -794500.0)",0,-795000.0,0.0
"[-794500.0, -793500.0)",0,-794000.0,0.0
"[-793500.0, -792500.0)",0,-793000.0,0.0
"[-792500.0, -791500.0)",0,-792000.0,0.0
"[-791500.0, -790500.0)",0,-791000.0,0.0
"[-790500.0, -789500.0)",0,-790000.0,0.0
"[-789500.0, -788500.0)",0,-789000.0,0.0
"[-788500.0, -787500.0)",0,-788000.0,0.0
