chromosome,window_size,threshold,tolerance_type,tolerance_value,precision,recall,F1,num_detected,num_true,annotation_error,hausdorff_distance,rand_index,adjusted_rand_index,mae_localization
III,50,0.0,full_window,50,0.3,1.0,0.4615384615384615,30,5,25,325.0,0.7850199900049974,0.5715941752880296,17.0
III,50,0.0,half_window,25,0.16666666666666666,0.8,0.27586206896551724,30,5,25,325.0,0.7850199900049974,0.5715941752880296,17.0
III,50,0.0,quarter_window,12,0.06666666666666667,0.4,0.1142857142857143,30,5,25,325.0,0.7850199900049974,0.5715941752880296,17.0
III,50,1.0,full_window,50,0.36363636363636365,1.0,0.5333333333333333,22,5,17,325.0,0.8465392303848076,0.693861448530827,17.0
III,50,1.0,half_window,25,0.22727272727272727,0.8,0.35398230088495575,22,5,17,325.0,0.8465392303848076,0.693861448530827,17.0
III,50,1.0,quarter_window,12,0.09090909090909091,0.4,0.14814814814814814,22,5,17,325.0,0.8465392303848076,0.693861448530827,17.0
III,50,10.0,full_window,50,1.0,0.6,0.7499999999999999,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,50,10.0,half_window,25,0.6666666666666666,0.4,0.5,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,50,10.0,quarter_window,12,0.6666666666666666,0.4,0.5,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,50,11.0,full_window,50,1.0,0.6,0.7499999999999999,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,50,11.0,half_window,25,0.6666666666666666,0.4,0.5,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,50,11.0,quarter_window,12,0.6666666666666666,0.4,0.5,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,50,12.0,full_window,50,1.0,0.4,0.5714285714285715,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,12.0,half_window,25,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,12.0,quarter_window,12,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,13.0,full_window,50,1.0,0.4,0.5714285714285715,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,13.0,half_window,25,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,13.0,quarter_window,12,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,14.0,full_window,50,1.0,0.4,0.5714285714285715,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,14.0,half_window,25,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,14.0,quarter_window,12,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,15.0,full_window,50,1.0,0.4,0.5714285714285715,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,15.0,half_window,25,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,15.0,quarter_window,12,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,16.0,full_window,50,1.0,0.4,0.5714285714285715,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,16.0,half_window,25,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,16.0,quarter_window,12,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,17.0,full_window,50,1.0,0.4,0.5714285714285715,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,17.0,half_window,25,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,17.0,quarter_window,12,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,18.0,full_window,50,1.0,0.4,0.5714285714285715,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,18.0,half_window,25,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,18.0,quarter_window,12,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,19.0,full_window,50,1.0,0.4,0.5714285714285715,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,19.0,half_window,25,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,19.0,quarter_window,12,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,2.0,full_window,50,0.3684210526315789,1.0,0.5384615384615384,19,5,14,325.0,0.8530984507746127,0.7069132663947807,17.0
III,50,2.0,half_window,25,0.2631578947368421,0.8,0.396039603960396,19,5,14,325.0,0.8530984507746127,0.7069132663947807,17.0
III,50,2.0,quarter_window,12,0.10526315789473684,0.4,0.16666666666666666,19,5,14,325.0,0.8530984507746127,0.7069132663947807,17.0
III,50,20.0,full_window,50,1.0,0.4,0.5714285714285715,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,20.0,half_window,25,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,20.0,quarter_window,12,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,21.0,full_window,50,1.0,0.4,0.5714285714285715,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,21.0,half_window,25,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,21.0,quarter_window,12,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,22.0,full_window,50,1.0,0.4,0.5714285714285715,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,22.0,half_window,25,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,22.0,quarter_window,12,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,23.0,full_window,50,1.0,0.4,0.5714285714285715,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,23.0,half_window,25,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,23.0,quarter_window,12,0.5,0.2,0.28571428571428575,2,5,3,850.0,0.5761369315342328,0.1459561305796783,17.5
III,50,24.0,full_window,50,1.0,0.2,0.33333333333333337,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,24.0,half_window,25,0.0,0.0,0.0,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,24.0,quarter_window,12,0.0,0.0,0.0,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,25.0,full_window,50,1.0,0.2,0.33333333333333337,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,25.0,half_window,25,0.0,0.0,0.0,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,25.0,quarter_window,12,0.0,0.0,0.0,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,26.0,full_window,50,1.0,0.2,0.33333333333333337,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,26.0,half_window,25,0.0,0.0,0.0,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,26.0,quarter_window,12,0.0,0.0,0.0,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,27.0,full_window,50,1.0,0.2,0.33333333333333337,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,27.0,half_window,25,0.0,0.0,0.0,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,27.0,quarter_window,12,0.0,0.0,0.0,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,28.0,full_window,50,1.0,0.2,0.33333333333333337,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,28.0,half_window,25,0.0,0.0,0.0,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,28.0,quarter_window,12,0.0,0.0,0.0,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,29.0,full_window,50,1.0,0.2,0.33333333333333337,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,29.0,half_window,25,0.0,0.0,0.0,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,29.0,quarter_window,12,0.0,0.0,0.0,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,3.0,full_window,50,0.4666666666666667,1.0,0.6363636363636364,15,5,10,275.0,0.8549725137431284,0.7106428996915048,17.0
III,50,3.0,half_window,25,0.3333333333333333,0.8,0.47058823529411764,15,5,10,275.0,0.8549725137431284,0.7106428996915048,17.0
III,50,3.0,quarter_window,12,0.13333333333333333,0.4,0.2,15,5,10,275.0,0.8549725137431284,0.7106428996915048,17.0
III,50,30.0,full_window,50,1.0,0.2,0.33333333333333337,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,30.0,half_window,25,0.0,0.0,0.0,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,30.0,quarter_window,12,0.0,0.0,0.0,1,5,4,850.0,0.5043228385807097,0.0,30.0
III,50,31.0,full_window,50,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,31.0,half_window,25,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,31.0,quarter_window,12,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,32.0,full_window,50,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,32.0,half_window,25,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,32.0,quarter_window,12,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,33.0,full_window,50,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,33.0,half_window,25,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,33.0,quarter_window,12,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,34.0,full_window,50,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,34.0,half_window,25,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,34.0,quarter_window,12,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,35.0,full_window,50,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,35.0,half_window,25,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,35.0,quarter_window,12,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,36.0,full_window,50,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,36.0,half_window,25,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,36.0,quarter_window,12,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,37.0,full_window,50,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,37.0,half_window,25,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,37.0,quarter_window,12,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,38.0,full_window,50,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,38.0,half_window,25,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,38.0,quarter_window,12,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,39.0,full_window,50,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,39.0,half_window,25,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,39.0,quarter_window,12,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,4.0,full_window,50,0.7,1.0,0.8235294117647058,10,5,5,275.0,0.9353448275862069,0.8708211251327777,17.0
III,50,4.0,half_window,25,0.5,0.8,0.6153846153846154,10,5,5,275.0,0.9353448275862069,0.8708211251327777,17.0
III,50,4.0,quarter_window,12,0.2,0.4,0.26666666666666666,10,5,5,275.0,0.9353448275862069,0.8708211251327777,17.0
III,50,40.0,full_window,50,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,40.0,half_window,25,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,40.0,quarter_window,12,0.0,0.0,0.0,0,5,5,inf,0.5043228385807097,0.0,inf
III,50,5.0,full_window,50,0.75,1.0,0.8571428571428571,8,5,3,275.0,0.9353448275862069,0.8707527305033768,17.0
III,50,5.0,half_window,25,0.5,0.8,0.6153846153846154,8,5,3,275.0,0.9353448275862069,0.8707527305033768,17.0
III,50,5.0,quarter_window,12,0.25,0.4,0.3076923076923077,8,5,3,275.0,0.9353448275862069,0.8707527305033768,17.0
III,50,6.0,full_window,50,1.0,0.8,0.888888888888889,4,5,1,675.0,0.5761369315342328,0.1459561305796783,15.0
III,50,6.0,half_window,25,0.75,0.6,0.6666666666666665,4,5,1,675.0,0.5761369315342328,0.1459561305796783,15.0
III,50,6.0,quarter_window,12,0.5,0.4,0.4444444444444445,4,5,1,675.0,0.5761369315342328,0.1459561305796783,15.0
III,50,7.0,full_window,50,1.0,0.6,0.7499999999999999,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,50,7.0,half_window,25,0.6666666666666666,0.4,0.5,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,50,7.0,quarter_window,12,0.6666666666666666,0.4,0.5,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,50,8.0,full_window,50,1.0,0.6,0.7499999999999999,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,50,8.0,half_window,25,0.6666666666666666,0.4,0.5,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,50,8.0,quarter_window,12,0.6666666666666666,0.4,0.5,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,50,9.0,full_window,50,1.0,0.6,0.7499999999999999,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,50,9.0,half_window,25,0.6666666666666666,0.4,0.5,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,50,9.0,quarter_window,12,0.6666666666666666,0.4,0.5,3,5,2,700.0,0.5761369315342328,0.1459561305796783,11.666666666666666
III,80,0.0,full_window,80,0.3333333333333333,1.0,0.5,18,5,13,340.0,0.8528785607196402,0.7064682074540423,18.0
III,80,0.0,half_window,40,0.3333333333333333,1.0,0.5,18,5,13,340.0,0.8528785607196402,0.7064682074540423,18.0
III,80,0.0,quarter_window,20,0.16666666666666666,0.6,0.2608695652173913,18,5,13,340.0,0.8528785607196402,0.7064682074540423,18.0
III,80,1.0,full_window,80,0.375,1.0,0.5454545454545454,16,5,11,340.0,0.8736681659170414,0.7478565132891326,18.0
III,80,1.0,half_window,40,0.375,1.0,0.5454545454545454,16,5,11,340.0,0.8736681659170414,0.7478565132891326,18.0
III,80,1.0,quarter_window,20,0.1875,0.6,0.2857142857142857,16,5,11,340.0,0.8736681659170414,0.7478565132891326,18.0
III,80,10.0,full_window,80,1.0,0.6,0.7499999999999999,3,5,2,700.0,0.5811244377811094,0.1560732954830937,13.333333333333334
III,80,10.0,half_window,40,1.0,0.6,0.7499999999999999,3,5,2,700.0,0.5811244377811094,0.1560732954830937,13.333333333333334
III,80,10.0,quarter_window,20,0.6666666666666666,0.4,0.5,3,5,2,700.0,0.5811244377811094,0.1560732954830937,13.333333333333334
III,80,11.0,full_window,80,1.0,0.6,0.7499999999999999,3,5,2,700.0,0.5811244377811094,0.1560732954830937,13.333333333333334
III,80,11.0,half_window,40,1.0,0.6,0.7499999999999999,3,5,2,700.0,0.5811244377811094,0.1560732954830937,13.333333333333334
III,80,11.0,quarter_window,20,0.6666666666666666,0.4,0.5,3,5,2,700.0,0.5811244377811094,0.1560732954830937,13.333333333333334
