Position,Value,Nucleosome_Distance,Centromere_Distance
1,3,88,-148567
12,1,77,-148556
21,1,68,-148547
47,2,42,-148521
50,2,39,-148518
62,1,27,-148506
81,1,8,-148487
93,2,4,-148475
115,1,26,-148453
168,1,79,-148400
174,1,75,-148394
177,1,72,-148391
187,2,62,-148381
202,1,47,-148366
232,1,17,-148336
235,1,14,-148333
240,1,9,-148328
283,3,34,-148285
284,1,35,-148284
287,7,38,-148281
297,1,48,-148271
311,2,62,-148257
335,1,74,-148233
348,4,61,-148220
377,2,32,-148191
386,2,23,-148182
404,1,5,-148164
416,8,7,-148152
458,1,49,-148110
607,1,54,-147961
615,1,62,-147953
835,1,26,-147733
909,3,28,-147659
929,1,8,-147639
1280,8,55,-147288
1291,1,66,-147277
1321,1,48,-147247
1354,2,15,-147214
1372,1,3,-147196
1377,2,8,-147191
1386,1,17,-147182
1390,1,21,-147178
1402,1,33,-147166
1410,1,41,-147158
1476,1,53,-147092
1549,1,20,-147019
1555,1,26,-147013
1570,1,41,-146998
1577,1,48,-146991
1582,1,53,-146986
1602,1,73,-146966
1625,3,64,-146943
1633,1,56,-146935
1666,1,23,-146902
1667,3,22,-146901
1670,2,19,-146898
1677,1,12,-146891
1692,2,3,-146876
1702,1,13,-146866
1720,2,31,-146848
1731,1,42,-146837
1734,1,45,-146834
1735,1,46,-146833
1736,1,47,-146832
1738,5,49,-146830
1741,1,52,-146827
1748,3,59,-146820
1760,3,71,-146808
1766,1,77,-146802
1784,3,65,-146784
1788,2,61,-146780
1945,2,48,-146623
2004,1,11,-146564
2035,2,42,-146533
2048,4,55,-146520
2051,1,58,-146517
2065,2,72,-146503
2075,1,62,-146493
2085,1,52,-146483
2108,1,29,-146460
2114,2,23,-146454
2119,1,18,-146449
2147,3,10,-146421
2161,1,24,-146407
2173,3,36,-146395
2197,1,60,-146371
2204,2,67,-146364
2209,2,72,-146359
2216,1,79,-146352
2298,1,1,-146270
2317,1,20,-146251
2344,1,47,-146224
2358,5,61,-146210
2365,7,68,-146203
2382,1,75,-146186
2392,1,65,-146176
2414,1,43,-146154
2443,6,14,-146125
2451,1,6,-146117
2458,2,1,-146110
2461,9,4,-146107
2469,1,12,-146099
2494,1,37,-146074
2496,2,39,-146072
2520,3,63,-146048
2531,4,74,-146037
2539,4,78,-146029
2541,1,76,-146027
2546,2,71,-146022
2559,1,58,-146009
2571,2,46,-145997
2575,1,42,-145993
2580,1,37,-145988
2583,2,34,-145985
2595,1,22,-145973
2596,1,21,-145972
2598,2,19,-145970
2616,3,1,-145952
2624,1,7,-145944
2673,1,56,-145895
2678,1,61,-145890
2686,2,69,-145882
2689,1,72,-145879
2712,1,49,-145856
2718,3,43,-145850
2720,1,41,-145848
2728,1,33,-145840
2748,1,13,-145820
2760,2,1,-145808
2761,1,0,-145807
2762,2,1,-145806
2778,1,17,-145790
2782,1,21,-145786
2788,1,27,-145780
2793,2,32,-145775
2795,1,34,-145773
2799,1,38,-145769
2802,6,41,-145766
2810,2,49,-145758
2822,2,61,-145746
2832,2,71,-145736
2836,3,69,-145732
2907,1,2,-145661
2917,1,12,-145651
2952,1,47,-145616
2954,3,49,-145614
2968,2,63,-145600
2972,1,67,-145596
2975,1,70,-145593
3003,1,62,-145565
3025,1,40,-145543
3047,1,18,-145521
3054,1,11,-145514
3076,1,11,-145492
3116,1,51,-145452
3120,1,55,-145448
3133,1,68,-145435
3140,1,69,-145428
3144,3,65,-145424
3146,1,63,-145422
3153,4,56,-145415
3159,1,50,-145409
3172,1,37,-145396
3174,1,35,-145394
3179,1,30,-145389
3202,1,7,-145366
3214,1,5,-145354
3217,1,8,-145351
3218,1,9,-145350
3227,1,18,-145341
3238,1,29,-145330
3266,2,57,-145302
3305,8,48,-145263
3335,1,18,-145233
3338,1,15,-145230
3345,1,8,-145223
3351,1,2,-145217
3355,1,2,-145213
3362,4,9,-145206
3368,1,15,-145200
3383,1,30,-145185
3385,1,32,-145183
3402,10,49,-145166
3433,1,64,-145135
3532,1,35,-145036
3548,1,51,-145020
3632,3,9,-144936
3644,1,3,-144924
3789,1,12,-144779
3814,1,13,-144754
3955,1,6,-144613
3999,2,38,-144569
4007,2,46,-144561
4097,1,8,-144471
4181,1,52,-144387
4185,4,48,-144383
4186,2,47,-144382
4187,1,46,-144381
4208,1,25,-144360
4226,1,7,-144342
4248,1,15,-144320
4251,1,18,-144317
4262,5,29,-144306
4265,1,32,-144303
4268,2,35,-144300
4273,1,40,-144295
4297,1,64,-144271
4304,1,71,-144264
4307,1,74,-144261
4310,2,77,-144258
4321,1,88,-144247
4328,3,95,-144240
4360,3,127,-144208
4368,1,135,-144200
4372,1,139,-144196
4379,1,146,-144189
4388,1,155,-144180
4396,2,163,-144172
4402,1,169,-144166
4404,1,171,-144164
4414,1,181,-144154
4415,1,182,-144153
4419,1,186,-144149
4423,1,190,-144145
4424,1,191,-144144
4427,1,194,-144141
4434,2,201,-144134
4458,1,225,-144110
4507,3,250,-144061
4515,1,242,-144053
4538,9,219,-144030
4544,33,213,-144024
4548,3,209,-144020
4551,8,206,-144017
4554,17,203,-144014
4558,3,199,-144010
4561,2,196,-144007
4565,52,192,-144003
4573,1,184,-143995
4576,1,181,-143992
4636,1,121,-143932
4641,23,116,-143927
4645,9,112,-143923
4661,1,96,-143907
4662,3,95,-143906
4668,1,89,-143900
4671,1,86,-143897
4675,7,82,-143893
4701,1,56,-143867
4709,1,48,-143859
4733,1,24,-143835
4741,1,16,-143827
4770,1,13,-143798
4783,1,26,-143785
4796,1,39,-143772
4853,1,96,-143715
4861,1,104,-143707
4889,1,112,-143679
4941,13,60,-143627
4942,1,59,-143626
4958,1,43,-143610
4968,1,33,-143600
5013,1,12,-143555
5014,1,13,-143554
5022,2,21,-143546
5042,11,41,-143526
5047,2,46,-143521
5121,1,8,-143447
5138,2,9,-143430
5143,1,14,-143425
5184,18,55,-143384
5223,1,94,-143345
5242,5,95,-143326
5296,4,41,-143272
5310,1,27,-143258
5406,1,69,-143162
5498,1,135,-143070
5529,1,104,-143039
5552,1,81,-143016
5661,1,28,-142907
5728,3,65,-142840
5731,1,62,-142837
5746,2,47,-142822
5833,1,40,-142735
5847,1,54,-142721
5865,1,72,-142703
5885,2,68,-142683
5898,1,55,-142670
5904,1,49,-142664
5937,1,16,-142631
5951,2,2,-142617
6002,1,49,-142566
6066,13,31,-142502
6297,1,72,-142271
6313,3,88,-142255
6322,1,97,-142246
6325,2,100,-142243
6329,3,104,-142239
6385,1,92,-142183
6388,12,89,-142180
6398,4,79,-142170
6513,3,36,-142055
6539,2,62,-142029
6543,2,66,-142025
6560,1,77,-142008
6566,1,71,-142002
6579,1,58,-141989
6620,1,17,-141948
6652,1,15,-141916
6683,1,46,-141885
6692,2,55,-141876
6776,1,21,-141792
6781,2,16,-141787
6788,1,9,-141780
6869,1,72,-141699
6884,5,73,-141684
7044,3,73,-141524
7060,1,57,-141508
7165,1,48,-141403
7189,1,72,-141379
7192,1,75,-141376
7216,1,61,-141352
7441,1,4,-141127
7456,7,19,-141112
7579,2,42,-140989
7758,1,23,-140810
7811,3,30,-140757
7849,1,68,-140719
7998,4,57,-140570
8252,1,25,-140316
8321,1,44,-140247
8326,2,49,-140242
8336,1,59,-140232
8337,1,60,-140231
8338,1,61,-140230
8350,20,73,-140218
8383,1,106,-140185
8421,2,108,-140147
8437,13,92,-140131
8471,5,58,-140097
8552,1,23,-140016
8861,1,32,-139707
8945,2,52,-139623
8992,22,61,-139576
9002,1,51,-139566
9005,4,48,-139563
9044,1,9,-139524
9124,1,71,-139444
9240,1,27,-139328
9255,1,42,-139313
