Position,Value,Nucleosome_Distance,Centromere_Distance
36,1,7,-268054
46,11,17,-268044
60,36,31,-268030
68,110,39,-268022
82,2,53,-268008
90,14,61,-268000
103,6,74,-267987
118,2,89,-267972
121,10,92,-267969
130,20,101,-267960
139,1,110,-267951
151,81,122,-267939
162,109,133,-267928
170,1,141,-267920
194,3,165,-267896
202,23,173,-267888
227,6,182,-267863
239,8,170,-267851
240,5,169,-267850
241,2,168,-267849
243,16,166,-267847
244,1,165,-267846
245,7,164,-267845
246,18,163,-267844
247,78,162,-267843
248,22,161,-267842
249,53,160,-267841
250,12,159,-267840
251,97,158,-267839
252,8,157,-267838
253,18,156,-267837
254,58,155,-267836
256,2,153,-267834
257,150,152,-267833
261,348,148,-267829
266,5,143,-267824
269,33,140,-267821
272,4,137,-267818
274,6,135,-267816
276,5,133,-267814
279,1,130,-267811
281,1,128,-267809
282,1,127,-267808
284,7,125,-267806
286,7,123,-267804
287,2,122,-267803
288,11,121,-267802
289,5,120,-267801
290,11,119,-267800
294,4,115,-267796
296,4,113,-267794
297,7,112,-267793
299,12,110,-267791
301,27,108,-267789
303,7,106,-267787
304,5,105,-267786
305,9,104,-267785
306,8,103,-267784
307,13,102,-267783
308,20,101,-267782
310,30,99,-267780
312,19,97,-267778
314,20,95,-267776
315,5,94,-267775
317,24,92,-267773
318,22,91,-267772
320,4,89,-267770
321,13,88,-267769
323,7,86,-267767
325,20,84,-267765
326,22,83,-267764
328,45,81,-267762
329,1,80,-267761
330,2,79,-267760
331,6,78,-267759
332,2,77,-267758
333,15,76,-267757
334,5,75,-267756
335,1,74,-267755
336,19,73,-267754
338,2,71,-267752
339,11,70,-267751
340,2,69,-267750
345,6,64,-267745
347,5,62,-267743
351,1,58,-267739
352,2,57,-267738
353,3,56,-267737
355,11,54,-267735
356,1,53,-267734
358,8,51,-267732
360,2,49,-267730
361,10,48,-267729
364,24,45,-267726
366,19,43,-267724
370,20,39,-267720
372,8,37,-267718
374,3,35,-267716
375,1,34,-267715
377,19,32,-267713
378,21,31,-267712
379,4,30,-267711
380,6,29,-267710
381,7,28,-267709
382,4,27,-267708
383,3,26,-267707
388,10,21,-267702
392,1,17,-267698
397,1,12,-267693
406,2,3,-267684
412,10,3,-267678
415,1,6,-267675
419,9,10,-267671
424,3,15,-267666
427,9,18,-267663
436,2,27,-267654
437,1,28,-267653
438,1,29,-267652
