Position,Value,Nucleosome_Distance,Centromere_Distance
4,2,23,-105640
12,2,15,-105632
18,19,9,-105626
43,1016,16,-105601
50,31,23,-105594
51,72,24,-105593
52,1,25,-105592
53,19,26,-105591
55,11,28,-105589
56,11,29,-105588
57,50,30,-105587
59,2,32,-105585
60,49,33,-105584
63,5,36,-105581
66,4,39,-105578
69,1,42,-105575
70,1,43,-105574
79,1,52,-105565
86,29,59,-105558
94,37,67,-105550
97,3,70,-105547
100,1,73,-105544
102,1,75,-105542
106,1,79,-105538
111,6,84,-105533
114,1,87,-105530
129,3,102,-105515
135,94,108,-105509
140,5,113,-105504
142,2,115,-105502
143,4,116,-105501
145,99,118,-105499
155,28,128,-105489
173,7,146,-105471
178,10,151,-105466
184,3,157,-105460
185,6,158,-105459
186,4,159,-105458
188,7,161,-105456
189,3,162,-105455
195,3,162,-105449
204,1,153,-105440
211,1,146,-105433
212,1,145,-105432
213,3,144,-105431
219,4,138,-105425
223,65,134,-105421
224,1,133,-105420
227,1,130,-105417
229,1,128,-105415
230,77,127,-105414
231,114,126,-105413
233,40,124,-105411
234,13,123,-105410
235,78,122,-105409
236,20,121,-105408
238,86,119,-105406
240,16,117,-105404
241,15,116,-105403
242,212,115,-105402
245,26,112,-105399
247,21,110,-105397
249,1,108,-105395
250,5,107,-105394
252,2,105,-105392
253,57,104,-105391
257,20,100,-105387
263,34,94,-105381
270,83,87,-105374
275,24,82,-105369
278,35,79,-105366
280,50,77,-105364
283,32,74,-105361
287,1,70,-105357
288,14,69,-105356
289,18,68,-105355
290,61,67,-105354
291,10,66,-105353
292,41,65,-105352
294,13,63,-105350
295,69,62,-105349
300,45,57,-105344
302,59,55,-105342
306,2,51,-105338
307,1,50,-105337
309,49,48,-105335
311,73,46,-105333
312,37,45,-105332
313,2,44,-105331
316,8,41,-105328
319,4,38,-105325
320,24,37,-105324
324,9,33,-105320
325,1,32,-105319
333,12,24,-105311
340,20,17,-105304
345,54,12,-105299
349,48,8,-105295
352,28,5,-105292
356,5,1,-105288
361,4,4,-105283
362,9,5,-105282
364,28,7,-105280
370,2,13,-105274
382,1,25,-105262
389,6,32,-105255
395,24,38,-105249
400,17,43,-105244
402,21,45,-105242
408,2,51,-105236
411,2,54,-105233
418,2,61,-105226
426,1,59,-105218
432,4,53,-105212
437,1,48,-105207
444,1,41,-105200
448,13,37,-105196
451,1,34,-105193
454,1,31,-105190
456,14,29,-105188
464,1,21,-105180
465,10,20,-105179
466,5,19,-105178
468,2,17,-105176
477,17,8,-105167
478,3,7,-105166
480,8,5,-105164
481,1,4,-105163
485,24,0,-105159
488,4,3,-105156
490,14,5,-105154
492,1,7,-105152
493,18,8,-105151
494,15,9,-105150
496,2,11,-105148
497,1,12,-105147
498,2,13,-105146
501,78,16,-105143
505,2,20,-105139
507,7,22,-105137
510,1,25,-105134
511,1,26,-105133
513,3,28,-105131
514,23,29,-105130
518,34,33,-105126
523,10,38,-105121
528,1,43,-105116
529,5,44,-105115
532,2,47,-105112
533,1,48,-105111
536,5,51,-105108
538,2,53,-105106
539,13,54,-105105
541,4,56,-105103
546,3,61,-105098
552,13,61,-105092
558,15,55,-105086
566,1,47,-105078
569,3,44,-105075
574,3,39,-105070
581,3,32,-105063
585,5,28,-105059
590,6,23,-105054
595,9,18,-105049
603,7,10,-105041
612,4,1,-105032
615,8,2,-105029
618,6,5,-105026
623,1,10,-105021
624,7,11,-105020
626,6,13,-105018
629,2,16,-105015
631,9,18,-105013
632,1,19,-105012
633,2,20,-105011
644,1,31,-105000
646,8,33,-104998
649,17,36,-104995
654,1,41,-104990
657,1,44,-104987
659,2,46,-104985
664,8,51,-104980
672,2,59,-104972
673,6,60,-104971
680,23,61,-104964
682,4,59,-104962
684,22,57,-104960
686,1,55,-104958
687,14,54,-104957
690,14,51,-104954
692,23,49,-104952
694,3,47,-104950
696,18,45,-104948
700,7,41,-104944
701,13,40,-104943
702,13,39,-104942
703,4,38,-104941
705,25,36,-104939
707,1,34,-104937
708,11,33,-104936
713,31,28,-104931
716,4,25,-104928
718,13,23,-104926
724,13,17,-104920
725,12,16,-104919
729,4,12,-104915
740,8,1,-104904
744,4,3,-104900
747,1,6,-104897
762,30,21,-104882
766,5,25,-104878
770,2,29,-104874
774,10,33,-104870
781,6,40,-104863
