Position,Value,Nucleosome_Distance,Centromere_Distance
2862,1,,
3653,2,,
6831,3,,
6861,24,,
6864,4,,
6885,1,,
6895,2,,
6898,1,,
6902,1,,
6915,1,,
6919,1,,
6929,22,,
7296,1,,
12336,1,,
13867,1,,
13963,38,,
13970,3,,
13974,1,,
13980,7,,
13991,10,,
13998,8,,
14002,2,,
14003,3,,
14005,5,,
14008,5,,
14011,2,,
14012,7,,
14016,4,,
14020,1,,
14022,2,,
14029,3,,
14030,1,,
14032,3,,
14033,2,,
14035,1,,
14037,2,,
14038,1,,
14041,4,,
14044,2,,
14046,7,,
14051,2,,
14052,4,,
14058,10,,
14061,1,,
14066,14,,
14070,2,,
14072,1,,
14077,2,,
14080,15,,
14090,2,,
14096,1,,
14102,7,,
14104,6,,
14105,7,,
14106,3,,
14107,1,,
14108,24,,
14110,1,,
14112,2,,
14117,2,,
14120,1,,
14140,1,,
14153,37,,
14328,1,,
14461,5,,
14530,2,,
14773,3,,
14821,1,,
14883,7,,
14886,3,,
14892,1,,
14904,5,,
14911,8,,
14920,3,,
14926,6,,
14929,1,,
14930,2,,
14935,11,,
14940,1,,
14948,11,,
14955,6,,
14958,1,,
14959,3,,
14962,2,,
14963,4,,
14966,2,,
14968,1,,
14972,2,,
14982,8,,
14989,1,,
15000,1,,
15004,7,,
15102,1,,
15247,1,,
15353,1,,
16070,1,,
16123,1,,
16148,2,,
16379,8,,
16444,1,,
16450,41,,
16459,3,,
16464,2,,
16472,4,,
16484,4,,
16489,2,,
16494,1,,
16498,8,,
16503,1,,
16508,1,,
16518,4,,
16525,1,,
16529,2,,
16530,2,,
16539,1,,
16541,6,,
16546,2,,
16552,5,,
16555,2,,
16561,15,,
16567,3,,
16570,6,,
16574,8,,
16580,1,,
16581,2,,
16584,4,,
16585,1,,
16586,3,,
16589,1,,
16590,1,,
16593,5,,
16598,1,,
16601,1,,
16604,6,,
16613,10,,
16616,1,,
16618,1,,
16622,3,,
16629,4,,
16647,1,,
16655,4,,
16657,22,,
16658,10,,
16659,1,,
16660,7,,
16661,14,,
16663,3,,
16664,1,,
16678,3,,
16683,3,,
16687,1,,
16693,2,,
16697,2,,
16700,2,,
16703,4,,
16704,2,,
16707,5,,
16708,2,,
16709,1,,
16712,1,,
16715,13,,
16717,4,,
16718,10,,
16724,3,,
16725,1,,
16726,2,,
16727,1,,
16728,2,,
16737,1,,
16739,1,,
16740,2,,
16741,3,,
16744,8,,
16746,3,,
16748,7,,
16752,8,,
16753,1,,
16754,3,,
16759,1,,
16764,2,,
16771,3,,
16775,3,,
16780,3,,
16789,18,,
17957,2,,
18233,3,,
18250,12,,
18287,3,,
18291,1,,
18292,3,,
18294,4,,
18298,2,,
18306,3,,
18308,2,,
18310,2,,
18316,6,,
18323,2,,
18325,4,,
18328,18,,
18333,8,,
18335,1,,
18339,25,,
18346,5,,
18348,1,,
18350,4,,
18354,1,,
18361,12,,
18366,2,,
18368,2,,
18371,3,,
18372,2,,
18374,2,,
18379,7,,
18382,2,,
18393,5,,
18404,2,,
18410,3,,
18418,19,,
18539,1,,
18663,5,,
