Position,Value,Nucleosome_Distance,Centromere_Distance
2,2,35,151521
32,100,5,151491
39,2,2,151484
50,1,13,151473
57,1,20,151466
76,23,39,151447
84,35,47,151439
90,24,53,151433
95,80,58,151428
107,214,70,151416
117,2,80,151406
122,32,85,151401
133,1,96,151390
144,1,89,151379
148,1,85,151375
151,7,82,151372
166,293,67,151357
169,180,64,151354
170,2,63,151353
173,354,60,151350
174,11,59,151349
177,474,56,151346
181,1,52,151342
182,333,51,151341
185,1,48,151338
188,233,45,151335
192,152,41,151331
196,2,37,151327
198,157,35,151325
201,13,32,151322
205,3,28,151318
216,22,17,151307
218,4,15,151305
223,86,10,151300
228,6,5,151295
236,298,3,151287
244,62,11,151279
246,5,13,151277
248,3,15,151275
251,2,18,151272
262,3,29,151261
274,95,41,151249
283,1,50,151240
284,92,51,151239
288,1,55,151235
291,17,58,151232
294,1,61,151229
298,36,65,151225
311,5,78,151212
321,3,72,151202
327,37,66,151196
338,63,55,151185
347,17,46,151176
353,14,40,151170
355,8,38,151168
384,1,9,151139
388,6,5,151135
398,4,5,151125
400,7,7,151123
410,31,17,151113
426,1,33,151097
431,1,38,151092
439,44,46,151084
441,15,48,151082
445,20,52,151078
453,122,60,151070
454,8,61,151069
459,1,66,151064
467,1,74,151056
468,24,75,151055
477,77,84,151046
481,5,88,151042
483,5,90,151040
485,89,92,151038
486,18,93,151037
487,63,94,151036
489,30,96,151034
493,1,100,151030
495,22,102,151028
496,14,103,151027
498,20,105,151025
502,7,109,151021
504,14,111,151019
505,18,112,151018
507,14,114,151016
508,1,113,151015
509,97,112,151014
514,39,107,151009
515,38,106,151008
517,6,104,151006
519,48,102,151004
522,6,99,151001
525,21,96,150998
532,1,89,150991
544,1,77,150979
554,20,67,150969
560,36,61,150963
562,4,59,150961
564,29,57,150959
565,2,56,150958
567,1,54,150956
569,131,52,150954
571,28,50,150952
572,18,49,150951
573,5,48,150950
579,33,42,150944
586,1,35,150937
589,17,32,150934
598,1,23,150925
688,9,67,150835
700,9,79,150823
715,3,94,150808
720,2,99,150803
779,3,106,150744
781,2,104,150742
782,2,103,150741
801,1,84,150722
803,9,82,150720
810,15,75,150713
811,13,74,150712
813,14,72,150710
820,8,65,150703
824,89,61,150699
832,1,53,150691
858,1,27,150665
926,6,41,150597
935,76,50,150588
940,7,55,150583
942,1,57,150581
955,13,70,150568
959,16,74,150564
962,4,77,150561
986,4,63,150537
1032,27,17,150491
1038,1,11,150485
1061,1,12,150462
1070,44,21,150453
1089,49,40,150434
1098,2,49,150425
1106,8,57,150417
1111,40,62,150412
1114,2,65,150409
1116,1,67,150407
1150,1,43,150373
1154,1,39,150369
1182,1,11,150341
1189,1,4,150334
1208,1,15,150315
1232,3,39,150291
1233,22,40,150290
1242,4,49,150281
1250,39,57,150273
1252,1,59,150271
1256,14,63,150267
1257,1,64,150266
1262,9,69,150261
1280,12,57,150243
1370,5,33,150153
1374,1,37,150149
1379,31,42,150144
1386,10,49,150137
1394,11,57,150129
1397,21,60,150126
1402,6,65,150121
1405,2,68,150118
1408,7,71,150115
1413,28,76,150110
1414,4,77,150109
1419,5,82,150104
1421,95,84,150102
1427,10,90,150096
1429,8,92,150094
1435,3,98,150088
1440,16,103,150083
1443,1,106,150080
1446,12,109,150077
1450,25,113,150073
1451,8,114,150072
1454,6,117,150069
1455,8,118,150068
1459,1,122,150064
1460,1,121,150063
1463,121,118,150060
1470,36,111,150053
1473,2,108,150050
1476,5,105,150047
1483,18,98,150040
1491,3,90,150032
1494,5,87,150029
1495,3,86,150028
1496,29,85,150027
1505,10,76,150018
1510,3,71,150013
1513,61,68,150010
1516,7,65,150007
1520,21,61,150003
1524,64,57,149999
1529,106,52,149994
1552,31,29,149971
1562,18,19,149961
1570,71,11,149953
1580,1,1,149943
1585,1,4,149938
1588,2,7,149935
1598,1,17,149925
1620,1,39,149903
1623,1,42,149900
1638,4,57,149885
1653,1,72,149870
1662,2,81,149861
1670,3,89,149853
1673,13,92,149850
1677,1,92,149846
1681,1,88,149842
1683,7,86,149840
1687,2,82,149836
1690,2,79,149833
1693,16,76,149830
1701,12,68,149822
1710,2,59,149813
1789,1,20,149734
1797,1,28,149726
1811,1,42,149712
1819,30,50,149704
1824,27,55,149699
1830,31,61,149693
1834,1,65,149689
1838,3,69,149685
1843,3,70,149680
1854,2,59,149669
1894,1,19,149629
1916,3,3,149607
1930,1,17,149593
1949,1,36,149574
1964,1,51,149559
1971,1,58,149552
1978,2,65,149545
1981,8,68,149542
1983,1,70,149540
1991,3,78,149532
1995,27,78,149528
2005,3,68,149518
2013,3,60,149510
2014,1,59,149509
2015,46,58,149508
2108,3,35,149415
2128,46,55,149395
2133,3,60,149390
2140,16,67,149383
2167,3,66,149356
2171,9,62,149352
2180,3,53,149343
2214,1,19,149309
2240,1,7,149283
2261,18,28,149262
2264,2,31,149259
2282,4,49,149241
2284,4,51,149239
2285,9,52,149238
2291,61,58,149232
2294,5,61,149229
2299,2,66,149224
2300,2,67,149223
2302,1,69,149221
2304,168,71,149219
2313,1,72,149210
2314,72,71,149209
2318,30,67,149205
2323,1,62,149200
2332,1,53,149191
2337,1,48,149186
2340,6,45,149183
2341,1,44,149182
2349,1,36,149174
2358,1,27,149165
2396,2,11,149127
2415,1,30,149108
2434,2,49,149089
2446,3,61,149077
2453,1,68,149070
2461,27,76,149062
2462,30,77,149061
2473,193,88,149050
2480,3,95,149043
2481,1,96,149042
2483,1,98,149040
2485,3,100,149038
2488,1,103,149035
2489,4,104,149034
2496,13,111,149027
2522,1,137,149001
2552,17,121,148971
2561,103,112,148962
2564,43,109,148959
2572,41,101,148951
2574,9,99,148949
2582,7,91,148941
2583,16,90,148940
2588,3,85,148935
2591,30,82,148932
2597,32,76,148926
2603,13,70,148920
2606,4,67,148917
2609,18,64,148914
2621,54,52,148902
2708,3,35,148815
2743,1,70,148780
2746,8,73,148777
2778,1,63,148745
2782,3,59,148741
2786,2,55,148737
2794,7,47,148729
2801,2,40,148722
2810,1,31,148713
2817,6,24,148706
2825,16,16,148698
2895,3,54,148628
2901,1,60,148622
2917,2,76,148606
2933,1,68,148590
2937,14,64,148586
2939,3,62,148584
2947,16,54,148576
2977,5,24,148546
2992,6,9,148531
3044,1,43,148479
3086,8,85,148437
3105,8,100,148418
3109,4,96,148414
3120,1,85,148403
3131,18,74,148392
3141,19,64,148382
3151,1,54,148372
3153,10,52,148370
3158,1,47,148365
3170,2,35,148353
3183,23,22,148340
3199,1,6,148324
3211,1,6,148312
3284,2,79,148239
3291,4,74,148232
3307,2,58,148216
3325,7,40,148198
3368,1,3,148155
3376,15,11,148147
3411,1,46,148112
3449,1,60,148074
3474,2,35,148049
3475,117,34,148048
3516,27,7,148007
3519,56,10,148004
3520,38,11,148003
3525,2,16,147998
3552,4,43,147971
3556,1,47,147967
3604,9,49,147919
3615,2,38,147908
3619,69,34,147904
3631,3,22,147892
3634,1,19,147889
3655,8,2,147868
3676,9,23,147847
3682,24,29,147841
3696,2,43,147827
3759,1,54,147764
3804,3,9,147719
3811,8,2,147712
3821,16,8,147702
3824,1,11,147699
3840,1,27,147683
3842,4,29,147681
3849,1,36,147674
3861,9,48,147662
3879,1,66,147644
3887,57,70,147636
3893,3,64,147630
3902,9,55,147621
3976,10,19,147547
3980,6,23,147543
4015,3,58,147508
4023,5,62,147500
4033,2,52,147490
4044,12,41,147479
4048,8,37,147475
4116,2,31,147407
4120,19,35,147403
4138,12,53,147385
4177,19,36,147346
4200,1,13,147323
4225,11,12,147298
4233,1,20,147290
4244,19,31,147279
4280,34,67,147243
4303,1,54,147220
4321,1,36,147202
4354,37,3,147169
4369,14,12,147154
4379,1,22,147144
4387,1,30,147136
4399,17,42,147124
4407,44,50,147116
4427,1,70,147096
4439,1,82,147084
4548,17,23,146975
4556,30,31,146967
4603,8,66,146920
4678,1,9,146845
4720,19,51,146803
4771,18,58,146752
4818,10,11,146705
4851,39,22,146672
4864,28,35,146659
4882,44,53,146641
4896,26,67,146627
4913,11,60,146610
4948,39,25,146575
4959,24,14,146564
4974,3,1,146549
4986,4,13,146537
4988,12,15,146535
5008,1,35,146515
5015,1,42,146508
5036,18,63,146487
5048,1,75,146475
5060,2,87,146463
5107,3,82,146416
5156,1,33,146367
5208,14,19,146315
5235,1,46,146288
5281,34,52,146242
5285,15,48,146238
5378,26,45,146145
5393,7,60,146130
5396,25,63,146127
5410,1,67,146113
5419,54,58,146104
5437,9,40,146086
5449,5,28,146074
5545,3,68,145978
5550,28,73,145973
5572,4,95,145951
5577,45,92,145946
5580,3,89,145943
5644,2,25,145879
5659,8,10,145864
5675,13,6,145848
5678,37,9,145845
5681,2,12,145842
5691,1,22,145832
5694,14,25,145829
5718,2,49,145805
5719,3,50,145804
5753,79,48,145770
5778,1,23,145745
5785,1,16,145738
5802,1,1,145721
5819,24,18,145704
5830,6,29,145693
5838,1,37,145685
5856,12,55,145667
5860,7,59,145663
5866,15,65,145657
5889,30,76,145634
5956,4,9,145567
5982,1,17,145541
5985,1,20,145538
6007,1,42,145516
6015,75,50,145508
6025,1,60,145498
6032,11,67,145491
6040,5,75,145483
6046,12,75,145477
6051,2,70,145472
6058,1,63,145465
6061,1,60,145462
6063,2,58,145460
6067,1,54,145456
6068,8,53,145455
6072,3,49,145451
6098,2,23,145425
6101,2,20,145422
6107,1,14,145416
6141,1,20,145382
6176,13,55,145347
6184,2,63,145339
6195,14,74,145328
6197,1,76,145326
6202,10,81,145321
6206,23,85,145317
6217,65,84,145306
