Position,Value,Nucleosome_Distance,Centromere_Distance
59,1,186,-238206
66,9,179,-238199
74,4,171,-238191
84,5,161,-238181
85,6,160,-238180
100,1,145,-238165
105,6,140,-238160
127,2,118,-238138
137,1,108,-238128
206,6,39,-238059
324,3,79,-237941
342,1,63,-237923
352,1,53,-237913
372,1,33,-237893
388,1,17,-237877
419,1,14,-237846
491,1,74,-237774
506,1,59,-237759
523,1,42,-237742
530,1,35,-237735
539,2,26,-237726
558,5,7,-237707
593,1,28,-237672
615,1,50,-237650
622,1,57,-237643
640,1,75,-237625
655,3,70,-237610
665,4,60,-237600
674,2,51,-237591
680,1,45,-237585
701,2,24,-237564
704,2,21,-237561
709,1,16,-237556
730,1,5,-237535
743,1,18,-237522
763,1,38,-237502
764,1,39,-237501
772,1,47,-237493
795,1,70,-237470
805,1,80,-237460
846,1,39,-237419
879,1,6,-237386
880,2,5,-237385
891,2,6,-237374
902,1,17,-237363
942,2,57,-237323
1007,4,38,-237258
1010,1,35,-237255
1026,1,19,-237239
1042,1,3,-237223
1043,1,2,-237222
1139,7,66,-237126
1535,1,10,-236730
1589,1,64,-236676
1937,1,52,-236328
2421,3,0,-235844
2431,2,10,-235834
2438,1,17,-235827
2450,1,29,-235815
2463,1,42,-235802
2481,1,60,-235784
2500,1,79,-235765
2518,1,63,-235747
2522,1,59,-235743
2523,1,58,-235742
2524,2,57,-235741
2525,2,56,-235740
2534,1,47,-235731
2542,1,39,-235723
2617,1,36,-235648
2687,6,38,-235578
2700,1,25,-235565
2718,1,7,-235547
2766,2,41,-235499
2784,2,59,-235481
2788,2,63,-235477
2832,3,37,-235433
2833,2,36,-235432
2863,4,6,-235402
2900,4,31,-235365
2912,2,43,-235353
2923,2,54,-235342
2933,1,64,-235332
2972,1,57,-235293
3041,2,12,-235224
3043,2,14,-235222
3049,1,20,-235216
3089,1,60,-235176
3109,1,64,-235156
3127,1,46,-235138
3134,1,39,-235131
3135,2,38,-235130
3163,1,10,-235102
3212,3,39,-235053
3239,1,66,-235026
3245,1,72,-235020
3278,1,39,-234987
3353,1,36,-234912
3369,1,52,-234896
3380,1,63,-234885
3389,2,72,-234876
3448,1,29,-234817
3468,1,9,-234797
3484,2,7,-234781
3521,4,44,-234744
3528,4,51,-234737
3536,1,59,-234729
3573,1,64,-234692
3624,1,13,-234641
3625,3,12,-234640
3630,1,7,-234635
3655,1,18,-234610
3695,3,58,-234570
3703,2,66,-234562
3708,1,71,-234557
3736,3,61,-234529
3777,3,20,-234488
3781,2,16,-234484
3837,1,40,-234428
3850,4,53,-234415
3864,1,67,-234401
3870,1,73,-234395
3874,1,71,-234391
3877,1,68,-234388
3882,1,63,-234383
3900,1,45,-234365
3924,4,21,-234341
3926,3,19,-234339
3942,1,3,-234323
3945,1,0,-234320
3956,1,11,-234309
3957,1,12,-234308
3958,1,13,-234307
3966,3,21,-234299
3974,1,29,-234291
3977,1,32,-234288
3996,4,51,-234269
4004,3,59,-234261
4008,1,63,-234257
4067,1,22,-234198
4115,1,26,-234150
4123,1,34,-234142
4128,1,39,-234137
4132,1,43,-234133
4162,1,71,-234103
4189,2,44,-234076
4197,1,36,-234068
4210,2,23,-234055
4214,2,19,-234051
4225,2,8,-234040
4284,2,51,-233981
4295,1,62,-233970
4326,1,51,-233939
4327,1,50,-233938
4338,1,39,-233927
4381,1,4,-233884
4405,1,28,-233860
4408,1,31,-233857
4485,1,36,-233780
4488,1,33,-233777
4515,1,6,-233750
4558,1,37,-233707
4667,2,18,-233598
4741,1,36,-233524
4758,1,19,-233507
4894,1,11,-233371
4977,3,56,-233288
5101,1,60,-233164
5118,1,43,-233147
5167,1,6,-233098
5265,1,24,-233000
5375,1,42,-232890
5386,1,31,-232879
5422,1,5,-232843
5427,2,10,-232838
5454,3,37,-232811
5522,5,105,-232743
5534,1,117,-232731
5544,1,127,-232721
5549,3,132,-232716
5558,1,141,-232707
5564,2,147,-232701
5578,2,161,-232687
5581,1,164,-232684
5587,2,170,-232678
5668,4,251,-232597
5681,1,264,-232584
5699,3,282,-232566
5702,5,285,-232563
5706,3,289,-232559
5716,19,297,-232549
5727,6,286,-232538
5735,2,278,-232530
5772,1,241,-232493
5807,2,206,-232458
5830,1,183,-232435
5854,2,159,-232411
5898,6,115,-232367
5961,12,52,-232304
5979,3,34,-232286
5984,4,29,-232281
5991,6,22,-232274
5998,1,15,-232267
6004,1,9,-232261
6029,2,16,-232236
6038,20,25,-232227
6042,1,29,-232223
6081,1,68,-232184
6130,1,43,-232135
6137,1,36,-232128
6193,1,20,-232072
6203,2,30,-232062
6253,12,80,-232012
6284,1,111,-231981
6299,1,122,-231966
6332,7,89,-231933
6528,1,107,-231737
6560,2,129,-231705
6586,1,103,-231679
6685,1,4,-231580
6705,1,16,-231560
6738,2,49,-231527
6792,1,53,-231473
7051,2,62,-231214
7168,2,19,-231097
7209,1,60,-231056
7214,1,65,-231051
7216,2,67,-231049
7217,1,68,-231048
7315,1,74,-230950
7386,1,3,-230879
7392,2,3,-230873
7457,1,68,-230808
7474,3,71,-230791
7564,1,19,-230701
7570,2,25,-230695
7592,4,47,-230673
7612,3,67,-230653
7635,1,54,-230630
7659,1,30,-230606
7696,1,7,-230569
7720,2,31,-230545
7725,1,36,-230540
7731,1,42,-230534
7735,1,46,-230530
7800,2,49,-230465
7806,1,43,-230459
7814,1,35,-230451
7816,1,33,-230449
8252,2,59,-230013
8253,1,60,-230012
8256,2,63,-230009
8258,1,65,-230007
8273,4,80,-229992
8292,5,99,-229973
8302,1,109,-229963
8313,2,120,-229952
8357,1,104,-229908
8366,4,95,-229899
8386,1,75,-229879
