Position,Value,Nucleosome_Distance,Centromere_Distance
91,1,36,-114352
154,1,11,-114289
160,2,5,-114283
165,3,0,-114278
186,3,21,-114257
202,1,37,-114241
256,2,37,-114187
259,1,34,-114184
287,3,6,-114156
297,2,4,-114146
308,2,15,-114135
317,2,24,-114126
339,2,46,-114104
342,3,49,-114101
356,1,63,-114087
470,2,63,-113973
474,438,59,-113969
484,21,49,-113959
496,1,37,-113947
500,9,33,-113943
511,1,22,-113932
613,4,64,-113830
635,8,42,-113808
640,61,37,-113803
644,1,33,-113799
691,24,14,-113752
720,1,43,-113723
725,28,48,-113718
755,48,78,-113688
765,2,88,-113678
786,11,109,-113657
789,26,112,-113654
793,7,116,-113650
795,5,114,-113648
800,11,109,-113643
808,23,101,-113635
821,1,88,-113622
858,2,51,-113585
866,1,43,-113577
869,218,40,-113574
878,3,31,-113565
960,118,51,-113483
984,90,75,-113459
1014,1,105,-113429
1023,1,114,-113420
1026,108,117,-113417
1079,43,102,-113364
1086,1,95,-113357
1101,52,80,-113342
1114,23,67,-113329
1117,174,64,-113326
1120,2,61,-113323
1121,14,60,-113322
1122,5,59,-113321
1126,1,55,-113317
1181,23,0,-113262
1202,26,21,-113241
1308,2,45,-113135
1354,3,1,-113089
1359,74,6,-113084
1406,3,53,-113037
1692,16,3,-112751
1785,9,64,-112658
1918,2,69,-112525
2147,99,6,-112296
2151,11,2,-112292
2235,25,46,-112208
2432,24,7,-112011
2480,2,55,-111963
2515,17,70,-111928
2521,18,64,-111922
2855,8,50,-111588
2860,20,45,-111583
2868,40,37,-111575
3024,11,41,-111419
3175,6,34,-111268
3551,14,42,-110892
3552,2,41,-110891
3555,11,38,-110888
3589,35,4,-110854
3604,16,11,-110839
3608,65,15,-110835
3742,56,5,-110701
3785,73,48,-110658
3929,100,48,-110514
3932,1,51,-110511
3933,1,52,-110510
3935,36,54,-110508
4096,14,49,-110347
4102,128,43,-110341
4251,11,38,-110192
4447,39,14,-109996
4563,12,14,-109880
4879,10,42,-109564
4892,19,29,-109551
4913,6,8,-109530
5036,9,29,-109407
5040,1,25,-109403
5072,2,7,-109371
5077,3,12,-109366
5122,1,57,-109321
5154,2,55,-109289
5342,2,27,-109101
5502,1,27,-108941
5510,2,19,-108933
5514,1,15,-108929
5851,4,34,-108592
5857,9,40,-108586
5895,2,78,-108548
5927,93,50,-108516
6056,11,79,-108387
6064,8,73,-108379
6354,8,57,-108089
6358,15,61,-108085
6482,3,25,-107961
6627,4,10,-107816
6630,6,13,-107813
6651,4,34,-107792
6656,9,39,-107787
6728,15,49,-107715
6742,127,35,-107701
6814,8,37,-107629
6824,49,47,-107619
6828,75,51,-107615
6909,1,28,-107534
6914,1,23,-107529
6932,42,5,-107511
6937,16,0,-107506
6954,2,17,-107489
6990,18,53,-107453
7026,23,71,-107417
7030,1,67,-107413
7060,16,37,-107383
7074,2,23,-107369
7149,7,52,-107294
7185,37,72,-107258
7203,6,54,-107240
7224,21,33,-107219
7229,1,28,-107214
7280,2,23,-107163
7285,3,28,-107158
7289,3,32,-107154
7299,2,42,-107144
7301,1,44,-107142
7304,29,47,-107139
7321,23,64,-107122
7337,19,64,-107106
7391,15,10,-107052
7398,35,3,-107045
7510,9,35,-106933
7530,2,15,-106913
7577,3,32,-106866
7732,11,43,-106711
7862,5,29,-106581
7867,15,34,-106576
7979,9,10,-106464
7994,1,5,-106449
7999,46,10,-106444
8090,5,43,-106353
8146,2,13,-106297
8173,5,40,-106270
8180,107,47,-106263
8190,1,57,-106253
8194,51,61,-106249
8209,28,76,-106234
8251,3,42,-106192
8266,5,27,-106177
8705,19,44,-105738
8876,1,71,-105567
8946,6,3,-105497
8988,9,39,-105455
9025,16,52,-105418
9031,14,46,-105412
9065,72,12,-105378
9074,3,3,-105369
9079,35,2,-105364
9082,1,5,-105361
9125,6,48,-105318
9134,1,57,-105309
9147,1,70,-105296
9240,24,3,-105203
9290,20,53,-105153
9344,308,53,-105099
9361,1,36,-105082
9376,1,21,-105067
9381,25,16,-105062
9511,1,46,-104932
9681,2,36,-104762
9897,1,20,-104546
9910,7,33,-104533
10076,1,55,-104367
10080,19,59,-104363
10131,14,18,-104312
10145,15,4,-104298
10154,1,5,-104289
10165,1,16,-104278
10186,6,37,-104257
10195,12,46,-104248
10231,11,46,-104212
10353,30,76,-104090
10357,2,76,-104086
10439,6,6,-104004
10443,4,10,-104000
10466,88,33,-103977
10491,6,58,-103952
10494,1,61,-103949
10500,38,67,-103943
10599,17,22,-103844
10608,183,31,-103835
10624,3,47,-103819
10658,12,63,-103785
10673,10,48,-103770
10679,8,42,-103764
10683,18,38,-103760
10708,14,13,-103735
10760,47,39,-103683
10764,2,43,-103679
10765,48,44,-103678
10775,1,54,-103668
10881,12,32,-103562
10885,23,36,-103558
10972,15,5,-103471
10976,21,1,-103467
10987,16,10,-103456
11150,2,45,-103293
11190,1,85,-103253
11226,2,121,-103217
11243,1,138,-103200
11355,2,74,-103088
11562,27,43,-102881
11654,3,49,-102789
11660,34,55,-102783
11674,32,69,-102769
11679,8,74,-102764
11853,3,72,-102590
11860,65,65,-102583
11864,25,61,-102579
11877,9,48,-102566
11883,19,42,-102560
11902,171,23,-102541
11929,2,4,-102514
11932,20,7,-102511
11936,34,11,-102507
11959,1,34,-102484
12021,8,48,-102422
12024,6,45,-102419
12029,19,40,-102414
12037,5,32,-102406
12045,16,24,-102398
12056,18,13,-102387
12062,17,7,-102381
12077,3,8,-102366
12176,7,21,-102267
12213,22,16,-102230
12225,12,28,-102218
12232,164,35,-102211
12261,4,64,-102182
12265,48,60,-102178
12271,33,54,-102172
12365,1,40,-102078
12370,2,45,-102073
12407,1,46,-102036
12418,3,35,-102025
12426,3,27,-102017
12445,1,8,-101998
12747,3,38,-101696
12757,1,48,-101686
12843,1,10,-101600
13063,3,66,-101380
13074,14,77,-101369
13079,8,82,-101364
13102,67,105,-101341
13150,5,115,-101293
13153,77,112,-101290
13164,72,101,-101279
13173,23,92,-101270
13181,7,84,-101262
13184,7,81,-101259
13187,24,78,-101256
13201,77,64,-101242
13237,10,28,-101206
13348,1,61,-101095
13486,22,77,-100957
13583,2,14,-100860
13591,14,22,-100852
13595,7,26,-100848
13598,23,29,-100845
13603,42,34,-100840
13608,3,39,-100835
13612,4,43,-100831
13619,2,50,-100824
13626,10,57,-100817
13630,1,61,-100813
13632,10,63,-100811
13635,2,66,-100808
13637,8,68,-100806
13639,8,70,-100804
13642,17,71,-100801
13644,18,69,-100799
13646,5,67,-100797
13648,28,65,-100795
13657,3,56,-100786
13665,21,48,-100778
13668,16,45,-100775
13670,64,43,-100773
13672,10,41,-100771
13676,4,37,-100767
13677,3,36,-100766
13678,15,35,-100765
13681,32,32,-100762
13694,33,19,-100749
13697,728,16,-100746
13699,11,14,-100744
13704,4,9,-100739
13707,9,6,-100736
13711,1,2,-100732
13716,8,3,-100727
13718,8,5,-100725
13721,9,8,-100722
13726,12,13,-100717
13736,2,23,-100707
13739,2,26,-100704
13742,4,29,-100701
13765,50,52,-100678
13769,33,56,-100674
13771,3,58,-100672
13772,6,59,-100671
13776,1,63,-100667
13857,4,16,-100586
13874,2,33,-100569
13884,11,43,-100559
13895,17,54,-100548
13899,24,58,-100544
13905,2,64,-100538
13919,34,78,-100524
13941,4,76,-100502
14169,56,68,-100274
14262,9,25,-100181
14268,1,31,-100175
14476,1,33,-99967
14512,10,3,-99931
14587,3,78,-99856
14588,1,79,-99855
14592,17,83,-99851
14610,1,101,-99833
14620,45,111,-99823
14682,16,173,-99761
14690,9,181,-99753
14720,48,211,-99723
14738,281,229,-99705
14759,24,250,-99684
14761,9,252,-99682
14766,5,255,-99677
14772,25,249,-99671
14804,34,217,-99639
14824,1,197,-99619
14961,190,60,-99482
14973,109,48,-99470
14979,1,42,-99464
15073,7,52,-99370
15242,1,25,-99201
15259,23,42,-99184
15288,7,71,-99155
