Position,Value,Nucleosome_Distance,Centromere_Distance
1,9,88,-148567
4,7,85,-148564
10,3,79,-148558
15,7,74,-148553
18,1,71,-148550
22,1,67,-148546
27,1,62,-148541
32,2,57,-148536
35,5,54,-148533
37,1,52,-148531
38,6,51,-148530
40,3,49,-148528
46,14,43,-148522
47,6,42,-148521
48,2,41,-148520
49,12,40,-148519
53,2,36,-148515
56,7,33,-148512
60,8,29,-148508
64,7,25,-148504
69,1,20,-148499
75,2,14,-148493
80,31,9,-148488
81,9,8,-148487
83,4,6,-148485
85,17,4,-148483
91,2,2,-148477
97,1,8,-148471
100,13,11,-148468
109,12,20,-148459
110,15,21,-148458
111,2,22,-148457
114,13,25,-148454
115,9,26,-148453
128,2,39,-148440
147,19,58,-148421
155,1,66,-148413
158,3,69,-148410
163,2,74,-148405
168,2,79,-148400
178,2,71,-148390
186,7,63,-148382
187,6,62,-148381
190,1,59,-148378
195,8,54,-148373
210,1,39,-148358
226,8,23,-148342
231,9,18,-148337
234,22,15,-148334
239,3,10,-148329
242,2,7,-148326
247,1,2,-148321
251,1,2,-148317
256,1,7,-148312
266,6,17,-148302
273,12,24,-148295
276,1,27,-148292
283,4,34,-148285
287,2,38,-148281
288,7,39,-148280
299,27,50,-148269
310,3,61,-148258
333,2,76,-148235
335,10,74,-148233
346,1,63,-148222
363,3,46,-148205
366,1,43,-148202
369,16,40,-148199
372,1,37,-148196
374,5,35,-148194
379,1,30,-148189
380,13,29,-148188
391,4,18,-148177
411,3,2,-148157
417,79,8,-148151
430,1,21,-148138
463,5,54,-148105
467,12,58,-148101
522,5,31,-148046
530,25,23,-148038
538,4,15,-148030
542,6,11,-148026
548,16,5,-148020
553,1,0,-148015
558,16,5,-148010
572,11,19,-147996
577,2,24,-147991
583,5,30,-147985
587,4,34,-147981
588,1,35,-147980
594,14,41,-147974
620,3,61,-147948
628,2,53,-147940
631,1,50,-147937
638,4,43,-147930
652,8,29,-147916
660,1,21,-147908
668,6,13,-147900
678,8,3,-147890
705,2,24,-147863
713,17,32,-147855
728,5,47,-147840
740,6,59,-147828
743,2,62,-147825
746,5,63,-147822
757,1,52,-147811
771,1,38,-147797
772,1,37,-147796
781,1,28,-147787
785,2,24,-147783
788,2,21,-147780
790,1,19,-147778
797,2,12,-147771
807,3,2,-147761
808,3,1,-147760
820,3,11,-147748
826,4,17,-147742
829,7,20,-147739
830,56,21,-147738
834,5,25,-147734
839,27,30,-147729
842,1,33,-147726
858,3,49,-147710
877,2,60,-147691
881,4,56,-147687
884,1,53,-147684
890,1,47,-147678
907,11,30,-147661
909,10,28,-147659
924,38,13,-147644
935,1,2,-147633
939,24,2,-147629
945,81,8,-147623
953,1,16,-147615
974,1,37,-147594
998,3,61,-147570
1010,13,71,-147558
1014,10,67,-147554
1021,1,60,-147547
1023,1,58,-147545
1026,5,55,-147542
1055,1,26,-147513
1064,1,17,-147504
1076,3,5,-147492
1094,1,13,-147474
1154,9,71,-147414
1158,1,67,-147410
1166,5,59,-147402
1194,26,31,-147374
1201,3,24,-147367
1226,14,1,-147342
1233,6,8,-147335
1239,2,14,-147329
