Position,Value,Nucleosome_Distance,Centromere_Distance
7,2,28,-440180
22,2,13,-440165
27,28,8,-440160
65,3,30,-440122
66,36,31,-440121
67,2,32,-440120
69,3,34,-440118
77,10,42,-440110
92,1,57,-440095
97,12,62,-440090
107,29,72,-440080
132,2,93,-440055
138,2,87,-440049
150,3,75,-440037
157,19,68,-440030
171,83,54,-440016
172,32,53,-440015
173,110,52,-440014
174,41,51,-440013
176,47,49,-440011
177,103,48,-440010
179,99,46,-440008
180,58,45,-440007
181,397,44,-440006
184,238,41,-440003
185,94,40,-440002
186,46,39,-440001
187,16,38,-440000
188,53,37,-439999
192,58,33,-439995
193,3,32,-439994
194,12,31,-439993
195,13,30,-439992
198,19,27,-439989
200,21,25,-439987
202,3,23,-439985
205,1,20,-439982
207,198,18,-439980
208,9,17,-439979
209,66,16,-439978
211,3,14,-439976
217,35,8,-439970
220,2,5,-439967
230,1,5,-439957
238,6,13,-439949
241,2,16,-439946
248,2,23,-439939
254,1,29,-439933
285,1,60,-439902
295,59,70,-439892
300,15,75,-439887
303,14,78,-439884
307,6,78,-439880
310,23,75,-439877
312,1,73,-439875
315,56,70,-439872
320,1,65,-439867
323,17,62,-439864
326,2,59,-439861
329,34,56,-439858
334,2,51,-439853
338,48,47,-439849
343,16,42,-439844
349,19,36,-439838
351,54,34,-439836
356,2,29,-439831
359,45,26,-439828
364,6,21,-439823
367,1,18,-439820
369,1,16,-439818
371,4,14,-439816
387,6,2,-439800
392,3,7,-439795
396,16,11,-439791
403,45,18,-439784
414,31,29,-439773
419,1,34,-439768
450,61,65,-439737
454,5,69,-439733
459,18,74,-439728
464,1,79,-439723
473,1,88,-439714
486,1,101,-439701
489,34,104,-439698
503,41,118,-439684
504,1,117,-439683
506,12,115,-439681
509,3,112,-439678
511,144,110,-439676
517,14,104,-439670
519,26,102,-439668
522,19,99,-439665
526,51,95,-439661
530,1,91,-439657
547,2,74,-439640
551,1,70,-439636
563,1,58,-439624
567,1,54,-439620
570,26,51,-439617
571,7,50,-439616
575,2,46,-439612
577,1,44,-439610
578,3,43,-439609
582,1,39,-439605
587,46,34,-439600
678,10,57,-439509
681,1,60,-439506
694,107,73,-439493
702,39,81,-439485
715,5,94,-439472
721,1,100,-439466
734,1,113,-439453
735,15,114,-439452
760,1,125,-439427
770,6,115,-439417
780,1,105,-439407
785,4,100,-439402
790,9,95,-439397
793,2,92,-439394
810,2,75,-439377
813,4,72,-439374
818,13,67,-439369
821,8,64,-439366
824,4,61,-439363
827,1,58,-439360
830,61,55,-439357
886,1,1,-439301
890,2,5,-439297
903,10,18,-439284
907,1,22,-439280
910,2,25,-439277
928,2,43,-439259
940,1,55,-439247
962,7,77,-439225
971,1,78,-439216
973,3,76,-439214
974,1,75,-439213
975,6,74,-439212
982,2,67,-439205
990,1,59,-439197
1082,1,33,-439105
1089,1,40,-439098
1111,1,62,-439076
1119,4,66,-439068
1189,2,4,-438998
1211,1,26,-438976
1220,1,35,-438967
1228,1,43,-438959
1232,1,47,-438955
1249,1,64,-438938
1265,1,64,-438922
1276,1,53,-438911
1284,7,45,-438903
1299,6,30,-438888
1383,3,54,-438804
1394,2,65,-438793
1400,4,71,-438787
1408,3,79,-438779
1413,2,84,-438774
1416,11,87,-438771
1417,3,88,-438770
1420,9,91,-438767
1424,15,95,-438763
1427,2,98,-438760
1428,1,99,-438759
1430,2,101,-438757
1443,3,106,-438744
1444,1,105,-438743
1449,1,100,-438738
1450,2,99,-438737
1455,3,94,-438732
1457,8,92,-438730
1458,1,91,-438729
1460,17,89,-438727
1462,10,87,-438725
1464,3,85,-438723
1468,1,81,-438719
1472,2,77,-438715
1476,23,73,-438711
1479,2,70,-438708
1484,14,65,-438703
1489,3,60,-438698
1490,6,59,-438697
1492,13,57,-438695
1493,2,56,-438694
1495,15,54,-438692
1497,12,52,-438690
1498,17,51,-438689
1501,5,48,-438686
1504,25,45,-438683
1508,8,41,-438679
1509,12,40,-438678
1512,2,37,-438675
1513,17,36,-438674
1515,2,34,-438672
1516,61,33,-438671
1520,11,29,-438667
1521,2,28,-438666
1522,5,27,-438665
1523,4,26,-438664
1525,3,24,-438662
1527,12,22,-438660
1535,85,14,-438652
1555,12,6,-438632
1566,20,17,-438621
1569,6,20,-438618
1573,1,24,-438614
1616,1,67,-438571
1633,1,84,-438554
1670,8,99,-438517
1706,44,63,-438481
1748,1,21,-438439
1768,1,1,-438419
1798,2,29,-438389
1813,1,44,-438374
1817,1,48,-438370
1823,2,54,-438364
1846,1,67,-438341
1849,1,64,-438338
1886,1,27,-438301
1976,4,63,-438211
