Position,Value,Nucleosome_Distance,Centromere_Distance
2,2,25,105642
7,9,20,105637
16,1,11,105628
22,1,5,105622
35,35,8,105609
41,51,14,105603
48,35,21,105596
50,4,23,105594
51,1,24,105593
52,1,25,105592
53,21,26,105591
57,23,30,105587
59,24,32,105585
61,1,34,105583
65,1,38,105579
76,1,49,105568
86,16,59,105558
94,3,67,105550
101,1,74,105543
106,2,79,105538
118,1,91,105526
127,1,100,105517
136,1,109,105508
143,1,116,105501
145,20,118,105499
155,4,128,105489
178,43,151,105466
188,9,161,105456
196,4,161,105448
223,11,134,105421
229,63,128,105415
231,43,126,105413
233,22,124,105411
234,24,123,105410
235,25,122,105409
236,4,121,105408
237,10,120,105407
238,16,119,105406
241,44,116,105403
245,22,112,105399
250,1,107,105394
252,3,105,105392
253,11,104,105391
259,12,98,105385
263,2,94,105381
267,4,90,105377
270,18,87,105374
272,1,85,105372
273,10,84,105371
278,7,79,105366
279,1,78,105365
280,1,77,105364
281,28,76,105363
284,14,73,105360
289,9,68,105355
294,11,63,105350
295,2,62,105349
297,5,60,105347
298,1,59,105346
303,38,54,105341
305,26,52,105339
310,71,47,105334
316,2,41,105328
317,34,40,105327
324,8,33,105320
329,8,28,105315
338,1,19,105306
339,2,18,105305
342,43,15,105302
348,4,9,105296
361,18,4,105283
369,1,12,105275
378,1,21,105266
382,1,25,105262
385,1,28,105259
386,2,29,105258
391,11,34,105253
404,11,47,105240
416,5,59,105228
422,6,63,105222
426,1,59,105218
430,1,55,105214
435,3,50,105209
443,1,42,105201
447,7,38,105197
457,4,28,105187
467,19,18,105177
476,15,9,105168
477,1,8,105167
480,7,5,105164
481,1,4,105163
489,60,4,105155
500,1,15,105144
505,56,20,105139
511,7,26,105133
514,16,29,105130
518,92,33,105126
522,3,37,105122
523,7,38,105121
528,8,43,105116
533,6,48,105111
537,1,52,105107
542,7,57,105102
551,24,62,105093
558,21,55,105086
569,10,44,105075
577,7,36,105067
586,6,27,105058
588,5,25,105056
590,1,23,105054
592,1,21,105052
594,1,19,105050
597,1,16,105047
602,5,11,105042
606,3,7,105038
609,4,4,105035
612,4,1,105032
613,2,0,105031
615,6,2,105029
618,2,5,105026
621,1,8,105023
623,2,10,105021
624,5,11,105020
627,15,14,105017
630,1,17,105014
632,5,19,105012
633,3,20,105011
636,5,23,105008
638,2,25,105006
643,1,30,105001
646,4,33,104998
647,23,34,104997
650,2,37,104994
656,18,43,104988
668,2,55,104976
671,2,58,104973
673,3,60,104971
675,1,62,104969
679,19,62,104965
680,2,61,104964
681,25,60,104963
682,4,59,104962
685,25,56,104959
687,9,54,104957
688,3,53,104956
689,10,52,104955
690,35,51,104954
691,17,50,104953
692,21,49,104952
695,14,46,104949
696,2,45,104948
698,8,43,104946
700,16,41,104944
701,7,40,104943
702,8,39,104942
703,7,38,104941
706,17,35,104938
709,5,32,104935
710,7,31,104934
712,3,29,104932
713,4,28,104931
715,12,26,104929
718,17,23,104926
722,2,19,104922
723,5,18,104921
725,5,16,104919
726,5,15,104918
728,4,13,104916
736,1,5,104908
744,4,3,104900
757,1,16,104887
762,29,21,104882
765,3,24,104879
766,5,25,104878
767,1,26,104877
770,11,29,104874
774,17,33,104870
780,6,39,104864
781,3,40,104863
784,7,43,104860
790,1,49,104854
794,3,53,104850
795,6,54,104849
797,7,56,104847
801,2,60,104843
802,1,61,104842
803,4,62,104841
804,16,63,104840
805,20,64,104839
806,6,63,104838
807,3,62,104837
808,3,61,104836
812,5,57,104832
813,3,56,104831
815,10,54,104829
817,3,52,104827
818,4,51,104826
822,7,47,104822
823,1,46,104821
824,1,45,104820
825,5,44,104819
826,5,43,104818
831,4,38,104813
834,1,35,104810
836,10,33,104808
837,6,32,104807
839,3,30,104805
842,8,27,104802
844,9,25,104800
846,8,23,104798
848,12,21,104796
849,7,20,104795
852,3,17,104792
859,33,10,104785
863,5,6,104781
869,6,0,104775
871,8,2,104773
873,7,4,104771
877,3,8,104767
891,1,22,104753
894,19,25,104750
895,1,26,104749
904,2,35,104740
905,1,36,104739
908,108,39,104736
915,9,46,104729
916,4,47,104728
920,4,51,104724
923,2,54,104721
924,1,55,104720
928,44,59,104716
931,2,62,104713
935,15,66,104709
940,1,71,104704
949,9,64,104695
959,4,54,104685
964,12,49,104680
969,18,44,104675
972,14,41,104672
980,2,33,104664
981,1,32,104663
983,1,30,104661
985,6,28,104659
991,8,22,104653
992,2,21,104652
995,3,18,104649
997,2,16,104647
998,20,15,104646
1001,2,12,104643
1003,73,10,104641
1007,1,6,104637
1012,6,1,104632
1016,1,3,104628
1020,3,7,104624
1024,2,11,104620
1025,7,12,104619
1031,9,18,104613
1045,6,32,104599
1047,2,34,104597
1050,44,37,104594
1059,1,46,104585
1066,1,53,104578
1075,1,62,104569
1080,5,67,104564
1085,2,72,104559
1093,6,64,104551
1097,1,60,104547
1099,1,58,104545
1102,1,55,104542
1107,3,50,104537
1116,1,41,104528
1117,4,40,104527
1120,5,37,104524
1126,2,31,104518
1127,2,30,104517
1129,7,28,104515
1138,3,19,104506
1144,7,13,104500
1150,1,7,104494
1155,5,2,104489
1158,2,1,104486
1163,1,6,104481
1172,18,15,104472
1182,23,25,104462
1187,1,30,104457
1224,95,61,104420
1237,1,48,104407
1276,2,9,104368
1279,1,6,104365
1287,10,2,104357
1291,2,6,104353
1294,1,9,104350
1297,1,12,104347
1301,12,16,104343
1308,11,23,104336
1313,1,28,104331
1318,12,33,104326
1331,3,46,104313
1337,5,52,104307
1341,7,56,104303
1346,5,61,104298
1352,1,61,104292
1358,4,55,104286
1369,5,44,104275
1383,10,30,104261
1388,4,25,104256
1398,10,15,104246
1412,15,1,104232
1423,1,10,104221
1431,1,18,104213
1453,1,40,104191
1465,1,52,104179
1475,1,62,104169
1476,3,63,104168
1486,10,71,104158
1492,4,65,104152
1495,1,62,104149
1499,35,58,104145
1510,1,47,104134
1513,2,44,104131
1534,1,23,104110
1537,2,20,104107
1544,2,13,104100
1551,1,6,104093
1562,1,5,104082
1579,1,22,104065
1585,1,28,104059
1590,4,33,104054
1610,7,53,104034
1615,1,58,104029
1619,3,62,104025
1639,5,62,104005
1643,2,58,104001
1652,2,49,103992
1659,2,42,103985
1662,1,39,103982
1666,3,35,103978
1675,2,26,103969
1689,1,12,103955
1697,3,4,103947
1700,1,1,103944
1701,2,0,103943
1704,2,3,103940
1708,1,7,103936
1711,1,10,103933
