Running with noise_level=0.10
Device: cuda

Preprocessing with chromosome split:
  Train chromosomes: ['ChrIII', 'ChrIV', 'ChrIX', 'ChrVI', 'ChrVII', 'ChrX', 'ChrXI', 'ChrXIII', 'ChrXVI']
  Val chromosomes: None
  Test chromosomes: ['ChrI', 'ChrII', 'ChrV', 'ChrXII']

Clipping outliers using 95th percentile * 1.5...
strain_yTW001: Clipping values above 134.25 (P95=89.50). Clipped 27529/1193409 values (2.31%)
strain_FD: Clipping values above 71.92 (P95=47.94). Clipped 95791/4127807 values (2.32%)
strain_dnrp: Clipping values above 243.00 (P95=162.00). Clipped 25649/1119454 values (2.29%)
strain_yEK19: Clipping values above 77.10 (P95=51.40). Clipped 83713/3893623 values (2.15%)
strain_yEK23: Clipping values above 72.00 (P95=48.00). Clipped 86381/3558407 values (2.43%)
strain_yWT03a: Clipping values above 15.00 (P95=10.00). Clipped 10602/347679 values (3.05%)
strain_yWT04a: Clipping values above 58.50 (P95=39.00). Clipped 21095/725406 values (2.91%)
strain_ylic137: Clipping values above 142.50 (P95=95.00). Clipped 28746/1112684 values (2.58%)

Splitting data using pre-determined chromosomes...
Standardizing features: ['Centr']
Column order in final array (Dataset/Chrom split): ['Value', 'Centromere_Distance', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 61992
Column order in final array (Dataset/Chrom split): ['Value', 'Centromere_Distance', 'Value_Raw', 'Size_Factor']
Column order in final array (Dataset/Chrom split): ['Value', 'Centromere_Distance', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 24128

Dataset sizes after preprocessing:
  Train: 61992
  Val: 0
  Test: 24128
  Eval strategy: TEST

Randomly sampled 58272/61992 samples (94.0%)
Applied denoising with 10.0% masking

Creating test dataloader:
  Test set size: 24128
  Batch size: 128
Applied denoising with 10.0% masking
  Dataloader created: 24128 samples, 189 batches
Number of encoder layers: 1
Number of decoder layers (excluding heads): 1
Total number of layers including latent layer: 3
Epoch [1/141], Total Loss: 2.0753, NLL: 2.0331, Masked: 4.8444
Epoch [2/141], Total Loss: 1.7963, NLL: 1.7703, Masked: 2.9822
Epoch [3/141], Total Loss: 1.6903, NLL: 1.6670, Masked: 2.6814
Epoch [4/141], Total Loss: 1.6734, NLL: 1.6505, Masked: 2.6263
Epoch [5/141], Total Loss: 1.6529, NLL: 1.6308, Masked: 2.5458
Epoch [6/141], Total Loss: 1.6372, NLL: 1.6157, Masked: 2.4718
Epoch [7/141], Total Loss: 1.6256, NLL: 1.6047, Masked: 2.4022
Epoch [8/141], Total Loss: 1.6170, NLL: 1.5966, Masked: 2.3442
Epoch [9/141], Total Loss: 1.6061, NLL: 1.5863, Masked: 2.2725
Epoch [10/141], Total Loss: 1.5924, NLL: 1.5733, Masked: 2.1911
Epoch [11/141], Total Loss: 1.5803, NLL: 1.5618, Masked: 2.1315
Epoch [12/141], Total Loss: 1.5689, NLL: 1.5509, Masked: 2.0767
Epoch [13/141], Total Loss: 1.5599, NLL: 1.5423, Masked: 2.0308
Epoch [14/141], Total Loss: 1.5510, NLL: 1.5338, Masked: 1.9847
Epoch [15/141], Total Loss: 1.5444, NLL: 1.5274, Masked: 1.9526
Epoch [16/141], Total Loss: 1.5382, NLL: 1.5215, Masked: 1.9186
Epoch [17/141], Total Loss: 1.5326, NLL: 1.5162, Masked: 1.8893
Epoch [18/141], Total Loss: 1.5275, NLL: 1.5113, Masked: 1.8624
Epoch [19/141], Total Loss: 1.5233, NLL: 1.5072, Masked: 1.8428
Epoch [20/141], Total Loss: 1.5191, NLL: 1.5033, Masked: 1.8207
Epoch [21/141], Total Loss: 1.5156, NLL: 1.5000, Masked: 1.8013
Epoch [22/141], Total Loss: 1.5131, NLL: 1.4976, Masked: 1.7900
Epoch [23/141], Total Loss: 1.5096, NLL: 1.4941, Masked: 1.7716
Epoch [24/141], Total Loss: 1.5065, NLL: 1.4912, Masked: 1.7575
Epoch [25/141], Total Loss: 1.5041, NLL: 1.4889, Masked: 1.7442
Epoch [26/141], Total Loss: 1.5014, NLL: 1.4864, Masked: 1.7318
Epoch [27/141], Total Loss: 1.4985, NLL: 1.4835, Masked: 1.7155
Epoch [28/141], Total Loss: 1.4959, NLL: 1.4810, Masked: 1.7035
Epoch [29/141], Total Loss: 1.4927, NLL: 1.4780, Masked: 1.6889
Epoch [30/141], Total Loss: 1.4900, NLL: 1.4754, Masked: 1.6755
Epoch [31/141], Total Loss: 1.4872, NLL: 1.4727, Masked: 1.6628
Epoch [32/141], Total Loss: 1.4843, NLL: 1.4699, Masked: 1.6503
Epoch [33/141], Total Loss: 1.4817, NLL: 1.4675, Masked: 1.6392
Epoch [34/141], Total Loss: 1.4790, NLL: 1.4648, Masked: 1.6264
Epoch [35/141], Total Loss: 1.4762, NLL: 1.4621, Masked: 1.6146
Epoch [36/141], Total Loss: 1.4738, NLL: 1.4598, Masked: 1.6041
Epoch [37/141], Total Loss: 1.4705, NLL: 1.4566, Masked: 1.5887
Epoch [38/141], Total Loss: 1.4679, NLL: 1.4542, Masked: 1.5789
Epoch [39/141], Total Loss: 1.4653, NLL: 1.4516, Masked: 1.5685
Epoch [40/141], Total Loss: 1.4629, NLL: 1.4494, Masked: 1.5591
Epoch [41/141], Total Loss: 1.4604, NLL: 1.4469, Masked: 1.5491
Epoch [42/141], Total Loss: 1.4578, NLL: 1.4444, Masked: 1.5393
Epoch [43/141], Total Loss: 1.4546, NLL: 1.4414, Masked: 1.5267
