Position,Value,Nucleosome_Distance,Centromere_Distance
6,2,211,152039
42,3,175,152003
47,6,170,151998
53,11,164,151992
58,1,159,151987
60,1,157,151985
64,4,153,151981
69,1,148,151976
72,4,145,151973
76,1,141,151969
78,2,139,151967
84,1,133,151961
92,9,125,151953
97,2,120,151948
99,1,118,151946
103,4,114,151942
108,5,109,151937
111,10,106,151934
113,12,104,151932
115,2,102,151930
117,28,100,151928
118,7,99,151927
120,4,97,151925
121,15,96,151924
122,3,95,151923
124,33,93,151921
126,9,91,151919
128,9,89,151917
129,4,88,151916
130,1,87,151915
131,12,86,151914
134,10,83,151911
136,7,81,151909
137,2,80,151908
138,8,79,151907
143,6,74,151902
144,2,73,151901
150,4,67,151895
152,4,65,151893
154,2,63,151891
159,5,58,151886
161,1,56,151884
167,2,50,151878
169,14,48,151876
172,10,45,151873
173,7,44,151872
180,9,37,151865
184,7,33,151861
185,2,32,151860
188,11,29,151857
192,7,25,151853
195,3,22,151850
200,1,17,151845
214,9,3,151831
217,3,0,151828
221,1,4,151824
227,2,10,151818
228,4,11,151817
233,1,16,151812
239,4,22,151806
245,9,28,151800
248,1,31,151797
256,1,39,151789
268,1,51,151777
274,2,57,151771
277,1,60,151768
278,2,61,151767
285,18,68,151760
291,9,74,151754
296,2,79,151749
301,18,76,151744
309,18,68,151736
313,9,64,151732
325,40,52,151720
332,6,45,151713
344,3,33,151701
348,2,29,151697
361,1,16,151684
362,9,15,151683
367,29,10,151678
373,23,4,151672
374,3,3,151671
424,2,47,151621
439,49,62,151606
443,30,66,151602
469,111,52,151576
485,1,36,151560
496,1,25,151549
503,8,18,151542
506,20,15,151539
509,2,12,151536
511,9,10,151534
513,1,8,151532
515,1,6,151530
519,27,2,151526
523,1,2,151522
530,62,9,151515
541,3,20,151504
548,97,27,151497
553,1,32,151492
564,2,43,151481
571,15,50,151474
577,12,56,151468
581,6,60,151464
600,10,49,151445
606,1,43,151439
613,25,36,151432
623,7,26,151422
626,1,23,151419
630,1,19,151415
634,6,15,151411
638,1,11,151407
645,3,4,151400
649,2,0,151396
657,5,8,151388
658,1,9,151387
660,30,11,151385
687,12,38,151358
689,1,40,151356
691,19,42,151354
764,2,13,151281
768,61,9,151277
774,1,3,151271
781,1,4,151264
783,4,6,151262
795,1,18,151250
803,7,26,151242
809,8,32,151236
814,12,37,151231
820,3,43,151225
826,6,49,151219
836,3,59,151209
845,12,60,151200
861,24,44,151184
865,1,40,151180
875,23,30,151170
876,1,29,151169
880,23,25,151165
881,1,24,151164
892,3,13,151153
899,4,6,151146
910,13,5,151135
916,5,11,151129
925,1,20,151120
936,1,31,151109
941,1,36,151104
946,20,41,151099
951,1,46,151094
964,24,59,151081
966,1,61,151079
971,5,66,151074
981,3,68,151064
982,6,67,151063
987,6,62,151058
990,1,59,151055
994,31,55,151051
1035,1,14,151010
1045,48,4,151000
1080,1,31,150965
1101,1,52,150944
1107,5,58,150938
1119,17,70,150926
1124,2,75,150921
1150,2,59,150895
1201,1,8,150844
1213,3,4,150832
1353,2,16,150692
1404,2,35,150641
1411,4,42,150634
1423,3,54,150622
1438,1,69,150607
1453,1,76,150592
1475,3,54,150570
1483,1,46,150562
1494,12,35,150551
1533,3,4,150512
1566,1,37,150479
1590,2,61,150455
1638,1,51,150407
1656,2,33,150389
1729,24,40,150316
1819,1,14,150226
1824,1,9,150221
1834,2,1,150211
1846,2,13,150199
1915,1,46,150130
1921,141,40,150124
1928,1,33,150117
1946,1,15,150099
1950,15,11,150095
1968,1,7,150077
2007,4,46,150038
2018,1,57,150027
2035,1,54,150010
