chrom,Bin_Center,mean_density,sd_density,n_datasets,se_density
ChrIX,-370000.0,0.0,0.0,35,0.0
ChrIX,-360000.0,0.011054285714285714,0.004032175216280899,35,0.0006815620079701358
ChrIX,-350000.0,0.1572742857142857,0.05266542756405005,35,0.00890208203657068
ChrIX,-340000.0,0.08052,0.027898743383044003,35,0.004715748334351738
ChrIX,-330000.0,0.0676857142857143,0.026349574646161052,35,0.004453891024497932
ChrIX,-320000.0,0.08012857142857142,0.031157753934648445,35,0.005266621661130463
ChrIX,-310000.0,0.05477428571428571,0.019754587596111362,35,0.0033391347514521393
ChrIX,-300000.0,0.06166571428571429,0.023327413094483333,35,0.00394305248572246
ChrIX,-290000.0,0.04233428571428571,0.015590342841514625,35,0.0026352489170364713
ChrIX,-280000.0,0.03302857142857143,0.012400559082001845,35,0.0020960770538332413
ChrIX,-270000.0,0.043602857142857145,0.01610174425542857,35,0.002721691533205181
ChrIX,-260000.0,0.06998857142857143,0.027519049780839744,35,0.004651568401672512
ChrIX,-250000.0,0.042037142857142856,0.013578293354474564,35,0.002295150480097224
ChrIX,-240000.0,0.029285714285714283,0.010671598999685289,35,0.0018038294598681206
ChrIX,-230000.0,0.07875142857142857,0.03211082254271522,35,0.005427719658961625
ChrIX,-220000.0,0.06863142857142857,0.02641184862706811,35,0.004464417248482428
ChrIX,-210000.0,0.051082857142857145,0.018071255786864557,35,0.0030545997433111816
ChrIX,-200000.0,0.05784,0.020229814921662176,35,0.0034194628306826445
ChrIX,-190000.0,0.06175428571428571,0.020412529930198764,35,0.003450347304056135
ChrIX,-180000.0,0.06538285714285715,0.023771318428558674,35,0.004018086182080552
ChrIX,-170000.0,0.06268571428571429,0.022517824872193802,35,0.0038062070995932415
ChrIX,-160000.0,0.07582285714285714,0.026190097878602058,35,0.004426934530771366
ChrIX,-150000.0,0.08643714285714287,0.030615971280999587,35,0.005175043678156575
ChrIX,-140000.0,0.057928571428571426,0.019265277687325146,35,0.0032564262811938405
ChrIX,-130000.0,0.06470857142857143,0.02370057546370814,35,0.004006128438533443
ChrIX,-120000.0,0.05678857142857143,0.019907473787626646,35,0.0033649772345018154
ChrIX,-110000.0,0.10842857142857143,0.039535944713257415,35,0.006682794377824181
ChrIX,-100000.0,0.09606857142857143,0.0383627022558337,35,0.006484480206880222
ChrIX,-90000.0,0.06326000000000001,0.022204692137950857,35,0.0037532780070652014
ChrIX,-80000.0,0.07714571428571429,0.02629304697686693,35,0.0044443361044551695
ChrIX,-70000.0,0.06511714285714286,0.022089516887033114,35,0.0037338098363946907
ChrIX,-60000.0,0.06625714285714286,0.02229511006416226,35,0.003768561426073461
ChrIX,-50000.0,0.07249428571428572,0.025527585343024083,35,0.004314949473120424
ChrIX,-40000.0,0.07164857142857142,0.026887908625478865,35,0.0045448860751150085
ChrIX,-30000.0,0.09316857142857142,0.03473757730917521,35,0.005871722252362041
ChrIX,-20000.0,0.12027999999999998,0.04444202965662122,35,0.007512074090612867
ChrIX,-10000.0,0.12468000000000001,0.04423020527675096,35,0.007476269235432351
ChrIX,0.0,0.11120571428571428,0.040786149197816576,35,0.006894117505705351
ChrIX,10000.0,0.10080857142857143,0.03657435915910435,35,0.006182195051457186
ChrIX,20000.0,0.06572857142857143,0.022946864087028784,35,0.003878727963165875
ChrIX,30000.0,0.16169142857142857,0.06067505724289489,35,0.010255956556945783
ChrIX,40000.0,0.06288571428571428,0.02425665636791807,35,0.004100123266966705
ChrIX,50000.0,0.09316857142857142,0.034873298157325865,35,0.005894663262816019
ChrIX,60000.0,0.08598857142857143,0.03220871978598498,35,0.005444267313296753
ChrIX,70000.0,0.09120285714285714,0.035879950863254816,35,0.006064818626305984
ChrIX,80000.0,0.06725714285714286,0.02475402861703746,35,0.004184194521472133
ChrIX,90000.0,0.0,0.0,35,0.0
ChrIX,100000.0,0.0,0.0,35,0.0
ChrIX,110000.0,0.0,0.0,35,0.0
ChrIX,120000.0,0.0,0.0,35,0.0
ChrIX,130000.0,0.0,0.0,35,0.0
ChrIX,140000.0,0.0,0.0,35,0.0
ChrIX,150000.0,0.0,0.0,35,0.0
ChrIX,160000.0,0.0,0.0,35,0.0
ChrIX,170000.0,0.0,0.0,35,0.0
ChrIX,180000.0,0.0,0.0,35,0.0
ChrIX,190000.0,0.0,0.0,35,0.0
ChrIX,200000.0,0.0,0.0,35,0.0
ChrIX,210000.0,0.0,0.0,35,0.0
ChrIX,220000.0,0.0,0.0,35,0.0
ChrIX,230000.0,0.0,0.0,35,0.0
ChrIX,240000.0,0.0,0.0,35,0.0
ChrIX,250000.0,0.0,0.0,35,0.0
ChrIX,260000.0,0.0,0.0,35,0.0
ChrIX,270000.0,0.0,0.0,35,0.0
ChrIX,280000.0,0.0,0.0,35,0.0
ChrIX,290000.0,0.0,0.0,35,0.0
ChrIX,300000.0,0.0,0.0,35,0.0
ChrIX,310000.0,0.0,0.0,35,0.0
ChrIX,320000.0,0.0,0.0,35,0.0
ChrIX,330000.0,0.0,0.0,35,0.0
ChrIX,340000.0,0.0,0.0,35,0.0
ChrIX,350000.0,0.0,0.0,35,0.0
ChrIX,360000.0,0.0,0.0,35,0.0
ChrIX,370000.0,0.0,0.0,35,0.0
