Running with noise_level=0.15
Running with mu_offset=0
Device: cuda

Preprocessing with chromosome split:
  Train chromosomes: ['ChrIII', 'ChrIV', 'ChrIX', 'ChrVI', 'ChrVII', 'ChrX', 'ChrXI', 'ChrXIII', 'ChrXVI']
  Val chromosomes: None
  Test chromosomes: ['ChrI', 'ChrII', 'ChrV', 'ChrXII']

Clipping outliers using 95th percentile * 1.5...
strain_yTW001: Clipping values above 134.25 (P95=89.50). Clipped 27529/1193409 values (2.31%)
strain_FD: Clipping values above 71.92 (P95=47.94). Clipped 95791/4127807 values (2.32%)
strain_dnrp: Clipping values above 243.00 (P95=162.00). Clipped 25649/1119454 values (2.29%)
strain_yEK19: Clipping values above 77.10 (P95=51.40). Clipped 83713/3893623 values (2.15%)
strain_yEK23: Clipping values above 72.00 (P95=48.00). Clipped 86381/3558407 values (2.43%)
strain_yWT03a: Clipping values above 15.00 (P95=10.00). Clipped 10602/347679 values (3.05%)
strain_yWT04a: Clipping values above 58.50 (P95=39.00). Clipped 21095/725406 values (2.91%)
strain_ylic137: Clipping values above 142.50 (P95=95.00). Clipped 28746/1112684 values (2.58%)

Splitting data using pre-determined chromosomes...
Standardizing features: ['Centr']
Column order in final array (Dataset/Chrom split): ['Value', 'Centromere_Distance', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 61992
Column order in final array (Dataset/Chrom split): ['Value', 'Centromere_Distance', 'Value_Raw', 'Size_Factor']
Column order in final array (Dataset/Chrom split): ['Value', 'Centromere_Distance', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 24128

Dataset sizes after preprocessing:
  Train: 61992
  Val: 0
  Test: 24128
  Eval strategy: TEST

Randomly sampled 58272/61992 samples (94.0%)
Applied denoising with 15.0% masking

Creating test dataloader:
  Test set size: 24128
  Batch size: 128
Applied denoising with 15.0% masking
  Dataloader created: 24128 samples, 189 batches
Number of encoder layers: 1
Number of decoder layers (excluding heads): 1
Total number of layers including latent layer: 3
Epoch [1/141], Total Loss: 2.1592, NLL: 2.1005, Masked: 6.7429
Epoch [2/141], Total Loss: 1.8750, NLL: 1.8410, Masked: 3.9055
Epoch [3/141], Total Loss: 1.5781, NLL: 1.5550, Masked: 2.6557
Epoch [4/141], Total Loss: 1.5354, NLL: 1.5133, Masked: 2.5426
Epoch [5/141], Total Loss: 1.5053, NLL: 1.4840, Masked: 2.4469
Epoch [6/141], Total Loss: 1.4883, NLL: 1.4675, Masked: 2.3819
Epoch [7/141], Total Loss: 1.4712, NLL: 1.4511, Masked: 2.3092
Epoch [8/141], Total Loss: 1.4555, NLL: 1.4361, Masked: 2.2320
Epoch [9/141], Total Loss: 1.4405, NLL: 1.4217, Masked: 2.1586
Epoch [10/141], Total Loss: 1.4209, NLL: 1.4030, Masked: 2.0553
Epoch [11/141], Total Loss: 1.4005, NLL: 1.3833, Masked: 1.9716
Epoch [12/141], Total Loss: 1.3823, NLL: 1.3657, Masked: 1.9075
Epoch [13/141], Total Loss: 1.3657, NLL: 1.3495, Masked: 1.8616
Epoch [14/141], Total Loss: 1.3523, NLL: 1.3364, Masked: 1.8292
Epoch [15/141], Total Loss: 1.3423, NLL: 1.3267, Masked: 1.7934
Epoch [16/141], Total Loss: 1.3338, NLL: 1.3185, Masked: 1.7574
Epoch [17/141], Total Loss: 1.3261, NLL: 1.3111, Masked: 1.7230
Epoch [18/141], Total Loss: 1.3199, NLL: 1.3051, Masked: 1.6985
Epoch [19/141], Total Loss: 1.3137, NLL: 1.2991, Masked: 1.6771
Epoch [20/141], Total Loss: 1.3083, NLL: 1.2939, Masked: 1.6581
Epoch [21/141], Total Loss: 1.3034, NLL: 1.2892, Masked: 1.6385
Epoch [22/141], Total Loss: 1.2986, NLL: 1.2845, Masked: 1.6201
Epoch [23/141], Total Loss: 1.2933, NLL: 1.2794, Masked: 1.5999
Epoch [24/141], Total Loss: 1.2875, NLL: 1.2737, Masked: 1.5783
Epoch [25/141], Total Loss: 1.2818, NLL: 1.2682, Masked: 1.5595
Epoch [26/141], Total Loss: 1.2758, NLL: 1.2624, Masked: 1.5397
Epoch [27/141], Total Loss: 1.2700, NLL: 1.2567, Masked: 1.5244
Epoch [28/141], Total Loss: 1.2643, NLL: 1.2512, Masked: 1.5057
Epoch [29/141], Total Loss: 1.2585, NLL: 1.2455, Masked: 1.4886
Epoch [30/141], Total Loss: 1.2531, NLL: 1.2403, Masked: 1.4720
Epoch [31/141], Total Loss: 1.2476, NLL: 1.2349, Masked: 1.4530
Epoch [32/141], Total Loss: 1.2426, NLL: 1.2300, Masked: 1.4381
Epoch [33/141], Total Loss: 1.2367, NLL: 1.2244, Masked: 1.4183
Epoch [34/141], Total Loss: 1.2317, NLL: 1.2195, Masked: 1.4019
Epoch [35/141], Total Loss: 1.2267, NLL: 1.2147, Masked: 1.3848
Epoch [36/141], Total Loss: 1.2225, NLL: 1.2105, Masked: 1.3718
Epoch [37/141], Total Loss: 1.2178, NLL: 1.2061, Masked: 1.3551
Epoch [38/141], Total Loss: 1.2137, NLL: 1.2020, Masked: 1.3411
Epoch [39/141], Total Loss: 1.2093, NLL: 1.1977, Masked: 1.3259
Epoch [40/141], Total Loss: 1.2051, NLL: 1.1937, Masked: 1.3123
Epoch [41/141], Total Loss: 1.2013, NLL: 1.1900, Masked: 1.3001
Epoch [42/141], Total Loss: 1.1973, NLL: 1.1861, Masked: 1.2889
Epoch [43/141], Total Loss: 1.1937, NLL: 1.1826, Masked: 1.2783
Epoch [44/141], Total Loss: 1.1898, NLL: 1.1788, Masked: 1.2656
Epoch [45/141], Total Loss: 1.1866, NLL: 1.1757, Masked: 1.2549
Epoch [46/141], Total Loss: 1.1835, NLL: 1.1727, Masked: 1.2432
Epoch [47/141], Total Loss: 1.1807, NLL: 1.1700, Masked: 1.2346
Epoch [48/141], Total Loss: 1.1782, NLL: 1.1676, Masked: 1.2262
Epoch [49/141], Total Loss: 1.1753, NLL: 1.1647, Masked: 1.2158
Epoch [50/141], Total Loss: 1.1725, NLL: 1.1620, Masked: 1.2059
Epoch [51/141], Total Loss: 1.1699, NLL: 1.1595, Masked: 1.1970
Epoch [52/141], Total Loss: 1.1676, NLL: 1.1572, Masked: 1.1898
Epoch [53/141], Total Loss: 1.1651, NLL: 1.1548, Masked: 1.1824
Epoch [54/141], Total Loss: 1.1626, NLL: 1.1524, Masked: 1.1729
Epoch [55/141], Total Loss: 1.1600, NLL: 1.1499, Masked: 1.1656
Epoch [56/141], Total Loss: 1.1575, NLL: 1.1474, Masked: 1.1570
Epoch [57/141], Total Loss: 1.1557, NLL: 1.1457, Masked: 1.1520
Epoch [58/141], Total Loss: 1.1535, NLL: 1.1436, Masked: 1.1438
Epoch [59/141], Total Loss: 1.1511, NLL: 1.1413, Masked: 1.1358
Epoch [60/141], Total Loss: 1.1494, NLL: 1.1396, Masked: 1.1307
Epoch [61/141], Total Loss: 1.1469, NLL: 1.1372, Masked: 1.1218
Epoch [62/141], Total Loss: 1.1453, NLL: 1.1355, Masked: 1.1168
Epoch [63/141], Total Loss: 1.1436, NLL: 1.1339, Masked: 1.1115
Epoch [64/141], Total Loss: 1.1415, NLL: 1.1319, Masked: 1.1046
Epoch [65/141], Total Loss: 1.1397, NLL: 1.1301, Masked: 1.0984
Epoch [66/141], Total Loss: 1.1375, NLL: 1.1280, Masked: 1.0923
Epoch [67/141], Total Loss: 1.1360, NLL: 1.1266, Masked: 1.0878
Epoch [68/141], Total Loss: 1.1341, NLL: 1.1247, Masked: 1.0822
