Position,Value,Nucleosome_Distance,Centromere_Distance
6,12,83,148562
15,28,74,148553
29,6,60,148539
38,1,51,148530
42,4,47,148526
46,4,43,148522
47,6,42,148521
52,2,37,148516
61,16,28,148507
63,1,26,148505
64,4,25,148504
66,2,23,148502
68,12,21,148500
70,4,19,148498
73,3,16,148495
76,1,13,148492
82,17,7,148486
88,8,1,148480
91,4,2,148477
96,3,7,148472
97,1,8,148471
99,10,10,148469
102,3,13,148466
104,10,15,148464
112,1,23,148456
113,2,24,148455
115,8,26,148453
118,1,29,148450
121,3,32,148447
141,1,52,148427
149,2,60,148419
150,3,61,148418
155,2,66,148413
158,6,69,148410
161,15,72,148407
164,6,75,148404
167,1,78,148401
168,5,79,148400
170,1,79,148398
173,4,76,148395
178,2,71,148390
182,2,67,148386
189,6,60,148379
195,7,54,148373
197,1,52,148371
205,1,44,148363
212,5,37,148356
214,2,35,148354
222,1,27,148346
224,2,25,148344
228,4,21,148340
231,3,18,148337
234,6,15,148334
237,3,12,148331
239,5,10,148329
243,3,6,148325
245,10,4,148323
247,3,2,148321
249,2,0,148319
256,4,7,148312
262,7,13,148306
263,5,14,148305
266,1,17,148302
269,1,20,148299
271,5,22,148297
276,3,27,148292
288,8,39,148280
289,1,40,148279
297,2,48,148271
298,1,49,148270
299,1,50,148269
301,1,52,148267
317,5,68,148251
322,5,73,148246
325,3,76,148243
328,6,79,148240
334,3,75,148234
341,1,68,148227
344,1,65,148224
346,5,63,148222
348,1,61,148220
352,1,57,148216
359,4,50,148209
363,1,46,148205
366,1,43,148202
369,2,40,148199
374,1,35,148194
376,1,33,148192
377,3,32,148191
379,9,30,148189
386,39,23,148182
405,4,4,148163
411,9,2,148157
417,1,8,148151
447,1,38,148121
458,7,49,148110
465,6,56,148103
468,1,59,148100
478,1,69,148090
499,3,54,148069
511,1,42,148057
521,1,32,148047
531,24,22,148037
535,1,18,148033
539,5,14,148029
546,13,7,148022
561,7,8,148007
566,3,13,148002
570,5,17,147998
575,1,22,147993
577,3,24,147991
582,1,29,147986
583,1,30,147985
586,6,33,147982
590,2,37,147978
599,10,46,147969
611,7,58,147957
620,1,61,147948
621,1,60,147947
628,1,53,147940
636,1,45,147932
641,5,40,147927
649,1,32,147919
650,4,31,147918
652,7,29,147916
657,3,24,147911
669,5,12,147899
679,3,2,147889
682,1,1,147886
725,4,44,147843
728,3,47,147840
736,1,55,147832
741,3,60,147827
746,1,63,147822
780,6,29,147788
805,1,4,147763
810,3,1,147758
815,1,6,147753
818,14,9,147750
820,1,11,147748
824,1,15,147744
827,23,18,147741
832,1,23,147736
833,2,24,147735
834,6,25,147734
835,1,26,147733
844,3,35,147724
858,4,49,147710
877,1,60,147691
882,1,55,147686
885,1,52,147683
889,2,48,147679
932,60,5,147636
942,1,5,147626
944,7,7,147624
