Distance_Bin,Value,Bin_Center,Density_per_bp
"[-574980.0, -574940.0)",0,-574960.0,0.0
"[-574940.0, -574900.0)",0,-574920.0,0.0
"[-574900.0, -574860.0)",0,-574880.0,0.0
"[-574860.0, -574820.0)",0,-574840.0,0.0
"[-574820.0, -574780.0)",0,-574800.0,0.0
"[-574780.0, -574740.0)",0,-574760.0,0.0
"[-574740.0, -574700.0)",0,-574720.0,0.0
"[-574700.0, -574660.0)",0,-574680.0,0.0
"[-574660.0, -574620.0)",0,-574640.0,0.0
"[-574620.0, -574580.0)",0,-574600.0,0.0
"[-574580.0, -574540.0)",0,-574560.0,0.0
"[-574540.0, -574500.0)",0,-574520.0,0.0
"[-574500.0, -574460.0)",0,-574480.0,0.0
"[-574460.0, -574420.0)",0,-574440.0,0.0
"[-574420.0, -574380.0)",0,-574400.0,0.0
"[-574380.0, -574340.0)",0,-574360.0,0.0
"[-574340.0, -574300.0)",0,-574320.0,0.0
"[-574300.0, -574260.0)",0,-574280.0,0.0
"[-574260.0, -574220.0)",0,-574240.0,0.0
"[-574220.0, -574180.0)",0,-574200.0,0.0
"[-574180.0, -574140.0)",0,-574160.0,0.0
"[-574140.0, -574100.0)",0,-574120.0,0.0
"[-574100.0, -574060.0)",0,-574080.0,0.0
"[-574060.0, -574020.0)",0,-574040.0,0.0
"[-574020.0, -573980.0)",0,-574000.0,0.0
"[-573980.0, -573940.0)",0,-573960.0,0.0
"[-573940.0, -573900.0)",0,-573920.0,0.0
"[-573900.0, -573860.0)",0,-573880.0,0.0
"[-573860.0, -573820.0)",0,-573840.0,0.0
"[-573820.0, -573780.0)",0,-573800.0,0.0
"[-573780.0, -573740.0)",0,-573760.0,0.0
"[-573740.0, -573700.0)",0,-573720.0,0.0
"[-573700.0, -573660.0)",0,-573680.0,0.0
"[-573660.0, -573620.0)",0,-573640.0,0.0
"[-573620.0, -573580.0)",0,-573600.0,0.0
"[-573580.0, -573540.0)",0,-573560.0,0.0
"[-573540.0, -573500.0)",0,-573520.0,0.0
"[-573500.0, -573460.0)",0,-573480.0,0.0
"[-573460.0, -573420.0)",0,-573440.0,0.0
"[-573420.0, -573380.0)",0,-573400.0,0.0
"[-573380.0, -573340.0)",0,-573360.0,0.0
"[-573340.0, -573300.0)",0,-573320.0,0.0
"[-573300.0, -573260.0)",0,-573280.0,0.0
"[-573260.0, -573220.0)",0,-573240.0,0.0
"[-573220.0, -573180.0)",0,-573200.0,0.0
"[-573180.0, -573140.0)",0,-573160.0,0.0
"[-573140.0, -573100.0)",0,-573120.0,0.0
"[-573100.0, -573060.0)",0,-573080.0,0.0
"[-573060.0, -573020.0)",0,-573040.0,0.0
"[-573020.0, -572980.0)",0,-573000.0,0.0
"[-572980.0, -572940.0)",0,-572960.0,0.0
"[-572940.0, -572900.0)",0,-572920.0,0.0
"[-572900.0, -572860.0)",0,-572880.0,0.0
"[-572860.0, -572820.0)",0,-572840.0,0.0
"[-572820.0, -572780.0)",0,-572800.0,0.0
"[-572780.0, -572740.0)",0,-572760.0,0.0
"[-572740.0, -572700.0)",0,-572720.0,0.0
"[-572700.0, -572660.0)",0,-572680.0,0.0
"[-572660.0, -572620.0)",0,-572640.0,0.0
"[-572620.0, -572580.0)",0,-572600.0,0.0
"[-572580.0, -572540.0)",0,-572560.0,0.0
"[-572540.0, -572500.0)",0,-572520.0,0.0
"[-572500.0, -572460.0)",0,-572480.0,0.0
"[-572460.0, -572420.0)",0,-572440.0,0.0
"[-572420.0, -572380.0)",0,-572400.0,0.0
"[-572380.0, -572340.0)",0,-572360.0,0.0
"[-572340.0, -572300.0)",0,-572320.0,0.0
"[-572300.0, -572260.0)",0,-572280.0,0.0
"[-572260.0, -572220.0)",0,-572240.0,0.0
"[-572220.0, -572180.0)",0,-572200.0,0.0
"[-572180.0, -572140.0)",0,-572160.0,0.0
"[-572140.0, -572100.0)",0,-572120.0,0.0
"[-572100.0, -572060.0)",0,-572080.0,0.0
"[-572060.0, -572020.0)",0,-572040.0,0.0
"[-572020.0, -571980.0)",0,-572000.0,0.0
"[-571980.0, -571940.0)",0,-571960.0,0.0
"[-571940.0, -571900.0)",0,-571920.0,0.0
"[-571900.0, -571860.0)",0,-571880.0,0.0
"[-571860.0, -571820.0)",0,-571840.0,0.0
"[-571820.0, -571780.0)",0,-571800.0,0.0
"[-571780.0, -571740.0)",0,-571760.0,0.0
"[-571740.0, -571700.0)",0,-571720.0,0.0
"[-571700.0, -571660.0)",0,-571680.0,0.0
"[-571660.0, -571620.0)",0,-571640.0,0.0
"[-571620.0, -571580.0)",0,-571600.0,0.0
"[-571580.0, -571540.0)",0,-571560.0,0.0
"[-571540.0, -571500.0)",0,-571520.0,0.0
"[-571500.0, -571460.0)",0,-571480.0,0.0
"[-571460.0, -571420.0)",0,-571440.0,0.0
"[-571420.0, -571380.0)",0,-571400.0,0.0
"[-571380.0, -571340.0)",0,-571360.0,0.0
"[-571340.0, -571300.0)",0,-571320.0,0.0
"[-571300.0, -571260.0)",0,-571280.0,0.0
"[-571260.0, -571220.0)",0,-571240.0,0.0
"[-571220.0, -571180.0)",0,-571200.0,0.0
"[-571180.0, -571140.0)",0,-571160.0,0.0
"[-571140.0, -571100.0)",0,-571120.0,0.0
"[-571100.0, -571060.0)",0,-571080.0,0.0
"[-571060.0, -571020.0)",0,-571040.0,0.0
"[-571020.0, -570980.0)",0,-571000.0,0.0
"[-570980.0, -570940.0)",0,-570960.0,0.0
"[-570940.0, -570900.0)",0,-570920.0,0.0
"[-570900.0, -570860.0)",0,-570880.0,0.0
"[-570860.0, -570820.0)",0,-570840.0,0.0
"[-570820.0, -570780.0)",0,-570800.0,0.0
"[-570780.0, -570740.0)",0,-570760.0,0.0
"[-570740.0, -570700.0)",0,-570720.0,0.0
"[-570700.0, -570660.0)",0,-570680.0,0.0
